Date,Competition,Home team,Score,Away team
05/08/23,CLF,Eintracht Frankfurt,0-0,Nottingham Forest
13/08/23,DFP,Lokomotive Leipzig,0-7,Eintracht Frankfurt
20/08/23,BUN,Eintracht Frankfurt,1-0,Darmstadt
24/08/23,UEC,Levski Sofia,1-1,Eintracht Frankfurt
27/08/23,BUN,Mainz,1-1,Eintracht Frankfurt
31/08/23,UEC,Eintracht Frankfurt,2-0,Levski Sofia
03/09/23,BUN,Eintracht Frankfurt,1-1,FC Cologne
16/09/23,BUN,Bochum,1-1,Eintracht Frankfurt
21/09/23,UEC,Eintracht Frankfurt,2-1,Aberdeen
24/09/23,BUN,Eintracht Frankfurt,0-0,Freiburg
30/09/23,BUN,Wolfsburg,2-0,Eintracht Frankfurt
05/10/23,UEC,PAOK,2-1,Eintracht Frankfurt
08/10/23,BUN,Eintracht Frankfurt,2-0,Heidenheim
13/10/23,CLF,Chemie Leipzig,2-1,Eintracht Frankfurt
21/10/23,BUN,Hoffenheim,1-3,Eintracht Frankfurt
26/10/23,UEC,Eintracht Frankfurt,6-0,HJK
29/10/23,BUN,Eintracht Frankfurt,3-3,Borussia Dortmund
01/11/23,DFP,Viktoria Köln,0-2,Eintracht Frankfurt
04/11/23,BUN,Union Berlin,0-3,Eintracht Frankfurt
09/11/23,UEC,HJK,0-1,Eintracht Frankfurt
12/11/23,BUN,Werder Bremen,2-2,Eintracht Frankfurt
25/11/23,BUN,Eintracht Frankfurt,1-2,Stuttgart
30/11/23,UEC,Eintracht Frankfurt,1-2,PAOK
03/12/23,BUN,Augsburg,2-1,Eintracht Frankfurt
06/12/23,DFP,Saarbrücken,2-0,Eintracht Frankfurt
09/12/23,BUN,Eintracht Frankfurt,5-1,Bayern Munich
14/12/23,UEC,Aberdeen,2-0,Eintracht Frankfurt
17/12/23,BUN,Bayer Leverkusen,3-0,Eintracht Frankfurt
20/12/23,BUN,Eintracht Frankfurt,2-1,Borussia M'gladbach
06/01/24,CLF,Eintracht Frankfurt,2-5,Freiburg
13/01/24,BUN,RB Leipzig,0-1,Eintracht Frankfurt
20/01/24,BUN,Darmstadt,2-2,Eintracht Frankfurt
26/01/24,BUN,Eintracht Frankfurt,1-0,Mainz
03/02/24,BUN,FC Cologne,2-0,Eintracht Frankfurt
10/02/24,BUN,Eintracht Frankfurt,1-1,Bochum
15/02/24,UEC,Union Saint-Gilloise,2-2,Eintracht Frankfurt
18/02/24,BUN,Freiburg,3-3,Eintracht Frankfurt
22/02/24,UEC,Eintracht Frankfurt,1-2,Union Saint-Gilloise
25/02/24,BUN,Eintracht Frankfurt,2-2,Wolfsburg
02/03/24,BUN,Heidenheim,1-2,Eintracht Frankfurt
10/03/24,BUN,Eintracht Frankfurt,3-1,Hoffenheim
17/03/24,BUN,Borussia Dortmund,3-1,Eintracht Frankfurt
30/03/24,BUN,Eintracht Frankfurt,0-0,Union Berlin
05/04/24,BUN,Eintracht Frankfurt,1-1,Werder Bremen
13/04/24,BUN,Stuttgart,3-0,Eintracht Frankfurt
19/04/24,BUN,Eintracht Frankfurt,3-1,Augsburg
27/04/24,BUN,Bayern Munich,2-1,Eintracht Frankfurt
05/05/24,BUN,Eintracht Frankfurt,17:30,Bayer Leverkusen
11/05/24,BUN,Borussia M'gladbach,15:30,Eintracht Frankfurt
18/05/24,BUN,Eintracht Frankfurt,15:30,RB Leipzig
13/09/22,UCL,Marseille,0-1,Eintracht Frankfurt
17/09/22,BUN,Stuttgart,1-3,Eintracht Frankfurt
01/10/22,BUN,Eintracht Frankfurt,2-0,Union Berlin
04/10/22,UCL,Eintracht Frankfurt,0-0,Tottenham Hotspur
08/10/22,BUN,Bochum,3-0,Eintracht Frankfurt
12/10/22,UCL,Tottenham Hotspur,3-2,Eintracht Frankfurt
15/10/22,BUN,Eintracht Frankfurt,5-1,Bayer Leverkusen
18/10/22,DFP,Stuttgarter Kickers,0-2,Eintracht Frankfurt
22/10/22,BUN,Borussia M'gladbach,1-3,Eintracht Frankfurt
26/10/22,UCL,Eintracht Frankfurt,2-1,Marseille
29/10/22,BUN,Eintracht Frankfurt,1-2,Borussia Dortmund
01/11/22,UCL,Sporting Lisbon,1-2,Eintracht Frankfurt
