Date,Competition,Home team,Score,Away team
22/04/23,BUN,Hoffenheim,1-3,FC Cologne
29/04/23,BUN,FC Cologne,0-1,Freiburg
05/05/23,BUN,Bayer Leverkusen,1-2,FC Cologne
12/05/23,BUN,FC Cologne,5-2,Hertha Berlin
20/05/23,BUN,Werder Bremen,1-1,FC Cologne
27/05/23,BUN,FC Cologne,1-2,Bayern Munich
21/07/23,CLF,FC Cologne,1-1,Mallorca
28/07/23,CLF,Fortuna Köln,2-2,FC Cologne
29/07/23,CLF,FC Cologne,2-0,Erzgebirge Aue
05/08/23,CLF,FC Cologne,2-0,Nantes
14/08/23,DFP,Osnabrück,E1-3E,FC Cologne
19/08/23,BUN,Borussia Dortmund,1-0,FC Cologne
26/08/23,BUN,FC Cologne,1-2,Wolfsburg
03/09/23,BUN,Eintracht Frankfurt,1-1,FC Cologne
06/09/23,CLF,Bergisch Gladbach,0-6,FC Cologne
16/09/23,BUN,FC Cologne,1-3,Hoffenheim
23/09/23,BUN,Werder Bremen,2-1,FC Cologne
30/09/23,BUN,FC Cologne,0-2,Stuttgart
08/10/23,BUN,Bayer Leverkusen,3-0,FC Cologne
11/10/23,CLF,Reusrath,0-15,FC Cologne
22/10/23,BUN,FC Cologne,3-1,Borussia M'gladbach
28/10/23,BUN,RB Leipzig,6-0,FC Cologne
31/10/23,DFP,Kaiserslautern,3-2,FC Cologne
04/11/23,BUN,FC Cologne,1-1,Augsburg
11/11/23,BUN,Bochum,1-1,FC Cologne
15/11/23,CLF,Porz,0-8,FC Cologne
24/11/23,BUN,FC Cologne,0-1,Bayern Munich
01/12/23,BUN,Darmstadt,0-1,FC Cologne
10/12/23,BUN,FC Cologne,0-0,Mainz
17/12/23,BUN,Freiburg,2-0,FC Cologne
20/12/23,BUN,Union Berlin,2-0,FC Cologne
13/01/24,BUN,FC Cologne,1-1,Heidenheim
20/01/24,BUN,FC Cologne,0-4,Borussia Dortmund
27/01/24,BUN,Wolfsburg,1-1,FC Cologne
03/02/24,BUN,FC Cologne,2-0,Eintracht Frankfurt
11/02/24,BUN,Hoffenheim,1-1,FC Cologne
16/02/24,BUN,FC Cologne,0-1,Werder Bremen
24/02/24,BUN,Stuttgart,1-1,FC Cologne
03/03/24,BUN,FC Cologne,0-2,Bayer Leverkusen
09/03/24,BUN,Borussia M'gladbach,3-3,FC Cologne
15/03/24,BUN,FC Cologne,1-5,RB Leipzig
22/03/24,CLF,FC Cologne,2-2,Breidablik
31/03/24,BUN,Augsburg,1-1,FC Cologne
06/04/24,BUN,FC Cologne,2-1,Bochum
13/04/24,BUN,Bayern Munich,2-0,FC Cologne
20/04/24,BUN,FC Cologne,0-2,Darmstadt
28/04/24,BUN,Mainz,1-1,FC Cologne
04/05/24,BUN,FC Cologne,18:30,Freiburg
11/05/24,BUN,FC Cologne,15:30,Union Berlin
18/05/24,BUN,Heidenheim,15:30,FC Cologne
07/05/22,BUN,FC Cologne,0-1,Wolfsburg
14/05/22,BUN,Stuttgart,2-1,FC Cologne
01/07/22,CLF,Mondorf,1-12,FC Cologne
08/07/22,CLF,FC Cologne,4-0,Austria Lustenau
09/07/22,CLF,FC Cologne,1-1,Grasshoppers
16/07/22,CLF,FC Cologne,1-2,AC Milan
17/07/22,CLF,Kickers Offenbach,0-2,FC Cologne
22/07/22,CLF,FC Cologne,5-0,NEC
30/07/22,DFP,Jahn Regensburg,P2-2P,FC Cologne
07/08/22,BUN,FC Cologne,3-1,Schalke 04
13/08/22,BUN,RB Leipzig,2-2,FC Cologne
18/08/22,UEC,FC Cologne,1-2,Fehérvár
21/08/22,BUN,Eintracht Frankfurt,1-1,FC Cologne
25/08/22,UEC,Fehérvár,0-3,FC Cologne
28/08/22,BUN,FC Cologne,0-0,Stuttgart
03/09/22,BUN,Wolfsburg,2-4,FC Cologne
08/09/22,UEC,Nice,1-1,FC Cologne
11/09/22,BUN,FC Cologne,0-1,Union Berlin
15/09/22,UEC,FC Cologne,4-2,Slovacko
18/09/22,BUN,Bochum,1-1,FC Cologne
01/10/22,BUN,FC Cologne,3-2,Borussia Dortmund
06/10/22,UEC,FC Cologne,0-1,Partizan
09/10/22,BUN,Borussia M'gladbach,5-2,FC Cologne
13/10/22,UEC,Partizan,2-0,FC Cologne
16/10/22,BUN,FC Cologne,3-2,Augsburg
21/10/22,BUN,Mainz,5-0,FC Cologne
28/10/22,UEC,Slovacko,0-1,FC Cologne
30/10/22,BUN,FC Cologne,1-1,Hoffenheim
03/11/22,UEC,FC Cologne,2-2,Nice
06/11/22,BUN,Freiburg,2-0,FC Cologne
09/11/22,BUN,FC Cologne,1-2,Bayer Leverkusen
12/11/22,BUN,Hertha Berlin,2-0,FC Cologne
19/11/22,CLF,FC Cologne,2-4,Stuttgart
21/12/22,CLF,FC Cologne,1-0,Meppen
07/01/23,CLF,FC Cologne,4-0,Hamburg
14/01/23,CLF,FC Cologne,5-0,Lommel
21/01/23,BUN,FC Cologne,7-1,Werder Bremen
24/01/23,BUN,Bayern Munich,1-1,FC Cologne
29/01/23,BUN,Schalke 04,0-0,FC Cologne
04/02/23,BUN,FC Cologne,0-0,RB Leipzig
12/02/23,BUN,FC Cologne,3-0,Eintracht Frankfurt
18/02/23,BUN,Stuttgart,3-0,FC Cologne
25/02/23,BUN,FC Cologne,0-2,Wolfsburg
04/03/23,BUN,Union Berlin,0-0,FC Cologne
10/03/23,BUN,FC Cologne,0-2,Bochum
18/03/23,BUN,Borussia Dortmund,6-1,FC Cologne
23/03/23,CLF,FC Cologne,0-1,Sint-Truiden
02/04/23,BUN,FC Cologne,0-0,Borussia M'gladbach
08/04/23,BUN,Augsburg,1-3,FC Cologne
15/04/23,BUN,FC Cologne,1-1,Mainz
23/04/21,BUN,Augsburg,2-3,FC Cologne
09/05/21,BUN,FC Cologne,1-4,Freiburg
15/05/21,BUN,Hertha Berlin,0-0,FC Cologne
22/05/21,BUN,FC Cologne,1-0,Schalke 04
26/05/21,PL1,FC Cologne,0-1,Holstein Kiel
29/05/21,PL1,Holstein Kiel,1-5,FC Cologne
09/07/21,CLF,Fortuna Köln,0-4,FC Cologne
10/07/21,CLF,MSV Duisburg,1-1,FC Cologne
17/07/21,CLF,FC Cologne,3-2,Bayern Munich
18/07/21,CLF,FC Cologne,2-0,Schaffhausen
24/07/21,CLF,FC Cologne,2-1,Elversberg
31/07/21,CLF,FC Cologne,1-1,Roda JC
01/08/21,CLF,Almere City,CANC,FC Cologne
08/08/21,DFP,Carl Zeiss Jena,P1-1P,FC Cologne
15/08/21,BUN,FC Cologne,3-1,Hertha Berlin
22/08/21,BUN,Bayern Munich,3-2,FC Cologne
28/08/21,BUN,FC Cologne,2-1,Bochum
11/09/21,BUN,Freiburg,1-1,FC Cologne
18/09/21,BUN,FC Cologne,1-1,RB Leipzig
25/09/21,BUN,Eintracht Frankfurt,1-1,FC Cologne
01/10/21,BUN,FC Cologne,3-1,Greuther Fürth
15/10/21,BUN,Hoffenheim,5-0,FC Cologne
24/10/21,BUN,FC Cologne,2-2,Bayer Leverkusen
27/10/21,DFP,Stuttgart,0-2,FC Cologne
30/10/21,BUN,Borussia Dortmund,2-0,FC Cologne
07/11/21,BUN,FC Cologne,2-2,Union Berlin
10/11/21,CLF,FC Cologne,4-0,Paderborn
21/11/21,BUN,Mainz,1-1,FC Cologne
27/11/21,BUN,FC Cologne,4-1,Borussia M'gladbach
04/12/21,BUN,Arminia Bielefeld,1-1,FC Cologne
10/12/21,BUN,FC Cologne,0-2,Augsburg
14/12/21,BUN,Wolfsburg,2-3,FC Cologne
19/12/21,BUN,FC Cologne,1-0,Stuttgart
09/01/22,BUN,Hertha Berlin,1-3,FC Cologne
15/01/22,BUN,FC Cologne,0-4,Bayern Munich
18/01/22,DFP,FC Cologne,P1-1P,Hamburg
22/01/22,BUN,Bochum,2-2,FC Cologne
05/02/22,BUN,FC Cologne,1-0,Freiburg
11/02/22,BUN,RB Leipzig,3-1,FC Cologne
19/02/22,BUN,FC Cologne,1-0,Eintracht Frankfurt
26/02/22,BUN,Greuther Fürth,1-1,FC Cologne
06/03/22,BUN,FC Cologne,0-1,Hoffenheim
13/03/22,BUN,Bayer Leverkusen,0-1,FC Cologne
20/03/22,BUN,FC Cologne,1-1,Borussia Dortmund
23/03/22,CLF,Siegburger SV,1-8,FC Cologne
01/04/22,BUN,Union Berlin,1-0,FC Cologne
09/04/22,BUN,FC Cologne,3-2,Mainz
16/04/22,BUN,Borussia M'gladbach,1-3,FC Cologne
23/04/22,BUN,FC Cologne,3-1,Arminia Bielefeld
30/04/22,BUN,Augsburg,1-4,FC Cologne
17/05/20,BUN,FC Cologne,2-2,Mainz
24/05/20,BUN,FC Cologne,2-2,Fortuna Düsseldorf
27/05/20,BUN,Hoffenheim,3-1,FC Cologne
01/06/20,BUN,FC Cologne,2-4,RB Leipzig
07/06/20,BUN,Augsburg,1-1,FC Cologne
13/06/20,BUN,FC Cologne,1-2,Union Berlin
17/06/20,BUN,Bayer Leverkusen,3-1,FC Cologne
20/06/20,BUN,FC Cologne,1-1,Eintracht Frankfurt
27/06/20,BUN,Werder Bremen,6-1,FC Cologne
11/08/20,CLF,FC Cologne,5-0,Porz
15/08/20,CLF,FC Cologne,2-1,BW Lohne
15/08/20,CLF,FC Cologne,5-0,Deutz
18/08/20,CLF,FC Cologne,2-0,Bochum
22/08/20,CLF,FC Cologne,2-1,Union Berlin
29/08/20,CLF,FC Cologne,0-3,Wolfsburg
05/09/20,CLF,FC Cologne,CANC,Uerdingen
05/09/20,CLF,FC Cologne,CANC,Utrecht
12/09/20,DFP,Altglienicke,0-6,FC Cologne
19/09/20,BUN,FC Cologne,2-3,Hoffenheim
26/09/20,BUN,Arminia Bielefeld,1-0,FC Cologne
03/10/20,BUN,FC Cologne,1-3,Borussia M'gladbach
18/10/20,BUN,FC Cologne,1-1,Eintracht Frankfurt
23/10/20,BUN,Stuttgart,1-1,FC Cologne
31/10/20,BUN,FC Cologne,1-2,Bayern Munich
06/11/20,BUN,Werder Bremen,1-1,FC Cologne
22/11/20,BUN,FC Cologne,1-2,Union Berlin
28/11/20,BUN,Borussia Dortmund,1-2,FC Cologne
05/12/20,BUN,FC Cologne,2-2,Wolfsburg
12/12/20,BUN,Mainz,0-1,FC Cologne
16/12/20,BUN,FC Cologne,0-4,Bayer Leverkusen
19/12/20,BUN,RB Leipzig,0-0,FC Cologne
22/12/20,DFP,FC Cologne,1-0,Osnabrück
02/01/21,BUN,FC Cologne,0-1,Augsburg
09/01/21,BUN,Freiburg,5-0,FC Cologne
16/01/21,BUN,FC Cologne,0-0,Hertha Berlin
20/01/21,BUN,Schalke 04,1-2,FC Cologne
24/01/21,BUN,Hoffenheim,3-0,FC Cologne
31/01/21,BUN,FC Cologne,3-1,Arminia Bielefeld
