Date,Competition,Home team,Score,Away team
23/04/23,2.B,Heidenheim,3-0,Holstein Kiel
28/04/23,2.B,Greuther Fürth,0-2,Heidenheim
07/05/23,2.B,Heidenheim,0-0,Magdeburg
14/05/23,2.B,Paderborn,3-2,Heidenheim
20/05/23,2.B,Heidenheim,1-0,Sandhausen
28/05/23,2.B,Jahn Regensburg,2-3,Heidenheim
22/07/23,CLF,Ingolstadt,1-1,Heidenheim
26/07/23,CLF,Empoli,1-2,Heidenheim
01/08/23,CLF,Heidenheim,1-1,Pafos
05/08/23,CLF,Heidenheim,3-2,Verona
13/08/23,DFP,Rostocker FC,0-8,Heidenheim
19/08/23,BUN,Wolfsburg,2-0,Heidenheim
26/08/23,BUN,Heidenheim,2-3,Hoffenheim
01/09/23,BUN,Borussia Dortmund,2-2,Heidenheim
07/09/23,CLF,Nürnberg,3-1,Heidenheim
17/09/23,BUN,Heidenheim,4-2,Werder Bremen
24/09/23,BUN,Bayer Leverkusen,4-1,Heidenheim
30/09/23,BUN,Heidenheim,1-0,Union Berlin
08/10/23,BUN,Eintracht Frankfurt,2-0,Heidenheim
12/10/23,CLF,Heidenheim,0-1,Greuther Fürth
22/10/23,BUN,Heidenheim,2-5,Augsburg
28/10/23,BUN,Borussia M'gladbach,2-1,Heidenheim
31/10/23,DFP,Borussia M'gladbach,3-1,Heidenheim
05/11/23,BUN,Heidenheim,2-0,Stuttgart
11/11/23,BUN,Bayern Munich,4-2,Heidenheim
26/11/23,BUN,Heidenheim,0-0,Bochum
02/12/23,BUN,RB Leipzig,2-1,Heidenheim
09/12/23,BUN,Heidenheim,3-2,Darmstadt
16/12/23,BUN,Mainz,0-1,Heidenheim
20/12/23,BUN,Heidenheim,3-2,Freiburg
08/01/24,CLF,Heidenheim,2-0,Paderborn
13/01/24,BUN,FC Cologne,1-1,Heidenheim
20/01/24,BUN,Heidenheim,1-1,Wolfsburg
27/01/24,BUN,Hoffenheim,1-1,Heidenheim
02/02/24,BUN,Heidenheim,0-0,Borussia Dortmund
10/02/24,BUN,Werder Bremen,1-2,Heidenheim
17/02/24,BUN,Heidenheim,1-2,Bayer Leverkusen
24/02/24,BUN,Union Berlin,2-2,Heidenheim
02/03/24,BUN,Heidenheim,1-2,Eintracht Frankfurt
09/03/24,BUN,Augsburg,1-0,Heidenheim
16/03/24,BUN,Heidenheim,1-1,Borussia M'gladbach
21/03/24,CLF,Heidenheim,0-1,Karlsruhe
31/03/24,BUN,Stuttgart,3-3,Heidenheim
06/04/24,BUN,Heidenheim,3-2,Bayern Munich
13/04/24,BUN,Bochum,1-1,Heidenheim
20/04/24,BUN,Heidenheim,1-2,RB Leipzig
28/04/24,BUN,Darmstadt,0-1,Heidenheim
05/05/24,BUN,Heidenheim,19:30,Mainz
11/05/24,BUN,Freiburg,15:30,Heidenheim
18/05/24,BUN,Heidenheim,15:30,FC Cologne
18/03/22,2.B,St. Pauli,1-0,Heidenheim
03/04/22,2.B,Heidenheim,3-1,Nürnberg
09/04/22,2.B,Schalke 04,3-0,Heidenheim
17/04/22,2.B,Heidenheim,0-2,Erzgebirge Aue
23/04/22,2.B,Holstein Kiel,1-1,Heidenheim
29/04/22,2.B,Heidenheim,1-3,Fortuna Düsseldorf
07/05/22,2.B,Jahn Regensburg,0-2,Heidenheim
15/05/22,2.B,Heidenheim,2-0,Karlsruhe
23/06/22,CLF,Schwäbisch Hall,0-6,Heidenheim
29/06/22,CLF,Dynamo Dresden,0-1,Heidenheim
03/07/22,CLF,Universitatea Craiova,1-0,Heidenheim
09/07/22,CLF,Hoffenheim,2-0,Heidenheim
17/07/22,2.B,Hansa Rostock,0-1,Heidenheim
23/07/22,2.B,Heidenheim,3-0,Eintracht Braunschweig
30/07/22,DFP,Illertissen,0-2,Heidenheim
06/08/22,2.B,Hamburg,1-0,Heidenheim
12/08/22,2.B,Nürnberg,0-3,Heidenheim
21/08/22,2.B,Heidenheim,1-1,Arminia Bielefeld
27/08/22,2.B,Darmstadt,2-2,Heidenheim
02/09/22,2.B,Heidenheim,2-1,Fortuna Düsseldorf
10/09/22,2.B,Karlsruhe,0-0,Heidenheim
18/09/22,2.B,Heidenheim,2-2,Kaiserslautern
21/09/22,CLF,Spfr. Dorfmerkingen,1-2,Heidenheim
01/10/22,2.B,St. Pauli,0-0,Heidenheim
09/10/22,2.B,Heidenheim,2-1,Hannover 96
16/10/22,2.B,Holstein Kiel,3-1,Heidenheim
19/10/22,DFP,Union Berlin,2-0,Heidenheim
23/10/22,2.B,Heidenheim,3-1,Greuther Fürth
28/10/22,2.B,Magdeburg,1-1,Heidenheim
05/11/22,2.B,Heidenheim,3-0,Paderborn
09/11/22,2.B,Sandhausen,3-4,Heidenheim
12/11/22,2.B,Heidenheim,5-4,Jahn Regensburg
16/12/22,CLF,Augsburg,2-0,Heidenheim
17/12/22,CLF,Heidenheim,2-0,Waldhof Mannheim
21/12/22,CLF,Ingolstadt,0-1,Heidenheim
13/01/23,CLF,Viktoria Plzen,1-1,Heidenheim
16/01/23,CLF,CFR Cluj,2-2,Heidenheim
19/01/23,CLF,Heidenheim,1-0,Piast Gliwice
28/01/23,2.B,Heidenheim,2-0,Hansa Rostock
04/02/23,2.B,Eintracht Braunschweig,2-0,Heidenheim
11/02/23,2.B,Heidenheim,3-3,Hamburg
19/02/23,2.B,Heidenheim,5-0,Nürnberg
26/02/23,2.B,Arminia Bielefeld,0-1,Heidenheim
04/03/23,2.B,Heidenheim,1-0,Darmstadt
11/03/23,2.B,Fortuna Düsseldorf,1-1,Heidenheim
17/03/23,2.B,Heidenheim,5-2,Karlsruhe
24/03/23,CLF,Stuttgart,2-0,Heidenheim
01/04/23,2.B,Kaiserslautern,2-2,Heidenheim
08/04/23,2.B,Heidenheim,0-1,St. Pauli
14/04/23,2.B,Hannover 96,0-3,Heidenheim
20/02/21,2.B,Osnabrück,1-2,Heidenheim
23/02/21,2.B,Paderborn,2-2,Heidenheim
28/02/21,2.B,Heidenheim,3-2,Fortuna Düsseldorf
05/03/21,2.B,Würzburger Kickers,1-2,Heidenheim
20/03/21,2.B,Hamburg,2-0,Heidenheim
26/03/21,CLF,Augsburg,3-1,Heidenheim
03/04/21,2.B,Heidenheim,0-1,Greuther Fürth
06/04/21,2.B,Heidenheim,1-0,Holstein Kiel
11/04/21,2.B,Hannover 96,1-3,Heidenheim
18/04/21,2.B,Jahn Regensburg,0-3,Heidenheim
21/04/21,2.B,Heidenheim,0-2,Bochum
24/04/21,2.B,Nürnberg,3-1,Heidenheim
09/05/21,2.B,Heidenheim,2-1,Sandhausen
16/05/21,2.B,Darmstadt,5-1,Heidenheim
23/05/21,2.B,Heidenheim,1-2,Karlsruhe
26/06/21,CLF,Heidenheim,5-4,Austria Lustenau
30/06/21,CLF,Heidenheim,2-0,Rheindorf Altach
06/07/21,CLF,Heidenheim,4-2,Ried
06/07/21,CLF,Apollon,CANC,Heidenheim
10/07/21,CLF,LASK,1-0,Heidenheim
