Date,Competition,Home team,Score,Away team
09/04/23,BUN,Hoffenheim,2-0,Schalke 04
15/04/23,BUN,Bayern Munich,1-1,Hoffenheim
22/04/23,BUN,Hoffenheim,1-3,FC Cologne
29/04/23,BUN,RB Leipzig,1-0,Hoffenheim
06/05/23,BUN,Hoffenheim,3-1,Eintracht Frankfurt
13/05/23,BUN,Wolfsburg,2-1,Hoffenheim
20/05/23,BUN,Hoffenheim,4-2,Union Berlin
27/05/23,BUN,Stuttgart,1-1,Hoffenheim
08/07/23,CLF,Astoria Walldorf,1-3,Hoffenheim
12/07/23,CLF,Elversberg,2-1,Hoffenheim
17/07/23,CLF,Hoffenheim,1-2,Strasbourg
29/07/23,CLF,Hoffenheim,2-2,Rangers
05/08/23,CLF,Fulham,2-1,Hoffenheim
14/08/23,DFP,Lübeck,1-4,Hoffenheim
19/08/23,BUN,Hoffenheim,1-2,Freiburg
26/08/23,BUN,Heidenheim,2-3,Hoffenheim
02/09/23,BUN,Hoffenheim,3-1,Wolfsburg
16/09/23,BUN,FC Cologne,1-3,Hoffenheim
23/09/23,BUN,Union Berlin,0-2,Hoffenheim
29/09/23,BUN,Hoffenheim,1-3,Borussia Dortmund
07/10/23,BUN,Werder Bremen,2-3,Hoffenheim
21/10/23,BUN,Hoffenheim,1-3,Eintracht Frankfurt
28/10/23,BUN,Stuttgart,2-3,Hoffenheim
01/11/23,DFP,Borussia Dortmund,1-0,Hoffenheim
04/11/23,BUN,Hoffenheim,2-3,Bayer Leverkusen
11/11/23,BUN,Augsburg,1-1,Hoffenheim
26/11/23,BUN,Hoffenheim,1-1,Mainz
02/12/23,BUN,Borussia M'gladbach,2-1,Hoffenheim
08/12/23,BUN,Hoffenheim,3-1,Bochum
16/12/23,BUN,RB Leipzig,3-1,Hoffenheim
19/12/23,BUN,Hoffenheim,3-3,Darmstadt
06/01/24,CLF,Augsburg,1-0,Hoffenheim
12/01/24,BUN,Bayern Munich,3-0,Hoffenheim
20/01/24,BUN,Freiburg,3-2,Hoffenheim
27/01/24,BUN,Hoffenheim,1-1,Heidenheim
04/02/24,BUN,Wolfsburg,2-2,Hoffenheim
11/02/24,BUN,Hoffenheim,1-1,FC Cologne
17/02/24,BUN,Hoffenheim,0-1,Union Berlin
25/02/24,BUN,Borussia Dortmund,2-3,Hoffenheim
03/03/24,BUN,Hoffenheim,2-1,Werder Bremen
10/03/24,BUN,Eintracht Frankfurt,3-1,Hoffenheim
16/03/24,BUN,Hoffenheim,0-3,Stuttgart
30/03/24,BUN,Bayer Leverkusen,2-1,Hoffenheim
07/04/24,BUN,Hoffenheim,3-1,Augsburg
13/04/24,BUN,Mainz,4-1,Hoffenheim
20/04/24,BUN,Hoffenheim,4-3,Borussia M'gladbach
26/04/24,BUN,Bochum,3-2,Hoffenheim
03/05/24,BUN,Hoffenheim,20:30,RB Leipzig
12/05/24,BUN,Darmstadt,15:30,Hoffenheim
18/05/24,BUN,Hoffenheim,15:30,Bayern Munich
06/03/22,BUN,FC Cologne,0-1,Hoffenheim
12/03/22,BUN,Hoffenheim,1-1,Bayern Munich
19/03/22,BUN,Hertha Berlin,3-0,Hoffenheim
02/04/22,BUN,Hoffenheim,1-2,Bochum
10/04/22,BUN,RB Leipzig,3-0,Hoffenheim
17/04/22,BUN,Hoffenheim,0-0,Greuther Fürth
23/04/22,BUN,Eintracht Frankfurt,2-2,Hoffenheim
30/04/22,BUN,Hoffenheim,3-4,Freiburg
07/05/22,BUN,Hoffenheim,2-4,Bayer Leverkusen
14/05/22,BUN,Borussia M'gladbach,5-1,Hoffenheim
02/07/22,CLF,Astoria Walldorf,0-4,Hoffenheim
09/07/22,CLF,Hoffenheim,2-0,Heidenheim
13/07/22,CLF,Hoffenheim,2-0,Puskás
16/07/22,CLF,Hoffenheim,2-2,Salernitana
23/07/22,CLF,Hoffenheim,CANC,Verona
31/07/22,DFP,Rödinghausen,E0-2E,Hoffenheim
06/08/22,BUN,Borussia M'gladbach,3-1,Hoffenheim
13/08/22,BUN,Hoffenheim,3-2,Bochum
20/08/22,BUN,Bayer Leverkusen,0-3,Hoffenheim
27/08/22,BUN,Hoffenheim,1-0,Augsburg
02/09/22,BUN,Borussia Dortmund,1-0,Hoffenheim
10/09/22,BUN,Hoffenheim,4-1,Mainz
18/09/22,BUN,Hoffenheim,0-0,Freiburg
02/10/22,BUN,Hertha Berlin,1-1,Hoffenheim
07/10/22,BUN,Hoffenheim,1-2,Werder Bremen
14/10/22,BUN,Schalke 04,0-3,Hoffenheim
18/10/22,DFP,Hoffenheim,5-1,Schalke 04
22/10/22,BUN,Hoffenheim,0-2,Bayern Munich
30/10/22,BUN,FC Cologne,1-1,Hoffenheim
05/11/22,BUN,Hoffenheim,1-3,RB Leipzig
09/11/22,BUN,Eintracht Frankfurt,4-2,Hoffenheim
12/11/22,BUN,Hoffenheim,1-2,Wolfsburg
14/12/22,CLF,Hoffenheim,4-3,Elversberg
17/12/22,CLF,Hoffenheim,3-2,1860 München
20/12/22,CLF,Hoffenheim,CANC,Greuther Fürth
06/01/23,CLF,Hoffenheim,2-3,Wolfsburg
09/01/23,CLF,Hoffenheim,3-1,Servette
14/01/23,CLF,Mainz,CANC,Hoffenheim
21/01/23,BUN,Union Berlin,3-1,Hoffenheim
24/01/23,BUN,Hoffenheim,2-2,Stuttgart
28/01/23,BUN,Hoffenheim,1-4,Borussia M'gladbach
01/02/23,DFP,RB Leipzig,3-1,Hoffenheim
04/02/23,BUN,Bochum,5-2,Hoffenheim
11/02/23,BUN,Hoffenheim,1-3,Bayer Leverkusen
17/02/23,BUN,Augsburg,1-0,Hoffenheim
25/02/23,BUN,Hoffenheim,0-1,Borussia Dortmund
04/03/23,BUN,Mainz,1-0,Hoffenheim
12/03/23,BUN,Freiburg,2-1,Hoffenheim
18/03/23,BUN,Hoffenheim,3-1,Hertha Berlin
02/04/23,BUN,Werder Bremen,1-2,Hoffenheim
19/01/21,BUN,Hertha Berlin,0-3,Hoffenheim
24/01/21,BUN,Hoffenheim,3-0,FC Cologne
30/01/21,BUN,Bayern Munich,4-1,Hoffenheim
07/02/21,BUN,Hoffenheim,1-3,Eintracht Frankfurt
13/02/21,BUN,Borussia Dortmund,2-2,Hoffenheim
18/02/21,UEL,Molde,3-3,Hoffenheim
21/02/21,BUN,Hoffenheim,4-0,Werder Bremen
25/02/21,UEL,Hoffenheim,0-2,Molde
28/02/21,BUN,Union Berlin,1-1,Hoffenheim
06/03/21,BUN,Hoffenheim,2-1,Wolfsburg
14/03/21,BUN,Stuttgart,2-0,Hoffenheim
21/03/21,BUN,Hoffenheim,1-2,Mainz
03/04/21,BUN,Augsburg,2-1,Hoffenheim
12/04/21,BUN,Hoffenheim,0-0,Bayer Leverkusen
16/04/21,BUN,RB Leipzig,0-0,Hoffenheim
21/04/21,BUN,Hoffenheim,3-2,Borussia M'gladbach
24/04/21,BUN,Freiburg,1-1,Hoffenheim
08/05/21,BUN,Hoffenheim,4-2,Schalke 04
15/05/21,BUN,Arminia Bielefeld,1-1,Hoffenheim
22/05/21,BUN,Hoffenheim,2-1,Hertha Berlin
17/07/21,CLF,Heidenheim,1-0,Hoffenheim
24/07/21,CLF,Hoffenheim,CANC,Greuther Fürth
31/07/21,CLF,Hoffenheim,3-1,Reims
09/08/21,DFP,Viktoria Köln,E2-3E,Hoffenheim
14/08/21,BUN,Augsburg,0-4,Hoffenheim
22/08/21,BUN,Hoffenheim,2-2,Union Berlin
27/08/21,BUN,Borussia Dortmund,3-2,Hoffenheim
11/09/21,BUN,Hoffenheim,0-2,Mainz
18/09/21,BUN,Arminia Bielefeld,0-0,Hoffenheim
25/09/21,BUN,Hoffenheim,3-1,Wolfsburg
02/10/21,BUN,Stuttgart,3-1,Hoffenheim
15/10/21,BUN,Hoffenheim,5-0,FC Cologne
23/10/21,BUN,Bayern Munich,4-0,Hoffenheim
26/10/21,DFP,Hoffenheim,5-1,Holstein Kiel
29/10/21,BUN,Hoffenheim,2-0,Hertha Berlin
06/11/21,BUN,Bochum,2-0,Hoffenheim
20/11/21,BUN,Hoffenheim,2-0,RB Leipzig
27/11/21,BUN,Greuther Fürth,3-6,Hoffenheim
04/12/21,BUN,Hoffenheim,3-2,Eintracht Frankfurt
11/12/21,BUN,Freiburg,1-2,Hoffenheim
15/12/21,BUN,Bayer Leverkusen,2-2,Hoffenheim
18/12/21,BUN,Hoffenheim,1-1,Borussia M'gladbach
08/01/22,BUN,Hoffenheim,3-1,Augsburg
15/01/22,BUN,Union Berlin,2-1,Hoffenheim
19/01/22,DFP,Hoffenheim,1-4,Freiburg
22/01/22,BUN,Hoffenheim,2-3,Borussia Dortmund
05/02/22,BUN,Mainz,2-0,Hoffenheim
13/02/22,BUN,Hoffenheim,2-0,Arminia Bielefeld
19/02/22,BUN,Wolfsburg,1-2,Hoffenheim
25/02/22,BUN,Hoffenheim,2-1,Stuttgart
20/12/19,BUN,Hoffenheim,2-1,Borussia Dortmund
