Date,Competition,Home team,Score,Away team
02/08/23,CLF,RB Leipzig,9-2,Altglienicke
05/08/23,CLF,RB Leipzig,3-0,Las Palmas
12/08/23,SUC,Bayern Munich,0-3,RB Leipzig
19/08/23,BUN,Bayer Leverkusen,3-2,RB Leipzig
25/08/23,BUN,RB Leipzig,5-1,Stuttgart
03/09/23,BUN,Union Berlin,0-3,RB Leipzig
16/09/23,BUN,RB Leipzig,3-0,Augsburg
19/09/23,UCL,Young Boys,1-3,RB Leipzig
23/09/23,BUN,Borussia M'gladbach,0-1,RB Leipzig
27/09/23,DFP,Wehen Wiesbaden,2-3,RB Leipzig
30/09/23,BUN,RB Leipzig,2-2,Bayern Munich
04/10/23,UCL,RB Leipzig,1-3,Manchester City
07/10/23,BUN,RB Leipzig,0-0,Bochum
11/10/23,CLF,RB Leipzig,2-4,Mladá Boleslav
21/10/23,BUN,Darmstadt,1-3,RB Leipzig
25/10/23,UCL,RB Leipzig,3-1,Red Star Belgrade
28/10/23,BUN,RB Leipzig,6-0,FC Cologne
31/10/23,DFP,Wolfsburg,1-0,RB Leipzig
04/11/23,BUN,Mainz,2-0,RB Leipzig
07/11/23,UCL,Red Star Belgrade,1-2,RB Leipzig
12/11/23,BUN,RB Leipzig,3-1,Freiburg
25/11/23,BUN,Wolfsburg,2-1,RB Leipzig
28/11/23,UCL,Manchester City,3-2,RB Leipzig
02/12/23,BUN,RB Leipzig,2-1,Heidenheim
09/12/23,BUN,Borussia Dortmund,2-3,RB Leipzig
13/12/23,UCL,RB Leipzig,2-1,Young Boys
16/12/23,BUN,RB Leipzig,3-1,Hoffenheim
19/12/23,BUN,Werder Bremen,1-1,RB Leipzig
06/01/24,CLF,RB Leipzig,1-0,St.Gallen
13/01/24,BUN,RB Leipzig,0-1,Eintracht Frankfurt
20/01/24,BUN,RB Leipzig,2-3,Bayer Leverkusen
27/01/24,BUN,Stuttgart,5-2,RB Leipzig
04/02/24,BUN,RB Leipzig,2-0,Union Berlin
10/02/24,BUN,Augsburg,2-2,RB Leipzig
13/02/24,UCL,RB Leipzig,0-1,Real Madrid
17/02/24,BUN,RB Leipzig,2-0,Borussia M'gladbach
24/02/24,BUN,Bayern Munich,2-1,RB Leipzig
02/03/24,BUN,Bochum,1-4,RB Leipzig
06/03/24,UCL,Real Madrid,1-1,RB Leipzig
09/03/24,BUN,RB Leipzig,2-0,Darmstadt
15/03/24,BUN,FC Cologne,1-5,RB Leipzig
30/03/24,BUN,RB Leipzig,0-0,Mainz
06/04/24,BUN,Freiburg,1-4,RB Leipzig
13/04/24,BUN,RB Leipzig,3-0,Wolfsburg
20/04/24,BUN,Heidenheim,1-2,RB Leipzig
27/04/24,BUN,RB Leipzig,4-1,Borussia Dortmund
03/05/24,BUN,Hoffenheim,20:30,RB Leipzig
