Date,Competition,Home team,Score,Away team
06/05/23,BUN,Hertha Berlin,2-1,Stuttgart
14/05/23,BUN,Stuttgart,1-1,Bayer Leverkusen
21/05/23,BUN,Mainz,1-4,Stuttgart
27/05/23,BUN,Stuttgart,1-1,Hoffenheim
01/06/23,PL1,Stuttgart,3-0,Hamburg
05/06/23,PL1,Hamburg,1-3,Stuttgart
09/07/23,CLF,Schwäbisch Hall,0-3,Stuttgart
15/07/23,CLF,Reutlingen,0-4,Stuttgart
22/07/23,CLF,Stuttgart,2-1,Vitesse
05/08/23,CLF,Sheffield United,0-3,Stuttgart
12/08/23,DFP,Balingen,0-4,Stuttgart
19/08/23,BUN,Stuttgart,5-0,Bochum
25/08/23,BUN,RB Leipzig,5-1,Stuttgart
02/09/23,BUN,Stuttgart,5-0,Freiburg
16/09/23,BUN,Mainz,1-3,Stuttgart
22/09/23,BUN,Stuttgart,3-1,Darmstadt
30/09/23,BUN,FC Cologne,0-2,Stuttgart
07/10/23,BUN,Stuttgart,3-1,Wolfsburg
12/10/23,CLF,Stuttgart,5-1,Wehen Wiesbaden
21/10/23,BUN,Union Berlin,0-3,Stuttgart
28/10/23,BUN,Stuttgart,2-3,Hoffenheim
31/10/23,DFP,Stuttgart,1-0,Union Berlin
05/11/23,BUN,Heidenheim,2-0,Stuttgart
11/11/23,BUN,Stuttgart,2-1,Borussia Dortmund
16/11/23,CLF,Stuttgart,2-0,Nürnberg
25/11/23,BUN,Eintracht Frankfurt,1-2,Stuttgart
02/12/23,BUN,Stuttgart,2-0,Werder Bremen
06/12/23,DFP,Stuttgart,2-0,Borussia Dortmund
10/12/23,BUN,Stuttgart,1-1,Bayer Leverkusen
17/12/23,BUN,Bayern Munich,3-0,Stuttgart
20/12/23,BUN,Stuttgart,3-0,Augsburg
14/01/24,BUN,Borussia M'gladbach,3-1,Stuttgart
20/01/24,BUN,Bochum,1-0,Stuttgart
27/01/24,BUN,Stuttgart,5-2,RB Leipzig
03/02/24,BUN,Freiburg,1-3,Stuttgart
06/02/24,DFP,Bayer Leverkusen,3-2,Stuttgart
11/02/24,BUN,Stuttgart,3-1,Mainz
17/02/24,BUN,Darmstadt,1-2,Stuttgart
24/02/24,BUN,Stuttgart,1-1,FC Cologne
02/03/24,BUN,Wolfsburg,2-3,Stuttgart
08/03/24,BUN,Stuttgart,2-0,Union Berlin
16/03/24,BUN,Hoffenheim,0-3,Stuttgart
31/03/24,BUN,Stuttgart,3-3,Heidenheim
06/04/24,BUN,Borussia Dortmund,0-1,Stuttgart
13/04/24,BUN,Stuttgart,3-0,Eintracht Frankfurt
21/04/24,BUN,Werder Bremen,2-1,Stuttgart
27/04/24,BUN,Bayer Leverkusen,2-2,Stuttgart
04/05/24,BUN,Stuttgart,15:30,Bayern Munich
10/05/24,BUN,Augsburg,20:30,Stuttgart
18/05/24,BUN,Stuttgart,15:30,Borussia M'gladbach
16/04/22,BUN,Mainz,0-0,Stuttgart
24/04/22,BUN,Hertha Berlin,2-0,Stuttgart
30/04/22,BUN,Stuttgart,1-1,Wolfsburg
08/05/22,BUN,Bayern Munich,2-2,Stuttgart
14/05/22,BUN,Stuttgart,2-1,FC Cologne
02/07/22,CLF,Böblingen,1-7,Stuttgart
09/07/22,CLF,Stuttgart,3-2,Zürich
16/07/22,CLF,Stuttgart,2-1,Brentford
23/07/22,CLF,Stuttgart,5-2,Valencia
29/07/22,DFP,Dynamo Dresden,0-1,Stuttgart
07/08/22,BUN,Stuttgart,1-1,RB Leipzig
13/08/22,BUN,Werder Bremen,2-2,Stuttgart
20/08/22,BUN,Stuttgart,0-1,Freiburg
28/08/22,BUN,FC Cologne,0-0,Stuttgart
03/09/22,BUN,Stuttgart,1-1,Schalke 04
10/09/22,BUN,Bayern Munich,2-2,Stuttgart
17/09/22,BUN,Stuttgart,1-3,Eintracht Frankfurt
22/09/22,CLF,Stuttgart,2-1,Grasshoppers
01/10/22,BUN,Wolfsburg,3-2,Stuttgart
09/10/22,BUN,Stuttgart,0-1,Union Berlin
15/10/22,BUN,Stuttgart,4-1,Bochum
19/10/22,DFP,Stuttgart,6-0,Arminia Bielefeld
22/10/22,BUN,Borussia Dortmund,5-0,Stuttgart
29/10/22,BUN,Stuttgart,2-1,Augsburg
04/11/22,BUN,Borussia M'gladbach,3-1,Stuttgart
08/11/22,BUN,Stuttgart,2-1,Hertha Berlin
12/11/22,BUN,Bayer Leverkusen,2-0,Stuttgart
19/11/22,CLF,FC Cologne,2-4,Stuttgart
16/12/22,CLF,Stuttgart,0-3,Luzern
08/01/23,CLF,Stuttgart,3-0,Sion
12/01/23,CLF,Stuttgart,0-2,Sparta Prague
21/01/23,BUN,Stuttgart,1-1,Mainz
24/01/23,BUN,Hoffenheim,2-2,Stuttgart
27/01/23,BUN,RB Leipzig,2-1,Stuttgart
31/01/23,DFP,Paderborn,1-2,Stuttgart
05/02/23,BUN,Stuttgart,0-2,Werder Bremen
11/02/23,BUN,Freiburg,2-1,Stuttgart
18/02/23,BUN,Stuttgart,3-0,FC Cologne
25/02/23,BUN,Schalke 04,2-1,Stuttgart
04/03/23,BUN,Stuttgart,1-2,Bayern Munich
11/03/23,BUN,Eintracht Frankfurt,1-1,Stuttgart
18/03/23,BUN,Stuttgart,0-1,Wolfsburg
24/03/23,CLF,Stuttgart,2-0,Heidenheim
01/04/23,BUN,Union Berlin,3-0,Stuttgart
05/04/23,DFP,Nürnberg,0-1,Stuttgart
09/04/23,BUN,Bochum,2-3,Stuttgart
15/04/23,BUN,Stuttgart,3-3,Borussia Dortmund
21/04/23,BUN,Augsburg,1-1,Stuttgart
29/04/23,BUN,Stuttgart,2-1,Borussia M'gladbach
03/05/23,DFP,Stuttgart,2-3,Eintracht Frankfurt
25/03/21,CLF,Stuttgart,3-0,Würzburger Kickers
04/04/21,BUN,Stuttgart,1-0,Werder Bremen
10/04/21,BUN,Stuttgart,2-3,Borussia Dortmund
17/04/21,BUN,Union Berlin,2-1,Stuttgart
21/04/21,BUN,Stuttgart,1-3,Wolfsburg
25/04/21,BUN,RB Leipzig,2-0,Stuttgart
07/05/21,BUN,Stuttgart,2-1,Augsburg
15/05/21,BUN,Borussia M'gladbach,1-2,Stuttgart
22/05/21,BUN,Stuttgart,0-2,Arminia Bielefeld
06/07/21,CLF,Hollenbach,1-10,Stuttgart
10/07/21,CLF,Stuttgart,3-0,St.Gallen
14/07/21,CLF,Stuttgart,1-1,Darmstadt
23/07/21,CLF,Stuttgart,5-2,Arminia Bielefeld
31/07/21,CLF,Stuttgart,0-3,Barcelona
07/08/21,DFP,BFC Dynamo,0-6,Stuttgart
14/08/21,BUN,Stuttgart,5-1,Greuther Fürth
20/08/21,BUN,RB Leipzig,4-0,Stuttgart
28/08/21,BUN,Stuttgart,2-3,Freiburg
02/09/21,CLF,Stuttgart,3-0,Nürnberg
12/09/21,BUN,Eintracht Frankfurt,1-1,Stuttgart
19/09/21,BUN,Stuttgart,1-3,Bayer Leverkusen
26/09/21,BUN,Bochum,0-0,Stuttgart
02/10/21,BUN,Stuttgart,3-1,Hoffenheim
07/10/21,CLF,Stuttgart,1-4,Sandhausen
16/10/21,BUN,Borussia M'gladbach,1-1,Stuttgart
24/10/21,BUN,Stuttgart,1-1,Union Berlin
27/10/21,DFP,Stuttgart,0-2,FC Cologne
31/10/21,BUN,Augsburg,4-1,Stuttgart
06/11/21,BUN,Stuttgart,0-1,Arminia Bielefeld
10/11/21,CLF,Stuttgart,1-0,Zürich
20/11/21,BUN,Borussia Dortmund,2-1,Stuttgart
26/11/21,BUN,Stuttgart,2-1,Mainz
05/12/21,BUN,Stuttgart,2-2,Hertha Berlin
11/12/21,BUN,Wolfsburg,0-2,Stuttgart
14/12/21,BUN,Stuttgart,0-5,Bayern Munich
19/12/21,BUN,FC Cologne,1-0,Stuttgart
08/01/22,BUN,Greuther Fürth,0-0,Stuttgart
15/01/22,BUN,Stuttgart,0-2,RB Leipzig
22/01/22,BUN,Freiburg,2-0,Stuttgart
