Date,Competition,Home team,Score,Away team
29/04/23,BUN,Schalke 04,2-1,Werder Bremen
06/05/23,BUN,Werder Bremen,1-2,Bayern Munich
14/05/23,BUN,RB Leipzig,2-1,Werder Bremen
20/05/23,BUN,Werder Bremen,1-1,FC Cologne
27/05/23,BUN,Union Berlin,1-0,Werder Bremen
09/07/23,CLF,Werder Bremen,2-1,Drochtersen / Assel
16/07/23,CLF,Werder Bremen,3-1,VfB Oldenburg
22/07/23,CLF,Werder Bremen,5-2,Toulouse
05/08/23,CLF,Strasbourg,3-3,Werder Bremen
05/08/23,CLF,Strasbourg,2-1,Werder Bremen
12/08/23,DFP,Viktoria Köln,3-2,Werder Bremen
18/08/23,BUN,Werder Bremen,0-4,Bayern Munich
26/08/23,BUN,Freiburg,1-0,Werder Bremen
02/09/23,BUN,Werder Bremen,4-0,Mainz
07/09/23,CLF,Borussia M'gladbach,0-1,Werder Bremen
17/09/23,BUN,Heidenheim,4-2,Werder Bremen
23/09/23,BUN,Werder Bremen,2-1,FC Cologne
01/10/23,BUN,Darmstadt,4-2,Werder Bremen
07/10/23,BUN,Werder Bremen,2-3,Hoffenheim
12/10/23,CLF,Werder Bremen,3-3,St. Pauli
20/10/23,BUN,Borussia Dortmund,1-0,Werder Bremen
28/10/23,BUN,Werder Bremen,2-0,Union Berlin
05/11/23,BUN,Wolfsburg,2-2,Werder Bremen
12/11/23,BUN,Werder Bremen,2-2,Eintracht Frankfurt
16/11/23,CLF,Werder Bremen,1-2,Hansa Rostock
25/11/23,BUN,Werder Bremen,0-3,Bayer Leverkusen
02/12/23,BUN,Stuttgart,2-0,Werder Bremen
09/12/23,BUN,Werder Bremen,2-0,Augsburg
15/12/23,BUN,Borussia M'gladbach,2-2,Werder Bremen
19/12/23,BUN,Werder Bremen,1-1,RB Leipzig
07/01/24,CLF,Eintracht Braunschweig,3-1,Werder Bremen
14/01/24,BUN,Bochum,1-1,Werder Bremen
21/01/24,BUN,Bayern Munich,0-1,Werder Bremen
27/01/24,BUN,Werder Bremen,3-1,Freiburg
03/02/24,BUN,Mainz,0-1,Werder Bremen
10/02/24,BUN,Werder Bremen,1-2,Heidenheim
16/02/24,BUN,FC Cologne,0-1,Werder Bremen
24/02/24,BUN,Werder Bremen,1-1,Darmstadt
03/03/24,BUN,Hoffenheim,2-1,Werder Bremen
09/03/24,BUN,Werder Bremen,1-2,Borussia Dortmund
16/03/24,BUN,Union Berlin,2-1,Werder Bremen
21/03/24,CLF,Hannover 96,3-1,Werder Bremen
30/03/24,BUN,Werder Bremen,0-2,Wolfsburg
05/04/24,BUN,Eintracht Frankfurt,1-1,Werder Bremen
14/04/24,BUN,Bayer Leverkusen,5-0,Werder Bremen
21/04/24,BUN,Werder Bremen,2-1,Stuttgart
27/04/24,BUN,Augsburg,0-3,Werder Bremen
04/05/24,BUN,Werder Bremen,15:30,Borussia M'gladbach
11/05/24,BUN,RB Leipzig,15:30,Werder Bremen
18/05/24,BUN,Werder Bremen,15:30,Bochum
19/03/22,2.B,Werder Bremen,1-0,Darmstadt
03/04/22,2.B,Werder Bremen,1-1,Sandhausen
09/04/22,2.B,St. Pauli,1-1,Werder Bremen
17/04/22,2.B,Werder Bremen,1-1,Nürnberg
23/04/22,2.B,Schalke 04,1-4,Werder Bremen
29/04/22,2.B,Werder Bremen,2-3,Holstein Kiel
08/05/22,2.B,Erzgebirge Aue,0-3,Werder Bremen
15/05/22,2.B,Werder Bremen,2-0,Jahn Regensburg
25/06/22,CLF,Werder Bremen,1-3,VfB Oldenburg
03/07/22,CLF,Werder Bremen,2-1,Karlsruhe
09/07/22,CLF,Besiktas,2-1,Werder Bremen
16/07/22,CLF,Werder Bremen,CANC,Twente
23/07/22,CLF,Werder Bremen,0-0,Emmen
23/07/22,CLF,Werder Bremen,6-1,Groningen
01/08/22,DFP,Energie Cottbus,1-2,Werder Bremen
06/08/22,BUN,Wolfsburg,2-2,Werder Bremen
13/08/22,BUN,Werder Bremen,2-2,Stuttgart
20/08/22,BUN,Borussia Dortmund,2-3,Werder Bremen
28/08/22,BUN,Werder Bremen,3-4,Eintracht Frankfurt
03/09/22,BUN,Bochum,0-2,Werder Bremen
09/09/22,BUN,Werder Bremen,0-1,Augsburg
17/09/22,BUN,Bayer Leverkusen,1-1,Werder Bremen
01/10/22,BUN,Werder Bremen,5-1,Borussia M'gladbach
07/10/22,BUN,Hoffenheim,1-2,Werder Bremen
15/10/22,BUN,Werder Bremen,0-2,Mainz
19/10/22,DFP,Paderborn,P2-2P,Werder Bremen
22/10/22,BUN,Freiburg,2-0,Werder Bremen
28/10/22,BUN,Werder Bremen,1-0,Hertha Berlin
05/11/22,BUN,Werder Bremen,2-1,Schalke 04
08/11/22,BUN,Bayern Munich,6-1,Werder Bremen
12/11/22,BUN,Werder Bremen,1-2,RB Leipzig
15/11/22,CLF,Heeslinger SC,1-3,Werder Bremen
15/12/22,CLF,Werder Bremen,1-0,Meppen
04/01/23,CLF,Real Murcia,0-2,Werder Bremen
08/01/23,CLF,Werder Bremen,2-2,St.Gallen
14/01/23,CLF,Schalke 04,0-1,Werder Bremen
21/01/23,BUN,FC Cologne,7-1,Werder Bremen
25/01/23,BUN,Werder Bremen,1-2,Union Berlin
28/01/23,BUN,Werder Bremen,2-1,Wolfsburg
05/02/23,BUN,Stuttgart,0-2,Werder Bremen
11/02/23,BUN,Werder Bremen,0-2,Borussia Dortmund
18/02/23,BUN,Eintracht Frankfurt,2-0,Werder Bremen
25/02/23,BUN,Werder Bremen,3-0,Bochum
