Date,Competition,Home team,Score,Away team
27/09/23,SEA,Cagliari,1-3,AC Milan
30/09/23,SEA,AC Milan,2-0,Lazio
04/10/23,UCL,Borussia Dortmund,0-0,AC Milan
07/10/23,SEA,Genoa,0-1,AC Milan
22/10/23,SEA,AC Milan,0-1,Juventus
25/10/23,UCL,PSG,3-0,AC Milan
29/10/23,SEA,Napoli,2-2,AC Milan
04/11/23,SEA,AC Milan,0-1,Udinese
07/11/23,UCL,AC Milan,2-1,PSG
11/11/23,SEA,Lecce,2-2,AC Milan
25/11/23,SEA,AC Milan,1-0,Fiorentina
28/11/23,UCL,AC Milan,1-3,Borussia Dortmund
02/12/23,SEA,AC Milan,3-1,Frosinone
09/12/23,SEA,Atalanta,3-2,AC Milan
13/12/23,UCL,Newcastle United,1-2,AC Milan
17/12/23,SEA,AC Milan,3-0,Monza
22/12/23,SEA,Salernitana,2-2,AC Milan
30/12/23,SEA,AC Milan,1-0,Sassuolo
02/01/24,COI,AC Milan,4-1,Cagliari
07/01/24,SEA,Empoli,0-3,AC Milan
10/01/24,COI,AC Milan,1-2,Atalanta
14/01/24,SEA,AC Milan,3-1,Roma
20/01/24,SEA,Udinese,2-3,AC Milan
27/01/24,SEA,AC Milan,2-2,Bologna
03/02/24,SEA,Frosinone,2-3,AC Milan
11/02/24,SEA,AC Milan,1-0,Napoli
15/02/24,UEL,AC Milan,3-0,Rennes
18/02/24,SEA,Monza,4-2,AC Milan
22/02/24,UEL,Rennes,3-2,AC Milan
25/02/24,SEA,AC Milan,1-1,Atalanta
01/03/24,SEA,Lazio,0-1,AC Milan
07/03/24,UEL,AC Milan,4-2,Slavia Prague
10/03/24,SEA,AC Milan,1-0,Empoli
14/03/24,UEL,Slavia Prague,1-3,AC Milan
17/03/24,SEA,Verona,1-3,AC Milan
30/03/24,SEA,Fiorentina,1-2,AC Milan
06/04/24,SEA,AC Milan,3-0,Lecce
11/04/24,UEL,AC Milan,0-1,Roma
14/04/24,SEA,Sassuolo,3-3,AC Milan
18/04/24,UEL,Roma,2-1,AC Milan
22/04/24,SEA,AC Milan,1-2,Inter Milan
27/04/24,SEA,Juventus,0-0,AC Milan
05/05/24,SEA,AC Milan,18:00,Genoa
11/05/24,SEA,AC Milan,20:45,Cagliari
19/05/24,SEA,Torino,-,AC Milan
26/05/24,SEA,AC Milan,-,Salernitana
31/05/24,CLF,Roma,18:00,AC Milan
27/07/24,CLF,Manchester City,-,AC Milan
31/07/24,CLF,Real Madrid,-,AC Milan
06/08/24,CLF,Barcelona,-,AC Milan
02/11/22,UCL,AC Milan,4-0,Salzburg
05/11/22,SEA,AC Milan,2-1,Spezia
08/11/22,SEA,Cremonese,0-0,AC Milan
13/11/22,SEA,AC Milan,2-1,Fiorentina
13/12/22,CLF,Arsenal,P2-1P,AC Milan
16/12/22,CLF,Liverpool,P4-1P,AC Milan
30/12/22,CLF,PSV,3-0,AC Milan
04/01/23,SEA,Salernitana,1-2,AC Milan
08/01/23,SEA,AC Milan,2-2,Roma
11/01/23,COI,AC Milan,E0-1E,Torino
