Date,Competition,Home team,Score,Away team
21/09/23,UEL,Atalanta,2-0,Rakow Czestochowa
24/09/23,SEA,Atalanta,2-0,Cagliari
27/09/23,SEA,Verona,0-1,Atalanta
01/10/23,SEA,Atalanta,0-0,Juventus
05/10/23,UEL,Sporting Lisbon,1-2,Atalanta
08/10/23,SEA,Lazio,3-2,Atalanta
22/10/23,SEA,Atalanta,2-0,Genoa
26/10/23,UEL,Sturm Graz,2-2,Atalanta
30/10/23,SEA,Empoli,0-3,Atalanta
04/11/23,SEA,Atalanta,1-2,Inter Milan
09/11/23,UEL,Atalanta,1-0,Sturm Graz
12/11/23,SEA,Udinese,1-1,Atalanta
25/11/23,SEA,Atalanta,1-2,Napoli
30/11/23,UEL,Atalanta,1-1,Sporting Lisbon
04/12/23,SEA,Torino,3-0,Atalanta
09/12/23,SEA,Atalanta,3-2,AC Milan
14/12/23,UEL,Rakow Czestochowa,0-4,Atalanta
18/12/23,SEA,Atalanta,4-1,Salernitana
23/12/23,SEA,Bologna,1-0,Atalanta
30/12/23,SEA,Atalanta,1-0,Lecce
03/01/24,COI,Atalanta,3-1,Sassuolo
07/01/24,SEA,Roma,1-1,Atalanta
10/01/24,COI,AC Milan,1-2,Atalanta
15/01/24,SEA,Atalanta,5-0,Frosinone
27/01/24,SEA,Atalanta,2-0,Udinese
04/02/24,SEA,Atalanta,3-1,Lazio
11/02/24,SEA,Genoa,1-4,Atalanta
17/02/24,SEA,Atalanta,3-0,Sassuolo
25/02/24,SEA,AC Milan,1-1,Atalanta
28/02/24,SEA,Inter Milan,4-0,Atalanta
03/03/24,SEA,Atalanta,1-2,Bologna
06/03/24,UEL,Sporting Lisbon,1-1,Atalanta
10/03/24,SEA,Juventus,2-2,Atalanta
14/03/24,UEL,Atalanta,2-1,Sporting Lisbon
30/03/24,SEA,Napoli,0-3,Atalanta
03/04/24,COI,Fiorentina,1-0,Atalanta
07/04/24,SEA,Cagliari,2-1,Atalanta
11/04/24,UEL,Liverpool,0-3,Atalanta
15/04/24,SEA,Atalanta,2-2,Verona
18/04/24,UEL,Atalanta,0-1,Liverpool
21/04/24,SEA,Monza,1-2,Atalanta
24/04/24,COI,Atalanta,4-1,Fiorentina
28/04/24,SEA,Atalanta,2-0,Empoli
02/05/24,UEL,Marseille,21:00,Atalanta
06/05/24,SEA,Salernitana,18:00,Atalanta
09/05/24,UEL,Atalanta,21:00,Marseille
12/05/24,SEA,Atalanta,20:45,Roma
15/05/24,COI,Atalanta,21:00,Juventus
19/05/24,SEA,Lecce,-,Atalanta
26/05/24,SEA,Atalanta,-,Torino
11/09/22,SEA,Atalanta,1-1,Cremonese
18/09/22,SEA,Roma,0-1,Atalanta
02/10/22,SEA,Atalanta,1-0,Fiorentina
09/10/22,SEA,Udinese,2-2,Atalanta
15/10/22,SEA,Atalanta,2-1,Sassuolo
23/10/22,SEA,Atalanta,0-2,Lazio
30/10/22,SEA,Empoli,0-2,Atalanta
05/11/22,SEA,Atalanta,1-2,Napoli
09/11/22,SEA,Lecce,2-1,Atalanta
13/11/22,SEA,Atalanta,2-3,Inter Milan
09/12/22,CLF,Atalanta,P2-2P,Eintracht Frankfurt
