Date,Competition,Home team,Score,Away team
20/05/23,SEA,Cremonese,1-5,Bologna
28/05/23,SEA,Bologna,2-2,Napoli
04/06/23,SEA,Lecce,2-3,Bologna
22/07/23,CLF,Bologna,2-2,Palermo
28/07/23,CLF,Bologna,2-3,Monaco
02/08/23,CLF,Utrecht,1-2,Bologna
05/08/23,CLF,AZ,1-0,Bologna
11/08/23,COI,Bologna,2-0,Cesena
21/08/23,SEA,Bologna,0-2,AC Milan
27/08/23,SEA,Juventus,1-1,Bologna
02/09/23,SEA,Bologna,2-1,Cagliari
09/09/23,CLF,Bologna,2-2,Reggiana
18/09/23,SEA,Verona,0-0,Bologna
24/09/23,SEA,Bologna,0-0,Napoli
28/09/23,SEA,Monza,0-0,Bologna
01/10/23,SEA,Bologna,3-0,Empoli
07/10/23,SEA,Inter Milan,2-2,Bologna
22/10/23,SEA,Bologna,2-1,Frosinone
28/10/23,SEA,Sassuolo,1-1,Bologna
31/10/23,COI,Bologna,2-0,Verona
03/11/23,SEA,Bologna,1-0,Lazio
12/11/23,SEA,Fiorentina,2-1,Bologna
27/11/23,SEA,Bologna,2-0,Torino
03/12/23,SEA,Lecce,1-1,Bologna
10/12/23,SEA,Salernitana,1-2,Bologna
17/12/23,SEA,Bologna,2-0,Roma
20/12/23,COI,Inter Milan,E1-2E,Bologna
23/12/23,SEA,Bologna,1-0,Atalanta
30/12/23,SEA,Udinese,3-0,Bologna
05/01/24,SEA,Bologna,1-1,Genoa
09/01/24,COI,Fiorentina,P0-0P,Bologna
14/01/24,SEA,Cagliari,2-1,Bologna
27/01/24,SEA,AC Milan,2-2,Bologna
03/02/24,SEA,Bologna,4-2,Sassuolo
11/02/24,SEA,Bologna,4-0,Lecce
14/02/24,SEA,Bologna,2-0,Fiorentina
18/02/24,SEA,Lazio,1-2,Bologna
23/02/24,SEA,Bologna,2-0,Verona
03/03/24,SEA,Atalanta,1-2,Bologna
09/03/24,SEA,Bologna,0-1,Inter Milan
15/03/24,SEA,Empoli,0-1,Bologna
01/04/24,SEA,Bologna,3-0,Salernitana
07/04/24,SEA,Frosinone,0-0,Bologna
13/04/24,SEA,Bologna,0-0,Monza
22/04/24,SEA,Roma,1-3,Bologna
28/04/24,SEA,Bologna,1-1,Udinese
03/05/24,SEA,Torino,20:45,Bologna
11/05/24,SEA,Napoli,18:00,Bologna
19/05/24,SEA,Bologna,-,Juventus
26/05/24,SEA,Genoa,-,Bologna
24/04/22,SEA,Bologna,2-2,Udinese
27/04/22,SEA,Bologna,2-1,Inter Milan
01/05/22,SEA,Roma,0-0,Bologna
08/05/22,SEA,Venezia,4-3,Bologna
15/05/22,SEA,Bologna,1-3,Sassuolo
21/05/22,SEA,Genoa,0-1,Bologna
24/07/22,CLF,AZ,1-0,Bologna
29/07/22,CLF,Twente,4-1,Bologna
08/08/22,COI,Bologna,1-0,Cosenza
14/08/22,SEA,Lazio,2-1,Bologna
21/08/22,SEA,Bologna,1-1,Verona
27/08/22,SEA,AC Milan,2-0,Bologna
01/09/22,SEA,Bologna,1-1,Salernitana
04/09/22,SEA,Spezia,2-2,Bologna
11/09/22,SEA,Bologna,2-1,Fiorentina
17/09/22,SEA,Bologna,0-1,Empoli
02/10/22,SEA,Juventus,3-0,Bologna
08/10/22,SEA,Bologna,1-1,Sampdoria
16/10/22,SEA,Napoli,3-2,Bologna
20/10/22,COI,Bologna,1-0,Cagliari
23/10/22,SEA,Bologna,2-0,Lecce
31/10/22,SEA,Monza,1-2,Bologna
06/11/22,SEA,Bologna,2-1,Torino
09/11/22,SEA,Inter Milan,6-1,Bologna
12/11/22,SEA,Bologna,3-0,Sassuolo
09/12/22,CLF,Bologna,9-0,Kapfenberger SV
14/12/22,CLF,Mallorca,1-2,Bologna
17/12/22,CLF,Bologna,CANC,HNK Gorica
22/12/22,CLF,Verona,0-1,Bologna
04/01/23,SEA,Roma,1-0,Bologna
09/01/23,SEA,Bologna,1-2,Atalanta
15/01/23,SEA,Udinese,1-2,Bologna
19/01/23,COI,Lazio,1-0,Bologna
23/01/23,SEA,Bologna,1-1,Cremonese
27/01/23,SEA,Bologna,2-0,Spezia
05/02/23,SEA,Fiorentina,1-2,Bologna
12/02/23,SEA,Bologna,0-1,Monza
18/02/23,SEA,Sampdoria,1-2,Bologna
26/02/23,SEA,Bologna,1-0,Inter Milan
06/03/23,SEA,Torino,1-0,Bologna
11/03/23,SEA,Bologna,0-0,Lazio
18/03/23,SEA,Salernitana,2-2,Bologna
02/04/23,SEA,Bologna,3-0,Udinese
08/04/23,SEA,Atalanta,0-2,Bologna
15/04/23,SEA,Bologna,1-1,AC Milan
21/04/23,SEA,Verona,2-1,Bologna
30/04/23,SEA,Bologna,1-1,Juventus
04/05/23,SEA,Empoli,3-1,Bologna
08/05/23,SEA,Sassuolo,1-1,Bologna
14/05/23,SEA,Bologna,0-0,Roma
07/03/21,SEA,Napoli,3-1,Bologna
14/03/21,SEA,Bologna,3-1,Sampdoria
20/03/21,SEA,Crotone,2-3,Bologna
03/04/21,SEA,Bologna,0-1,Inter Milan
11/04/21,SEA,Roma,1-0,Bologna
18/04/21,SEA,Bologna,4-1,Spezia
21/04/21,SEA,Bologna,1-1,Torino
25/04/21,SEA,Atalanta,5-0,Bologna
02/05/21,SEA,Bologna,3-3,Fiorentina
08/05/21,SEA,Udinese,1-1,Bologna
12/05/21,SEA,Bologna,0-2,Genoa
17/05/21,SEA,Verona,2-2,Bologna
23/05/21,SEA,Bologna,1-4,Juventus
18/07/21,CLF,Bologna,6-1,Bagnolese BM
24/07/21,CLF,Bologna,1-0,FeralpiSalò
30/07/21,CLF,Borussia Dortmund,3-0,Bologna
08/08/21,CLF,Bologna,4-2,Pordenone
16/08/21,COI,Bologna,4-5,Ternana
22/08/21,SEA,Bologna,3-2,Salernitana
28/08/21,SEA,Atalanta,0-0,Bologna
13/09/21,SEA,Bologna,1-0,Verona
18/09/21,SEA,Inter Milan,6-1,Bologna
21/09/21,SEA,Bologna,2-2,Genoa
26/09/21,SEA,Empoli,4-2,Bologna
03/10/21,SEA,Bologna,3-0,Lazio
17/10/21,SEA,Udinese,1-1,Bologna
23/10/21,SEA,Bologna,2-4,AC Milan
28/10/21,SEA,Napoli,3-0,Bologna
01/11/21,SEA,Bologna,2-0,Cagliari
07/11/21,SEA,Sampdoria,1-2,Bologna
21/11/21,SEA,Bologna,0-1,Venezia
28/11/21,SEA,Spezia,0-1,Bologna
01/12/21,SEA,Bologna,1-0,Roma
05/12/21,SEA,Bologna,2-3,Fiorentina
