Date,Competition,Home team,Score,Away team
27/05/23,SEB,Cagliari,2-1,Venezia
30/05/23,SEB,Cagliari,3-2,Parma
03/06/23,SEB,Parma,0-0,Cagliari
08/06/23,SEB,Cagliari,1-1,Bari
11/06/23,SEB,Bari,0-1,Cagliari
21/07/23,CLF,Olbia,0-2,Cagliari
29/07/23,CLF,Cagliari,3-0,Juventus II
02/08/23,CLF,Cagliari,2-1,Como
05/08/23,CLF,Brest,1-1,Cagliari
12/08/23,COI,Cagliari,E2-1E,Palermo
21/08/23,SEA,Torino,0-0,Cagliari
28/08/23,SEA,Cagliari,0-2,Inter Milan
02/09/23,SEA,Bologna,2-1,Cagliari
17/09/23,SEA,Cagliari,0-0,Udinese
24/09/23,SEA,Atalanta,2-0,Cagliari
27/09/23,SEA,Cagliari,1-3,AC Milan
02/10/23,SEA,Fiorentina,3-0,Cagliari
08/10/23,SEA,Cagliari,1-4,Roma
22/10/23,SEA,Salernitana,2-2,Cagliari
29/10/23,SEA,Cagliari,4-3,Frosinone
01/11/23,COI,Udinese,E1-2E,Cagliari
05/11/23,SEA,Cagliari,2-1,Genoa
11/11/23,SEA,Juventus,2-1,Cagliari
26/11/23,SEA,Cagliari,1-1,Monza
02/12/23,SEA,Lazio,1-0,Cagliari
11/12/23,SEA,Cagliari,2-1,Sassuolo
16/12/23,SEA,Napoli,2-1,Cagliari
23/12/23,SEA,Verona,2-0,Cagliari
30/12/23,SEA,Cagliari,0-0,Empoli
02/01/24,COI,AC Milan,4-1,Cagliari
06/01/24,SEA,Lecce,1-1,Cagliari
14/01/24,SEA,Cagliari,2-1,Bologna
21/01/24,SEA,Frosinone,3-1,Cagliari
26/01/24,SEA,Cagliari,1-2,Torino
05/02/24,SEA,Roma,4-0,Cagliari
10/02/24,SEA,Cagliari,1-3,Lazio
18/02/24,SEA,Udinese,1-1,Cagliari
25/02/24,SEA,Cagliari,1-1,Napoli
03/03/24,SEA,Empoli,0-1,Cagliari
09/03/24,SEA,Cagliari,4-2,Salernitana
16/03/24,SEA,Monza,1-0,Cagliari
01/04/24,SEA,Cagliari,1-1,Verona
07/04/24,SEA,Cagliari,2-1,Atalanta
14/04/24,SEA,Inter Milan,2-2,Cagliari
19/04/24,SEA,Cagliari,2-2,Juventus
29/04/24,SEA,Genoa,3-0,Cagliari
05/05/24,SEA,Cagliari,12:30,Lecce
11/05/24,SEA,AC Milan,20:45,Cagliari
19/05/24,SEA,Sassuolo,-,Cagliari
26/05/24,SEA,Cagliari,-,Fiorentina
09/04/22,SEA,Cagliari,1-2,Juventus
16/04/22,SEA,Cagliari,1-0,Sassuolo
24/04/22,SEA,Genoa,1-0,Cagliari
30/04/22,SEA,Cagliari,1-2,Verona
08/05/22,SEA,Salernitana,1-1,Cagliari
15/05/22,SEA,Cagliari,1-3,Inter Milan
22/05/22,SEA,Venezia,0-0,Cagliari
23/07/22,CLF,Olbia,0-3,Cagliari
27/07/22,CLF,Strasbourg,1-2,Cagliari
31/07/22,CLF,Leeds United,6-2,Cagliari
05/08/22,COI,Cagliari,3-2,Perugia
13/08/22,SEB,Como,1-1,Cagliari
21/08/22,SEB,Cagliari,2-1,Cittadella
27/08/22,SEB,SPAL,1-0,Cagliari
02/09/22,SEB,Cagliari,1-0,Modena
10/09/22,SEB,Benevento,0-2,Cagliari
17/09/22,SEB,Cagliari,0-1,Bari
01/10/22,SEB,Cagliari,1-4,Venezia
07/10/22,SEB,Genoa,0-0,Cagliari
15/10/22,SEB,Cagliari,2-1,Brescia
20/10/22,COI,Bologna,1-0,Cagliari
24/10/22,SEB,Ascoli,2-1,Cagliari
29/10/22,SEB,Cagliari,1-1,Reggina
05/11/22,SEB,Südtirol,2-2,Cagliari
12/11/22,SEB,Cagliari,1-1,Pisa
27/11/22,SEB,Frosinone,2-2,Cagliari
03/12/22,SEB,Cagliari,1-1,Parma
07/12/22,SEB,Ternana,1-0,Cagliari
11/12/22,SEB,Cagliari,3-2,Perugia
18/12/22,SEB,Palermo,2-1,Cagliari
26/12/22,SEB,Cagliari,2-0,Cosenza
14/01/23,SEB,Cagliari,2-0,Como
21/01/23,SEB,Cittadella,0-0,Cagliari
27/01/23,SEB,Cagliari,2-1,SPAL
03/02/23,SEB,Modena,2-0,Cagliari
11/02/23,SEB,Cagliari,1-0,Benevento
18/02/23,SEB,Bari,1-1,Cagliari
25/02/23,SEB,Venezia,0-0,Cagliari
01/03/23,SEB,Cagliari,0-0,Genoa
05/03/23,SEB,Brescia,1-1,Cagliari
10/03/23,SEB,Cagliari,4-1,Ascoli
18/03/23,SEB,Reggina,0-4,Cagliari
01/04/23,SEB,Cagliari,1-1,Südtirol
10/04/23,SEB,Pisa,0-0,Cagliari
15/04/23,SEB,Cagliari,0-0,Frosinone
22/04/23,SEB,Parma,2-1,Cagliari
30/04/23,SEB,Cagliari,2-1,Ternana
05/05/23,SEB,Perugia,0-5,Cagliari
13/05/23,SEB,Cagliari,2-1,Palermo
19/05/23,SEB,Cosenza,0-1,Cagliari
14/03/21,SEA,Cagliari,1-3,Juventus
20/03/21,SEA,Spezia,2-1,Cagliari
03/04/21,SEA,Cagliari,0-2,Verona
11/04/21,SEA,Inter Milan,1-0,Cagliari
17/04/21,SEA,Cagliari,4-3,Parma
21/04/21,SEA,Udinese,0-1,Cagliari
25/04/21,SEA,Cagliari,3-2,Roma
