Date,Competition,Home team,Score,Away team
04/05/23,SEA,Empoli,3-1,Bologna
08/05/23,SEA,Empoli,2-1,Salernitana
15/05/23,SEA,Sampdoria,1-1,Empoli
22/05/23,SEA,Empoli,4-1,Juventus
28/05/23,SEA,Verona,1-1,Empoli
03/06/23,SEA,Empoli,0-2,Lazio
14/07/23,CLF,Empoli,10-0,Calcio Castelfiorentino
20/07/23,CLF,Empoli,8-0,Calcio Certaldo
26/07/23,CLF,Empoli,1-2,Heidenheim
29/07/23,CLF,Empoli,2-1,Lille
05/08/23,CLF,Freiburg,2-0,Empoli
12/08/23,COI,Empoli,1-2,Cittadella
19/08/23,SEA,Empoli,0-1,Verona
26/08/23,SEA,Monza,2-0,Empoli
03/09/23,SEA,Empoli,0-2,Juventus
17/09/23,SEA,Roma,7-0,Empoli
24/09/23,SEA,Empoli,0-1,Inter Milan
27/09/23,SEA,Empoli,1-0,Salernitana
01/10/23,SEA,Bologna,3-0,Empoli
06/10/23,SEA,Empoli,0-0,Udinese
23/10/23,SEA,Fiorentina,0-2,Empoli
30/10/23,SEA,Empoli,0-3,Atalanta
06/11/23,SEA,Frosinone,2-1,Empoli
12/11/23,SEA,Napoli,0-1,Empoli
26/11/23,SEA,Empoli,3-4,Sassuolo
02/12/23,SEA,Genoa,1-1,Empoli
11/12/23,SEA,Empoli,1-1,Lecce
16/12/23,SEA,Torino,1-0,Empoli
22/12/23,SEA,Empoli,0-2,Lazio
30/12/23,SEA,Cagliari,0-0,Empoli
07/01/24,SEA,Empoli,0-3,AC Milan
13/01/24,SEA,Verona,2-1,Empoli
21/01/24,SEA,Empoli,3-0,Monza
27/01/24,SEA,Juventus,1-1,Empoli
03/02/24,SEA,Empoli,0-0,Genoa
09/02/24,SEA,Salernitana,1-3,Empoli
18/02/24,SEA,Empoli,1-1,Fiorentina
24/02/24,SEA,Sassuolo,2-3,Empoli
03/03/24,SEA,Empoli,0-1,Cagliari
10/03/24,SEA,AC Milan,1-0,Empoli
15/03/24,SEA,Empoli,0-1,Bologna
01/04/24,SEA,Inter Milan,2-0,Empoli
06/04/24,SEA,Empoli,3-2,Torino
13/04/24,SEA,Lecce,1-0,Empoli
20/04/24,SEA,Empoli,1-0,Napoli
28/04/24,SEA,Atalanta,2-0,Empoli
05/05/24,SEA,Empoli,15:00,Frosinone
12/05/24,SEA,Lazio,12:30,Empoli
19/05/24,SEA,Udinese,-,Empoli
26/05/24,SEA,Empoli,-,Roma
20/03/22,SEA,Empoli,1-1,Verona
03/04/22,SEA,Fiorentina,1-0,Empoli
09/04/22,SEA,Empoli,0-0,Spezia
16/04/22,SEA,Udinese,4-1,Empoli
24/04/22,SEA,Empoli,3-2,Napoli
01/05/22,SEA,Empoli,1-3,Torino
06/05/22,SEA,Inter Milan,4-2,Empoli
14/05/22,SEA,Empoli,1-1,Salernitana
21/05/22,SEA,Atalanta,0-1,Empoli
14/07/22,CLF,Empoli,11-0,Calcio Castelfiorentino
19/07/22,CLF,Empoli,3-0,Seravezza
25/07/22,CLF,Trabzonspor,0-1,Empoli
28/07/22,CLF,Empoli,2-1,Pafos
06/08/22,COI,Empoli,E1-2E,SPAL
14/08/22,SEA,Spezia,1-0,Empoli
21/08/22,SEA,Empoli,0-0,Fiorentina
28/08/22,SEA,Lecce,1-1,Empoli
31/08/22,SEA,Empoli,1-1,Verona
05/09/22,SEA,Salernitana,2-2,Empoli
12/09/22,SEA,Empoli,1-2,Roma
17/09/22,SEA,Bologna,0-1,Empoli
01/10/22,SEA,Empoli,1-3,AC Milan
09/10/22,SEA,Torino,1-1,Empoli
15/10/22,SEA,Empoli,1-0,Monza
21/10/22,SEA,Juventus,4-0,Empoli
30/10/22,SEA,Empoli,0-2,Atalanta
05/11/22,SEA,Empoli,1-0,Sassuolo
08/11/22,SEA,Napoli,2-0,Empoli
11/11/22,SEA,Empoli,2-0,Cremonese
05/12/22,CLF,Sturm Graz,1-2,Empoli
09/12/22,CLF,Wolverhampton Wanderers,1-1,Empoli
16/12/22,CLF,Empoli,0-1,Monaco
23/12/22,CLF,Empoli,2-1,Sassuolo
04/01/23,SEA,Udinese,1-1,Empoli
08/01/23,SEA,Lazio,2-2,Empoli
16/01/23,SEA,Empoli,1-0,Sampdoria
23/01/23,SEA,Inter Milan,0-1,Empoli
28/01/23,SEA,Empoli,2-2,Torino
04/02/23,SEA,Roma,2-0,Empoli
11/02/23,SEA,Empoli,2-2,Spezia
19/02/23,SEA,Fiorentina,1-1,Empoli
25/02/23,SEA,Empoli,0-2,Napoli
04/03/23,SEA,Monza,2-1,Empoli
11/03/23,SEA,Empoli,0-1,Udinese
17/03/23,SEA,Atalanta,2-1,Empoli
03/04/23,SEA,Empoli,1-0,Lecce
07/04/23,SEA,AC Milan,0-0,Empoli
14/04/23,SEA,Cremonese,1-0,Empoli
23/04/23,SEA,Empoli,0-3,Inter Milan
30/04/23,SEA,Sassuolo,2-1,Empoli
09/04/21,SEB,Reggiana,0-1,Empoli
13/04/21,SEB,Cremonese,2-2,Empoli
17/04/21,SEB,Empoli,4-2,Brescia
27/04/21,SEB,Empoli,2-2,Chievo
01/05/21,SEB,Ascoli,2-0,Empoli
04/05/21,SEB,Empoli,4-0,Cosenza
07/05/21,SEB,Salernitana,2-0,Empoli
10/05/21,SEB,Empoli,2-1,Lecce
17/07/21,CLF,Calcio Castelfiorentino,0-12,Empoli
24/07/21,CLF,Cuoiopelli,CANC,Empoli
28/07/21,CLF,Empoli,3-0,Pontedera
31/07/21,CLF,Empoli,9-0,Valdinievole Montecatini
31/07/21,CLF,Empoli,CANC,Montevarchi Calcio
04/08/21,CLF,Empoli,CANC,Carrarese
07/08/21,CLF,Udinese,1-0,Empoli
15/08/21,COI,Empoli,4-2,Vicenza
21/08/21,SEA,Empoli,1-3,Lazio
28/08/21,SEA,Juventus,0-1,Empoli
