Date,Competition,Home team,Score,Away team
21/09/23,UEC,Genk,2-2,Fiorentina
24/09/23,SEA,Udinese,0-2,Fiorentina
28/09/23,SEA,Frosinone,1-1,Fiorentina
02/10/23,SEA,Fiorentina,3-0,Cagliari
05/10/23,UEC,Fiorentina,2-2,Ferencváros
08/10/23,SEA,Napoli,1-3,Fiorentina
23/10/23,SEA,Fiorentina,0-2,Empoli
26/10/23,UEC,Fiorentina,6-0,Cukaricki
30/10/23,SEA,Lazio,1-0,Fiorentina
05/11/23,SEA,Fiorentina,0-1,Juventus
09/11/23,UEC,Cukaricki,0-1,Fiorentina
12/11/23,SEA,Fiorentina,2-1,Bologna
25/11/23,SEA,AC Milan,1-0,Fiorentina
30/11/23,UEC,Fiorentina,2-1,Genk
03/12/23,SEA,Fiorentina,3-0,Salernitana
06/12/23,COI,Fiorentina,P2-2P,Parma
10/12/23,SEA,Roma,1-1,Fiorentina
14/12/23,UEC,Ferencváros,1-1,Fiorentina
17/12/23,SEA,Fiorentina,1-0,Verona
22/12/23,SEA,Monza,0-1,Fiorentina
29/12/23,SEA,Fiorentina,1-0,Torino
06/01/24,SEA,Sassuolo,1-0,Fiorentina
09/01/24,COI,Fiorentina,P0-0P,Bologna
14/01/24,SEA,Fiorentina,2-2,Udinese
18/01/24,SUC,Napoli,3-0,Fiorentina
28/01/24,SEA,Fiorentina,0-1,Inter Milan
02/02/24,SEA,Lecce,3-2,Fiorentina
11/02/24,SEA,Fiorentina,5-1,Frosinone
14/02/24,SEA,Bologna,2-0,Fiorentina
18/02/24,SEA,Empoli,1-1,Fiorentina
26/02/24,SEA,Fiorentina,2-1,Lazio
02/03/24,SEA,Torino,0-0,Fiorentina
07/03/24,UEC,Maccabi Haifa,3-4,Fiorentina
10/03/24,SEA,Fiorentina,2-2,Roma
14/03/24,UEC,Fiorentina,1-1,Maccabi Haifa
30/03/24,SEA,Fiorentina,1-2,AC Milan
03/04/24,COI,Fiorentina,1-0,Atalanta
07/04/24,SEA,Juventus,1-0,Fiorentina
11/04/24,UEC,Viktoria Plzen,0-0,Fiorentina
15/04/24,SEA,Fiorentina,1-1,Genoa
18/04/24,UEC,Fiorentina,E2-0E,Viktoria Plzen
21/04/24,SEA,Salernitana,0-2,Fiorentina
24/04/24,COI,Atalanta,4-1,Fiorentina
28/04/24,SEA,Fiorentina,5-1,Sassuolo
02/05/24,UEC,Fiorentina,21:00,Club Brugge
05/05/24,SEA,Verona,15:00,Fiorentina
08/05/24,UEC,Club Brugge,18:45,Fiorentina
13/05/24,SEA,Fiorentina,20:45,Monza
19/05/24,SEA,Fiorentina,-,Napoli
26/05/24,SEA,Cagliari,-,Fiorentina
12/01/23,COI,Fiorentina,1-0,Sampdoria
15/01/23,SEA,Roma,2-0,Fiorentina
21/01/23,SEA,Fiorentina,0-1,Torino
29/01/23,SEA,Lazio,1-1,Fiorentina
01/02/23,COI,Fiorentina,2-1,Torino
05/02/23,SEA,Fiorentina,1-2,Bologna
12/02/23,SEA,Juventus,1-0,Fiorentina
16/02/23,UEC,Sporting Braga,0-4,Fiorentina
19/02/23,SEA,Fiorentina,1-1,Empoli
23/02/23,UEC,Fiorentina,3-2,Sporting Braga
27/02/23,SEA,Verona,0-3,Fiorentina
04/03/23,SEA,Fiorentina,2-1,AC Milan
09/03/23,UEC,Fiorentina,1-0,Sivasspor
12/03/23,SEA,Cremonese,0-2,Fiorentina
16/03/23,UEC,Sivasspor,1-4,Fiorentina
19/03/23,SEA,Fiorentina,1-0,Lecce
25/03/23,CLF,Fiorentina,5-1,Seravezza
01/04/23,SEA,Inter Milan,0-1,Fiorentina
05/04/23,COI,Cremonese,0-2,Fiorentina
08/04/23,SEA,Fiorentina,1-1,Spezia
13/04/23,UEC,Lech Poznań,1-4,Fiorentina
17/04/23,SEA,Fiorentina,1-1,Atalanta
20/04/23,UEC,Fiorentina,2-3,Lech Poznań
23/04/23,SEA,Monza,3-2,Fiorentina
27/04/23,COI,Fiorentina,0-0,Cremonese
30/04/23,SEA,Fiorentina,5-0,Sampdoria
