Date,Competition,Home team,Score,Away team
22/04/23,SEB,Frosinone,0-0,Südtirol
01/05/23,SEB,Frosinone,3-1,Reggina
06/05/23,SEB,Pisa,1-3,Frosinone
13/05/23,SEB,Frosinone,3-2,Genoa
19/05/23,SEB,Ternana,2-3,Frosinone
19/07/23,CLF,Frosinone,10-0,ASD Ferentino Calcio
29/07/23,CLF,Frosinone,1-1,Salernitana
05/08/23,CLF,Frosinone,3-3,Cosenza
11/08/23,COI,Frosinone,1-0,Pisa
19/08/23,SEA,Frosinone,1-3,Napoli
26/08/23,SEA,Frosinone,2-1,Atalanta
02/09/23,SEA,Udinese,0-0,Frosinone
17/09/23,SEA,Frosinone,4-2,Sassuolo
22/09/23,SEA,Salernitana,1-1,Frosinone
28/09/23,SEA,Frosinone,1-1,Fiorentina
01/10/23,SEA,Roma,2-0,Frosinone
08/10/23,SEA,Frosinone,2-1,Verona
22/10/23,SEA,Bologna,2-1,Frosinone
29/10/23,SEA,Cagliari,4-3,Frosinone
02/11/23,COI,Torino,E1-2E,Frosinone
06/11/23,SEA,Frosinone,2-1,Empoli
12/11/23,SEA,Inter Milan,2-0,Frosinone
26/11/23,SEA,Frosinone,2-1,Genoa
02/12/23,SEA,AC Milan,3-1,Frosinone
10/12/23,SEA,Frosinone,0-0,Torino
16/12/23,SEA,Lecce,2-1,Frosinone
19/12/23,COI,Napoli,0-4,Frosinone
23/12/23,SEA,Frosinone,1-2,Juventus
29/12/23,SEA,Lazio,3-1,Frosinone
06/01/24,SEA,Frosinone,2-3,Monza
11/01/24,COI,Juventus,4-0,Frosinone
15/01/24,SEA,Atalanta,5-0,Frosinone
21/01/24,SEA,Frosinone,3-1,Cagliari
28/01/24,SEA,Verona,1-1,Frosinone
03/02/24,SEA,Frosinone,2-3,AC Milan
11/02/24,SEA,Fiorentina,5-1,Frosinone
18/02/24,SEA,Frosinone,0-3,Roma
25/02/24,SEA,Juventus,3-2,Frosinone
03/03/24,SEA,Frosinone,1-1,Lecce
09/03/24,SEA,Sassuolo,1-0,Frosinone
16/03/24,SEA,Frosinone,2-3,Lazio
30/03/24,SEA,Genoa,1-1,Frosinone
07/04/24,SEA,Frosinone,0-0,Bologna
14/04/24,SEA,Napoli,2-2,Frosinone
21/04/24,SEA,Torino,0-0,Frosinone
26/04/24,SEA,Frosinone,3-0,Salernitana
05/05/24,SEA,Empoli,15:00,Frosinone
10/05/24,SEA,Frosinone,20:45,Inter Milan
19/05/24,SEA,Monza,-,Frosinone
26/05/24,SEA,Frosinone,-,Udinese
23/02/22,SEB,Frosinone,3-0,Reggina
27/02/22,SEB,Cittadella,3-0,Frosinone
02/03/22,SEB,Frosinone,1-0,Cosenza
06/03/22,SEB,Ascoli,1-1,Frosinone
12/03/22,SEB,Frosinone,3-0,Alessandria
15/03/22,SEB,Crotone,2-0,Frosinone
19/03/22,SEB,Frosinone,2-0,Benevento
02/04/22,SEB,Lecce,1-0,Frosinone
05/04/22,SEB,Pordenone,2-0,Frosinone
09/04/22,SEB,Frosinone,2-1,Cremonese
18/04/22,SEB,Ternana,4-4,Frosinone
25/04/22,SEB,Frosinone,4-1,Monza
30/04/22,SEB,SPAL,3-0,Frosinone
06/05/22,SEB,Frosinone,1-2,Pisa
23/07/22,CLF,Frosinone,1-0,Bari
30/07/22,CLF,Frosinone,3-2,Ternana
07/08/22,COI,Monza,3-2,Frosinone
14/08/22,SEB,Modena,0-1,Frosinone
21/08/22,SEB,Frosinone,3-0,Brescia
28/08/22,SEB,Benevento,2-1,Frosinone
03/09/22,SEB,Frosinone,2-0,Como
10/09/22,SEB,Cittadella,1-0,Frosinone
17/09/22,SEB,Frosinone,1-0,Palermo
01/10/22,SEB,Parma,2-1,Frosinone
08/10/22,SEB,Frosinone,2-0,SPAL
14/10/22,SEB,Venezia,1-3,Frosinone
22/10/22,SEB,Frosinone,1-0,Bari
29/10/22,SEB,Cosenza,1-2,Frosinone
05/11/22,SEB,Frosinone,1-0,Perugia
11/11/22,SEB,Ascoli,0-1,Frosinone
27/11/22,SEB,Frosinone,2-2,Cagliari
04/12/22,SEB,Südtirol,1-1,Frosinone
08/12/22,SEB,Reggina,0-3,Frosinone
11/12/22,SEB,Frosinone,0-0,Pisa
18/12/22,SEB,Genoa,1-0,Frosinone
26/12/22,SEB,Frosinone,3-0,Ternana
14/01/23,SEB,Frosinone,2-1,Modena
22/01/23,SEB,Brescia,1-3,Frosinone
29/01/23,SEB,Frosinone,1-0,Benevento
04/02/23,SEB,Como,0-2,Frosinone
11/02/23,SEB,Frosinone,3-0,Cittadella
18/02/23,SEB,Palermo,1-1,Frosinone
24/02/23,SEB,Frosinone,3-4,Parma
01/03/23,SEB,SPAL,0-2,Frosinone
05/03/23,SEB,Frosinone,3-0,Venezia
11/03/23,SEB,Bari,0-0,Frosinone
18/03/23,SEB,Frosinone,0-1,Cosenza
01/04/23,SEB,Perugia,1-1,Frosinone
10/04/23,SEB,Frosinone,2-0,Ascoli
15/04/23,SEB,Cagliari,0-0,Frosinone
30/01/21,SEB,Empoli,3-1,Frosinone
02/02/21,SEB,Pisa,0-0,Frosinone
06/02/21,SEB,Frosinone,1-2,Venezia
09/02/21,SEB,Ascoli,1-1,Frosinone
14/02/21,SEB,Virtus Entella,2-3,Frosinone
19/02/21,SEB,Frosinone,0-0,Pescara
27/02/21,SEB,Cremonese,4-0,Frosinone
02/03/21,SEB,Frosinone,2-2,Monza
06/03/21,SEB,Cosenza,1-2,Frosinone
13/03/21,SEB,Frosinone,0-1,Brescia
16/03/21,SEB,Chievo,0-0,Frosinone
20/03/21,SEB,Frosinone,0-3,Lecce
02/04/21,SEB,Frosinone,0-0,Reggiana
05/04/21,SEB,Salernitana,1-0,Frosinone
10/04/21,SEB,Frosinone,1-1,Cittadella
17/04/21,SEB,Pordenone,2-0,Frosinone
01/05/21,SEB,Frosinone,3-1,Pisa
04/05/21,SEB,SPAL,0-1,Frosinone
07/05/21,SEB,Frosinone,1-1,Vicenza
10/05/21,SEB,Reggina,0-4,Frosinone
24/07/21,CLF,Frosinone,11-0,Alatri
28/07/21,CLF,Frosinone,1-2,Viterbese
31/07/21,CLF,Frosinone,2-0,Ternana
04/08/21,CLF,Frosinone,CANC,Avellino
07/08/21,CLF,Frosinone,2-2,Benevento
15/08/21,COI,Venezia,P1-1P,Frosinone
20/08/21,SEB,Frosinone,2-2,Parma
28/08/21,SEB,Vicenza,0-2,Frosinone
11/09/21,SEB,Frosinone,0-0,Perugia
17/09/21,SEB,Como,0-2,Frosinone
20/09/21,SEB,Frosinone,2-2,Brescia
25/09/21,SEB,Reggina,0-0,Frosinone
02/10/21,SEB,Frosinone,0-1,Cittadella
16/10/21,SEB,Cosenza,1-1,Frosinone
23/10/21,SEB,Frosinone,2-1,Ascoli
28/10/21,SEB,Alessandria,1-1,Frosinone
01/11/21,SEB,Frosinone,2-1,Crotone
06/11/21,SEB,Benevento,1-4,Frosinone
20/11/21,SEB,Frosinone,0-0,Lecce
27/11/21,SEB,Frosinone,2-2,Pordenone
30/11/21,SEB,Cremonese,1-1,Frosinone
04/12/21,SEB,Frosinone,1-1,Ternana
11/12/21,SEB,Monza,3-2,Frosinone
18/12/21,SEB,Frosinone,4-0,SPAL
15/01/22,SEB,Pisa,1-3,Frosinone
21/01/22,SEB,Parma,0-1,Frosinone
05/02/22,SEB,Frosinone,2-0,Vicenza
12/02/22,SEB,Perugia,3-0,Frosinone
16/02/22,SEB,Frosinone,1-2,Como
20/02/22,SEB,Brescia,2-2,Frosinone
08/12/19,SEB,Juve Stabia,0-2,Frosinone
14/12/19,SEB,Frosinone,2-0,Pescara
21/12/19,SEB,Benevento,1-0,Frosinone
26/12/19,SEB,Frosinone,1-2,Crotone
29/12/19,SEB,Pisa,0-0,Frosinone
17/01/20,SEB,Frosinone,2-2,Pordenone
26/01/20,SEB,Ascoli,0-1,Frosinone
01/02/20,SEB,Frosinone,1-0,Virtus Entella
08/02/20,SEB,Venezia,0-1,Frosinone
16/02/20,SEB,Frosinone,1-0,Perugia
21/02/20,SEB,Cosenza,0-2,Frosinone
29/02/20,SEB,Frosinone,1-0,Salernitana
03/03/20,SEB,Livorno,2-2,Frosinone
07/03/20,SEB,Frosinone,0-2,Cremonese
20/06/20,SEB,Trapani,0-0,Frosinone
26/06/20,SEB,Frosinone,0-2,Cittadella
29/06/20,SEB,Chievo,2-0,Frosinone
03/07/20,SEB,Frosinone,2-1,Spezia
10/07/20,SEB,Empoli,2-0,Frosinone
13/07/20,SEB,Frosinone,2-2,Juve Stabia
17/07/20,SEB,Pescara,1-1,Frosinone
24/07/20,SEB,Frosinone,2-3,Benevento
27/07/20,SEB,Crotone,1-0,Frosinone
31/07/20,SEB,Frosinone,1-1,Pisa
05/08/20,SEB,Cittadella,E2-3E,Frosinone
09/08/20,SEB,Frosinone,0-1,Pordenone
12/08/20,SEB,Pordenone,0-2,Frosinone
16/08/20,SEB,Frosinone,0-1,Spezia
20/08/20,SEB,Spezia,0-1,Frosinone
09/09/20,CLF,Frosinone,1-4,Roma
12/09/20,CLF,Frosinone,0-1,Lazio
26/09/20,SEB,Frosinone,0-2,Empoli
30/09/20,COI,Frosinone,1-3,Padova
03/10/20,SEB,Venezia,0-2,Frosinone
17/10/20,SEB,Frosinone,1-0,Ascoli
20/10/20,SEB,Frosinone,0-0,Virtus Entella
24/10/20,SEB,Pescara,0-2,Frosinone
01/11/20,SEB,Frosinone,1-0,Cremonese
07/11/20,SEB,Monza,2-0,Frosinone
20/11/20,SEB,Frosinone,0-2,Cosenza
28/11/20,SEB,Brescia,1-2,Frosinone
05/12/20,SEB,Frosinone,3-2,Chievo
12/12/20,SEB,Lecce,2-2,Frosinone
15/12/20,SEB,Reggiana,1-2,Frosinone
18/12/20,SEB,Frosinone,0-0,Salernitana
22/12/20,SEB,Cittadella,1-0,Frosinone
27/12/20,SEB,Frosinone,1-1,Pordenone
04/01/21,SEB,Frosinone,1-2,SPAL
15/01/21,SEB,Vicenza,0-0,Frosinone
23/01/21,SEB,Frosinone,1-1,Reggina
09/11/18,SEA,Frosinone,1-1,Fiorentina
24/11/18,SEA,Inter Milan,3-0,Frosinone
02/12/18,SEA,Frosinone,1-1,Cagliari
08/12/18,SEA,Napoli,4-0,Frosinone
16/12/18,SEA,Frosinone,0-2,Sassuolo
22/12/18,SEA,Udinese,1-1,Frosinone
26/12/18,SEA,Frosinone,0-0,AC Milan
29/12/18,SEA,Chievo,1-0,Frosinone
13/01/19,CLF,Frosinone,3-0,Paganese
20/01/19,SEA,Frosinone,0-5,Atalanta
27/01/19,SEA,Bologna,0-4,Frosinone
04/02/19,SEA,Frosinone,0-1,Lazio
10/02/19,SEA,Sampdoria,0-1,Frosinone
15/02/19,SEA,Juventus,3-0,Frosinone
23/02/19,SEA,Frosinone,2-3,Roma
03/03/19,SEA,Genoa,0-0,Frosinone
10/03/19,SEA,Frosinone,1-2,Torino
17/03/19,SEA,Empoli,2-1,Frosinone
31/03/19,SEA,Frosinone,0-1,SPAL
03/04/19,SEA,Frosinone,3-2,Parma
07/04/19,SEA,Fiorentina,0-1,Frosinone
14/04/19,SEA,Frosinone,1-3,Inter Milan
20/04/19,SEA,Cagliari,1-0,Frosinone
28/04/19,SEA,Frosinone,0-2,Napoli
05/05/19,SEA,Sassuolo,2-2,Frosinone
12/05/19,SEA,Frosinone,1-3,Udinese
19/05/19,SEA,AC Milan,2-0,Frosinone
25/05/19,SEA,Frosinone,0-0,Chievo
21/07/19,CLF,Frosinone,3-0,FC Rieti
27/07/19,CLF,Lecce,4-1,Frosinone
30/07/19,CLF,Monza,2-2,Frosinone
05/08/19,CLF,Ascoli,0-1,Frosinone
11/08/19,COI,Frosinone,4-0,Carrarese
18/08/19,COI,Frosinone,5-1,Monopoli
26/08/19,SEB,Pordenone,3-0,Frosinone
01/09/19,SEB,Frosinone,2-1,Ascoli
07/09/19,CLF,Brescia,3-2,Frosinone
14/09/19,SEB,Virtus Entella,1-0,Frosinone
