Date,Competition,Home team,Score,Away team
22/04/23,SEB,Cittadella,0-1,Genoa
01/05/23,SEB,Südtirol,0-0,Genoa
06/05/23,SEB,Genoa,2-1,Ascoli
13/05/23,SEB,Frosinone,3-2,Genoa
19/05/23,SEB,Genoa,4-3,Bari
15/07/23,CLF,Genoa,12-0,Fassa Calcio
22/07/23,CLF,Genoa,1-4,Venezia
29/07/23,CLF,Genoa,1-0,Monaco
05/08/23,CLF,Cremonese,0-0,Genoa
11/08/23,COI,Genoa,4-3,Modena
19/08/23,SEA,Genoa,1-4,Fiorentina
27/08/23,SEA,Lazio,0-1,Genoa
03/09/23,SEA,Torino,1-0,Genoa
16/09/23,SEA,Genoa,2-2,Napoli
22/09/23,SEA,Lecce,1-0,Genoa
28/09/23,SEA,Genoa,4-1,Roma
01/10/23,SEA,Udinese,2-2,Genoa
07/10/23,SEA,Genoa,0-1,AC Milan
22/10/23,SEA,Atalanta,2-0,Genoa
27/10/23,SEA,Genoa,1-0,Salernitana
01/11/23,COI,Genoa,E2-1E,Reggiana
05/11/23,SEA,Cagliari,2-1,Genoa
10/11/23,SEA,Genoa,1-0,Verona
26/11/23,SEA,Frosinone,2-1,Genoa
02/12/23,SEA,Genoa,1-1,Empoli
05/12/23,COI,Lazio,1-0,Genoa
10/12/23,SEA,Monza,1-0,Genoa
15/12/23,SEA,Genoa,1-1,Juventus
22/12/23,SEA,Sassuolo,1-2,Genoa
29/12/23,SEA,Genoa,1-1,Inter Milan
05/01/24,SEA,Bologna,1-1,Genoa
13/01/24,SEA,Genoa,0-0,Torino
21/01/24,SEA,Salernitana,1-2,Genoa
28/01/24,SEA,Genoa,2-1,Lecce
03/02/24,SEA,Empoli,0-0,Genoa
11/02/24,SEA,Genoa,1-4,Atalanta
17/02/24,SEA,Napoli,1-1,Genoa
24/02/24,SEA,Genoa,2-0,Udinese
04/03/24,SEA,Inter Milan,2-1,Genoa
09/03/24,SEA,Genoa,2-3,Monza
17/03/24,SEA,Juventus,0-0,Genoa
30/03/24,SEA,Genoa,1-1,Frosinone
07/04/24,SEA,Verona,1-2,Genoa
15/04/24,SEA,Fiorentina,1-1,Genoa
19/04/24,SEA,Genoa,0-1,Lazio
29/04/24,SEA,Genoa,3-0,Cagliari
05/05/24,SEA,AC Milan,18:00,Genoa
12/05/24,SEA,Genoa,15:00,Sassuolo
19/05/24,SEA,Roma,-,Genoa
26/05/24,SEA,Genoa,-,Bologna
06/03/22,SEA,Genoa,0-0,Empoli
13/03/22,SEA,Atalanta,0-0,Genoa
18/03/22,SEA,Genoa,1-0,Torino
04/04/22,SEA,Verona,1-0,Genoa
10/04/22,SEA,Genoa,1-4,Lazio
15/04/22,SEA,AC Milan,2-0,Genoa
24/04/22,SEA,Genoa,1-0,Cagliari
30/04/22,SEA,Sampdoria,1-0,Genoa
06/05/22,SEA,Genoa,2-1,Juventus
15/05/22,SEA,Napoli,3-0,Genoa
21/05/22,SEA,Genoa,0-1,Bologna
15/07/22,CLF,Luzern,2-0,Genoa
22/07/22,CLF,Genoa,0-1,Mallorca
27/07/22,CLF,Genoa,4-1,Lazio
08/08/22,COI,Genoa,3-2,Benevento
14/08/22,SEB,Venezia,1-2,Genoa
20/08/22,SEB,Genoa,0-0,Benevento
28/08/22,SEB,Pisa,0-1,Genoa
03/09/22,SEB,Genoa,3-3,Parma
09/09/22,SEB,Palermo,1-0,Genoa
17/09/22,SEB,Genoa,1-0,Modena
01/10/22,SEB,SPAL,0-2,Genoa
07/10/22,SEB,Genoa,0-0,Cagliari
15/10/22,SEB,Cosenza,1-2,Genoa
