Date,Competition,Home team,Score,Away team
13/08/23,CLF,Inter Milan,4-2,Egnatia Rrogozhinë
19/08/23,SEA,Inter Milan,2-0,Monza
28/08/23,SEA,Cagliari,0-2,Inter Milan
03/09/23,SEA,Inter Milan,4-0,Fiorentina
16/09/23,SEA,Inter Milan,5-1,AC Milan
20/09/23,UCL,Real Sociedad,1-1,Inter Milan
24/09/23,SEA,Empoli,0-1,Inter Milan
27/09/23,SEA,Inter Milan,1-2,Sassuolo
30/09/23,SEA,Salernitana,0-4,Inter Milan
03/10/23,UCL,Inter Milan,1-0,Benfica
07/10/23,SEA,Inter Milan,2-2,Bologna
21/10/23,SEA,Torino,0-3,Inter Milan
24/10/23,UCL,Inter Milan,2-1,Salzburg
29/10/23,SEA,Inter Milan,1-0,Roma
04/11/23,SEA,Atalanta,1-2,Inter Milan
08/11/23,UCL,Salzburg,0-1,Inter Milan
12/11/23,SEA,Inter Milan,2-0,Frosinone
26/11/23,SEA,Juventus,1-1,Inter Milan
29/11/23,UCL,Benfica,3-3,Inter Milan
03/12/23,SEA,Napoli,0-3,Inter Milan
09/12/23,SEA,Inter Milan,4-0,Udinese
12/12/23,UCL,Inter Milan,0-0,Real Sociedad
17/12/23,SEA,Lazio,0-2,Inter Milan
20/12/23,COI,Inter Milan,E1-2E,Bologna
23/12/23,SEA,Inter Milan,2-0,Lecce
29/12/23,SEA,Genoa,1-1,Inter Milan
06/01/24,SEA,Inter Milan,2-1,Verona
13/01/24,SEA,Monza,1-5,Inter Milan
19/01/24,SUC,Inter Milan,3-0,Lazio
22/01/24,SUC,Napoli,0-1,Inter Milan
28/01/24,SEA,Fiorentina,0-1,Inter Milan
04/02/24,SEA,Inter Milan,1-0,Juventus
10/02/24,SEA,Roma,2-4,Inter Milan
16/02/24,SEA,Inter Milan,4-0,Salernitana
20/02/24,UCL,Inter Milan,1-0,Atletico Madrid
25/02/24,SEA,Lecce,0-4,Inter Milan
28/02/24,SEA,Inter Milan,4-0,Atalanta
