Date,Competition,Home team,Score,Away team
18/05/23,UEL,Sevilla,E2-1E,Juventus
22/05/23,SEA,Empoli,4-1,Juventus
28/05/23,SEA,Juventus,0-1,AC Milan
04/06/23,SEA,Udinese,0-1,Juventus
28/07/23,CLF,Juventus,P2-2P,AC Milan
03/08/23,CLF,Juventus,3-1,Real Madrid
12/08/23,CLF,Juventus,0-0,Atalanta
20/08/23,SEA,Udinese,0-3,Juventus
27/08/23,SEA,Juventus,1-1,Bologna
03/09/23,SEA,Empoli,0-2,Juventus
16/09/23,SEA,Juventus,3-1,Lazio
23/09/23,SEA,Sassuolo,4-2,Juventus
26/09/23,SEA,Juventus,1-0,Lecce
01/10/23,SEA,Atalanta,0-0,Juventus
07/10/23,SEA,Juventus,2-0,Torino
22/10/23,SEA,AC Milan,0-1,Juventus
28/10/23,SEA,Juventus,1-0,Verona
05/11/23,SEA,Fiorentina,0-1,Juventus
11/11/23,SEA,Juventus,2-1,Cagliari
26/11/23,SEA,Juventus,1-1,Inter Milan
01/12/23,SEA,Monza,1-2,Juventus
08/12/23,SEA,Juventus,1-0,Napoli
15/12/23,SEA,Genoa,1-1,Juventus
23/12/23,SEA,Frosinone,1-2,Juventus
30/12/23,SEA,Juventus,1-0,Roma
04/01/24,COI,Juventus,6-1,Salernitana
07/01/24,SEA,Salernitana,1-2,Juventus
11/01/24,COI,Juventus,4-0,Frosinone
16/01/24,SEA,Juventus,3-0,Sassuolo
21/01/24,SEA,Lecce,0-3,Juventus
27/01/24,SEA,Juventus,1-1,Empoli
04/02/24,SEA,Inter Milan,1-0,Juventus
12/02/24,SEA,Juventus,0-1,Udinese
17/02/24,SEA,Verona,2-2,Juventus
25/02/24,SEA,Juventus,3-2,Frosinone
03/03/24,SEA,Napoli,2-1,Juventus
10/03/24,SEA,Juventus,2-2,Atalanta
17/03/24,SEA,Juventus,0-0,Genoa
30/03/24,SEA,Lazio,1-0,Juventus
02/04/24,COI,Juventus,2-0,Lazio
