Date,Competition,Home team,Score,Away team
27/08/23,SEA,Lazio,0-1,Genoa
02/09/23,SEA,Napoli,1-2,Lazio
16/09/23,SEA,Juventus,3-1,Lazio
19/09/23,UCL,Lazio,1-1,Atletico Madrid
23/09/23,SEA,Lazio,1-1,Monza
27/09/23,SEA,Lazio,2-0,Torino
30/09/23,SEA,AC Milan,2-0,Lazio
04/10/23,UCL,Celtic,1-2,Lazio
08/10/23,SEA,Lazio,3-2,Atalanta
21/10/23,SEA,Sassuolo,0-2,Lazio
25/10/23,UCL,Feyenoord,3-1,Lazio
30/10/23,SEA,Lazio,1-0,Fiorentina
03/11/23,SEA,Bologna,1-0,Lazio
07/11/23,UCL,Lazio,1-0,Feyenoord
12/11/23,SEA,Lazio,0-0,Roma
25/11/23,SEA,Salernitana,2-1,Lazio
28/11/23,UCL,Lazio,2-0,Celtic
02/12/23,SEA,Lazio,1-0,Cagliari
05/12/23,COI,Lazio,1-0,Genoa
09/12/23,SEA,Verona,1-1,Lazio
13/12/23,UCL,Atletico Madrid,2-0,Lazio
17/12/23,SEA,Lazio,0-2,Inter Milan
22/12/23,SEA,Empoli,0-2,Lazio
29/12/23,SEA,Lazio,3-1,Frosinone
07/01/24,SEA,Udinese,1-2,Lazio
10/01/24,COI,Lazio,1-0,Roma
14/01/24,SEA,Lazio,1-0,Lecce
19/01/24,SUC,Inter Milan,3-0,Lazio
28/01/24,SEA,Lazio,0-0,Napoli
04/02/24,SEA,Atalanta,3-1,Lazio
10/02/24,SEA,Cagliari,1-3,Lazio
14/02/24,UCL,Lazio,1-0,Bayern Munich
18/02/24,SEA,Lazio,1-2,Bologna
22/02/24,SEA,Torino,0-2,Lazio
26/02/24,SEA,Fiorentina,2-1,Lazio
01/03/24,SEA,Lazio,0-1,AC Milan
05/03/24,UCL,Bayern Munich,3-0,Lazio
11/03/24,SEA,Lazio,1-2,Udinese
16/03/24,SEA,Frosinone,2-3,Lazio
30/03/24,SEA,Lazio,1-0,Juventus
02/04/24,COI,Juventus,2-0,Lazio
06/04/24,SEA,Roma,1-0,Lazio
12/04/24,SEA,Lazio,4-1,Salernitana
19/04/24,SEA,Genoa,0-1,Lazio
23/04/24,COI,Lazio,2-1,Juventus
27/04/24,SEA,Lazio,1-0,Verona
04/05/24,SEA,Monza,18:00,Lazio
12/05/24,SEA,Lazio,12:30,Empoli
19/05/24,SEA,Inter Milan,-,Lazio
26/05/24,SEA,Lazio,-,Sassuolo
06/10/22,UEL,Sturm Graz,0-0,Lazio
10/10/22,SEA,Fiorentina,0-4,Lazio
13/10/22,UEL,Lazio,2-2,Sturm Graz
16/10/22,SEA,Lazio,0-0,Udinese
23/10/22,SEA,Atalanta,0-2,Lazio
27/10/22,UEL,Lazio,2-1,Midtjylland
30/10/22,SEA,Lazio,1-3,Salernitana
03/11/22,UEL,Feyenoord,1-0,Lazio
06/11/22,SEA,Roma,0-1,Lazio
10/11/22,SEA,Lazio,1-0,Monza
13/11/22,SEA,Juventus,3-0,Lazio
13/12/22,CLF,Galatasaray,1-2,Lazio
16/12/22,CLF,Hatayspor,2-5,Lazio
22/12/22,CLF,Almeria,2-0,Lazio
04/01/23,SEA,Lecce,2-1,Lazio
08/01/23,SEA,Lazio,2-2,Empoli
15/01/23,SEA,Sassuolo,0-2,Lazio
19/01/23,COI,Lazio,1-0,Bologna
24/01/23,SEA,Lazio,4-0,AC Milan
29/01/23,SEA,Lazio,1-1,Fiorentina
02/02/23,COI,Juventus,1-0,Lazio
06/02/23,SEA,Verona,1-1,Lazio
11/02/23,SEA,Lazio,0-2,Atalanta
16/02/23,UEC,Lazio,1-0,CFR Cluj
19/02/23,SEA,Salernitana,0-2,Lazio
23/02/23,UEC,CFR Cluj,0-0,Lazio
27/02/23,SEA,Lazio,1-0,Sampdoria
03/03/23,SEA,Napoli,0-1,Lazio
07/03/23,UEC,Lazio,1-2,AZ
11/03/23,SEA,Bologna,0-0,Lazio
16/03/23,UEC,AZ,2-1,Lazio
19/03/23,SEA,Lazio,1-0,Roma
02/04/23,SEA,Monza,0-2,Lazio
08/04/23,SEA,Lazio,2-1,Juventus
14/04/23,SEA,Spezia,0-3,Lazio
22/04/23,SEA,Lazio,0-1,Torino
30/04/23,SEA,Inter Milan,3-1,Lazio
03/05/23,SEA,Lazio,2-0,Sassuolo
06/05/23,SEA,AC Milan,2-0,Lazio
12/05/23,SEA,Lazio,2-2,Lecce
21/05/23,SEA,Udinese,0-1,Lazio
28/05/23,SEA,Lazio,3-2,Cremonese
03/06/23,SEA,Empoli,0-2,Lazio
20/07/23,CLF,Lazio,5-0,Primorje
23/07/23,CLF,Lazio,4-0,Triestina
26/07/23,CLF,Lazio,2-0,Bravo
03/08/23,CLF,Aston Villa,3-0,Lazio
06/08/23,CLF,Girona,2-1,Lazio
13/08/23,CLF,Latina,0-9,Lazio
20/08/23,SEA,Lecce,2-1,Lazio
07/11/21,SEA,Lazio,3-0,Salernitana
20/11/21,SEA,Lazio,0-2,Juventus
25/11/21,UEL,Lokomotiv Moscow,0-3,Lazio
28/11/21,SEA,Napoli,4-0,Lazio
02/12/21,SEA,Lazio,4-4,Udinese
05/12/21,SEA,Sampdoria,1-3,Lazio
09/12/21,UEL,Lazio,0-0,Galatasaray
12/12/21,SEA,Sassuolo,2-1,Lazio
17/12/21,SEA,Lazio,3-1,Genoa
22/12/21,SEA,Venezia,1-3,Lazio
06/01/22,SEA,Lazio,3-3,Empoli
09/01/22,SEA,Inter Milan,2-1,Lazio
15/01/22,SEA,Salernitana,0-3,Lazio
18/01/22,COI,Lazio,E1-0E,Udinese
22/01/22,SEA,Lazio,0-0,Atalanta
05/02/22,SEA,Fiorentina,0-3,Lazio
09/02/22,COI,AC Milan,4-0,Lazio
12/02/22,SEA,Lazio,3-0,Bologna
17/02/22,UEL,Porto,2-1,Lazio
20/02/22,SEA,Udinese,1-1,Lazio
24/02/22,UEL,Lazio,2-2,Porto
27/02/22,SEA,Lazio,1-2,Napoli
05/03/22,SEA,Cagliari,0-3,Lazio
14/03/22,SEA,Lazio,1-0,Venezia
20/03/22,SEA,Roma,3-0,Lazio
02/04/22,SEA,Lazio,2-1,Sassuolo
10/04/22,SEA,Genoa,1-4,Lazio
16/04/22,SEA,Lazio,1-1,Torino
24/04/22,SEA,Lazio,1-2,AC Milan
30/04/22,SEA,Spezia,3-4,Lazio
07/05/22,SEA,Lazio,2-0,Sampdoria
16/05/22,SEA,Juventus,2-2,Lazio
21/05/22,SEA,Lazio,3-3,Verona
14/07/22,CLF,Lazio,5-0,Dekani
17/07/22,CLF,Lazio,3-1,Triestina
21/07/22,CLF,Lazio,4-0,Primorje
22/07/22,CLF,Lazio,CANC,Venezia
27/07/22,CLF,Genoa,4-1,Lazio
30/07/22,HYF,Lazio,0-0,Qatar
06/08/22,CLF,Real Valladolid,P0-0P,Lazio
14/08/22,SEA,Lazio,2-1,Bologna
20/08/22,SEA,Torino,0-0,Lazio
26/08/22,SEA,Lazio,3-1,Inter Milan
31/08/22,SEA,Sampdoria,1-1,Lazio
03/09/22,SEA,Lazio,1-2,Napoli
08/09/22,UEL,Lazio,4-2,Feyenoord
11/09/22,SEA,Lazio,2-0,Verona
15/09/22,UEL,Midtjylland,5-1,Lazio
18/09/22,SEA,Cremonese,0-4,Lazio
02/10/22,SEA,Lazio,4-0,Spezia
23/12/20,SEA,AC Milan,3-2,Lazio
03/01/21,SEA,Genoa,1-1,Lazio
06/01/21,SEA,Lazio,2-1,Fiorentina
10/01/21,SEA,Parma,0-2,Lazio
15/01/21,SEA,Lazio,3-0,Roma
21/01/21,COI,Lazio,2-1,Parma
24/01/21,SEA,Lazio,2-1,Sassuolo
27/01/21,COI,Atalanta,3-2,Lazio
31/01/21,SEA,Atalanta,1-3,Lazio
07/02/21,SEA,Lazio,1-0,Cagliari
