Date,Competition,Home team,Score,Away team
03/05/23,SEA,Juventus,2-1,Lecce
07/05/23,SEA,Lecce,0-1,Verona
12/05/23,SEA,Lazio,2-2,Lecce
21/05/23,SEA,Lecce,0-0,Spezia
28/05/23,SEA,Monza,0-1,Lecce
04/06/23,SEA,Lecce,2-3,Bologna
22/07/23,CLF,Lecce,11-1,Rovereto
26/07/23,CLF,Lecce,4-0,Padova
30/07/23,CLF,Cittadella,0-3,Lecce
06/08/23,CLF,Cadiz,P1-1P,Lecce
13/08/23,COI,Lecce,1-0,Como
20/08/23,SEA,Lecce,2-1,Lazio
27/08/23,SEA,Fiorentina,2-2,Lecce
03/09/23,SEA,Lecce,2-0,Salernitana
17/09/23,SEA,Monza,1-1,Lecce
22/09/23,SEA,Lecce,1-0,Genoa
26/09/23,SEA,Juventus,1-0,Lecce
30/09/23,SEA,Lecce,0-4,Napoli
06/10/23,SEA,Lecce,1-1,Sassuolo
23/10/23,SEA,Udinese,1-1,Lecce
28/10/23,SEA,Lecce,0-1,Torino
01/11/23,COI,Lecce,2-4,Parma
05/11/23,SEA,Roma,2-1,Lecce
11/11/23,SEA,Lecce,2-2,AC Milan
27/11/23,SEA,Verona,2-2,Lecce
03/12/23,SEA,Lecce,1-1,Bologna
11/12/23,SEA,Empoli,1-1,Lecce
16/12/23,SEA,Lecce,2-1,Frosinone
23/12/23,SEA,Inter Milan,2-0,Lecce
30/12/23,SEA,Atalanta,1-0,Lecce
06/01/24,SEA,Lecce,1-1,Cagliari
14/01/24,SEA,Lazio,1-0,Lecce
21/01/24,SEA,Lecce,0-3,Juventus
28/01/24,SEA,Genoa,2-1,Lecce
02/02/24,SEA,Lecce,3-2,Fiorentina
11/02/24,SEA,Bologna,4-0,Lecce
16/02/24,SEA,Torino,2-0,Lecce
25/02/24,SEA,Lecce,0-4,Inter Milan
03/03/24,SEA,Frosinone,1-1,Lecce
10/03/24,SEA,Lecce,0-1,Verona
16/03/24,SEA,Salernitana,0-1,Lecce
01/04/24,SEA,Lecce,0-0,Roma
06/04/24,SEA,AC Milan,3-0,Lecce
13/04/24,SEA,Lecce,1-0,Empoli
21/04/24,SEA,Sassuolo,0-3,Lecce
27/04/24,SEA,Lecce,1-1,Monza
05/05/24,SEA,Cagliari,12:30,Lecce
13/05/24,SEA,Lecce,18:30,Udinese
19/05/24,SEA,Lecce,-,Atalanta
26/05/24,SEA,Napoli,-,Lecce
06/03/22,SEB,Perugia,1-1,Lecce
12/03/22,SEB,Lecce,1-1,Brescia
15/03/22,SEB,Cosenza,2-2,Lecce
