Date,Competition,Home team,Score,Away team
28/04/23,SEA,Spezia,0-2,Monza
03/05/23,SEA,Monza,1-1,Roma
07/05/23,SEA,Torino,1-1,Monza
14/05/23,SEA,Monza,2-0,Napoli
19/05/23,SEA,Sassuolo,1-2,Monza
28/05/23,SEA,Monza,0-1,Lecce
04/06/23,SEA,Atalanta,5-2,Monza
22/07/23,CLF,Monza,5-1,Giana Erminio
23/07/23,CLF,Monza,3-0,Vis Pesaro
01/08/23,CLF,Everton,2-2,Monza
08/08/23,TSB,Monza,P1-1P,AC Milan
13/08/23,COI,Monza,1-2,Reggiana
19/08/23,SEA,Inter Milan,2-0,Monza
26/08/23,SEA,Monza,2-0,Empoli
02/09/23,SEA,Atalanta,3-0,Monza
17/09/23,SEA,Monza,1-1,Lecce
23/09/23,SEA,Lazio,1-1,Monza
28/09/23,SEA,Monza,0-0,Bologna
02/10/23,SEA,Sassuolo,0-1,Monza
08/10/23,SEA,Monza,3-0,Salernitana
22/10/23,SEA,Roma,1-0,Monza
29/10/23,SEA,Monza,1-1,Udinese
05/11/23,SEA,Verona,1-3,Monza
11/11/23,SEA,Monza,1-1,Torino
26/11/23,SEA,Cagliari,1-1,Monza
01/12/23,SEA,Monza,1-2,Juventus
10/12/23,SEA,Monza,1-0,Genoa
17/12/23,SEA,AC Milan,3-0,Monza
22/12/23,SEA,Monza,0-1,Fiorentina
29/12/23,SEA,Napoli,0-0,Monza
06/01/24,SEA,Frosinone,2-3,Monza
13/01/24,SEA,Monza,1-5,Inter Milan
21/01/24,SEA,Empoli,3-0,Monza
28/01/24,SEA,Monza,1-0,Sassuolo
03/02/24,SEA,Udinese,0-0,Monza
11/02/24,SEA,Monza,0-0,Verona
18/02/24,SEA,Monza,4-2,AC Milan
24/02/24,SEA,Salernitana,0-2,Monza
02/03/24,SEA,Monza,1-4,Roma
09/03/24,SEA,Genoa,2-3,Monza
16/03/24,SEA,Monza,1-0,Cagliari
30/03/24,SEA,Torino,1-0,Monza
07/04/24,SEA,Monza,2-4,Napoli
13/04/24,SEA,Bologna,0-0,Monza
21/04/24,SEA,Monza,1-2,Atalanta
27/04/24,SEA,Lecce,1-1,Monza
04/05/24,SEA,Monza,18:00,Lazio
13/05/24,SEA,Fiorentina,20:45,Monza
19/05/24,SEA,Monza,-,Frosinone
26/05/24,SEA,Juventus,-,Monza
30/04/22,SEB,Monza,3-0,Benevento
06/05/22,SEB,Perugia,1-0,Monza
18/05/22,SEB,Brescia,1-2,Monza
22/05/22,SEB,Monza,2-1,Brescia
26/05/22,SEB,Monza,2-1,Pisa
29/05/22,SEB,Pisa,E3-4E,Monza
10/07/22,CLF,Bellinzona,0-0,Monza
13/07/22,CLF,Monza,4-0,Team Ticino
20/07/22,CLF,Monza,4-1,Piacenza
25/07/22,CLF,Monza,4-0,Renate
30/07/22,CLF,Monza,5-0,Novara
31/07/22,CLF,Monza,3-2,Sangiuliano City
07/08/22,COI,Monza,3-2,Frosinone
13/08/22,SEA,Monza,1-2,Torino
21/08/22,SEA,Napoli,4-0,Monza
26/08/22,SEA,Monza,1-2,Udinese
30/08/22,SEA,Roma,3-0,Monza
05/09/22,SEA,Monza,0-2,Atalanta
11/09/22,SEA,Lecce,1-1,Monza
18/09/22,SEA,Monza,1-0,Juventus
02/10/22,SEA,Sampdoria,0-3,Monza
09/10/22,SEA,Monza,2-0,Spezia
15/10/22,SEA,Empoli,1-0,Monza
19/10/22,COI,Udinese,2-3,Monza
22/10/22,SEA,AC Milan,4-1,Monza
31/10/22,SEA,Monza,1-2,Bologna
06/11/22,SEA,Monza,2-0,Verona
10/11/22,SEA,Lazio,1-0,Monza
13/11/22,SEA,Monza,3-0,Salernitana
10/12/22,CLF,Lugano,1-0,Monza
22/12/22,CLF,Lyon,1-2,Monza
23/12/22,CLF,Monza,2-1,Arconatese
28/12/22,CLF,Monza,1-4,Torino
04/01/23,SEA,Fiorentina,1-1,Monza
07/01/23,SEA,Monza,2-2,Inter Milan
14/01/23,SEA,Cremonese,2-3,Monza
19/01/23,COI,Juventus,2-1,Monza
22/01/23,SEA,Monza,1-1,Sassuolo
29/01/23,SEA,Juventus,0-2,Monza
06/02/23,SEA,Monza,2-2,Sampdoria
12/02/23,SEA,Bologna,0-1,Monza
18/02/23,SEA,Monza,0-1,AC Milan
26/02/23,SEA,Salernitana,3-0,Monza
04/03/23,SEA,Monza,2-1,Empoli
12/03/23,SEA,Verona,1-1,Monza
18/03/23,SEA,Monza,1-1,Cremonese
02/04/23,SEA,Monza,0-2,Lazio
08/04/23,SEA,Udinese,2-2,Monza
15/04/23,SEA,Inter Milan,0-1,Monza
23/04/23,SEA,Monza,3-2,Fiorentina
05/04/21,SEB,Monza,1-1,Pescara
10/04/21,SEB,Ascoli,1-0,Monza
17/04/21,SEB,Monza,2-1,Cremonese
01/05/21,SEB,Salernitana,1-3,Monza
04/05/21,SEB,Monza,1-0,Lecce
07/05/21,SEB,Cosenza,0-3,Monza
10/05/21,SEB,Monza,0-2,Brescia
17/05/21,SEB,Cittadella,3-0,Monza
20/05/21,SEB,Monza,2-0,Cittadella
24/07/21,CLF,Monza,3-0,Pro Sesto
31/07/21,CLF,Monza,1-2,Juventus
04/08/21,CLF,Pro Patria,1-1,Monza
08/08/21,CLF,Monza,3-0,Giana Erminio
14/08/21,COI,Cittadella,2-1,Monza
22/08/21,SEB,Reggina,0-0,Monza
29/08/21,SEB,Monza,1-0,Cremonese
11/09/21,SEB,SPAL,1-1,Monza
18/09/21,SEB,Monza,1-1,Ternana
21/09/21,SEB,Pisa,2-1,Monza
25/09/21,SEB,Monza,3-1,Pordenone
01/10/21,SEB,Lecce,3-0,Monza
17/10/21,SEB,Parma,0-0,Monza
23/10/21,SEB,Monza,1-0,Cittadella
27/10/21,SEB,Vicenza,1-1,Monza
01/11/21,SEB,Monza,1-0,Alessandria
07/11/21,SEB,Crotone,1-1,Monza
21/11/21,SEB,Monza,3-2,Como
27/11/21,SEB,Ascoli,1-1,Monza
30/11/21,SEB,Monza,4-1,Cosenza
05/12/21,SEB,Brescia,0-2,Monza
11/12/21,SEB,Monza,3-2,Frosinone
13/01/22,SEB,Benevento,3-1,Monza
16/01/22,SEB,Monza,2-2,Perugia
22/01/22,SEB,Monza,1-0,Reggina
06/02/22,SEB,Cremonese,3-2,Monza
12/02/22,SEB,Monza,4-0,SPAL
15/02/22,SEB,Ternana,0-1,Monza
19/02/22,SEB,Monza,1-2,Pisa
22/02/22,SEB,Pordenone,1-4,Monza
27/02/22,SEB,Monza,0-1,Lecce
02/03/22,SEB,Monza,1-1,Parma
05/03/22,SEB,Cittadella,1-2,Monza
12/03/22,SEB,Monza,4-0,Vicenza
15/03/22,SEB,Alessandria,0-3,Monza
19/03/22,SEB,Monza,1-0,Crotone
03/04/22,SEB,Como,2-0,Monza
06/04/22,SEB,Monza,2-0,Ascoli
10/04/22,SEB,Cosenza,0-2,Monza
18/04/22,SEB,Monza,1-1,Brescia
25/04/22,SEB,Frosinone,4-1,Monza
14/03/20,SEC,Renate,CANC,Monza
18/03/20,SEC,AlbinoLeffe,CANC,Monza
22/03/20,SEC,Monza,CANC,Pergolettese
25/03/20,SEC,Carrarese,CANC,Monza
29/03/20,SEC,Monza,CANC,Pistoiese
01/04/20,SEC,Monza,CANC,Pianese
05/04/20,SEC,Alessandria,CANC,Monza
11/04/20,SEC,Monza,CANC,Olbia
14/04/20,SEC,Gozzano,CANC,Monza
18/04/20,SEC,Giana Erminio,CANC,Monza
26/04/20,SEC,Monza,CANC,Pontedera
05/09/20,CLF,AC Milan,4-1,Monza
08/09/20,CLF,Monza,2-1,Lecco
12/09/20,CLF,Vicenza,1-1,Monza
18/09/20,CLF,Monza,1-0,Alessandria
25/09/20,SEB,Monza,0-0,SPAL
29/09/20,COI,Monza,3-0,Triestina
03/10/20,SEB,Empoli,0-0,Monza
