Date,Competition,Home team,Score,Away team
11/08/23,CLF,Napoli,2-0,Apollon
19/08/23,SEA,Frosinone,1-3,Napoli
27/08/23,SEA,Napoli,2-0,Sassuolo
02/09/23,SEA,Napoli,1-2,Lazio
16/09/23,SEA,Genoa,2-2,Napoli
20/09/23,UCL,Sporting Braga,1-2,Napoli
24/09/23,SEA,Bologna,0-0,Napoli
27/09/23,SEA,Napoli,4-1,Udinese
30/09/23,SEA,Lecce,0-4,Napoli
03/10/23,UCL,Napoli,2-3,Real Madrid
08/10/23,SEA,Napoli,1-3,Fiorentina
21/10/23,SEA,Verona,1-3,Napoli
24/10/23,UCL,Union Berlin,0-1,Napoli
29/10/23,SEA,Napoli,2-2,AC Milan
04/11/23,SEA,Salernitana,0-2,Napoli
08/11/23,UCL,Napoli,1-1,Union Berlin
12/11/23,SEA,Napoli,0-1,Empoli
25/11/23,SEA,Atalanta,1-2,Napoli
29/11/23,UCL,Real Madrid,4-2,Napoli
03/12/23,SEA,Napoli,0-3,Inter Milan
08/12/23,SEA,Juventus,1-0,Napoli
12/12/23,UCL,Napoli,2-0,Sporting Braga
16/12/23,SEA,Napoli,2-1,Cagliari
19/12/23,COI,Napoli,0-4,Frosinone
23/12/23,SEA,Roma,2-0,Napoli
29/12/23,SEA,Napoli,0-0,Monza
07/01/24,SEA,Torino,3-0,Napoli
13/01/24,SEA,Napoli,2-1,Salernitana
18/01/24,SUC,Napoli,3-0,Fiorentina
22/01/24,SUC,Napoli,0-1,Inter Milan
28/01/24,SEA,Lazio,0-0,Napoli
04/02/24,SEA,Napoli,2-1,Verona
11/02/24,SEA,AC Milan,1-0,Napoli
17/02/24,SEA,Napoli,1-1,Genoa
21/02/24,UCL,Napoli,1-1,Barcelona
25/02/24,SEA,Cagliari,1-1,Napoli
28/02/24,SEA,Sassuolo,1-6,Napoli
03/03/24,SEA,Napoli,2-1,Juventus
08/03/24,SEA,Napoli,1-1,Torino
12/03/24,UCL,Barcelona,3-1,Napoli
17/03/24,SEA,Inter Milan,1-1,Napoli
30/03/24,SEA,Napoli,0-3,Atalanta
07/04/24,SEA,Monza,2-4,Napoli
14/04/24,SEA,Napoli,2-2,Frosinone
20/04/24,SEA,Empoli,1-0,Napoli
28/04/24,SEA,Napoli,2-2,Roma
06/05/24,SEA,Udinese,20:45,Napoli
11/05/24,SEA,Napoli,18:00,Bologna
19/05/24,SEA,Fiorentina,-,Napoli
26/05/24,SEA,Napoli,-,Lecce
18/09/22,SEA,AC Milan,1-2,Napoli
01/10/22,SEA,Napoli,3-1,Torino
04/10/22,UCL,Ajax,1-6,Napoli
09/10/22,SEA,Cremonese,1-4,Napoli
12/10/22,UCL,Napoli,4-2,Ajax
16/10/22,SEA,Napoli,3-2,Bologna
23/10/22,SEA,Roma,0-1,Napoli
26/10/22,UCL,Napoli,3-0,Rangers
29/10/22,SEA,Napoli,4-0,Sassuolo
01/11/22,UCL,Liverpool,2-0,Napoli
05/11/22,SEA,Atalanta,1-2,Napoli
08/11/22,SEA,Napoli,2-0,Empoli
12/11/22,SEA,Napoli,3-2,Udinese
07/12/22,CLF,Antalyaspor,2-3,Napoli
11/12/22,CLF,Napoli,3-1,Crystal Palace
17/12/22,CLF,Napoli,2-3,Villarreal
21/12/22,CLF,Napoli,1-4,Lille
04/01/23,SEA,Inter Milan,1-0,Napoli
08/01/23,SEA,Sampdoria,0-2,Napoli
13/01/23,SEA,Napoli,5-1,Juventus
17/01/23,COI,Napoli,P2-2P,Cremonese
21/01/23,SEA,Salernitana,0-2,Napoli
29/01/23,SEA,Napoli,2-1,Roma
05/02/23,SEA,Spezia,0-3,Napoli
12/02/23,SEA,Napoli,3-0,Cremonese
17/02/23,SEA,Sassuolo,0-2,Napoli
21/02/23,UCL,Eintracht Frankfurt,0-2,Napoli
25/02/23,SEA,Empoli,0-2,Napoli
03/03/23,SEA,Napoli,0-1,Lazio
11/03/23,SEA,Napoli,2-0,Atalanta
15/03/23,UCL,Napoli,3-0,Eintracht Frankfurt
19/03/23,SEA,Torino,0-4,Napoli
02/04/23,SEA,Napoli,0-4,AC Milan
07/04/23,SEA,Lecce,1-2,Napoli
12/04/23,UCL,AC Milan,1-0,Napoli
15/04/23,SEA,Napoli,0-0,Verona
18/04/23,UCL,Napoli,1-1,AC Milan
23/04/23,SEA,Juventus,0-1,Napoli
30/04/23,SEA,Napoli,1-1,Salernitana
