Date,Competition,Home team,Score,Away team
28/09/23,SEA,Genoa,4-1,Roma
01/10/23,SEA,Roma,2-0,Frosinone
05/10/23,UEL,Roma,4-0,Servette
08/10/23,SEA,Cagliari,1-4,Roma
22/10/23,SEA,Roma,1-0,Monza
26/10/23,UEL,Roma,2-0,Slavia Prague
29/10/23,SEA,Inter Milan,1-0,Roma
05/11/23,SEA,Roma,2-1,Lecce
09/11/23,UEL,Slavia Prague,2-0,Roma
12/11/23,SEA,Lazio,0-0,Roma
26/11/23,SEA,Roma,3-1,Udinese
30/11/23,UEL,Servette,1-1,Roma
03/12/23,SEA,Sassuolo,1-2,Roma
10/12/23,SEA,Roma,1-1,Fiorentina
14/12/23,UEL,Roma,3-0,Sheriff
17/12/23,SEA,Bologna,2-0,Roma
23/12/23,SEA,Roma,2-0,Napoli
30/12/23,SEA,Juventus,1-0,Roma
03/01/24,COI,Roma,2-1,Cremonese
07/01/24,SEA,Roma,1-1,Atalanta
10/01/24,COI,Lazio,1-0,Roma
14/01/24,SEA,AC Milan,3-1,Roma
20/01/24,SEA,Roma,2-1,Verona
24/01/24,CLF,Al Shabab,1-2,Roma
29/01/24,SEA,Salernitana,1-2,Roma
05/02/24,SEA,Roma,4-0,Cagliari
10/02/24,SEA,Roma,2-4,Inter Milan
15/02/24,UEL,Feyenoord,1-1,Roma
18/02/24,SEA,Frosinone,0-3,Roma
22/02/24,UEL,Roma,P1-1P,Feyenoord
26/02/24,SEA,Roma,3-2,Torino
02/03/24,SEA,Monza,1-4,Roma
07/03/24,UEL,Roma,4-0,Brighton & Hove Albion
10/03/24,SEA,Fiorentina,2-2,Roma
14/03/24,UEL,Brighton & Hove Albion,1-0,Roma
17/03/24,SEA,Roma,1-0,Sassuolo
01/04/24,SEA,Lecce,0-0,Roma
06/04/24,SEA,Roma,1-0,Lazio
11/04/24,UEL,AC Milan,0-1,Roma
18/04/24,UEL,Roma,2-1,AC Milan
