Date,Competition,Home team,Score,Away team
08/05/23,SEA,Empoli,2-1,Salernitana
13/05/23,SEA,Salernitana,1-0,Atalanta
22/05/23,SEA,Roma,2-2,Salernitana
27/05/23,SEA,Salernitana,3-2,Udinese
03/06/23,SEA,Cremonese,2-0,Salernitana
23/07/23,CLF,Salernitana,1-0,Picerno
29/07/23,CLF,Frosinone,1-1,Salernitana
01/08/23,CLF,Salernitana,1-6,Hatayspor
05/08/23,CLF,Salernitana,2-1,Augsburg
13/08/23,COI,Salernitana,1-0,Ternana
20/08/23,SEA,Roma,2-2,Salernitana
28/08/23,SEA,Salernitana,1-1,Udinese
03/09/23,SEA,Lecce,2-0,Salernitana
18/09/23,SEA,Salernitana,0-3,Torino
22/09/23,SEA,Salernitana,1-1,Frosinone
27/09/23,SEA,Empoli,1-0,Salernitana
30/09/23,SEA,Salernitana,0-4,Inter Milan
08/10/23,SEA,Monza,3-0,Salernitana
22/10/23,SEA,Salernitana,2-2,Cagliari
27/10/23,SEA,Genoa,1-0,Salernitana
31/10/23,COI,Salernitana,4-0,Sampdoria
04/11/23,SEA,Salernitana,0-2,Napoli
10/11/23,SEA,Sassuolo,2-2,Salernitana
25/11/23,SEA,Salernitana,2-1,Lazio
03/12/23,SEA,Fiorentina,3-0,Salernitana
10/12/23,SEA,Salernitana,1-2,Bologna
18/12/23,SEA,Atalanta,4-1,Salernitana
22/12/23,SEA,Salernitana,2-2,AC Milan
30/12/23,SEA,Verona,0-1,Salernitana
04/01/24,COI,Juventus,6-1,Salernitana
07/01/24,SEA,Salernitana,1-2,Juventus
13/01/24,SEA,Napoli,2-1,Salernitana
21/01/24,SEA,Salernitana,1-2,Genoa
29/01/24,SEA,Salernitana,1-2,Roma
04/02/24,SEA,Torino,0-0,Salernitana
09/02/24,SEA,Salernitana,1-3,Empoli
16/02/24,SEA,Inter Milan,4-0,Salernitana
24/02/24,SEA,Salernitana,0-2,Monza
02/03/24,SEA,Udinese,1-1,Salernitana
09/03/24,SEA,Cagliari,4-2,Salernitana
16/03/24,SEA,Salernitana,0-1,Lecce
01/04/24,SEA,Bologna,3-0,Salernitana
05/04/24,SEA,Salernitana,2-2,Sassuolo
12/04/24,SEA,Lazio,4-1,Salernitana
21/04/24,SEA,Salernitana,0-2,Fiorentina
26/04/24,SEA,Frosinone,3-0,Salernitana
06/05/24,SEA,Salernitana,18:00,Atalanta
12/05/24,SEA,Juventus,18:00,Salernitana
19/05/24,SEA,Salernitana,-,Verona
26/05/24,SEA,AC Milan,-,Salernitana
10/04/22,SEA,Roma,2-1,Salernitana
16/04/22,SEA,Sampdoria,1-2,Salernitana
20/04/22,SEA,Udinese,0-1,Salernitana
24/04/22,SEA,Salernitana,2-1,Fiorentina
02/05/22,SEA,Atalanta,1-1,Salernitana
05/05/22,SEA,Salernitana,2-1,Venezia
08/05/22,SEA,Salernitana,1-1,Cagliari
14/05/22,SEA,Empoli,1-1,Salernitana
22/05/22,SEA,Salernitana,0-4,Udinese
13/07/22,CLF,Salernitana,0-0,Schalke 04
16/07/22,CLF,Hoffenheim,2-2,Salernitana
19/07/22,CLF,Salernitana,CANC,Rayo Vallecano
