Date,Competition,Home team,Score,Away team
13/05/23,SEA,Inter Milan,4-2,Sassuolo
19/05/23,SEA,Sassuolo,1-2,Monza
26/05/23,SEA,Sampdoria,2-2,Sassuolo
02/06/23,SEA,Sassuolo,1-3,Fiorentina
19/07/23,CLF,Sassuolo,2-1,Pafos
27/07/23,CLF,Sassuolo,4-0,Südtirol
02/08/23,CLF,Parma,1-0,Sassuolo
05/08/23,CLF,Wolfsburg,1-1,Sassuolo
13/08/23,COI,Cosenza,E2-5E,Sassuolo
20/08/23,SEA,Sassuolo,0-2,Atalanta
27/08/23,SEA,Napoli,2-0,Sassuolo
01/09/23,SEA,Sassuolo,3-1,Verona
09/09/23,CLF,Sassuolo,0-2,FeralpiSalò
17/09/23,SEA,Frosinone,4-2,Sassuolo
23/09/23,SEA,Sassuolo,4-2,Juventus
27/09/23,SEA,Inter Milan,1-2,Sassuolo
02/10/23,SEA,Sassuolo,0-1,Monza
06/10/23,SEA,Lecce,1-1,Sassuolo
21/10/23,SEA,Sassuolo,0-2,Lazio
28/10/23,SEA,Sassuolo,1-1,Bologna
02/11/23,COI,Sassuolo,P0-0P,Spezia
06/11/23,SEA,Torino,2-1,Sassuolo
10/11/23,SEA,Sassuolo,2-2,Salernitana
26/11/23,SEA,Empoli,3-4,Sassuolo
03/12/23,SEA,Sassuolo,1-2,Roma
11/12/23,SEA,Cagliari,2-1,Sassuolo
17/12/23,SEA,Udinese,2-2,Sassuolo
22/12/23,SEA,Sassuolo,1-2,Genoa
30/12/23,SEA,AC Milan,1-0,Sassuolo
03/01/24,COI,Atalanta,3-1,Sassuolo
06/01/24,SEA,Sassuolo,1-0,Fiorentina
16/01/24,SEA,Juventus,3-0,Sassuolo
28/01/24,SEA,Monza,1-0,Sassuolo
03/02/24,SEA,Bologna,4-2,Sassuolo
10/02/24,SEA,Sassuolo,1-1,Torino
17/02/24,SEA,Atalanta,3-0,Sassuolo
24/02/24,SEA,Sassuolo,2-3,Empoli
28/02/24,SEA,Sassuolo,1-6,Napoli
03/03/24,SEA,Verona,1-0,Sassuolo
09/03/24,SEA,Sassuolo,1-0,Frosinone
17/03/24,SEA,Roma,1-0,Sassuolo
01/04/24,SEA,Sassuolo,1-1,Udinese
05/04/24,SEA,Salernitana,2-2,Sassuolo
14/04/24,SEA,Sassuolo,3-3,AC Milan
21/04/24,SEA,Sassuolo,0-3,Lecce
28/04/24,SEA,Fiorentina,5-1,Sassuolo
04/05/24,SEA,Sassuolo,20:45,Inter Milan
12/05/24,SEA,Genoa,15:00,Sassuolo
19/05/24,SEA,Sassuolo,-,Cagliari
26/05/24,SEA,Lazio,-,Sassuolo
10/04/22,SEA,Sassuolo,2-1,Atalanta
16/04/22,SEA,Cagliari,1-0,Sassuolo
25/04/22,SEA,Sassuolo,1-2,Juventus
30/04/22,SEA,Napoli,6-1,Sassuolo
07/05/22,SEA,Sassuolo,1-1,Udinese
15/05/22,SEA,Bologna,1-3,Sassuolo
22/05/22,SEA,Sassuolo,0-3,AC Milan
16/07/22,CLF,Sassuolo,3-1,Jablonec
21/07/22,CLF,Sassuolo,2-0,Südtirol
31/07/22,CLF,Reims,2-2,Sassuolo
04/08/22,CLF,Sassuolo,4-1,Vis Pesaro
08/08/22,COI,Modena,3-2,Sassuolo
15/08/22,SEA,Juventus,3-0,Sassuolo
20/08/22,SEA,Sassuolo,1-0,Lecce
27/08/22,SEA,Spezia,2-2,Sassuolo
30/08/22,SEA,Sassuolo,0-0,AC Milan
04/09/22,SEA,Cremonese,0-0,Sassuolo
11/09/22,SEA,Sassuolo,1-3,Udinese
17/09/22,SEA,Torino,0-1,Sassuolo
02/10/22,SEA,Sassuolo,5-0,Salernitana
08/10/22,SEA,Sassuolo,1-2,Inter Milan
15/10/22,SEA,Atalanta,2-1,Sassuolo
24/10/22,SEA,Sassuolo,2-1,Verona
29/10/22,SEA,Napoli,4-0,Sassuolo
05/11/22,SEA,Empoli,1-0,Sassuolo
09/11/22,SEA,Sassuolo,1-1,Roma
12/11/22,SEA,Bologna,3-0,Sassuolo
11/12/22,CLF,Marseille,2-3,Sassuolo
17/12/22,CLF,PSV,CANC,Sassuolo
23/12/22,CLF,Empoli,2-1,Sassuolo
29/12/22,CLF,Sassuolo,0-1,Inter Milan
04/01/23,SEA,Sassuolo,1-2,Sampdoria
07/01/23,SEA,Fiorentina,2-1,Sassuolo
15/01/23,SEA,Sassuolo,0-2,Lazio
22/01/23,SEA,Monza,1-1,Sassuolo
29/01/23,SEA,AC Milan,2-5,Sassuolo
04/02/23,SEA,Sassuolo,1-0,Atalanta
12/02/23,SEA,Udinese,2-2,Sassuolo
17/02/23,SEA,Sassuolo,0-2,Napoli
25/02/23,SEA,Lecce,0-1,Sassuolo
06/03/23,SEA,Sassuolo,3-2,Cremonese
12/03/23,SEA,Roma,3-4,Sassuolo
17/03/23,SEA,Sassuolo,1-0,Spezia
03/04/23,SEA,Sassuolo,1-1,Torino
08/04/23,SEA,Verona,2-1,Sassuolo
16/04/23,SEA,Sassuolo,1-0,Juventus
22/04/23,SEA,Salernitana,3-0,Sassuolo
30/04/23,SEA,Sassuolo,2-1,Empoli
03/05/23,SEA,Lazio,2-0,Sassuolo
08/05/23,SEA,Sassuolo,1-1,Bologna
17/03/21,SEA,Torino,3-2,Sassuolo
03/04/21,SEA,Sassuolo,2-2,Roma
07/04/21,SEA,Inter Milan,2-1,Sassuolo
12/04/21,SEA,Benevento,0-1,Sassuolo
17/04/21,SEA,Sassuolo,3-1,Fiorentina
21/04/21,SEA,AC Milan,1-2,Sassuolo
24/04/21,SEA,Sassuolo,1-0,Sampdoria
02/05/21,SEA,Sassuolo,1-1,Atalanta
09/05/21,SEA,Genoa,1-2,Sassuolo
12/05/21,SEA,Sassuolo,1-3,Juventus
16/05/21,SEA,Parma,1-3,Sassuolo
