Date,Competition,Home team,Score,Away team
03/05/23,SEA,Sampdoria,0-2,Torino
07/05/23,SEA,Torino,1-1,Monza
14/05/23,SEA,Verona,0-1,Torino
21/05/23,SEA,Torino,1-1,Fiorentina
27/05/23,SEA,Spezia,0-4,Torino
03/06/23,SEA,Torino,0-1,Inter Milan
22/07/23,CLF,Torino,2-0,FeralpiSalò
28/07/23,CLF,Torino,2-1,Modena
02/08/23,CLF,Lens,0-0,Torino
06/08/23,CLF,Reims,2-1,Torino
14/08/23,COI,Torino,2-1,FeralpiSalò
21/08/23,SEA,Torino,0-0,Cagliari
26/08/23,SEA,AC Milan,4-1,Torino
03/09/23,SEA,Torino,1-0,Genoa
18/09/23,SEA,Salernitana,0-3,Torino
24/09/23,SEA,Torino,1-1,Roma
27/09/23,SEA,Lazio,2-0,Torino
02/10/23,SEA,Torino,0-0,Verona
07/10/23,SEA,Juventus,2-0,Torino
21/10/23,SEA,Torino,0-3,Inter Milan
28/10/23,SEA,Lecce,0-1,Torino
02/11/23,COI,Torino,E1-2E,Frosinone
06/11/23,SEA,Torino,2-1,Sassuolo
11/11/23,SEA,Monza,1-1,Torino
27/11/23,SEA,Bologna,2-0,Torino
04/12/23,SEA,Torino,3-0,Atalanta
10/12/23,SEA,Frosinone,0-0,Torino
16/12/23,SEA,Torino,1-0,Empoli
23/12/23,SEA,Torino,1-1,Udinese
29/12/23,SEA,Fiorentina,1-0,Torino
07/01/24,SEA,Torino,3-0,Napoli
13/01/24,SEA,Genoa,0-0,Torino
26/01/24,SEA,Cagliari,1-2,Torino
04/02/24,SEA,Torino,0-0,Salernitana
10/02/24,SEA,Sassuolo,1-1,Torino
16/02/24,SEA,Torino,2-0,Lecce
22/02/24,SEA,Torino,0-2,Lazio
26/02/24,SEA,Roma,3-2,Torino
02/03/24,SEA,Torino,0-0,Fiorentina
08/03/24,SEA,Napoli,1-1,Torino
16/03/24,SEA,Udinese,0-2,Torino
30/03/24,SEA,Torino,1-0,Monza
06/04/24,SEA,Empoli,3-2,Torino
13/04/24,SEA,Torino,0-0,Juventus
21/04/24,SEA,Torino,0-0,Frosinone
28/04/24,SEA,Inter Milan,2-0,Torino
03/05/24,SEA,Torino,20:45,Bologna
12/05/24,SEA,Verona,15:00,Torino
19/05/24,SEA,Torino,-,AC Milan
26/05/24,SEA,Atalanta,-,Torino
01/05/22,SEA,Empoli,1-3,Torino
07/05/22,SEA,Torino,0-1,Napoli
14/05/22,SEA,Verona,0-1,Torino
20/05/22,SEA,Torino,0-3,Roma
15/07/22,CLF,Eintracht Frankfurt,3-1,Torino
19/07/22,CLF,Torino,2-0,Mladá Boleslav
23/07/22,CLF,Torino,CANC,Al Wahda
23/07/22,CLF,Trabzonspor,0-3,Torino
27/07/22,CLF,Torino,1-0,Apollon
30/07/22,CLF,Nice,1-0,Torino
06/08/22,COI,Torino,3-0,Palermo
13/08/22,SEA,Monza,1-2,Torino
20/08/22,SEA,Torino,0-0,Lazio
27/08/22,SEA,Cremonese,1-2,Torino
01/09/22,SEA,Atalanta,3-1,Torino
05/09/22,SEA,Torino,1-0,Lecce
10/09/22,SEA,Inter Milan,1-0,Torino
17/09/22,SEA,Torino,0-1,Sassuolo
01/10/22,SEA,Napoli,3-1,Torino
09/10/22,SEA,Torino,1-1,Empoli
15/10/22,SEA,Torino,0-1,Juventus
18/10/22,COI,Torino,4-0,Cittadella
23/10/22,SEA,Udinese,1-2,Torino
30/10/22,SEA,Torino,2-1,AC Milan
06/11/22,SEA,Bologna,2-1,Torino
09/11/22,SEA,Torino,2-0,Sampdoria
13/11/22,SEA,Roma,1-1,Torino
10/12/22,CLF,Espanyol,0-1,Torino
16/12/22,CLF,Almeria,1-1,Torino
23/12/22,CLF,Torino,0-0,Cremonese
28/12/22,CLF,Monza,1-4,Torino
04/01/23,SEA,Torino,1-1,Verona
08/01/23,SEA,Salernitana,1-1,Torino
11/01/23,COI,AC Milan,E0-1E,Torino
15/01/23,SEA,Torino,0-1,Spezia
21/01/23,SEA,Fiorentina,0-1,Torino
28/01/23,SEA,Empoli,2-2,Torino
01/02/23,COI,Fiorentina,2-1,Torino
05/02/23,SEA,Torino,1-0,Udinese
10/02/23,SEA,AC Milan,1-0,Torino
20/02/23,SEA,Torino,2-2,Cremonese
28/02/23,SEA,Juventus,4-2,Torino
06/03/23,SEA,Torino,1-0,Bologna
12/03/23,SEA,Lecce,0-2,Torino
19/03/23,SEA,Torino,0-4,Napoli
03/04/23,SEA,Sassuolo,1-1,Torino
08/04/23,SEA,Torino,0-1,Roma
16/04/23,SEA,Torino,1-1,Salernitana
22/04/23,SEA,Lazio,0-1,Torino
29/04/23,SEA,Torino,1-2,Atalanta
10/04/21,SEA,Udinese,0-1,Torino
18/04/21,SEA,Torino,3-1,Roma
21/04/21,SEA,Bologna,1-1,Torino
26/04/21,SEA,Torino,0-2,Napoli
03/05/21,SEA,Torino,1-0,Parma
09/05/21,SEA,Verona,1-1,Torino
12/05/21,SEA,Torino,0-7,AC Milan
15/05/21,SEA,Spezia,4-1,Torino
18/05/21,SEA,Lazio,0-0,Torino
23/05/21,SEA,Torino,1-1,Benevento
24/07/21,CLF,Bochum,CANC,Torino
27/07/21,CLF,Torino,0-0,Al Fateh
31/07/21,CLF,Rennes,1-0,Torino
08/08/21,CLF,AZ,2-1,Torino
15/08/21,COI,Torino,P0-0P,Cremonese
21/08/21,SEA,Torino,1-2,Atalanta
28/08/21,SEA,Fiorentina,2-1,Torino
12/09/21,SEA,Torino,4-0,Salernitana
17/09/21,SEA,Sassuolo,0-1,Torino
23/09/21,SEA,Torino,1-1,Lazio
27/09/21,SEA,Venezia,1-1,Torino
02/10/21,SEA,Torino,0-1,Juventus
17/10/21,SEA,Napoli,1-0,Torino
22/10/21,SEA,Torino,3-2,Genoa
26/10/21,SEA,AC Milan,1-0,Torino
30/10/21,SEA,Torino,3-0,Sampdoria
06/11/21,SEA,Spezia,1-0,Torino
22/11/21,SEA,Torino,2-1,Udinese
28/11/21,SEA,Roma,1-0,Torino
02/12/21,SEA,Torino,2-2,Empoli
06/12/21,SEA,Cagliari,1-1,Torino
12/12/21,SEA,Torino,2-1,Bologna
16/12/21,COI,Sampdoria,2-1,Torino
19/12/21,SEA,Torino,1-0,Verona
22/12/21,SEA,Inter Milan,1-0,Torino
10/01/22,SEA,Torino,4-0,Fiorentina
15/01/22,SEA,Sampdoria,1-2,Torino
23/01/22,SEA,Torino,1-1,Sassuolo
06/02/22,SEA,Udinese,2-0,Torino
12/02/22,SEA,Torino,1-2,Venezia
18/02/22,SEA,Juventus,1-1,Torino
27/02/22,SEA,Torino,1-2,Cagliari
06/03/22,SEA,Bologna,0-0,Torino
13/03/22,SEA,Torino,1-1,Inter Milan
18/03/22,SEA,Genoa,1-0,Torino
02/04/22,SEA,Salernitana,0-1,Torino
10/04/22,SEA,Torino,0-0,AC Milan
16/04/22,SEA,Lazio,1-1,Torino
23/04/22,SEA,Torino,2-1,Spezia
27/04/22,SEA,Atalanta,4-4,Torino
17/02/20,SEA,AC Milan,1-0,Torino
29/02/20,SEA,Napoli,2-1,Torino
20/06/20,SEA,Torino,1-1,Parma
23/06/20,SEA,Torino,1-0,Udinese
27/06/20,SEA,Cagliari,4-2,Torino
30/06/20,SEA,Torino,1-2,Lazio
04/07/20,SEA,Juventus,4-1,Torino
08/07/20,SEA,Torino,3-1,Brescia
13/07/20,SEA,Inter Milan,3-1,Torino
16/07/20,SEA,Torino,3-0,Genoa
19/07/20,SEA,Fiorentina,2-0,Torino
22/07/20,SEA,Torino,1-1,Verona
26/07/20,SEA,SPAL,1-1,Torino
29/07/20,SEA,Torino,2-3,Roma
02/08/20,SEA,Bologna,1-1,Torino
29/08/20,CLF,Torino,4-1,Novara
02/09/20,CLF,Torino,1-1,Pro Patria
05/09/20,CLF,Torino,1-2,Pro Vercelli
12/09/20,CLF,Torino,CANC,Sampdoria
19/09/20,SEA,Fiorentina,1-0,Torino
26/09/20,SEA,Torino,2-4,Atalanta
18/10/20,SEA,Torino,2-3,Cagliari
23/10/20,SEA,Sassuolo,3-3,Torino
28/10/20,COI,Torino,E3-1E,Lecce
01/11/20,SEA,Torino,3-4,Lazio
04/11/20,SEA,Genoa,1-2,Torino
08/11/20,SEA,Torino,0-0,Crotone
22/11/20,SEA,Inter Milan,4-2,Torino
26/11/20,COI,Torino,2-0,Virtus Entella
30/11/20,SEA,Torino,2-2,Sampdoria
05/12/20,SEA,Juventus,2-1,Torino
12/12/20,SEA,Torino,2-3,Udinese
17/12/20,SEA,Roma,3-1,Torino
20/12/20,SEA,Torino,1-1,Bologna
23/12/20,SEA,Napoli,1-1,Torino
03/01/21,SEA,Parma,0-3,Torino
06/01/21,SEA,Torino,1-1,Verona
09/01/21,SEA,AC Milan,2-0,Torino
12/01/21,COI,AC Milan,P0-0P,Torino
16/01/21,SEA,Torino,0-0,Spezia
22/01/21,SEA,Benevento,2-2,Torino
29/01/21,SEA,Torino,1-1,Fiorentina
06/02/21,SEA,Atalanta,3-3,Torino
13/02/21,SEA,Torino,0-0,Genoa
19/02/21,SEA,Cagliari,0-1,Torino
07/03/21,SEA,Crotone,4-2,Torino
14/03/21,SEA,Torino,1-2,Inter Milan
17/03/21,SEA,Torino,3-2,Sassuolo
21/03/21,SEA,Sampdoria,1-0,Torino
03/04/21,SEA,Torino,2-2,Juventus
27/01/19,SEA,Torino,1-0,Inter Milan
03/02/19,SEA,SPAL,0-0,Torino
10/02/19,SEA,Torino,1-0,Udinese
17/02/19,SEA,Napoli,0-0,Torino
23/02/19,SEA,Torino,2-0,Atalanta
03/03/19,SEA,Torino,3-0,Chievo
10/03/19,SEA,Frosinone,1-2,Torino
16/03/19,SEA,Torino,2-3,Bologna
31/03/19,SEA,Fiorentina,1-1,Torino
03/04/19,SEA,Torino,2-1,Sampdoria
06/04/19,SEA,Parma,0-0,Torino
14/04/19,SEA,Torino,1-1,Cagliari
20/04/19,SEA,Genoa,0-1,Torino
28/04/19,SEA,Torino,2-0,AC Milan
03/05/19,SEA,Juventus,1-1,Torino
12/05/19,SEA,Torino,3-2,Sassuolo
19/05/19,SEA,Empoli,4-1,Torino
26/05/19,SEA,Torino,3-1,Lazio
18/07/19,CLF,Torino,3-2,Pro Patria
25/07/19,UEL,Torino,3-0,Debrecen
01/08/19,UEL,Debrecen,1-4,Torino
08/08/19,UEL,Torino,5-0,Shakhtyor Soligorsk
15/08/19,UEL,Shakhtyor Soligorsk,1-1,Torino
22/08/19,UEL,Torino,2-3,Wolverhampton Wanderers
