Date,Competition,Home team,Score,Away team
04/06/23,SEA,Udinese,0-1,Juventus
19/07/23,CLF,ASK Klagenfurt,1-5,Udinese
22/07/23,CLF,Udinese,2-0,Pafos
25/07/23,CLF,Udinese,2-1,RB Leipzig
29/07/23,CLF,Udinese,0-1,Union Berlin
04/08/23,CLF,Udinese,2-1,Al Rayyan
05/08/23,CLF,Udinese,2-1,Al Rayyan
11/08/23,COI,Udinese,4-1,Catanzaro
20/08/23,SEA,Udinese,0-3,Juventus
28/08/23,SEA,Salernitana,1-1,Udinese
02/09/23,SEA,Udinese,0-0,Frosinone
17/09/23,SEA,Cagliari,0-0,Udinese
24/09/23,SEA,Udinese,0-2,Fiorentina
27/09/23,SEA,Napoli,4-1,Udinese
01/10/23,SEA,Udinese,2-2,Genoa
06/10/23,SEA,Empoli,0-0,Udinese
14/10/23,CLF,Rijeka,1-1,Udinese
23/10/23,SEA,Udinese,1-1,Lecce
29/10/23,SEA,Monza,1-1,Udinese
01/11/23,COI,Udinese,E1-2E,Cagliari
04/11/23,SEA,AC Milan,0-1,Udinese
12/11/23,SEA,Udinese,1-1,Atalanta
18/11/23,CLF,Udinese,1-1,Istra 1961
26/11/23,SEA,Roma,3-1,Udinese
03/12/23,SEA,Udinese,3-3,Verona
09/12/23,SEA,Inter Milan,4-0,Udinese
17/12/23,SEA,Udinese,2-2,Sassuolo
23/12/23,SEA,Torino,1-1,Udinese
30/12/23,SEA,Udinese,3-0,Bologna
07/01/24,SEA,Udinese,1-2,Lazio
14/01/24,SEA,Fiorentina,2-2,Udinese
20/01/24,SEA,Udinese,2-3,AC Milan
27/01/24,SEA,Atalanta,2-0,Udinese
03/02/24,SEA,Udinese,0-0,Monza
12/02/24,SEA,Juventus,0-1,Udinese
18/02/24,SEA,Udinese,1-1,Cagliari
24/02/24,SEA,Genoa,2-0,Udinese
02/03/24,SEA,Udinese,1-1,Salernitana
11/03/24,SEA,Lazio,1-2,Udinese
16/03/24,SEA,Udinese,0-2,Torino
25/03/24,CLF,Udinese,2-3,Padova
01/04/24,SEA,Sassuolo,1-1,Udinese
08/04/24,SEA,Udinese,1-2,Inter Milan
20/04/24,SEA,Verona,1-0,Udinese
25/04/24,SEA,Udinese,1-2,Roma
28/04/24,SEA,Bologna,1-1,Udinese
06/05/24,SEA,Udinese,20:45,Napoli
13/05/24,SEA,Lecce,18:30,Udinese
19/05/24,SEA,Udinese,-,Empoli
26/05/24,SEA,Frosinone,-,Udinese
16/07/22,CLF,Udinese,3-3,Union Berlin
17/07/22,CLF,Udinese,CANC,Schalke 04
17/07/22,CLF,Udinese,3-0,Ilirija
21/07/22,CLF,Udinese,1-2,Bayer Leverkusen
25/07/22,CLF,Udinese,2-1,Pafos
29/07/22,CLF,Udinese,1-3,Chelsea
05/08/22,COI,Udinese,2-1,FeralpiSalò
13/08/22,SEA,AC Milan,4-2,Udinese
20/08/22,SEA,Udinese,0-0,Salernitana
