Date,Competition,Home team,Score,Away team
03/05/23,SEA,Verona,0-6,Inter Milan
07/05/23,SEA,Lecce,0-1,Verona
14/05/23,SEA,Verona,0-1,Torino
20/05/23,SEA,Atalanta,3-1,Verona
28/05/23,SEA,Verona,1-1,Empoli
04/06/23,SEA,AC Milan,3-1,Verona
11/06/23,SEA,Spezia,1-3,Verona
23/07/23,CLF,Verona,3-0,Virtus Verona
29/07/23,CLF,Bastia,3-1,Verona
05/08/23,CLF,Heidenheim,3-2,Verona
12/08/23,COI,Verona,3-1,Ascoli
19/08/23,SEA,Empoli,0-1,Verona
26/08/23,SEA,Verona,2-1,Roma
01/09/23,SEA,Sassuolo,3-1,Verona
18/09/23,SEA,Verona,0-0,Bologna
23/09/23,SEA,AC Milan,1-0,Verona
27/09/23,SEA,Verona,0-1,Atalanta
02/10/23,SEA,Torino,0-0,Verona
08/10/23,SEA,Frosinone,2-1,Verona
21/10/23,SEA,Verona,1-3,Napoli
28/10/23,SEA,Juventus,1-0,Verona
31/10/23,COI,Bologna,2-0,Verona
05/11/23,SEA,Verona,1-3,Monza
10/11/23,SEA,Genoa,1-0,Verona
27/11/23,SEA,Verona,2-2,Lecce
03/12/23,SEA,Udinese,3-3,Verona
09/12/23,SEA,Verona,1-1,Lazio
17/12/23,SEA,Fiorentina,1-0,Verona
23/12/23,SEA,Verona,2-0,Cagliari
30/12/23,SEA,Verona,0-1,Salernitana
06/01/24,SEA,Inter Milan,2-1,Verona
13/01/24,SEA,Verona,2-1,Empoli
20/01/24,SEA,Roma,2-1,Verona
28/01/24,SEA,Verona,1-1,Frosinone
04/02/24,SEA,Napoli,2-1,Verona
11/02/24,SEA,Monza,0-0,Verona
17/02/24,SEA,Verona,2-2,Juventus
23/02/24,SEA,Bologna,2-0,Verona
03/03/24,SEA,Verona,1-0,Sassuolo
10/03/24,SEA,Lecce,0-1,Verona
17/03/24,SEA,Verona,1-3,AC Milan
01/04/24,SEA,Cagliari,1-1,Verona
07/04/24,SEA,Verona,1-2,Genoa
15/04/24,SEA,Atalanta,2-2,Verona
20/04/24,SEA,Verona,1-0,Udinese
27/04/24,SEA,Lazio,1-0,Verona
05/05/24,SEA,Verona,15:00,Fiorentina
12/05/24,SEA,Verona,15:00,Torino
19/05/24,SEA,Salernitana,-,Verona
26/05/24,SEA,Verona,-,Inter Milan
06/03/22,SEA,Fiorentina,1-1,Verona
13/03/22,SEA,Verona,1-2,Napoli
20/03/22,SEA,Empoli,1-1,Verona
04/04/22,SEA,Verona,1-0,Genoa
09/04/22,SEA,Inter Milan,2-0,Verona
18/04/22,SEA,Atalanta,1-2,Verona
23/04/22,SEA,Verona,1-1,Sampdoria
30/04/22,SEA,Cagliari,1-2,Verona
08/05/22,SEA,Verona,1-3,AC Milan
14/05/22,SEA,Verona,0-1,Torino
21/05/22,SEA,Lazio,3-3,Verona
16/07/22,CLF,Verona,1-0,Virtus Verona
23/07/22,CLF,Hoffenheim,CANC,Verona
30/07/22,CLF,Verona,4-3,Cremonese
07/08/22,COI,Verona,1-4,Bari
15/08/22,SEA,Verona,2-5,Napoli
21/08/22,SEA,Bologna,1-1,Verona
28/08/22,SEA,Verona,0-1,Atalanta
31/08/22,SEA,Empoli,1-1,Verona
04/09/22,SEA,Verona,2-1,Sampdoria
11/09/22,SEA,Lazio,2-0,Verona
18/09/22,SEA,Fiorentina,2-0,Verona
25/09/22,CLF,Verona,CANC,Koper
03/10/22,SEA,Verona,1-2,Udinese
09/10/22,SEA,Salernitana,2-1,Verona
16/10/22,SEA,Verona,1-2,AC Milan
24/10/22,SEA,Sassuolo,2-1,Verona
31/10/22,SEA,Verona,1-3,Roma
06/11/22,SEA,Monza,2-0,Verona
10/11/22,SEA,Verona,0-1,Juventus
13/11/22,SEA,Verona,1-2,Spezia
18/12/22,CLF,Verona,0-0,Istra 1961
22/12/22,CLF,Verona,0-1,Bologna
04/01/23,SEA,Torino,1-1,Verona
09/01/23,SEA,Verona,2-0,Cremonese
14/01/23,SEA,Inter Milan,1-0,Verona
21/01/23,SEA,Verona,2-0,Lecce
30/01/23,SEA,Udinese,1-1,Verona
06/02/23,SEA,Verona,1-1,Lazio
13/02/23,SEA,Verona,1-0,Salernitana
19/02/23,SEA,Roma,1-0,Verona
27/02/23,SEA,Verona,0-3,Fiorentina
05/03/23,SEA,Spezia,0-0,Verona
12/03/23,SEA,Verona,1-1,Monza
19/03/23,SEA,Sampdoria,3-1,Verona
01/04/23,SEA,Juventus,1-0,Verona
08/04/23,SEA,Verona,2-1,Sassuolo
15/04/23,SEA,Napoli,0-0,Verona
21/04/23,SEA,Verona,2-1,Bologna
30/04/23,SEA,Cremonese,1-1,Verona
15/02/21,SEA,Verona,2-1,Parma
20/02/21,SEA,Genoa,2-2,Verona
27/02/21,SEA,Verona,1-1,Juventus
03/03/21,SEA,Benevento,0-3,Verona
07/03/21,SEA,Verona,0-2,AC Milan
13/03/21,SEA,Sassuolo,3-2,Verona
21/03/21,SEA,Verona,0-2,Atalanta
03/04/21,SEA,Cagliari,0-2,Verona
11/04/21,SEA,Verona,0-1,Lazio
17/04/21,SEA,Sampdoria,3-1,Verona
20/04/21,SEA,Verona,1-2,Fiorentina
25/04/21,SEA,Inter Milan,1-0,Verona
01/05/21,SEA,Verona,1-1,Spezia
09/05/21,SEA,Verona,1-1,Torino
13/05/21,SEA,Crotone,2-1,Verona
17/05/21,SEA,Verona,2-2,Bologna
23/05/21,SEA,Napoli,1-1,Verona
24/07/21,CLF,Verona,0-0,Virtus Verona
29/07/21,CLF,Verona,3-2,Modena
06/08/21,CLF,SPAL,CANC,Verona
07/08/21,CLF,Sampdoria,1-0,Verona
14/08/21,COI,Verona,3-0,Catanzaro
21/08/21,SEA,Verona,2-3,Sassuolo
27/08/21,SEA,Verona,1-3,Inter Milan
13/09/21,SEA,Bologna,1-0,Verona
19/09/21,SEA,Verona,3-2,Roma
22/09/21,SEA,Salernitana,2-2,Verona
25/09/21,SEA,Genoa,3-3,Verona
03/10/21,SEA,Verona,4-0,Spezia
16/10/21,SEA,AC Milan,3-2,Verona
24/10/21,SEA,Verona,4-1,Lazio
27/10/21,SEA,Udinese,1-1,Verona
30/10/21,SEA,Verona,2-1,Juventus
07/11/21,SEA,Napoli,1-1,Verona
22/11/21,SEA,Verona,2-1,Empoli
27/11/21,SEA,Sampdoria,3-1,Verona
30/11/21,SEA,Verona,0-0,Cagliari
05/12/21,SEA,Venezia,3-4,Verona
12/12/21,SEA,Verona,1-2,Atalanta
15/12/21,COI,Verona,3-4,Empoli
19/12/21,SEA,Torino,1-0,Verona
22/12/21,SEA,Verona,1-1,Fiorentina
06/01/22,SEA,Spezia,1-2,Verona
09/01/22,SEA,Verona,1-2,Salernitana
16/01/22,SEA,Sassuolo,2-4,Verona
21/01/22,SEA,Verona,2-1,Bologna
06/02/22,SEA,Juventus,2-0,Verona
13/02/22,SEA,Verona,4-0,Udinese
19/02/22,SEA,Roma,2-2,Verona
27/02/22,SEA,Verona,3-1,Venezia
07/12/19,SEA,Atalanta,3-2,Verona
15/12/19,SEA,Verona,3-3,Torino
05/01/20,SEA,SPAL,0-2,Verona
12/01/20,SEA,Verona,2-1,Genoa
19/01/20,SEA,Bologna,1-1,Verona
26/01/20,SEA,Verona,3-0,Lecce
02/02/20,SEA,AC Milan,1-1,Verona
05/02/20,SEA,Lazio,0-0,Verona
08/02/20,SEA,Verona,2-1,Juventus
16/02/20,SEA,Udinese,0-0,Verona
08/03/20,SEA,Sampdoria,2-1,Verona
20/06/20,SEA,Verona,2-1,Cagliari
23/06/20,SEA,Verona,0-2,Napoli
28/06/20,SEA,Sassuolo,3-3,Verona
01/07/20,SEA,Verona,3-2,Parma
05/07/20,SEA,Brescia,2-0,Verona
09/07/20,SEA,Verona,2-2,Inter Milan
12/07/20,SEA,Fiorentina,1-1,Verona
15/07/20,SEA,Roma,2-1,Verona
18/07/20,SEA,Verona,1-1,Atalanta
22/07/20,SEA,Torino,1-1,Verona
26/07/20,SEA,Verona,1-5,Lazio
29/07/20,SEA,Verona,3-0,SPAL
02/08/20,SEA,Genoa,3-0,Verona
04/09/20,CLF,Hartberg,CANC,Verona
06/09/20,CLF,Verona,4-3,Gorica
12/09/20,CLF,Verona,0-1,Cremonese
19/09/20,SEA,Verona,3-0,Roma
27/09/20,SEA,Verona,1-0,Udinese
04/10/20,SEA,Parma,1-0,Verona
19/10/20,SEA,Verona,0-0,Genoa
25/10/20,SEA,Juventus,1-1,Verona
28/10/20,COI,Verona,P3-3P,Venezia
02/11/20,SEA,Verona,3-1,Benevento
08/11/20,SEA,AC Milan,2-2,Verona
22/11/20,SEA,Verona,0-2,Sassuolo
25/11/20,COI,Cagliari,2-1,Verona
28/11/20,SEA,Atalanta,0-2,Verona
06/12/20,SEA,Verona,1-1,Cagliari
12/12/20,SEA,Lazio,1-2,Verona
16/12/20,SEA,Verona,1-2,Sampdoria
19/12/20,SEA,Fiorentina,1-1,Verona
23/12/20,SEA,Verona,1-2,Inter Milan
03/01/21,SEA,Spezia,0-1,Verona
06/01/21,SEA,Torino,1-1,Verona
10/01/21,SEA,Verona,2-1,Crotone
16/01/21,SEA,Bologna,1-0,Verona
24/01/21,SEA,Verona,3-1,Napoli
31/01/21,SEA,Roma,3-1,Verona
07/02/21,SEA,Udinese,2-0,Verona
02/11/18,SEB,Verona,1-1,Cremonese
11/11/18,SEB,Brescia,4-2,Verona
23/11/18,SEB,Verona,1-1,Palermo
09/12/18,SEB,Benevento,0-1,Verona
17/12/18,SEB,Verona,3-1,Pescara
22/12/18,SEB,Livorno,0-0,Verona
27/12/18,SEB,Verona,4-0,Cittadella
30/12/18,SEB,Foggia,2-2,Verona
20/01/19,SEB,Padova,3-0,Verona
28/01/19,SEB,Verona,2-2,Cosenza
02/02/19,SEB,Carpi,1-1,Verona
10/02/19,SEB,Verona,1-1,Crotone
17/02/19,SEB,Spezia,1-2,Verona
22/02/19,SEB,Verona,1-0,Salernitana
26/02/19,SEB,Lecce,2-1,Verona
03/03/19,SEB,Verona,1-0,Venezia
08/03/19,SEB,Perugia,1-2,Verona
16/03/19,SEB,Verona,1-1,Ascoli
29/03/19,SEB,Cremonese,1-1,Verona
02/04/19,SEB,Verona,2-2,Brescia
08/04/19,SEB,Palermo,1-0,Verona
22/04/19,SEB,Verona,0-3,Benevento
27/04/19,SEB,Pescara,1-1,Verona
01/05/19,SEB,Verona,2-3,Livorno
04/05/19,SEB,Cittadella,3-0,Verona
11/05/19,SEB,Verona,2-1,Foggia
18/05/19,SEB,Verona,E4-1E,Perugia
22/05/19,SEB,Verona,0-0,Pescara
26/05/19,SEB,Pescara,0-1,Verona
30/05/19,SEB,Cittadella,2-0,Verona
02/06/19,SEB,Verona,3-0,Cittadella
25/07/19,CLF,Hoffenheim,0-0,Verona
29/07/19,CLF,Verona,1-1,Trabzonspor
04/08/19,CLF,SPAL,0-0,Verona
18/08/19,COI,Verona,E1-2E,Cremonese
25/08/19,SEA,Verona,1-1,Bologna
01/09/19,SEA,Lecce,0-1,Verona
15/09/19,SEA,Verona,0-1,AC Milan
21/09/19,SEA,Juventus,2-1,Verona
24/09/19,SEA,Verona,0-0,Udinese
29/09/19,SEA,Cagliari,1-1,Verona
05/10/19,SEA,Verona,2-0,Sampdoria
19/10/19,SEA,Napoli,2-0,Verona
25/10/19,SEA,Verona,0-1,Sassuolo
29/10/19,SEA,Parma,0-1,Verona
03/11/19,SEA,Verona,2-1,Brescia
