Date,Competition,Home team,Score,Away team
22/07/23,CLF,Club Brugge,1-2,AZ
29/07/23,CLF,Southampton,0-1,AZ
05/08/23,CLF,AZ,1-0,Bologna
10/08/23,UEC,FC Santa Coloma,0-1,AZ
13/08/23,ERE,AZ,5-1,Go Ahead Eagles
17/08/23,UEC,AZ,2-0,FC Santa Coloma
20/08/23,ERE,RKC Waalwijk,1-3,AZ
24/08/23,UEC,AZ,1-1,Brann
31/08/23,UEC,Brann,P3-3P,AZ
03/09/23,ERE,Vitesse,0-2,AZ
17/09/23,ERE,AZ,2-0,Sparta Rotterdam
21/09/23,UEC,Zrinjski,4-3,AZ
24/09/23,ERE,PEC Zwolle,0-3,AZ
28/09/23,ERE,AZ,1-1,Heracles
01/10/23,ERE,AZ,4-0,Fortuna Sittard
05/10/23,UEC,AZ,1-0,Legia Warsaw
08/10/23,ERE,Ajax,1-2,AZ
21/10/23,ERE,AZ,3-0,Heerenveen
26/10/23,UEC,AZ,1-4,Aston Villa
04/11/23,ERE,Excelsior,1-1,AZ
09/11/23,UEC,Aston Villa,2-1,AZ
12/11/23,ERE,Feyenoord,1-0,AZ
26/11/23,ERE,AZ,3-0,Volendam
30/11/23,UEC,AZ,1-0,Zrinjski
03/12/23,ERE,Utrecht,1-1,AZ
06/12/23,ERE,AZ,1-2,NEC
09/12/23,ERE,AZ,4-1,Almere City
14/12/23,UEC,Legia Warsaw,2-0,AZ
17/12/23,ERE,AZ,0-4,PSV
20/12/23,KNB,HHC,E2-3E,AZ
13/01/24,ERE,Twente,2-1,AZ
16/01/24,KNB,AZ,P3-3P,Quick Boys
20/01/24,ERE,AZ,2-2,PEC Zwolle
28/01/24,ERE,Heerenveen,2-2,AZ
04/02/24,ERE,AZ,0-1,Feyenoord
07/02/24,KNB,Feyenoord,2-0,AZ
10/02/24,ERE,Almere City,0-0,AZ
17/02/24,ERE,Fortuna Sittard,1-2,AZ
25/02/24,ERE,AZ,2-0,Ajax
02/03/24,ERE,Sparta Rotterdam,1-1,AZ
10/03/24,ERE,AZ,4-0,Excelsior
17/03/24,ERE,Volendam,0-4,AZ
30/03/24,ERE,AZ,2-0,Vitesse
03/04/24,ERE,Heracles,5-0,AZ
06/04/24,ERE,PSV,5-1,AZ
13/04/24,ERE,AZ,3-2,RKC Waalwijk
28/04/24,ERE,NEC,0-3,AZ
05/05/24,ERE,AZ,16:45,Twente
12/05/24,ERE,Go Ahead Eagles,14:30,AZ
19/05/24,ERE,AZ,14:30,Utrecht
01/09/22,ERE,AZ,1-1,NEC
04/09/22,ERE,Emmen,0-3,AZ
08/09/22,UEC,Dnipro-1,0-1,AZ
11/09/22,ERE,AZ,1-1,Twente
15/09/22,UEC,AZ,4-1,Vaduz
18/09/22,ERE,AZ,2-1,Ajax
01/10/22,ERE,Groningen,1-4,AZ
06/10/22,UEC,AZ,3-2,Apollon
09/10/22,ERE,Utrecht,1-2,AZ
13/10/22,UEC,Apollon,1-0,AZ
16/10/22,ERE,AZ,1-3,Feyenoord
23/10/22,ERE,Excelsior,2-1,AZ
27/10/22,UEC,Vaduz,1-2,AZ
30/10/22,ERE,AZ,2-1,Volendam
03/11/22,UEC,AZ,2-1,Dnipro-1
06/11/22,ERE,RKC Waalwijk,3-1,AZ
12/11/22,ERE,PSV,0-1,AZ
22/12/22,CLF,Valencia,1-3,AZ
29/12/22,CLF,Atalanta,0-1,AZ
07/01/23,ERE,AZ,1-1,Vitesse
11/01/23,KNB,Excelsior,1-4,AZ
14/01/23,ERE,Heerenveen,0-2,AZ
22/01/23,ERE,AZ,3-1,Fortuna Sittard
25/01/23,ERE,Go Ahead Eagles,1-4,AZ
28/01/23,ERE,AZ,5-5,Utrecht
04/02/23,ERE,Volendam,1-1,AZ
07/02/23,KNB,AZ,E1-2E,Utrecht
10/02/23,ERE,AZ,5-0,Excelsior
18/02/23,ERE,Feyenoord,2-1,AZ
25/02/23,ERE,AZ,2-1,Cambuur
03/03/23,ERE,Vitesse,0-1,AZ
07/03/23,UEC,Lazio,1-2,AZ
11/03/23,ERE,AZ,1-0,Groningen
16/03/23,UEC,AZ,2-1,Lazio
19/03/23,ERE,Twente,2-1,AZ
01/04/23,ERE,AZ,1-1,Heerenveen
08/04/23,ERE,AZ,0-1,Sparta Rotterdam
13/04/23,UEC,Anderlecht,2-0,AZ
16/04/23,ERE,Fortuna Sittard,0-3,AZ
20/04/23,UEC,AZ,P2-0P,Anderlecht
23/04/23,ERE,AZ,3-0,RKC Waalwijk
06/05/23,ERE,Ajax,0-0,AZ
11/05/23,UEC,West Ham United,2-1,AZ
14/05/23,ERE,AZ,5-1,Emmen
18/05/23,UEC,AZ,0-1,West Ham United
21/05/23,ERE,NEC,0-3,AZ
28/05/23,ERE,AZ,1-2,PSV
08/07/23,CLF,AZ,3-3,Shakhtar Donetsk
15/07/23,CLF,AZ,4-0,Lech Poznań
19/07/23,CLF,AZ,1-1,Norwich City
28/11/21,ERE,Vitesse,0-0,AZ
02/12/21,ERE,AZ,2-1,Fortuna Sittard
05/12/21,ERE,AZ,3-1,Sparta Rotterdam
09/12/21,UEC,AZ,1-0,Randers
12/12/21,ERE,Ajax,1-2,AZ
15/12/21,KNB,AZ,4-1,Heracles
18/12/21,ERE,AZ,4-1,Willem II
21/12/21,ERE,AZ,1-0,Groningen
07/01/22,CLF,Gent,0-1,AZ
16/01/22,ERE,Fortuna Sittard,1-2,AZ
19/01/22,KNB,Twente,1-2,AZ
22/01/22,ERE,AZ,0-0,Cambuur
05/02/22,ERE,PSV,1-2,AZ
09/02/22,KNB,RKC Waalwijk,0-4,AZ
13/02/22,ERE,Go Ahead Eagles,1-4,AZ
19/02/22,ERE,AZ,2-1,Heracles
27/02/22,ERE,AZ,2-1,Feyenoord
03/03/22,KNB,AZ,0-2,Ajax
06/03/22,ERE,NEC,1-3,AZ
10/03/22,UEC,Bodø / Glimt,2-1,AZ
13/03/22,ERE,AZ,0-1,Twente
17/03/22,UEC,AZ,2-2,Bodø / Glimt
20/03/22,ERE,Willem II,2-2,AZ
02/04/22,ERE,AZ,3-1,Vitesse
10/04/22,ERE,PEC Zwolle,2-1,AZ
23/04/22,ERE,AZ,2-1,Heerenveen
30/04/22,ERE,Sparta Rotterdam,1-1,AZ
08/05/22,ERE,AZ,2-2,Ajax
11/05/22,ERE,Utrecht,2-2,AZ
15/05/22,ERE,AZ,1-3,RKC Waalwijk
19/05/22,ERE,Heerenveen,3-2,AZ
22/05/22,ERE,AZ,2-0,Heerenveen
26/05/22,ERE,Vitesse,2-1,AZ
29/05/22,ERE,AZ,6-1,Vitesse
02/07/22,CLF,Almere City,CANC,AZ
02/07/22,CLF,AZ,3-1,PEC Zwolle
06/07/22,CLF,AZ,2-2,PAOK
09/07/22,CLF,Olympiakos,1-0,AZ
16/07/22,CLF,Westerlo,0-1,AZ
20/07/22,CLF,VVV,CANC,AZ
21/07/22,UEC,AZ,1-0,Tuzla City
24/07/22,CLF,AZ,1-0,Bologna
28/07/22,UEC,Tuzla City,0-4,AZ
04/08/22,UEC,Dundee United,1-0,AZ
07/08/22,ERE,AZ,2-0,Go Ahead Eagles
11/08/22,UEC,AZ,7-0,Dundee United
14/08/22,ERE,Sparta Rotterdam,2-3,AZ
18/08/22,UEC,AZ,4-0,Gil Vicente
25/08/22,UEC,Gil Vicente,1-2,AZ
28/08/22,ERE,Cambuur,0-1,AZ
27/12/20,ERE,Utrecht,2-2,AZ
09/01/21,ERE,PEC Zwolle,1-1,AZ
13/01/21,ERE,PSV,1-3,AZ
16/01/21,ERE,AZ,2-1,ADO Den Haag
20/01/21,KNB,AZ,0-1,Ajax
24/01/21,ERE,Feyenoord,2-3,AZ
27/01/21,ERE,AZ,0-1,Utrecht
31/01/21,ERE,AZ,0-3,Ajax
06/02/21,ERE,Emmen,0-1,AZ
14/02/21,ERE,AZ,3-1,Heerenveen
20/02/21,ERE,VVV,1-4,AZ
28/02/21,ERE,AZ,4-2,Feyenoord
07/03/21,ERE,Vitesse,2-1,AZ
13/03/21,ERE,AZ,4-1,Twente
21/03/21,ERE,AZ,2-0,PSV
03/04/21,ERE,Willem II,0-1,AZ
10/04/21,ERE,AZ,2-0,Sparta Rotterdam
25/04/21,ERE,Ajax,2-0,AZ
01/05/21,ERE,RKC Waalwijk,1-3,AZ
08/05/21,ERE,AZ,1-0,Fortuna Sittard
13/05/21,ERE,Groningen,0-0,AZ
16/05/21,ERE,AZ,5-0,Heracles
03/07/21,CLF,AZ,4-1,NEC
07/07/21,CLF,AZ,3-0,TOP Oss
14/07/21,CLF,Genk,1-1,AZ
17/07/21,CLF,RB Leipzig,1-0,AZ
25/07/21,CLF,AZ,3-0,Panathinaikos
25/07/21,CLF,AZ,CANC,Panaitolikos
28/07/21,CLF,AZ,2-0,OFI
31/07/21,CLF,AZ,1-0,Real Sociedad
08/08/21,CLF,AZ,2-1,Torino
14/08/21,ERE,RKC Waalwijk,1-0,AZ
18/08/21,UEL,Celtic,2-0,AZ
26/08/21,UEL,AZ,2-1,Celtic
29/08/21,ERE,Heerenveen,1-3,AZ
11/09/21,ERE,AZ,0-3,PSV
16/09/21,UEC,Randers,2-2,AZ
19/09/21,ERE,Heracles,3-2,AZ
23/09/21,ERE,Twente,3-1,AZ
26/09/21,ERE,AZ,5-0,Go Ahead Eagles
30/09/21,UEC,AZ,1-0,Jablonec
03/10/21,ERE,Cambuur,1-3,AZ
17/10/21,ERE,AZ,5-1,Utrecht
21/10/21,UEC,CFR Cluj,0-1,AZ
24/10/21,ERE,Groningen,2-0,AZ
30/10/21,ERE,AZ,3-2,PEC Zwolle
