Date,Competition,Home team,Score,Away team
12/08/23,ERE,Ajax,4-1,Heracles
14/08/23,CLF,Ajax,0-1,Go Ahead Eagles
19/08/23,ERE,Excelsior,2-2,Ajax
24/08/23,UEL,Ludogorets,1-4,Ajax
31/08/23,UEL,Ajax,0-1,Ludogorets
03/09/23,ERE,Fortuna Sittard,0-0,Ajax
17/09/23,ERE,Twente,3-1,Ajax
21/09/23,UEL,Ajax,3-3,Marseille
27/09/23,ERE,Ajax,0-4,Feyenoord
05/10/23,UEL,AEK Athens,1-1,Ajax
08/10/23,ERE,Ajax,1-2,AZ
22/10/23,ERE,Utrecht,4-3,Ajax
26/10/23,UEL,Brighton & Hove Albion,2-0,Ajax
29/10/23,ERE,PSV,5-2,Ajax
02/11/23,ERE,Ajax,2-0,Volendam
05/11/23,ERE,Ajax,4-1,Heerenveen
09/11/23,UEL,Ajax,0-2,Brighton & Hove Albion
12/11/23,ERE,Almere City,2-2,Ajax
25/11/23,ERE,Ajax,5-0,Vitesse
30/11/23,UEL,Marseille,4-3,Ajax
03/12/23,ERE,NEC,1-2,Ajax
06/12/23,ERE,RKC Waalwijk,2-3,Ajax
09/12/23,ERE,Ajax,2-1,Sparta Rotterdam
14/12/23,UEL,Ajax,3-1,AEK Athens
17/12/23,ERE,Ajax,2-2,PEC Zwolle
21/12/23,KNB,USV Hercules,3-2,Ajax
06/01/24,CLF,Ajax,0-3,Hannover 96
07/01/24,CLF,Ajax,2-1,Hannover 96
14/01/24,ERE,Go Ahead Eagles,2-3,Ajax
21/01/24,ERE,Ajax,4-1,RKC Waalwijk
27/01/24,ERE,Heracles,2-4,Ajax
03/02/24,ERE,Ajax,1-1,PSV
11/02/24,ERE,Heerenveen,3-2,Ajax
15/02/24,UEC,Ajax,2-2,Bodø / Glimt
18/02/24,ERE,Ajax,2-2,NEC
22/02/24,UEC,Bodø / Glimt,E1-2E,Ajax
25/02/24,ERE,AZ,2-0,Ajax
03/03/24,ERE,Ajax,2-0,Utrecht
07/03/24,UEC,Ajax,0-0,Aston Villa
10/03/24,ERE,Ajax,2-2,Fortuna Sittard
14/03/24,UEC,Aston Villa,4-0,Ajax
17/03/24,ERE,Sparta Rotterdam,2-2,Ajax
31/03/24,ERE,PEC Zwolle,1-3,Ajax
04/04/24,ERE,Ajax,1-1,Go Ahead Eagles
07/04/24,ERE,Feyenoord,6-0,Ajax
14/04/24,ERE,Ajax,2-1,Twente
24/04/24,ERE,Ajax,2-2,Excelsior
05/05/24,ERE,Volendam,14:30,Ajax
12/05/24,ERE,Ajax,14:30,Almere City
19/05/24,ERE,Vitesse,14:30,Ajax
07/09/22,UCL,Ajax,4-0,Rangers
10/09/22,ERE,Ajax,5-0,Heerenveen
13/09/22,UCL,Liverpool,2-1,Ajax
18/09/22,ERE,AZ,2-1,Ajax
01/10/22,ERE,Ajax,1-1,Go Ahead Eagles
04/10/22,UCL,Ajax,1-6,Napoli
08/10/22,ERE,Volendam,2-4,Ajax
12/10/22,UCL,Napoli,4-2,Ajax
16/10/22,ERE,Ajax,7-1,Excelsior
22/10/22,ERE,RKC Waalwijk,1-4,Ajax
26/10/22,UCL,Ajax,0-3,Liverpool
01/11/22,UCL,Rangers,1-3,Ajax
06/11/22,ERE,Ajax,1-2,PSV
09/11/22,ERE,Ajax,2-2,Vitesse
12/11/22,ERE,Emmen,3-3,Ajax
03/12/22,CLF,Ajax,0-2,Blackburn Rovers
07/12/22,CLF,Ajax,5-4,Volendam
08/01/23,ERE,NEC,1-1,Ajax
11/01/23,KNB,Den Bosch,0-2,Ajax
14/01/23,ERE,Ajax,0-0,Twente
22/01/23,ERE,Feyenoord,1-1,Ajax
26/01/23,ERE,Ajax,1-1,Volendam
29/01/23,ERE,Excelsior,1-4,Ajax
05/02/23,ERE,Cambuur,0-5,Ajax
09/02/23,KNB,Twente,0-1,Ajax
12/02/23,ERE,Ajax,3-1,RKC Waalwijk
16/02/23,UEL,Ajax,0-0,Union Berlin
19/02/23,ERE,Ajax,4-0,Sparta Rotterdam
23/02/23,UEL,Union Berlin,3-1,Ajax
26/02/23,ERE,Vitesse,1-2,Ajax
02/03/23,KNB,De Graafschap,0-3,Ajax
05/03/23,ERE,Ajax,1-0,NEC
12/03/23,ERE,Heerenveen,2-4,Ajax
19/03/23,ERE,Ajax,2-3,Feyenoord
02/04/23,ERE,Go Ahead Eagles,0-0,Ajax
05/04/23,KNB,Feyenoord,1-2,Ajax
09/04/23,ERE,Ajax,4-0,Fortuna Sittard
16/04/23,ERE,Ajax,3-1,Emmen
23/04/23,ERE,PSV,3-0,Ajax
30/04/23,KNB,Ajax,P1-1P,PSV
06/05/23,ERE,Ajax,0-0,AZ
16/05/23,ERE,Groningen,2-3,Ajax
