Date,Competition,Home team,Score,Away team
22/05/23,PL1,Eindhoven,1-0,Almere City
26/05/23,PL1,Almere City,E3-1E,Eindhoven
30/05/23,PL1,VVV,1-1,Almere City
03/06/23,PL1,Almere City,P1-1P,VVV
06/06/23,PL1,Almere City,2-0,Emmen
11/06/23,PL1,Emmen,1-2,Almere City
15/07/23,CLF,Almere City,3-0,BW Lohne
22/07/23,CLF,Verl,0-1,Almere City
29/07/23,CLF,Viktoria Köln,2-2,Almere City
01/08/23,CLF,Willem II,2-1,Almere City
05/08/23,CLF,KV Oostende,2-2,Almere City
13/08/23,ERE,Almere City,1-4,Twente
19/08/23,ERE,Fortuna Sittard,2-1,Almere City
27/08/23,ERE,Feyenoord,6-1,Almere City
02/09/23,ERE,Almere City,1-2,PEC Zwolle
17/09/23,ERE,Excelsior,0-0,Almere City
23/09/23,ERE,Almere City,0-4,PSV
30/09/23,ERE,Utrecht,0-2,Almere City
07/10/23,ERE,Almere City,1-0,RKC Waalwijk
11/10/23,CLF,Groningen,1-1,Almere City
21/10/23,ERE,NEC,1-1,Almere City
28/10/23,ERE,Almere City,0-0,Go Ahead Eagles
31/10/23,KNB,OJC Rosmalen,1-8,Almere City
05/11/23,ERE,Sparta Rotterdam,1-2,Almere City
12/11/23,ERE,Almere City,2-2,Ajax
26/11/23,ERE,Almere City,0-5,Heracles
01/12/23,ERE,Heerenveen,3-0,Almere City
09/12/23,ERE,AZ,4-1,Almere City
17/12/23,ERE,Almere City,5-0,Vitesse
21/12/23,KNB,Katwijk,1-2,Almere City
14/01/24,ERE,Volendam,0-1,Almere City
17/01/24,KNB,Almere City,1-2,Fortuna Sittard
24/01/24,ERE,Almere City,0-0,Fortuna Sittard
27/01/24,ERE,PSV,2-0,Almere City
02/02/24,ERE,Almere City,2-1,Excelsior
10/02/24,ERE,Almere City,0-0,AZ
17/02/24,ERE,PEC Zwolle,0-1,Almere City
25/02/24,ERE,Almere City,0-2,Feyenoord
03/03/24,ERE,Heracles,2-2,Almere City
09/03/24,ERE,Almere City,1-1,Utrecht
16/03/24,ERE,Vitesse,1-1,Almere City
20/03/24,CLF,Fortuna Düsseldorf,0-2,Almere City
31/03/24,ERE,Almere City,1-1,Volendam
04/04/24,ERE,RKC Waalwijk,0-0,Almere City
07/04/24,ERE,Go Ahead Eagles,1-1,Almere City
13/04/24,ERE,Almere City,2-3,Sparta Rotterdam
24/04/24,ERE,Twente,3-1,Almere City
03/05/24,ERE,Almere City,20:00,Heerenveen
12/05/24,ERE,Ajax,14:30,Almere City
19/05/24,ERE,Almere City,14:30,NEC
02/07/22,CLF,Almere City,CANC,AZ
06/07/22,CLF,Imst,2-6,Almere City
16/07/22,CLF,Almere City,1-3,Deinze
22/07/22,CLF,Almere City,1-0,Dordrecht
29/07/22,CLF,Almere City,3-2,Den Bosch
31/07/22,CLF,Almere City,1-1,Ajax
31/07/22,CLF,Almere City,CANC,Ajax II
05/08/22,EED,VVV,3-0,Almere City
12/08/22,EED,Almere City,3-0,TOP Oss
22/08/22,EED,AZ II,3-2,Almere City
26/08/22,EED,Almere City,2-0,Den Bosch
02/09/22,EED,Helmond Sport,3-0,Almere City
09/09/22,EED,Almere City,0-1,Telstar
12/09/22,EED,Almere City,1-1,Eindhoven
16/09/22,EED,De Graafschap,1-2,Almere City
30/09/22,EED,Almere City,2-1,Roda JC
07/10/22,EED,Utrecht II,0-2,Almere City
14/10/22,EED,Almere City,2-3,Ajax II
18/10/22,KNB,Almere City,2-0,TOP Oss
21/10/22,EED,Willem II,1-1,Almere City
28/10/22,EED,Almere City,3-2,Heracles
07/11/22,EED,PSV II,0-1,Almere City
13/11/22,EED,Almere City,2-1,Dordrecht
19/11/22,EED,MVV,1-0,Almere City
03/12/22,CLF,Almere City,1-1,Twente
11/12/22,EED,Almere City,4-1,ADO Den Haag
16/12/22,EED,NAC Breda,0-1,Almere City
30/12/22,CLF,Groningen,0-2,Almere City
06/01/23,EED,PEC Zwolle,3-2,Almere City
11/01/23,KNB,Almere City,0-4,NEC
15/01/23,EED,Almere City,1-0,Willem II
20/01/23,EED,Almere City,2-2,De Graafschap
27/01/23,EED,Telstar,0-1,Almere City
03/02/23,EED,Almere City,1-2,PSV II
10/02/23,EED,Eindhoven,0-1,Almere City
17/02/23,EED,Almere City,0-0,Helmond Sport
24/02/23,EED,Roda JC,0-2,Almere City
03/03/23,EED,Dordrecht,0-1,Almere City
13/03/23,EED,Almere City,1-3,VVV
17/03/23,EED,Ajax II,0-2,Almere City
23/03/23,CLF,RKC Waalwijk,0-6,Almere City
31/03/23,EED,Heracles,1-1,Almere City
03/04/23,EED,Almere City,1-0,Utrecht II
07/04/23,EED,Almere City,2-1,AZ II
16/04/23,EED,ADO Den Haag,2-3,Almere City
21/04/23,EED,Almere City,1-1,PEC Zwolle
28/04/23,EED,TOP Oss,0-5,Almere City
07/05/23,EED,Almere City,0-2,NAC Breda
12/05/23,EED,Den Bosch,2-2,Almere City
19/05/23,EED,Almere City,1-0,MVV
