Date,Competition,Home team,Score,Away team
19/03/23,ERE,Excelsior,4-1,Cambuur
01/04/23,ERE,Excelsior,0-0,Twente
08/04/23,ERE,PSV,4-0,Excelsior
14/04/23,ERE,Excelsior,2-1,Go Ahead Eagles
22/04/23,ERE,Vitesse,0-0,Excelsior
07/05/23,ERE,Excelsior,0-2,Feyenoord
13/05/23,ERE,Heerenveen,0-0,Excelsior
21/05/23,ERE,Excelsior,3-0,Fortuna Sittard
28/05/23,ERE,Volendam,3-2,Excelsior
15/07/23,CLF,Luzern,3-1,Excelsior
22/07/23,CLF,NAC Breda,2-0,Excelsior
05/08/23,CLF,Zulte Waregem,0-1,Excelsior
13/08/23,ERE,NEC,3-4,Excelsior
14/08/23,CLF,Excelsior,1-1,Quick Boys
19/08/23,ERE,Excelsior,2-2,Ajax
26/08/23,ERE,Excelsior,2-2,Fortuna Sittard
02/09/23,ERE,Heracles,3-1,Excelsior
17/09/23,ERE,Excelsior,0-0,Almere City
23/09/23,ERE,Heerenveen,0-3,Excelsior
01/10/23,ERE,Excelsior,2-1,Sparta Rotterdam
07/10/23,ERE,Vitesse,0-0,Excelsior
22/10/23,ERE,Excelsior,2-4,PEC Zwolle
29/10/23,ERE,Volendam,3-1,Excelsior
01/11/23,KNB,Den Bosch,E1-2E,Excelsior
04/11/23,ERE,Excelsior,1-1,AZ
12/11/23,ERE,Utrecht,2-2,Excelsior
25/11/23,ERE,Excelsior,2-4,Feyenoord
02/12/23,ERE,RKC Waalwijk,2-2,Excelsior
08/12/23,ERE,Twente,4-2,Excelsior
16/12/23,ERE,Excelsior,1-1,Go Ahead Eagles
19/12/23,KNB,Spakenburg,E2-3E,Excelsior
13/01/24,ERE,PSV,3-1,Excelsior
16/01/24,KNB,Excelsior,0-2,Groningen
19/01/24,ERE,Excelsior,3-0,Heerenveen
27/01/24,ERE,Excelsior,1-1,Utrecht
02/02/24,ERE,Almere City,2-1,Excelsior
10/02/24,ERE,Excelsior,0-3,Twente
17/02/24,ERE,Sparta Rotterdam,4-2,Excelsior
25/02/24,ERE,Excelsior,1-2,Vitesse
03/03/24,ERE,Fortuna Sittard,5-2,Excelsior
10/03/24,ERE,AZ,4-0,Excelsior
16/03/24,ERE,Excelsior,1-1,RKC Waalwijk
30/03/24,ERE,Go Ahead Eagles,3-0,Excelsior
02/04/24,ERE,Excelsior,0-2,PSV
06/04/24,ERE,PEC Zwolle,2-1,Excelsior
12/04/24,ERE,Excelsior,4-0,Volendam
24/04/24,ERE,Ajax,2-2,Excelsior
06/05/24,ERE,Excelsior,20:00,NEC
12/05/24,ERE,Excelsior,14:30,Heracles
19/05/24,ERE,Feyenoord,14:30,Excelsior
01/04/22,EED,Almere City,3-0,Excelsior
08/04/22,EED,Excelsior,1-4,Telstar
15/04/22,EED,MVV,1-1,Excelsior
22/04/22,EED,Excelsior,3-3,AZ II
29/04/22,EED,VVV,2-2,Excelsior
06/05/22,EED,Excelsior,2-2,NAC Breda
10/05/22,PL1,Excelsior,2-2,Roda JC
14/05/22,PL1,Roda JC,E0-2E,Excelsior
18/05/22,PL1,Excelsior,3-0,Heracles
21/05/22,PL1,Heracles,1-3,Excelsior
24/05/22,PL1,Excelsior,1-1,ADO Den Haag
29/05/22,PL1,ADO Den Haag,P4-4P,Excelsior
09/07/22,CLF,NAC Breda,CANC,Excelsior
12/07/22,CLF,Excelsior,CANC,Telstar
16/07/22,CLF,Excelsior,3-2,Dordrecht
22/07/22,CLF,Heracles,2-1,Excelsior
30/07/22,CLF,Heerenveen,3-1,Excelsior
06/08/22,ERE,Cambuur,0-2,Excelsior
12/08/22,ERE,Excelsior,3-1,Vitesse
28/08/22,ERE,Excelsior,1-6,PSV
31/08/22,ERE,Twente,4-0,Excelsior
04/09/22,ERE,RKC Waalwijk,5-2,Excelsior
10/09/22,ERE,Excelsior,2-1,Emmen
17/09/22,ERE,Fortuna Sittard,1-0,Excelsior
02/10/22,ERE,Excelsior,0-1,Utrecht
08/10/22,ERE,NEC,1-1,Excelsior
16/10/22,ERE,Ajax,7-1,Excelsior
19/10/22,KNB,Excelsior,5-1,MVV
23/10/22,ERE,Excelsior,2-1,AZ
29/10/22,ERE,Go Ahead Eagles,3-1,Excelsior
05/11/22,ERE,Excelsior,0-1,Heerenveen
08/11/22,CLF,Utrecht II,1-1,Excelsior
13/11/22,ERE,Feyenoord,5-1,Excelsior
04/12/22,CLF,Kortrijk,1-0,Excelsior
10/12/22,CLF,Club Brugge,0-2,Excelsior
15/12/22,CLF,Vitesse,CANC,Excelsior
22/12/22,CLF,Excelsior,CANC,Heerenveen
30/12/22,CLF,Willem II,3-1,Excelsior
08/01/23,ERE,Excelsior,1-0,Groningen
11/01/23,KNB,Excelsior,1-4,AZ
14/01/23,ERE,Sparta Rotterdam,1-0,Excelsior
20/01/23,ERE,Excelsior,2-0,Volendam
25/01/23,ERE,Utrecht,1-0,Excelsior
29/01/23,ERE,Excelsior,1-4,Ajax
04/02/23,ERE,Excelsior,0-0,RKC Waalwijk
10/02/23,ERE,AZ,5-0,Excelsior
19/02/23,ERE,Excelsior,0-3,NEC
25/02/23,ERE,Groningen,3-0,Excelsior
05/03/23,ERE,Excelsior,1-4,Sparta Rotterdam
11/03/23,ERE,Emmen,2-0,Excelsior
12/03/21,EED,Excelsior,2-0,Utrecht II
19/03/21,EED,De Graafschap,1-1,Excelsior
28/03/21,EED,Excelsior,0-3,Helmond Sport
02/04/21,EED,Excelsior,0-0,PSV II
05/04/21,EED,Cambuur,7-2,Excelsior
09/04/21,EED,Excelsior,2-1,NEC
16/04/21,EED,Telstar,1-1,Excelsior
23/04/21,EED,NAC Breda,1-2,Excelsior
30/04/21,EED,Excelsior,3-0,Dordrecht
07/05/21,EED,AZ II,2-1,Excelsior
12/05/21,EED,Excelsior,0-1,Go Ahead Eagles
03/07/21,CLF,Excelsior,0-1,Sint-Eloois-Winkel
06/07/21,CLF,Heinenoord,0-6,Excelsior
10/07/21,CLF,Excelsior Maassluis,CANC,Excelsior
17/07/21,CLF,Willem II,2-0,Excelsior
31/07/21,CLF,Excelsior,0-3,Sparta Rotterdam
06/08/21,EED,Excelsior,0-1,TOP Oss
13/08/21,EED,Roda JC,1-2,Excelsior
20/08/21,EED,Excelsior,1-1,Volendam
27/08/21,EED,Ajax II,1-2,Excelsior
03/09/21,EED,Den Bosch,0-5,Excelsior
10/09/21,EED,Excelsior,3-1,Dordrecht
17/09/21,EED,De Graafschap,3-1,Excelsior
