Date,Competition,Home team,Score,Away team
27/07/23,CLF,Feyenoord,1-1,Villarreal
30/07/23,CLF,Feyenoord,2-1,Benfica
04/08/23,SUC,Feyenoord,0-1,PSV
13/08/23,ERE,Feyenoord,0-0,Fortuna Sittard
20/08/23,ERE,Sparta Rotterdam,2-2,Feyenoord
27/08/23,ERE,Feyenoord,6-1,Almere City
03/09/23,ERE,Utrecht,1-5,Feyenoord
16/09/23,ERE,Feyenoord,6-1,Heerenveen
19/09/23,UCL,Feyenoord,2-0,Celtic
27/09/23,ERE,Ajax,0-4,Feyenoord
30/09/23,ERE,Feyenoord,3-1,Go Ahead Eagles
04/10/23,UCL,Atletico Madrid,3-2,Feyenoord
08/10/23,ERE,PEC Zwolle,0-2,Feyenoord
21/10/23,ERE,Feyenoord,4-0,Vitesse
25/10/23,UCL,Feyenoord,3-1,Lazio
29/10/23,ERE,Twente,2-1,Feyenoord
04/11/23,ERE,RKC Waalwijk,1-2,Feyenoord
07/11/23,UCL,Lazio,1-0,Feyenoord
12/11/23,ERE,Feyenoord,1-0,AZ
25/11/23,ERE,Excelsior,2-4,Feyenoord
28/11/23,UCL,Feyenoord,1-3,Atletico Madrid
03/12/23,ERE,Feyenoord,1-2,PSV
07/12/23,ERE,Feyenoord,3-1,Volendam
13/12/23,UCL,Celtic,2-1,Feyenoord
17/12/23,ERE,Heracles,0-4,Feyenoord
20/12/23,KNB,Feyenoord,2-1,Utrecht
14/01/24,ERE,Feyenoord,2-2,NEC
21/01/24,ERE,Vitesse,1-2,Feyenoord
24/01/24,KNB,Feyenoord,1-0,PSV
28/01/24,ERE,Feyenoord,0-0,Twente
04/02/24,ERE,AZ,0-1,Feyenoord
07/02/24,KNB,Feyenoord,2-0,AZ
11/02/24,ERE,Feyenoord,2-0,Sparta Rotterdam
15/02/24,UEL,Feyenoord,1-1,Roma
18/02/24,ERE,Feyenoord,1-0,RKC Waalwijk
22/02/24,UEL,Roma,P1-1P,Feyenoord
25/02/24,ERE,Almere City,0-2,Feyenoord
29/02/24,KNB,Feyenoord,2-1,Groningen
03/03/24,ERE,PSV,2-2,Feyenoord
10/03/24,ERE,Feyenoord,3-0,Heracles
17/03/24,ERE,Heerenveen,2-3,Feyenoord
31/03/24,ERE,Feyenoord,4-2,Utrecht
04/04/24,ERE,Volendam,0-0,Feyenoord
07/04/24,ERE,Feyenoord,6-0,Ajax
14/04/24,ERE,Fortuna Sittard,0-1,Feyenoord
21/04/24,KNB,Feyenoord,1-0,NEC
25/04/24,ERE,Go Ahead Eagles,1-3,Feyenoord
