Date,Competition,Home team,Score,Away team
16/04/23,ERE,Fortuna Sittard,0-3,AZ
23/04/23,ERE,Go Ahead Eagles,2-0,Fortuna Sittard
07/05/23,ERE,Fortuna Sittard,2-0,Vitesse
14/05/23,ERE,PSV,2-1,Fortuna Sittard
21/05/23,ERE,Excelsior,3-0,Fortuna Sittard
28/05/23,ERE,Fortuna Sittard,1-1,NEC
08/07/23,CLF,Fortuna Sittard,1-1,Eindhoven
15/07/23,CLF,Fortuna Sittard,0-1,Standard Liège
22/07/23,CLF,Wehen Wiesbaden,1-0,Fortuna Sittard
29/07/23,CLF,Millwall,1-2,Fortuna Sittard
05/08/23,CLF,VVV,2-3,Fortuna Sittard
13/08/23,ERE,Feyenoord,0-0,Fortuna Sittard
19/08/23,ERE,Fortuna Sittard,2-1,Almere City
26/08/23,ERE,Excelsior,2-2,Fortuna Sittard
03/09/23,ERE,Fortuna Sittard,0-0,Ajax
16/09/23,ERE,Fortuna Sittard,3-1,Volendam
22/09/23,ERE,Go Ahead Eagles,3-0,Fortuna Sittard
01/10/23,ERE,AZ,4-0,Fortuna Sittard
08/10/23,ERE,Fortuna Sittard,0-3,Twente
11/10/23,CLF,Fortuna Sittard,3-0,TOP Oss
21/10/23,ERE,PSV,3-1,Fortuna Sittard
28/10/23,ERE,Fortuna Sittard,0-0,Utrecht
01/11/23,KNB,Sparta Nijkerk,0-1,Fortuna Sittard
05/11/23,ERE,PEC Zwolle,2-0,Fortuna Sittard
10/11/23,ERE,Fortuna Sittard,4-1,Heracles
25/11/23,ERE,Heerenveen,3-0,Fortuna Sittard
02/12/23,ERE,Fortuna Sittard,3-1,Vitesse
10/12/23,ERE,Fortuna Sittard,1-0,RKC Waalwijk
15/12/23,ERE,NEC,4-1,Fortuna Sittard
19/12/23,KNB,Eindhoven,0-2,Fortuna Sittard
13/01/24,ERE,Fortuna Sittard,0-2,Sparta Rotterdam
17/01/24,KNB,Almere City,1-2,Fortuna Sittard
24/01/24,ERE,Almere City,0-0,Fortuna Sittard
28/01/24,ERE,Volendam,0-1,Fortuna Sittard
03/02/24,ERE,Fortuna Sittard,3-3,Heerenveen
08/02/24,KNB,Groningen,P0-0P,Fortuna Sittard
11/02/24,ERE,Utrecht,4-0,Fortuna Sittard
17/02/24,ERE,Fortuna Sittard,1-2,AZ
24/02/24,ERE,RKC Waalwijk,0-1,Fortuna Sittard
03/03/24,ERE,Fortuna Sittard,5-2,Excelsior
10/03/24,ERE,Ajax,2-2,Fortuna Sittard
16/03/24,ERE,Fortuna Sittard,3-1,PEC Zwolle
30/03/24,ERE,Sparta Rotterdam,4-0,Fortuna Sittard
02/04/24,ERE,Fortuna Sittard,1-1,NEC
06/04/24,ERE,Twente,2-0,Fortuna Sittard
14/04/24,ERE,Fortuna Sittard,0-1,Feyenoord
28/04/24,ERE,Vitesse,3-2,Fortuna Sittard
03/05/24,ERE,Fortuna Sittard,20:00,Go Ahead Eagles
12/05/24,ERE,Fortuna Sittard,14:30,PSV
19/05/24,ERE,Heracles,14:30,Fortuna Sittard
13/03/22,ERE,Fortuna Sittard,1-0,Willem II
20/03/22,ERE,PSV,5-0,Fortuna Sittard
03/04/22,ERE,Fortuna Sittard,0-2,Heracles
09/04/22,ERE,Utrecht,1-1,Fortuna Sittard
16/04/22,ERE,Fortuna Sittard,3-0,Sparta Rotterdam
24/04/22,ERE,Fortuna Sittard,1-0,Go Ahead Eagles
01/05/22,ERE,Fortuna Sittard,1-3,Feyenoord
07/05/22,ERE,Twente,1-2,Fortuna Sittard
11/05/22,ERE,Fortuna Sittard,1-2,Vitesse
15/05/22,ERE,NEC,0-1,Fortuna Sittard
02/07/22,CLF,Fortuna Sittard,2-3,Viktoria Köln
06/07/22,CLF,Fortuna Sittard,1-1,Bochum
09/07/22,CLF,OH Leuven,1-1,Fortuna Sittard
13/07/22,CLF,Fortuna Sittard,CANC,Excelsior Virton
16/07/22,CLF,Mechelen,CANC,Fortuna Sittard
22/07/22,CLF,Fortuna Sittard,3-3,Shakhtar Donetsk
06/08/22,ERE,Fortuna Sittard,2-3,Ajax
14/08/22,ERE,Twente,3-0,Fortuna Sittard
20/08/22,ERE,Fortuna Sittard,1-4,Cambuur
27/08/22,ERE,Heerenveen,2-1,Fortuna Sittard
02/09/22,ERE,Fortuna Sittard,3-4,Utrecht
10/09/22,ERE,NEC,1-1,Fortuna Sittard
17/09/22,ERE,Fortuna Sittard,1-0,Excelsior
02/10/22,ERE,Fortuna Sittard,2-0,Volendam
09/10/22,ERE,Vitesse,1-2,Fortuna Sittard
15/10/22,ERE,Fortuna Sittard,0-0,RKC Waalwijk
19/10/22,KNB,NEC,3-2,Fortuna Sittard
22/10/22,ERE,Feyenoord,1-1,Fortuna Sittard
29/10/22,ERE,Sparta Rotterdam,3-1,Fortuna Sittard
05/11/22,ERE,Fortuna Sittard,0-1,Emmen
13/11/22,ERE,Groningen,2-3,Fortuna Sittard
05/12/22,CLF,Adana Demirspor,1-2,Fortuna Sittard
08/12/22,CLF,Fortuna Sittard,0-3,Livingston
08/12/22,CLF,Liepaja,CANC,Fortuna Sittard
17/12/22,CLF,Fortuna Sittard,CANC,Rakow Czestochowa
22/12/22,CLF,MSV Duisburg,1-1,Fortuna Sittard
07/01/23,ERE,Fortuna Sittard,0-2,Go Ahead Eagles
15/01/23,ERE,Fortuna Sittard,2-2,PSV
22/01/23,ERE,AZ,3-1,Fortuna Sittard
25/01/23,ERE,Fortuna Sittard,2-0,Heerenveen
29/01/23,ERE,Cambuur,1-2,Fortuna Sittard
03/02/23,ERE,Fortuna Sittard,0-0,Sparta Rotterdam
11/02/23,ERE,Emmen,0-1,Fortuna Sittard
17/02/23,ERE,RKC Waalwijk,3-1,Fortuna Sittard
26/02/23,ERE,Fortuna Sittard,2-4,Feyenoord
03/03/23,ERE,Utrecht,1-2,Fortuna Sittard
11/03/23,ERE,Fortuna Sittard,0-3,Twente
17/03/23,ERE,Volendam,2-1,Fortuna Sittard
02/04/23,ERE,Fortuna Sittard,3-1,Groningen
09/04/23,ERE,Ajax,4-0,Fortuna Sittard
27/01/21,ERE,RKC Waalwijk,1-2,Fortuna Sittard
30/01/21,ERE,Fortuna Sittard,3-2,VVV
05/02/21,ERE,Fortuna Sittard,0-1,Heracles
13/02/21,ERE,Sparta Rotterdam,1-2,Fortuna Sittard
20/02/21,ERE,Fortuna Sittard,2-0,ADO Den Haag
28/02/21,ERE,Groningen,1-0,Fortuna Sittard
07/03/21,ERE,Fortuna Sittard,1-3,PSV
14/03/21,ERE,VVV,1-3,Fortuna Sittard
20/03/21,ERE,Fortuna Sittard,0-1,Utrecht
04/04/21,ERE,Feyenoord,2-0,Fortuna Sittard
10/04/21,ERE,Fortuna Sittard,1-3,Emmen
25/04/21,ERE,ADO Den Haag,0-3,Fortuna Sittard
01/05/21,ERE,Fortuna Sittard,3-0,Twente
08/05/21,ERE,AZ,1-0,Fortuna Sittard
13/05/21,ERE,Fortuna Sittard,3-3,Vitesse
16/05/21,ERE,Willem II,2-1,Fortuna Sittard
10/07/21,CLF,MVV,CANC,Fortuna Sittard
14/07/21,CLF,OH Leuven,CANC,Fortuna Sittard
17/07/21,CLF,Fortuna Sittard,1-1,Beerschot
21/07/21,CLF,Fortuna Sittard,1-1,OFI
30/07/21,CLF,Straelen,3-4,Fortuna Sittard
30/07/21,CLF,Dordrecht,0-0,Fortuna Sittard
