Date,Competition,Home team,Score,Away team
23/04/23,ERE,Go Ahead Eagles,2-0,Fortuna Sittard
07/05/23,ERE,Go Ahead Eagles,1-1,Groningen
14/05/23,ERE,Feyenoord,3-0,Go Ahead Eagles
21/05/23,ERE,Go Ahead Eagles,3-0,Volendam
28/05/23,ERE,Heerenveen,2-0,Go Ahead Eagles
08/07/23,CLF,Go Ahead Eagles,2-1,PAOK
15/07/23,CLF,Go Ahead Eagles,1-2,Club Brugge
22/07/23,CLF,Go Ahead Eagles,2-1,Den Bosch
23/07/23,CLF,Go Ahead Eagles,0-1,Mamelodi Sundowns
04/08/23,CLF,Go Ahead Eagles,2-2,Kifisia
05/08/23,CLF,Go Ahead Eagles,3-1,RSC Anderlecht II
13/08/23,ERE,AZ,5-1,Go Ahead Eagles
14/08/23,CLF,Ajax,0-1,Go Ahead Eagles
19/08/23,ERE,Go Ahead Eagles,4-1,Volendam
02/09/23,ERE,Go Ahead Eagles,3-2,Heerenveen
17/09/23,ERE,PEC Zwolle,1-1,Go Ahead Eagles
22/09/23,ERE,Go Ahead Eagles,3-0,Fortuna Sittard
27/09/23,ERE,PSV,3-0,Go Ahead Eagles
30/09/23,ERE,Feyenoord,3-1,Go Ahead Eagles
07/10/23,ERE,Go Ahead Eagles,4-0,Heracles
12/10/23,CLF,Go Ahead Eagles,3-3,Dordrecht
22/10/23,ERE,Go Ahead Eagles,0-0,Sparta Rotterdam
28/10/23,ERE,Almere City,0-0,Go Ahead Eagles
31/10/23,KNB,Koninklijke HFC,E1-4E,Go Ahead Eagles
04/11/23,ERE,Go Ahead Eagles,5-1,Vitesse
11/11/23,ERE,RKC Waalwijk,0-1,Go Ahead Eagles
26/11/23,ERE,NEC,1-1,Go Ahead Eagles
03/12/23,ERE,Go Ahead Eagles,1-3,Twente
10/12/23,ERE,Go Ahead Eagles,0-2,Utrecht
16/12/23,ERE,Excelsior,1-1,Go Ahead Eagles
21/12/23,KNB,Go Ahead Eagles,7-1,De Treffers
14/01/24,ERE,Go Ahead Eagles,2-3,Ajax
17/01/24,KNB,NEC,2-1,Go Ahead Eagles
21/01/24,ERE,Sparta Rotterdam,0-2,Go Ahead Eagles
28/01/24,ERE,Go Ahead Eagles,2-2,NEC
04/02/24,ERE,Vitesse,0-2,Go Ahead Eagles
11/02/24,ERE,Go Ahead Eagles,1-1,PEC Zwolle
17/02/24,ERE,Heerenveen,0-2,Go Ahead Eagles
