Date,Competition,Home team,Score,Away team
08/04/23,ERE,Heerenveen,2-1,Volendam
15/04/23,ERE,Sparta Rotterdam,4-0,Heerenveen
22/04/23,ERE,Heerenveen,2-3,Emmen
06/05/23,ERE,NEC,2-3,Heerenveen
13/05/23,ERE,Heerenveen,0-0,Excelsior
21/05/23,ERE,PSV,3-3,Heerenveen
28/05/23,ERE,Heerenveen,2-0,Go Ahead Eagles
01/06/23,ERE,Heerenveen,1-2,Twente
04/06/23,ERE,Twente,4-0,Heerenveen
09/07/23,CLF,Heerenveen,6-0,Kickers Emden
20/07/23,CLF,Heerenveen,2-0,OFI
29/07/23,CLF,Huddersfield Town,1-0,Heerenveen
05/08/23,CLF,Heerenveen,0-1,Metz
12/08/23,ERE,Heerenveen,3-1,RKC Waalwijk
20/08/23,ERE,Utrecht,0-2,Heerenveen
27/08/23,ERE,Heerenveen,1-3,Sparta Rotterdam
02/09/23,ERE,Go Ahead Eagles,3-2,Heerenveen
16/09/23,ERE,Feyenoord,6-1,Heerenveen
23/09/23,ERE,Heerenveen,0-3,Excelsior
30/09/23,ERE,Twente,1-0,Heerenveen
07/10/23,ERE,Heerenveen,1-1,NEC
11/10/23,CLF,Heerenveen,1-0,PEC Zwolle
21/10/23,ERE,AZ,3-0,Heerenveen
28/10/23,ERE,Heerenveen,3-0,Heracles
31/10/23,KNB,Heerenveen,5-1,VVV
05/11/23,ERE,Ajax,4-1,Heerenveen
11/11/23,ERE,Vitesse,1-3,Heerenveen
25/11/23,ERE,Heerenveen,3-0,Fortuna Sittard
01/12/23,ERE,Heerenveen,3-0,Almere City
07/12/23,ERE,PSV,2-0,Heerenveen
16/12/23,ERE,Heerenveen,1-2,Volendam
21/12/23,KNB,Vitesse,1-0,Heerenveen
13/01/24,ERE,PEC Zwolle,2-2,Heerenveen
19/01/24,ERE,Excelsior,3-0,Heerenveen
28/01/24,ERE,Heerenveen,2-2,AZ
03/02/24,ERE,Fortuna Sittard,3-3,Heerenveen
11/02/24,ERE,Heerenveen,3-2,Ajax
17/02/24,ERE,Heerenveen,0-2,Go Ahead Eagles
25/02/24,ERE,Volendam,0-4,Heerenveen
03/03/24,ERE,Heerenveen,2-0,PEC Zwolle
10/03/24,ERE,NEC,2-0,Heerenveen
17/03/24,ERE,Heerenveen,2-3,Feyenoord
30/03/24,ERE,RKC Waalwijk,1-1,Heerenveen
03/04/24,ERE,Heerenveen,3-3,Twente
07/04/24,ERE,Heerenveen,2-3,Utrecht
14/04/24,ERE,Heracles,0-2,Heerenveen
25/04/24,ERE,Heerenveen,0-8,PSV
03/05/24,ERE,Almere City,20:00,Heerenveen
12/05/24,ERE,Heerenveen,14:30,Vitesse
19/05/24,ERE,Sparta Rotterdam,14:30,Heerenveen
03/04/22,ERE,Sparta Rotterdam,1-1,Heerenveen
10/04/22,ERE,Heerenveen,3-1,Groningen
23/04/22,ERE,AZ,2-1,Heerenveen
01/05/22,ERE,Heerenveen,3-3,Cambuur
08/05/22,ERE,Vitesse,1-2,Heerenveen
11/05/22,ERE,Ajax,5-0,Heerenveen
15/05/22,ERE,Heerenveen,3-1,Go Ahead Eagles
19/05/22,ERE,Heerenveen,3-2,AZ
22/05/22,ERE,AZ,2-0,Heerenveen
05/07/22,CLF,Heerenveen,4-1,TOP Oss
08/07/22,CLF,Heerenveen,0-1,Utrecht
08/07/22,CLF,Heerenveen,CANC,BW Lohne
15/07/22,CLF,PEC Zwolle,0-2,Heerenveen
22/07/22,CLF,Heerenveen,1-1,RWDM
30/07/22,CLF,Heerenveen,3-1,Excelsior
05/08/22,ERE,Heerenveen,0-0,Sparta Rotterdam
13/08/22,ERE,Feyenoord,0-0,Heerenveen
20/08/22,ERE,Vitesse,0-4,Heerenveen
27/08/22,ERE,Heerenveen,2-1,Fortuna Sittard
04/09/22,ERE,Heerenveen,0-0,NEC
10/09/22,ERE,Ajax,5-0,Heerenveen
18/09/22,ERE,Heerenveen,2-1,Twente
02/10/22,ERE,Emmen,0-0,Heerenveen
09/10/22,ERE,Heerenveen,0-1,PSV
15/10/22,ERE,Go Ahead Eagles,1-1,Heerenveen
18/10/22,KNB,HSV Hoek,E2-4E,Heerenveen
23/10/22,ERE,Volendam,1-3,Heerenveen
29/10/22,ERE,Heerenveen,1-2,Utrecht
05/11/22,ERE,Excelsior,0-1,Heerenveen
13/11/22,ERE,Heerenveen,2-1,Cambuur
06/12/22,CLF,Genk,3-1,Heerenveen
14/12/22,CLF,Gent,4-1,Heerenveen
22/12/22,CLF,Excelsior,CANC,Heerenveen
07/01/23,ERE,RKC Waalwijk,0-0,Heerenveen
11/01/23,KNB,Heerenveen,2-0,Volendam
14/01/23,ERE,Heerenveen,0-2,AZ
22/01/23,ERE,Heerenveen,3-1,Groningen
