Date,Competition,Home team,Score,Away team
17/03/23,EED,TOP Oss,1-5,Heracles
26/03/23,EED,Heracles,3-2,Den Bosch
31/03/23,EED,Heracles,1-1,Almere City
07/04/23,EED,De Graafschap,5-3,Heracles
14/04/23,EED,Heracles,1-0,Roda JC
21/04/23,EED,Helmond Sport,0-1,Heracles
28/04/23,EED,Heracles,3-0,PSV II
05/05/23,EED,Dordrecht,1-3,Heracles
12/05/23,EED,NAC Breda,0-3,Heracles
19/05/23,EED,Heracles,2-0,Ajax II
25/07/23,CLF,Heracles,1-0,Emmen
05/08/23,CLF,Heracles,1-3,Volendam
05/08/23,CLF,Heracles,2-0,Helmond Sport
12/08/23,ERE,Ajax,4-1,Heracles
18/08/23,ERE,Heracles,2-1,NEC
02/09/23,ERE,Heracles,3-1,Excelsior
16/09/23,ERE,Heracles,1-3,Utrecht
23/09/23,ERE,Volendam,2-2,Heracles
28/09/23,ERE,AZ,1-1,Heracles
01/10/23,ERE,Heracles,2-1,PEC Zwolle
07/10/23,ERE,Go Ahead Eagles,4-0,Heracles
12/10/23,CLF,Schalke 04,4-1,Heracles
22/10/23,ERE,Heracles,2-2,Twente
28/10/23,ERE,Heerenveen,3-0,Heracles
01/11/23,KNB,HHC,2-0,Heracles
04/11/23,ERE,Heracles,0-6,PSV
10/11/23,ERE,Fortuna Sittard,4-1,Heracles
26/11/23,ERE,Almere City,0-5,Heracles
02/12/23,ERE,Heracles,0-1,Sparta Rotterdam
10/12/23,ERE,Vitesse,2-0,Heracles
17/12/23,ERE,Heracles,0-4,Feyenoord
07/01/24,CLF,PSV,1-1,Heracles
12/01/24,ERE,RKC Waalwijk,1-2,Heracles
20/01/24,ERE,Heracles,1-1,Volendam
27/01/24,ERE,Heracles,2-4,Ajax
03/02/24,ERE,NEC,3-1,Heracles
10/02/24,ERE,Heracles,3-2,Vitesse
16/02/24,ERE,PSV,2-0,Heracles
23/02/24,ERE,Utrecht,1-0,Heracles
03/03/24,ERE,Heracles,2-2,Almere City
10/03/24,ERE,Feyenoord,3-0,Heracles
15/03/24,ERE,Heracles,2-0,Go Ahead Eagles
31/03/24,ERE,Twente,1-0,Heracles
03/04/24,ERE,Heracles,5-0,AZ
06/04/24,ERE,Sparta Rotterdam,1-2,Heracles
14/04/24,ERE,Heracles,0-2,Heerenveen
