Date,Competition,Home team,Score,Away team
25/04/23,ERE,Groningen,0-1,NEC
06/05/23,ERE,NEC,2-3,Heerenveen
12/05/23,ERE,Twente,4-0,NEC
21/05/23,ERE,NEC,0-3,AZ
28/05/23,ERE,Fortuna Sittard,1-1,NEC
22/07/23,CLF,NEC,4-0,Altrincham
28/07/23,CLF,NEC,3-1,Al-Taawoun
04/08/23,CLF,NEC,3-1,Venezia
13/08/23,ERE,NEC,3-4,Excelsior
18/08/23,ERE,Heracles,2-1,NEC
26/08/23,ERE,NEC,3-0,RKC Waalwijk
01/09/23,ERE,Sparta Rotterdam,1-1,NEC
16/09/23,ERE,PSV,4-0,NEC
23/09/23,ERE,NEC,3-0,Utrecht
01/10/23,ERE,NEC,1-3,Vitesse
07/10/23,ERE,Heerenveen,1-1,NEC
12/10/23,CLF,NEC,1-2,Utrecht
21/10/23,ERE,NEC,1-1,Almere City
02/11/23,KNB,NEC,5-3,Roda JC
05/11/23,ERE,NEC,3-3,Volendam
11/11/23,ERE,Twente,3-3,NEC
26/11/23,ERE,NEC,1-1,Go Ahead Eagles
03/12/23,ERE,NEC,1-2,Ajax
06/12/23,ERE,AZ,1-2,NEC
09/12/23,ERE,PEC Zwolle,1-3,NEC
15/12/23,ERE,NEC,4-1,Fortuna Sittard
20/12/23,KNB,GVVV,1-6,NEC
05/01/24,CLF,NEC,2-0,Fortuna Düsseldorf
14/01/24,ERE,Feyenoord,2-2,NEC
17/01/24,KNB,NEC,2-1,Go Ahead Eagles
20/01/24,ERE,NEC,1-0,Twente
28/01/24,ERE,Go Ahead Eagles,2-2,NEC
03/02/24,ERE,NEC,3-1,Heracles
06/02/24,KNB,NEC,3-0,ADO Den Haag
09/02/24,ERE,RKC Waalwijk,2-0,NEC
18/02/24,ERE,Ajax,2-2,NEC
24/02/24,ERE,NEC,2-0,Sparta Rotterdam
27/02/24,KNB,Cambuur,E1-2E,NEC
01/03/24,ERE,Volendam,2-5,NEC
10/03/24,ERE,NEC,2-0,Heerenveen
17/03/24,ERE,Utrecht,1-0,NEC
30/03/24,ERE,NEC,3-1,PSV
02/04/24,ERE,Fortuna Sittard,1-1,NEC
07/04/24,ERE,Vitesse,0-3,NEC
14/04/24,ERE,NEC,2-2,PEC Zwolle
21/04/24,KNB,Feyenoord,1-0,NEC
28/04/24,ERE,NEC,0-3,AZ
06/05/24,ERE,Excelsior,20:00,NEC
12/05/24,ERE,NEC,14:30,Feyenoord
19/05/24,ERE,Almere City,14:30,NEC
19/02/22,ERE,NEC,1-1,RKC Waalwijk
27/02/22,ERE,Vitesse,4-1,NEC
06/03/22,ERE,NEC,1-3,AZ
12/03/22,ERE,Groningen,4-3,NEC
19/03/22,ERE,NEC,0-0,Sparta Rotterdam
03/04/22,ERE,Cambuur,1-2,NEC
09/04/22,ERE,NEC,0-2,Twente
23/04/22,ERE,NEC,0-1,Ajax
29/04/22,ERE,Utrecht,1-0,NEC
08/05/22,ERE,NEC,1-0,Go Ahead Eagles
11/05/22,ERE,PSV,3-2,NEC
15/05/22,ERE,NEC,0-1,Fortuna Sittard
09/07/22,CLF,NEC,3-1,RKC Waalwijk
16/07/22,CLF,NEC,4-0,1. FC Bocholt
19/07/22,CLF,De Treffers,CANC,NEC
22/07/22,CLF,FC Cologne,5-0,NEC
29/07/22,CLF,Heracles,1-3,NEC
07/08/22,ERE,NEC,0-1,Twente
