Date,Competition,Home team,Score,Away team
17/03/23,EED,PEC Zwolle,2-0,NAC Breda
31/03/23,EED,PEC Zwolle,2-0,Utrecht II
07/04/23,EED,Eindhoven,4-2,PEC Zwolle
14/04/23,EED,PEC Zwolle,2-0,Telstar
21/04/23,EED,Almere City,1-1,PEC Zwolle
28/04/23,EED,PEC Zwolle,4-0,Dordrecht
08/05/23,EED,PSV II,3-1,PEC Zwolle
12/05/23,EED,PEC Zwolle,3-1,Roda JC
19/05/23,EED,Helmond Sport,2-3,PEC Zwolle
07/07/23,CLF,Berkum,1-3,PEC Zwolle
08/07/23,CLF,Feyenoord,3-1,PEC Zwolle
11/07/23,CLF,PEC Zwolle,3-1,Westerlo
19/07/23,CLF,Twente,3-2,PEC Zwolle
05/08/23,CLF,PEC Zwolle,0-0,Groningen
12/08/23,ERE,PEC Zwolle,1-2,Sparta Rotterdam
20/08/23,ERE,Twente,3-1,PEC Zwolle
27/08/23,ERE,PEC Zwolle,1-0,Utrecht
02/09/23,ERE,Almere City,1-2,PEC Zwolle
17/09/23,ERE,PEC Zwolle,1-1,Go Ahead Eagles
24/09/23,ERE,PEC Zwolle,0-3,AZ
01/10/23,ERE,Heracles,2-1,PEC Zwolle
08/10/23,ERE,PEC Zwolle,0-2,Feyenoord
11/10/23,CLF,Heerenveen,1-0,PEC Zwolle
22/10/23,ERE,Excelsior,2-4,PEC Zwolle
27/10/23,ERE,Vitesse,1-1,PEC Zwolle
01/11/23,KNB,AFC,1-0,PEC Zwolle
05/11/23,ERE,PEC Zwolle,2-0,Fortuna Sittard
12/11/23,ERE,PSV,4-0,PEC Zwolle
25/11/23,ERE,PEC Zwolle,1-2,RKC Waalwijk
02/12/23,ERE,Volendam,0-5,PEC Zwolle
09/12/23,ERE,PEC Zwolle,1-3,NEC
17/12/23,ERE,Ajax,2-2,PEC Zwolle
13/01/24,ERE,PEC Zwolle,2-2,Heerenveen
20/01/24,ERE,AZ,2-2,PEC Zwolle
26/01/24,ERE,PEC Zwolle,1-0,Vitesse
04/02/24,ERE,Sparta Rotterdam,0-2,PEC Zwolle
11/02/24,ERE,Go Ahead Eagles,1-1,PEC Zwolle
17/02/24,ERE,PEC Zwolle,0-1,Almere City
24/02/24,ERE,PEC Zwolle,1-7,PSV
03/03/24,ERE,Heerenveen,2-0,PEC Zwolle
10/03/24,ERE,PEC Zwolle,1-1,Volendam
16/03/24,ERE,Fortuna Sittard,3-1,PEC Zwolle
31/03/24,ERE,PEC Zwolle,1-3,Ajax
03/04/24,ERE,Utrecht,5-1,PEC Zwolle
06/04/24,ERE,PEC Zwolle,2-1,Excelsior
14/04/24,ERE,NEC,2-2,PEC Zwolle
28/04/24,ERE,PEC Zwolle,3-1,Heracles
05/05/24,ERE,Feyenoord,20:00,PEC Zwolle
12/05/24,ERE,RKC Waalwijk,14:30,PEC Zwolle
19/05/24,ERE,PEC Zwolle,14:30,Twente
13/03/22,ERE,PEC Zwolle,1-2,Feyenoord
19/03/22,ERE,Twente,1-0,PEC Zwolle
24/03/22,CLF,Heerenveen,1-0,PEC Zwolle
03/04/22,ERE,PEC Zwolle,0-1,Go Ahead Eagles
10/04/22,ERE,PEC Zwolle,2-1,AZ
23/04/22,ERE,RKC Waalwijk,0-2,PEC Zwolle
30/04/22,ERE,Ajax,3-0,PEC Zwolle
07/05/22,ERE,PEC Zwolle,1-1,Utrecht
11/05/22,ERE,Sparta Rotterdam,2-0,PEC Zwolle
15/05/22,ERE,PEC Zwolle,1-2,PSV
02/07/22,CLF,AZ,3-1,PEC Zwolle
06/07/22,CLF,Katwijk,2-1,PEC Zwolle
08/07/22,CLF,PEC Zwolle,0-0,Emmen
12/07/22,CLF,PEC Zwolle,7-3,RKC Waalwijk
15/07/22,CLF,PEC Zwolle,0-2,Heerenveen
22/07/22,CLF,PEC Zwolle,3-1,Cambuur
30/07/22,CLF,PEC Zwolle,2-1,Dordrecht
07/08/22,EED,PEC Zwolle,2-1,De Graafschap
12/08/22,EED,Telstar,0-5,PEC Zwolle
21/08/22,EED,VVV,0-4,PEC Zwolle
26/08/22,EED,PEC Zwolle,4-2,PSV II
02/09/22,EED,Den Bosch,1-2,PEC Zwolle
09/09/22,EED,PEC Zwolle,2-2,Willem II
12/09/22,EED,AZ II,2-3,PEC Zwolle
16/09/22,EED,PEC Zwolle,1-2,ADO Den Haag
30/09/22,EED,PEC Zwolle,1-1,Ajax II
07/10/22,EED,Dordrecht,3-0,PEC Zwolle
14/10/22,EED,PEC Zwolle,3-2,Heracles
20/10/22,KNB,HHC,0-1,PEC Zwolle
24/10/22,EED,Utrecht II,0-1,PEC Zwolle
28/10/22,EED,PEC Zwolle,0-1,MVV
04/11/22,EED,TOP Oss,0-5,PEC Zwolle
11/11/22,EED,PEC Zwolle,5-2,Eindhoven
19/11/22,EED,NAC Breda,0-2,PEC Zwolle
03/12/22,CLF,PEC Zwolle,0-1,KV Oostende
07/12/22,CLF,Bochum,1-3,PEC Zwolle
12/12/22,EED,PEC Zwolle,1-0,Helmond Sport
06/01/23,EED,PEC Zwolle,3-2,Almere City
12/01/23,KNB,Feyenoord,3-1,PEC Zwolle
15/01/23,EED,Heracles,0-3,PEC Zwolle
20/01/23,EED,PEC Zwolle,2-0,VVV
27/01/23,EED,PEC Zwolle,4-1,TOP Oss
30/01/23,EED,Roda JC,1-2,PEC Zwolle
06/02/23,EED,Ajax II,0-0,PEC Zwolle
10/02/23,EED,PEC Zwolle,4-1,AZ II
17/02/23,EED,ADO Den Haag,3-1,PEC Zwolle
27/02/23,EED,MVV,3-2,PEC Zwolle
03/03/23,EED,PEC Zwolle,13-0,Den Bosch
10/03/23,EED,Willem II,2-3,PEC Zwolle
13/03/23,EED,De Graafschap,0-1,PEC Zwolle
13/02/21,ERE,Groningen,1-0,PEC Zwolle
20/02/21,ERE,Emmen,3-2,PEC Zwolle
26/02/21,ERE,PEC Zwolle,4-1,Heerenveen
07/03/21,ERE,Heracles,2-1,PEC Zwolle
14/03/21,ERE,PEC Zwolle,0-2,Ajax
21/03/21,ERE,PEC Zwolle,2-1,VVV
03/04/21,ERE,Sparta Rotterdam,3-2,PEC Zwolle
10/04/21,ERE,PEC Zwolle,1-0,Twente
24/04/21,ERE,Heerenveen,0-2,PEC Zwolle
01/05/21,ERE,Vitesse,2-1,PEC Zwolle
09/05/21,ERE,PEC Zwolle,0-1,ADO Den Haag
13/05/21,ERE,PSV,4-2,PEC Zwolle
16/05/21,ERE,PEC Zwolle,1-0,Groningen
30/06/21,CLF,PEC Zwolle,1-1,Borussia Dortmund II
03/07/21,CLF,St. Pauli,CANC,PEC Zwolle
08/07/21,CLF,PEC Zwolle,0-2,Volendam
20/07/21,CLF,PEC Zwolle,3-0,Helmond Sport
24/07/21,CLF,PEC Zwolle,2-1,Cambuur
28/07/21,CLF,Fenerbahce,2-2,PEC Zwolle
31/07/21,CLF,PEC Zwolle,0-2,Heerenveen
07/08/21,CLF,Heracles,3-1,PEC Zwolle
15/08/21,ERE,PEC Zwolle,0-1,Vitesse
20/08/21,ERE,NEC,2-0,PEC Zwolle
28/08/21,ERE,Willem II,1-0,PEC Zwolle
11/09/21,ERE,PEC Zwolle,0-2,Ajax
19/09/21,ERE,Go Ahead Eagles,1-0,PEC Zwolle
22/09/21,ERE,PEC Zwolle,1-1,Sparta Rotterdam
25/09/21,ERE,Utrecht,5-1,PEC Zwolle
02/10/21,ERE,PEC Zwolle,0-1,Heerenveen
16/10/21,ERE,PSV,3-1,PEC Zwolle
23/10/21,ERE,PEC Zwolle,1-0,Heracles
26/10/21,KNB,PEC Zwolle,4-1,De Graafschap
30/10/21,ERE,AZ,3-2,PEC Zwolle
06/11/21,ERE,PEC Zwolle,1-2,Cambuur
21/11/21,ERE,Feyenoord,4-0,PEC Zwolle
27/11/21,ERE,PEC Zwolle,0-0,RKC Waalwijk
03/12/21,ERE,Groningen,1-1,PEC Zwolle
11/12/21,ERE,PEC Zwolle,0-1,Fortuna Sittard
14/12/21,KNB,PEC Zwolle,4-0,MVV
18/12/21,ERE,PEC Zwolle,1-3,Twente
21/12/21,ERE,Vitesse,1-0,PEC Zwolle
07/01/22,CLF,Hannover 96,CANC,PEC Zwolle
14/01/22,ERE,PEC Zwolle,2-0,Willem II
19/01/22,KNB,NAC Breda,2-1,PEC Zwolle
22/01/22,ERE,Heerenveen,0-1,PEC Zwolle
05/02/22,ERE,PEC Zwolle,1-1,NEC
12/02/22,ERE,Cambuur,3-4,PEC Zwolle
20/02/22,ERE,PEC Zwolle,1-1,Groningen
26/02/22,ERE,Heracles,2-0,PEC Zwolle
06/03/22,ERE,Fortuna Sittard,0-1,PEC Zwolle
17/12/19,KNB,Fortuna Sittard,3-0,PEC Zwolle
21/12/19,ERE,PSV,4-1,PEC Zwolle
10/01/20,CLF,PEC Zwolle,1-3,Zulte Waregem
10/01/20,CLF,PEC Zwolle,0-2,Standard Liège
17/01/20,ERE,PEC Zwolle,3-3,Utrecht
26/01/20,ERE,Willem II,0-0,PEC Zwolle
01/02/20,ERE,PEC Zwolle,1-0,Groningen
08/02/20,ERE,RKC Waalwijk,0-0,PEC Zwolle
16/02/20,ERE,PEC Zwolle,3-4,Feyenoord
23/02/20,ERE,AZ,2-0,PEC Zwolle
29/02/20,ERE,PEC Zwolle,4-3,Vitesse
06/03/20,ERE,Fortuna Sittard,1-1,PEC Zwolle
14/03/20,ERE,PEC Zwolle,CANC,Heracles
21/03/20,ERE,PEC Zwolle,CANC,VVV
05/04/20,ERE,Ajax,CANC,PEC Zwolle
12/04/20,ERE,PEC Zwolle,CANC,Twente
21/04/20,ERE,Sparta Rotterdam,CANC,PEC Zwolle
25/04/20,ERE,PEC Zwolle,CANC,Heerenveen
03/05/20,ERE,PEC Zwolle,CANC,Emmen
10/05/20,ERE,ADO Den Haag,CANC,PEC Zwolle
01/08/20,CLF,Cambuur,2-0,PEC Zwolle
05/08/20,CLF,AZ,0-1,PEC Zwolle
09/08/20,CLF,Heracles,0-1,PEC Zwolle
24/08/20,CLF,Emmen,0-1,PEC Zwolle
29/08/20,CLF,PEC Zwolle,0-2,Utrecht
05/09/20,CLF,Heerenveen,0-1,PEC Zwolle
12/09/20,ERE,PEC Zwolle,0-2,Feyenoord
19/09/20,ERE,AZ,1-1,PEC Zwolle
26/09/20,ERE,PEC Zwolle,4-0,Sparta Rotterdam
08/10/20,CLF,PEC Zwolle,3-3,Utrecht
18/10/20,ERE,PEC Zwolle,0-3,PSV
21/10/20,ERE,RKC Waalwijk,1-1,PEC Zwolle
24/10/20,ERE,PEC Zwolle,0-0,Willem II
31/10/20,ERE,Twente,5-1,PEC Zwolle
