Date,Competition,Home team,Score,Away team
12/08/23,ERE,PSV,2-0,Utrecht
15/08/23,UCL,Sturm Graz,1-3,PSV
19/08/23,ERE,Vitesse,1-3,PSV
22/08/23,UCL,Rangers,2-2,PSV
30/08/23,UCL,PSV,5-1,Rangers
02/09/23,ERE,RKC Waalwijk,0-4,PSV
16/09/23,ERE,PSV,4-0,NEC
20/09/23,UCL,Arsenal,4-0,PSV
23/09/23,ERE,Almere City,0-4,PSV
27/09/23,ERE,PSV,3-0,Go Ahead Eagles
30/09/23,ERE,PSV,3-1,Volendam
03/10/23,UCL,PSV,2-2,Sevilla
08/10/23,ERE,Sparta Rotterdam,0-4,PSV
21/10/23,ERE,PSV,3-1,Fortuna Sittard
24/10/23,UCL,Lens,1-1,PSV
29/10/23,ERE,PSV,5-2,Ajax
04/11/23,ERE,Heracles,0-6,PSV
08/11/23,UCL,PSV,1-0,Lens
12/11/23,ERE,PSV,4-0,PEC Zwolle
15/11/23,CLF,PSV,0-2,Schalke 04
25/11/23,ERE,Twente,0-3,PSV
29/11/23,UCL,Sevilla,2-3,PSV
03/12/23,ERE,Feyenoord,1-2,PSV
07/12/23,ERE,PSV,2-0,Heerenveen
12/12/23,UCL,PSV,1-1,Arsenal
17/12/23,ERE,AZ,0-4,PSV
07/01/24,CLF,PSV,1-1,Heracles
07/01/24,CLF,PSV,2-2,Hamburg
13/01/24,ERE,PSV,3-1,Excelsior
17/01/24,KNB,PSV,3-1,Twente
21/01/24,ERE,Utrecht,1-1,PSV
24/01/24,KNB,Feyenoord,1-0,PSV
27/01/24,ERE,PSV,2-0,Almere City
03/02/24,ERE,Ajax,1-1,PSV
11/02/24,ERE,Volendam,1-5,PSV
16/02/24,ERE,PSV,2-0,Heracles
20/02/24,UCL,PSV,1-1,Borussia Dortmund
24/02/24,ERE,PEC Zwolle,1-7,PSV
03/03/24,ERE,PSV,2-2,Feyenoord
08/03/24,ERE,Go Ahead Eagles,0-1,PSV
13/03/24,UCL,Borussia Dortmund,2-0,PSV
17/03/24,ERE,PSV,1-0,Twente
30/03/24,ERE,NEC,3-1,PSV
02/04/24,ERE,Excelsior,0-2,PSV
06/04/24,ERE,PSV,5-1,AZ
13/04/24,ERE,PSV,6-0,Vitesse
25/04/24,ERE,Heerenveen,0-8,PSV
05/05/24,ERE,PSV,12:15,Sparta Rotterdam
12/05/24,ERE,Fortuna Sittard,14:30,PSV
19/05/24,ERE,PSV,14:30,RKC Waalwijk
11/09/22,ERE,PSV,1-0,RKC Waalwijk
18/09/22,ERE,PSV,4-3,Feyenoord
01/10/22,ERE,Cambuur,3-0,PSV
06/10/22,UEL,Zürich,1-5,PSV
09/10/22,ERE,Heerenveen,0-1,PSV
13/10/22,UEL,PSV,5-0,Zürich
16/10/22,ERE,PSV,6-1,Utrecht
20/10/22,UEL,Arsenal,1-0,PSV
23/10/22,ERE,Groningen,4-2,PSV
27/10/22,UEL,PSV,2-0,Arsenal
30/10/22,ERE,PSV,3-0,NEC
03/11/22,UEL,Bodø / Glimt,1-2,PSV
06/11/22,ERE,Ajax,1-2,PSV
12/11/22,ERE,PSV,0-1,AZ
10/12/22,CLF,PSV,4-2,Rakow Czestochowa
17/12/22,CLF,PSV,CANC,Sassuolo
30/12/22,CLF,PSV,3-0,AC Milan
07/01/23,ERE,PSV,0-0,Sparta Rotterdam
10/01/23,KNB,Sparta Rotterdam,1-2,PSV
15/01/23,ERE,Fortuna Sittard,2-2,PSV
21/01/23,ERE,PSV,1-0,Vitesse
24/01/23,ERE,Emmen,1-0,PSV
28/01/23,ERE,PSV,2-0,Go Ahead Eagles
05/02/23,ERE,Feyenoord,2-2,PSV
08/02/23,KNB,PSV,3-1,Emmen
11/02/23,ERE,PSV,6-0,Groningen
16/02/23,UEL,Sevilla,3-0,PSV
19/02/23,ERE,Utrecht,2-2,PSV
23/02/23,UEL,PSV,2-0,Sevilla
26/02/23,ERE,PSV,3-1,Twente
02/03/23,KNB,PSV,3-1,ADO Den Haag
05/03/23,ERE,RKC Waalwijk,0-1,PSV
12/03/23,ERE,PSV,5-2,Cambuur
19/03/23,ERE,Vitesse,1-1,PSV
01/04/23,ERE,NEC,2-4,PSV
04/04/23,KNB,Spakenburg,1-2,PSV
08/04/23,ERE,PSV,4-0,Excelsior
16/04/23,ERE,Volendam,2-3,PSV
23/04/23,ERE,PSV,3-0,Ajax
30/04/23,KNB,Ajax,P1-1P,PSV
06/05/23,ERE,Sparta Rotterdam,0-1,PSV
14/05/23,ERE,PSV,2-1,Fortuna Sittard
21/05/23,ERE,PSV,3-3,Heerenveen
28/05/23,ERE,AZ,1-2,PSV
08/07/23,CLF,PSV,1-2,Sint-Truiden
15/07/23,CLF,Blau-Weiß Linz,1-2,PSV
26/07/23,CLF,PSV,3-1,Eindhoven
30/07/23,CLF,PSV,1-0,Nottingham Forest
04/08/23,SUC,Feyenoord,0-1,PSV
08/08/23,UCL,PSV,4-1,Sturm Graz
04/12/21,ERE,PSV,4-1,Utrecht
09/12/21,UEL,Real Sociedad,3-0,PSV
12/12/21,ERE,NEC,1-2,PSV
15/12/21,KNB,PSV,2-0,Fortuna Sittard
19/12/21,ERE,RKC Waalwijk,1-4,PSV
23/12/21,ERE,PSV,2-0,Go Ahead Eagles
09/01/22,CLF,PSV,CANC,Karlsruhe
16/01/22,ERE,Groningen,0-1,PSV
20/01/22,KNB,PSV,2-1,Telstar
23/01/22,ERE,PSV,1-2,Ajax
05/02/22,ERE,PSV,1-2,AZ
08/02/22,KNB,PSV,4-0,NAC Breda
12/02/22,ERE,Vitesse,0-5,PSV
17/02/22,UEC,PSV,1-0,Maccabi Tel Aviv
20/02/22,ERE,PSV,3-1,Heerenveen
24/02/22,UEC,Maccabi Tel Aviv,1-1,PSV
27/02/22,ERE,Sparta Rotterdam,1-2,PSV
02/03/22,KNB,Go Ahead Eagles,1-2,PSV
06/03/22,ERE,PSV,3-1,Heracles
10/03/22,UEC,PSV,4-4,FC Copenhagen
13/03/22,ERE,Utrecht,0-1,PSV
17/03/22,UEC,FC Copenhagen,0-4,PSV
20/03/22,ERE,PSV,5-0,Fortuna Sittard
02/04/22,ERE,Twente,3-3,PSV
07/04/22,UEC,Leicester City,0-0,PSV
10/04/22,ERE,PSV,2-0,RKC Waalwijk
14/04/22,UEC,PSV,1-2,Leicester City
17/04/22,KNB,PSV,2-1,Ajax
23/04/22,ERE,Cambuur,1-2,PSV
01/05/22,ERE,PSV,4-2,Willem II
08/05/22,ERE,Feyenoord,2-2,PSV
11/05/22,ERE,PSV,3-2,NEC
15/05/22,ERE,PEC Zwolle,1-2,PSV
25/06/22,CLF,PSV,6-0,BW Lohne
02/07/22,CLF,PSV,2-2,Cercle Brugge
09/07/22,CLF,Arminia Bielefeld,4-0,PSV
16/07/22,CLF,PSV,1-2,Villarreal
19/07/22,CLF,PSV,5-0,Eindhoven
23/07/22,CLF,PSV,2-1,Real Betis
30/07/22,SUC,Ajax,3-5,PSV
02/08/22,UCL,Monaco,1-1,PSV
06/08/22,ERE,PSV,4-1,Emmen
09/08/22,UCL,PSV,E3-2E,Monaco
13/08/22,ERE,Go Ahead Eagles,2-5,PSV
16/08/22,UCL,Rangers,2-2,PSV
24/08/22,UCL,PSV,0-1,Rangers
28/08/22,ERE,Excelsior,1-6,PSV
31/08/22,ERE,PSV,7-1,Volendam
03/09/22,ERE,Twente,2-1,PSV
08/09/22,UEL,PSV,1-1,Bodø / Glimt
23/01/21,ERE,PSV,2-0,RKC Waalwijk
26/01/21,ERE,Emmen,0-2,PSV
31/01/21,ERE,Feyenoord,3-1,PSV
06/02/21,ERE,PSV,3-0,Twente
10/02/21,KNB,Ajax,2-1,PSV
13/02/21,ERE,ADO Den Haag,2-2,PSV
18/02/21,UEL,Olympiakos,4-2,PSV
21/02/21,ERE,PSV,3-1,Vitesse
25/02/21,UEL,PSV,2-1,Olympiakos
28/02/21,ERE,PSV,1-1,Ajax
07/03/21,ERE,Fortuna Sittard,1-3,PSV
14/03/21,ERE,PSV,1-1,Feyenoord
21/03/21,ERE,AZ,2-0,PSV
04/04/21,ERE,PSV,3-0,Heracles
11/04/21,ERE,VVV,0-2,PSV
24/04/21,ERE,PSV,1-0,Groningen
02/05/21,ERE,PSV,2-2,Heerenveen
09/05/21,ERE,Willem II,0-2,PSV
13/05/21,ERE,PSV,4-2,PEC Zwolle
16/05/21,ERE,Utrecht,1-1,PSV
03/07/21,CLF,PSV,6-2,RWDM
07/07/21,CLF,Delbrücker SC,1-10,PSV
10/07/21,CLF,Osnabrück,0-0,PSV
14/07/21,CLF,PSV,1-0,PAOK
21/07/21,UCL,PSV,5-1,Galatasaray
28/07/21,UCL,Galatasaray,1-2,PSV
03/08/21,UCL,PSV,3-0,Midtjylland
07/08/21,SUC,Ajax,0-4,PSV
10/08/21,UCL,Midtjylland,0-1,PSV
14/08/21,ERE,Heracles,0-2,PSV
18/08/21,UCL,Benfica,2-1,PSV
21/08/21,ERE,PSV,4-1,Cambuur
24/08/21,UCL,PSV,0-0,Benfica
28/08/21,ERE,PSV,5-2,Groningen
11/09/21,ERE,AZ,0-3,PSV
16/09/21,UEL,PSV,2-2,Real Sociedad
19/09/21,ERE,PSV,0-4,Feyenoord
22/09/21,ERE,Go Ahead Eagles,1-2,PSV
25/09/21,ERE,Willem II,2-1,PSV
30/09/21,UEL,Sturm Graz,1-4,PSV
03/10/21,ERE,PSV,2-1,Sparta Rotterdam
16/10/21,ERE,PSV,3-1,PEC Zwolle
21/10/21,UEL,PSV,1-2,Monaco
24/10/21,ERE,Ajax,5-0,PSV
30/10/21,ERE,PSV,5-2,Twente
04/11/21,UEL,Monaco,0-0,PSV
07/11/21,ERE,Fortuna Sittard,1-4,PSV
20/11/21,ERE,PSV,2-0,Vitesse
25/11/21,UEL,PSV,2-0,Sturm Graz
28/11/21,ERE,Heerenveen,1-1,PSV
08/02/20,ERE,PSV,3-0,Willem II
15/02/20,ERE,ADO Den Haag,0-3,PSV
23/02/20,ERE,Vitesse,1-2,PSV
01/03/20,ERE,PSV,1-1,Feyenoord
08/03/20,ERE,Groningen,0-1,PSV
14/03/20,ERE,PSV,CANC,Emmen
22/03/20,ERE,Fortuna Sittard,CANC,PSV
04/04/20,ERE,PSV,CANC,Heracles
12/04/20,ERE,PSV,CANC,Sparta Rotterdam
21/04/20,ERE,AZ,CANC,PSV
25/04/20,ERE,PSV,CANC,Utrecht
03/05/20,ERE,Heerenveen,CANC,PSV
