Date,Competition,Home team,Score,Away team
23/03/23,CLF,RKC Waalwijk,0-6,Almere City
01/04/23,ERE,RKC Waalwijk,1-0,Vitesse
09/04/23,ERE,Feyenoord,5-1,RKC Waalwijk
15/04/23,ERE,RKC Waalwijk,2-1,Groningen
19/04/23,ERE,Go Ahead Eagles,3-2,RKC Waalwijk
23/04/23,ERE,AZ,3-0,RKC Waalwijk
05/05/23,ERE,RKC Waalwijk,4-1,Volendam
13/05/23,ERE,Utrecht,2-0,RKC Waalwijk
21/05/23,ERE,RKC Waalwijk,0-5,Twente
28/05/23,ERE,Cambuur,4-0,RKC Waalwijk
08/07/23,CLF,RKC Waalwijk,0-0,Kortrijk
19/07/23,CLF,NAC Breda,2-3,RKC Waalwijk
22/07/23,CLF,RKC Waalwijk,0-3,Paderborn
27/07/23,CLF,RKC Waalwijk,0-1,Marseille
05/08/23,CLF,Sparta Rotterdam,1-0,RKC Waalwijk
12/08/23,ERE,Heerenveen,3-1,RKC Waalwijk
20/08/23,ERE,RKC Waalwijk,1-3,AZ
26/08/23,ERE,NEC,3-0,RKC Waalwijk
02/09/23,ERE,RKC Waalwijk,0-4,PSV
16/09/23,ERE,Vitesse,0-2,RKC Waalwijk
24/09/23,ERE,RKC Waalwijk,1-0,Twente
07/10/23,ERE,Almere City,1-0,RKC Waalwijk
21/10/23,ERE,RKC Waalwijk,2-1,Volendam
28/10/23,ERE,Sparta Rotterdam,2-0,RKC Waalwijk
31/10/23,KNB,Utrecht,3-2,RKC Waalwijk
04/11/23,ERE,RKC Waalwijk,1-2,Feyenoord
11/11/23,ERE,RKC Waalwijk,0-1,Go Ahead Eagles
25/11/23,ERE,PEC Zwolle,1-2,RKC Waalwijk
02/12/23,ERE,RKC Waalwijk,2-2,Excelsior
06/12/23,ERE,RKC Waalwijk,2-3,Ajax
10/12/23,ERE,Fortuna Sittard,1-0,RKC Waalwijk
16/12/23,ERE,Utrecht,1-1,RKC Waalwijk
12/01/24,ERE,RKC Waalwijk,1-2,Heracles
21/01/24,ERE,Ajax,4-1,RKC Waalwijk
27/01/24,ERE,RKC Waalwijk,1-1,Sparta Rotterdam
03/02/24,ERE,Twente,3-0,RKC Waalwijk
09/02/24,ERE,RKC Waalwijk,2-0,NEC
18/02/24,ERE,Feyenoord,1-0,RKC Waalwijk
24/02/24,ERE,RKC Waalwijk,0-1,Fortuna Sittard
02/03/24,ERE,Go Ahead Eagles,1-0,RKC Waalwijk
09/03/24,ERE,RKC Waalwijk,3-1,Vitesse
16/03/24,ERE,Excelsior,1-1,RKC Waalwijk
30/03/24,ERE,RKC Waalwijk,1-1,Heerenveen
04/04/24,ERE,RKC Waalwijk,0-0,Almere City
07/04/24,ERE,Volendam,3-2,RKC Waalwijk
13/04/24,ERE,AZ,3-2,RKC Waalwijk
28/04/24,ERE,RKC Waalwijk,2-2,Utrecht
05/05/24,ERE,Heracles,12:15,RKC Waalwijk
12/05/24,ERE,RKC Waalwijk,14:30,PEC Zwolle
19/05/24,ERE,PSV,14:30,RKC Waalwijk
06/02/22,ERE,Willem II,3-1,RKC Waalwijk
09/02/22,KNB,RKC Waalwijk,0-4,AZ
13/02/22,ERE,RKC Waalwijk,0-2,Feyenoord
19/02/22,ERE,NEC,1-1,RKC Waalwijk
25/02/22,ERE,RKC Waalwijk,1-2,Twente
06/03/22,ERE,Ajax,3-2,RKC Waalwijk
12/03/22,ERE,RKC Waalwijk,0-0,Heerenveen
20/03/22,ERE,Vitesse,1-2,RKC Waalwijk
23/03/22,CLF,Feyenoord,3-3,RKC Waalwijk
02/04/22,ERE,RKC Waalwijk,1-1,Utrecht
10/04/22,ERE,PSV,2-0,RKC Waalwijk
23/04/22,ERE,RKC Waalwijk,0-2,PEC Zwolle
01/05/22,ERE,RKC Waalwijk,3-1,Groningen
06/05/22,ERE,Cambuur,1-1,RKC Waalwijk
11/05/22,ERE,RKC Waalwijk,2-0,Heracles
15/05/22,ERE,AZ,1-3,RKC Waalwijk
