Date,Competition,Home team,Score,Away team
23/04/23,ERE,Twente,3-3,Sparta Rotterdam
06/05/23,ERE,Sparta Rotterdam,0-1,PSV
13/05/23,ERE,Volendam,2-1,Sparta Rotterdam
21/05/23,ERE,Sparta Rotterdam,4-1,Cambuur
28/05/23,ERE,Groningen,0-5,Sparta Rotterdam
01/06/23,ERE,Utrecht,1-2,Sparta Rotterdam
04/06/23,ERE,Sparta Rotterdam,P0-1P,Utrecht
08/06/23,ERE,Sparta Rotterdam,1-1,Twente
11/06/23,ERE,Twente,1-0,Sparta Rotterdam
22/07/23,CLF,Sparta Rotterdam,4-0,Zulte Waregem
25/07/23,CLF,Sparta Rotterdam,1-4,Mamelodi Sundowns
29/07/23,CLF,Willem II,0-3,Sparta Rotterdam
01/08/23,CLF,ADO Den Haag,1-2,Sparta Rotterdam
05/08/23,CLF,Sparta Rotterdam,1-0,RKC Waalwijk
12/08/23,ERE,PEC Zwolle,1-2,Sparta Rotterdam
20/08/23,ERE,Sparta Rotterdam,2-2,Feyenoord
27/08/23,ERE,Heerenveen,1-3,Sparta Rotterdam
01/09/23,ERE,Sparta Rotterdam,1-1,NEC
17/09/23,ERE,AZ,2-0,Sparta Rotterdam
24/09/23,ERE,Sparta Rotterdam,1-0,Vitesse
01/10/23,ERE,Excelsior,2-1,Sparta Rotterdam
08/10/23,ERE,Sparta Rotterdam,0-4,PSV
22/10/23,ERE,Go Ahead Eagles,0-0,Sparta Rotterdam
28/10/23,ERE,Sparta Rotterdam,2-0,RKC Waalwijk
01/11/23,KNB,IJsselmeervogels,0-2,Sparta Rotterdam
05/11/23,ERE,Sparta Rotterdam,1-2,Almere City
12/11/23,ERE,Volendam,1-4,Sparta Rotterdam
26/11/23,ERE,Sparta Rotterdam,1-2,Utrecht
02/12/23,ERE,Heracles,0-1,Sparta Rotterdam
09/12/23,ERE,Ajax,2-1,Sparta Rotterdam
17/12/23,ERE,Sparta Rotterdam,2-2,Twente
20/12/23,KNB,ADO Den Haag,2-0,Sparta Rotterdam
13/01/24,ERE,Fortuna Sittard,0-2,Sparta Rotterdam
21/01/24,ERE,Sparta Rotterdam,0-2,Go Ahead Eagles
27/01/24,ERE,RKC Waalwijk,1-1,Sparta Rotterdam
04/02/24,ERE,Sparta Rotterdam,0-2,PEC Zwolle
11/02/24,ERE,Feyenoord,2-0,Sparta Rotterdam
17/02/24,ERE,Sparta Rotterdam,4-2,Excelsior
24/02/24,ERE,NEC,2-0,Sparta Rotterdam
02/03/24,ERE,Sparta Rotterdam,1-1,AZ
09/03/24,ERE,Twente,2-1,Sparta Rotterdam
17/03/24,ERE,Sparta Rotterdam,2-2,Ajax
30/03/24,ERE,Sparta Rotterdam,4-0,Fortuna Sittard
02/04/24,ERE,Vitesse,1-4,Sparta Rotterdam
06/04/24,ERE,Sparta Rotterdam,1-2,Heracles
13/04/24,ERE,Almere City,2-3,Sparta Rotterdam
28/04/24,ERE,Sparta Rotterdam,1-0,Volendam
05/05/24,ERE,PSV,12:15,Sparta Rotterdam
12/05/24,ERE,Utrecht,14:30,Sparta Rotterdam
19/05/24,ERE,Sparta Rotterdam,14:30,Heerenveen
09/04/22,ERE,Ajax,2-1,Sparta Rotterdam
16/04/22,ERE,Fortuna Sittard,3-0,Sparta Rotterdam
19/04/22,ERE,Vitesse,0-1,Sparta Rotterdam
22/04/22,ERE,Twente,2-0,Sparta Rotterdam
30/04/22,ERE,Sparta Rotterdam,1-1,AZ
07/05/22,ERE,Groningen,1-2,Sparta Rotterdam
11/05/22,ERE,Sparta Rotterdam,2-0,PEC Zwolle
15/05/22,ERE,Heracles,1-3,Sparta Rotterdam
12/07/22,CLF,Quick '20,0-3,Sparta Rotterdam
15/07/22,CLF,Sparta Rotterdam,1-0,Heracles
20/07/22,CLF,Willem II,0-2,Sparta Rotterdam
23/07/22,CLF,Beerschot,1-0,Sparta Rotterdam
26/07/22,CLF,VOC,1-5,Sparta Rotterdam
30/07/22,CLF,Sparta Rotterdam,3-1,Emmen
05/08/22,ERE,Heerenveen,0-0,Sparta Rotterdam
14/08/22,ERE,Sparta Rotterdam,2-3,AZ
21/08/22,ERE,Sparta Rotterdam,0-1,Ajax
27/08/22,ERE,Go Ahead Eagles,0-1,Sparta Rotterdam
03/09/22,ERE,Sparta Rotterdam,4-0,Volendam
11/09/22,ERE,Feyenoord,3-0,Sparta Rotterdam
17/09/22,ERE,Sparta Rotterdam,2-1,Groningen
02/10/22,ERE,RKC Waalwijk,2-2,Sparta Rotterdam
08/10/22,ERE,Sparta Rotterdam,3-1,Emmen
16/10/22,ERE,Sparta Rotterdam,2-0,NEC
20/10/22,KNB,OFC,1-3,Sparta Rotterdam
23/10/22,ERE,Utrecht,3-1,Sparta Rotterdam
29/10/22,ERE,Sparta Rotterdam,3-1,Fortuna Sittard
05/11/22,ERE,Vitesse,0-4,Sparta Rotterdam
11/11/22,ERE,Sparta Rotterdam,1-1,Twente
04/12/22,CLF,ADO Den Haag,0-3,Sparta Rotterdam
10/12/22,CLF,Twente,2-1,Sparta Rotterdam
