Date,Competition,Home team,Score,Away team
04/06/23,ERE,Twente,4-0,Heerenveen
08/06/23,ERE,Sparta Rotterdam,1-1,Twente
11/06/23,ERE,Twente,1-0,Sparta Rotterdam
15/07/23,CLF,Twente,7-1,OB
19/07/23,CLF,Twente,3-2,PEC Zwolle
22/07/23,CLF,Schalke 04,2-2,Twente
27/07/23,UEC,Twente,1-0,Hammarby
03/08/23,UEC,Hammarby,1-1,Twente
10/08/23,UEC,Twente,2-0,Riga
13/08/23,ERE,Almere City,1-4,Twente
17/08/23,UEC,Riga,0-3,Twente
20/08/23,ERE,Twente,3-1,PEC Zwolle
24/08/23,UEC,Fenerbahce,5-1,Twente
31/08/23,UEC,Twente,0-1,Fenerbahce
03/09/23,ERE,Volendam,0-2,Twente
17/09/23,ERE,Twente,3-1,Ajax
24/09/23,ERE,RKC Waalwijk,1-0,Twente
27/09/23,ERE,Twente,1-0,Vitesse
30/09/23,ERE,Twente,1-0,Heerenveen
08/10/23,ERE,Fortuna Sittard,0-3,Twente
10/10/23,CLF,Union Saint-Gilloise,1-4,Twente
22/10/23,ERE,Heracles,2-2,Twente
29/10/23,ERE,Twente,2-1,Feyenoord
05/11/23,ERE,Utrecht,1-1,Twente
11/11/23,ERE,Twente,3-3,NEC
25/11/23,ERE,Twente,0-3,PSV
03/12/23,ERE,Go Ahead Eagles,1-3,Twente
08/12/23,ERE,Twente,4-2,Excelsior
17/12/23,ERE,Sparta Rotterdam,2-2,Twente
07/01/24,CLF,Eldense,0-1,Twente
08/01/24,CLF,Twente,2-2,Osnabrück
13/01/24,ERE,Twente,2-1,AZ
17/01/24,KNB,PSV,3-1,Twente
20/01/24,ERE,NEC,1-0,Twente
28/01/24,ERE,Feyenoord,0-0,Twente
03/02/24,ERE,Twente,3-0,RKC Waalwijk
10/02/24,ERE,Excelsior,0-3,Twente
18/02/24,ERE,Twente,0-1,Utrecht
25/02/24,ERE,Twente,3-0,Go Ahead Eagles
02/03/24,ERE,Vitesse,1-2,Twente
09/03/24,ERE,Twente,2-1,Sparta Rotterdam
17/03/24,ERE,PSV,1-0,Twente
