Date,Competition,Home team,Score,Away team
13/05/23,ERE,Utrecht,2-0,RKC Waalwijk
21/05/23,ERE,Ajax,3-1,Utrecht
28/05/23,ERE,Utrecht,3-2,Emmen
01/06/23,ERE,Utrecht,1-2,Sparta Rotterdam
04/06/23,ERE,Sparta Rotterdam,P0-1P,Utrecht
12/07/23,CLF,Utrecht,0-2,Gent
15/07/23,CLF,Utrecht,1-2,Sporting Charleroi
28/07/23,CLF,Utrecht,1-1,Kifisia
29/07/23,CLF,Utrecht,2-0,OFI
02/08/23,CLF,Utrecht,1-2,Bologna
05/08/23,CLF,Utrecht,3-0,Espanyol
12/08/23,ERE,PSV,2-0,Utrecht
20/08/23,ERE,Utrecht,0-2,Heerenveen
27/08/23,ERE,PEC Zwolle,1-0,Utrecht
03/09/23,ERE,Utrecht,1-5,Feyenoord
16/09/23,ERE,Heracles,1-3,Utrecht
23/09/23,ERE,NEC,3-0,Utrecht
30/09/23,ERE,Utrecht,0-2,Almere City
06/10/23,ERE,Volendam,1-0,Utrecht
12/10/23,CLF,NEC,1-2,Utrecht
22/10/23,ERE,Utrecht,4-3,Ajax
28/10/23,ERE,Fortuna Sittard,0-0,Utrecht
31/10/23,KNB,Utrecht,3-2,RKC Waalwijk
05/11/23,ERE,Utrecht,1-1,Twente
12/11/23,ERE,Utrecht,2-2,Excelsior
26/11/23,ERE,Sparta Rotterdam,1-2,Utrecht
03/12/23,ERE,Utrecht,1-1,AZ
10/12/23,ERE,Go Ahead Eagles,0-2,Utrecht
16/12/23,ERE,Utrecht,1-1,RKC Waalwijk
20/12/23,KNB,Feyenoord,2-1,Utrecht
07/01/24,CLF,Utrecht,4-4,SK Beveren
14/01/24,ERE,Vitesse,0-0,Utrecht
21/01/24,ERE,Utrecht,1-1,PSV
27/01/24,ERE,Excelsior,1-1,Utrecht
04/02/24,ERE,Utrecht,4-2,Volendam
11/02/24,ERE,Utrecht,4-0,Fortuna Sittard
18/02/24,ERE,Twente,0-1,Utrecht
23/02/24,ERE,Utrecht,1-0,Heracles
03/03/24,ERE,Ajax,2-0,Utrecht
09/03/24,ERE,Almere City,1-1,Utrecht
17/03/24,ERE,Utrecht,1-0,NEC
21/03/24,CLF,Utrecht,3-0,Helmond Sport
31/03/24,ERE,Feyenoord,4-2,Utrecht
03/04/24,ERE,Utrecht,5-1,PEC Zwolle
07/04/24,ERE,Heerenveen,2-3,Utrecht
14/04/24,ERE,Utrecht,2-1,Go Ahead Eagles
28/04/24,ERE,RKC Waalwijk,2-2,Utrecht
05/05/24,ERE,Utrecht,14:30,Vitesse
12/05/24,ERE,Utrecht,14:30,Sparta Rotterdam
19/05/24,ERE,AZ,14:30,Utrecht
11/05/22,ERE,Utrecht,2-2,AZ
15/05/22,ERE,Willem II,3-0,Utrecht
19/05/22,ERE,Utrecht,3-1,Vitesse
22/05/22,ERE,Vitesse,E3-0E,Utrecht
02/07/22,CLF,Utrecht,2-4,Queen's Park
06/07/22,CLF,Utrecht,1-2,Genk
08/07/22,CLF,Heerenveen,0-1,Utrecht
13/07/22,CLF,Club Brugge,4-2,Utrecht
