Date,Competition,Home team,Score,Away team
16/04/23,ERE,NEC,1-4,Vitesse
22/04/23,ERE,Vitesse,0-0,Excelsior
07/05/23,ERE,Fortuna Sittard,2-0,Vitesse
14/05/23,ERE,Vitesse,2-0,Cambuur
21/05/23,ERE,Vitesse,6-0,Groningen
28/05/23,ERE,Feyenoord,0-1,Vitesse
08/07/23,CLF,DUNO,0-9,Vitesse
22/07/23,CLF,Stuttgart,2-1,Vitesse
28/07/23,CLF,Eintracht Frankfurt,1-1,Vitesse
01/08/23,CLF,Vitesse,2-2,Patro Eisden
05/08/23,CLF,Getafe,4-1,Vitesse
11/08/23,ERE,Volendam,1-2,Vitesse
19/08/23,ERE,Vitesse,1-3,PSV
03/09/23,ERE,Vitesse,0-2,AZ
16/09/23,ERE,Vitesse,0-2,RKC Waalwijk
24/09/23,ERE,Sparta Rotterdam,1-0,Vitesse
27/09/23,ERE,Twente,1-0,Vitesse
01/10/23,ERE,NEC,1-3,Vitesse
07/10/23,ERE,Vitesse,0-0,Excelsior
21/10/23,ERE,Feyenoord,4-0,Vitesse
27/10/23,ERE,Vitesse,1-1,PEC Zwolle
31/10/23,KNB,Groene Ster,0-1,Vitesse
04/11/23,ERE,Go Ahead Eagles,5-1,Vitesse
11/11/23,ERE,Vitesse,1-3,Heerenveen
25/11/23,ERE,Ajax,5-0,Vitesse
02/12/23,ERE,Fortuna Sittard,3-1,Vitesse
10/12/23,ERE,Vitesse,2-0,Heracles
17/12/23,ERE,Almere City,5-0,Vitesse
21/12/23,KNB,Vitesse,1-0,Heerenveen
07/01/24,CLF,Bochum,2-0,Vitesse
14/01/24,ERE,Vitesse,0-0,Utrecht
18/01/24,KNB,Vitesse,1-0,AFC
21/01/24,ERE,Vitesse,1-2,Feyenoord
26/01/24,ERE,PEC Zwolle,1-0,Vitesse
04/02/24,ERE,Vitesse,0-2,Go Ahead Eagles
07/02/24,KNB,Cambuur,3-1,Vitesse
10/02/24,ERE,Heracles,3-2,Vitesse
18/02/24,ERE,Vitesse,1-1,Volendam
25/02/24,ERE,Excelsior,1-2,Vitesse
02/03/24,ERE,Vitesse,1-2,Twente
09/03/24,ERE,RKC Waalwijk,3-1,Vitesse
16/03/24,ERE,Vitesse,1-1,Almere City
30/03/24,ERE,AZ,2-0,Vitesse
02/04/24,ERE,Vitesse,1-4,Sparta Rotterdam
07/04/24,ERE,Vitesse,0-3,NEC
13/04/24,ERE,PSV,6-0,Vitesse
28/04/24,ERE,Vitesse,3-2,Fortuna Sittard
05/05/24,ERE,Utrecht,14:30,Vitesse
12/05/24,ERE,Heerenveen,14:30,Vitesse
19/05/24,ERE,Vitesse,14:30,Ajax
19/04/22,ERE,Vitesse,0-1,Sparta Rotterdam
24/04/22,ERE,Willem II,1-0,Vitesse
01/05/22,ERE,Go Ahead Eagles,1-2,Vitesse
08/05/22,ERE,Vitesse,1-2,Heerenveen
11/05/22,ERE,Fortuna Sittard,1-2,Vitesse
15/05/22,ERE,Vitesse,2-2,Ajax
19/05/22,ERE,Utrecht,3-1,Vitesse
22/05/22,ERE,Vitesse,E3-0E,Utrecht
26/05/22,ERE,Vitesse,2-1,AZ
29/05/22,ERE,AZ,6-1,Vitesse
08/07/22,CLF,Vitesse,0-0,Westerlo
12/07/22,CLF,Vitesse,1-0,Maccabi Haifa
17/07/22,CLF,KV Oostende,2-0,Vitesse
22/07/22,CLF,Vitesse,2-2,VVV
26/07/22,CLF,Vitesse,1-2,OFI
30/07/22,CLF,Vitesse,1-2,Atromitos
07/08/22,ERE,Vitesse,2-5,Feyenoord
12/08/22,ERE,Excelsior,3-1,Vitesse
20/08/22,ERE,Vitesse,0-4,Heerenveen
27/08/22,ERE,Vitesse,2-2,RKC Waalwijk
04/09/22,ERE,Groningen,0-1,Vitesse
11/09/22,ERE,Utrecht,1-0,Vitesse
17/09/22,ERE,Vitesse,1-1,Volendam
01/10/22,ERE,Twente,3-0,Vitesse
09/10/22,ERE,Vitesse,1-2,Fortuna Sittard
15/10/22,ERE,Cambuur,0-3,Vitesse
19/10/22,KNB,Kozakken Boys,P2-2P,Vitesse
22/10/22,ERE,Vitesse,2-1,Emmen
05/11/22,ERE,Vitesse,0-4,Sparta Rotterdam
09/11/22,ERE,Ajax,2-2,Vitesse
13/11/22,ERE,Go Ahead Eagles,2-2,Vitesse
09/12/22,CLF,Strasbourg,CANC,Vitesse
15/12/22,CLF,Vitesse,CANC,Excelsior
16/12/22,CLF,MSV Duisburg,2-1,Vitesse
22/12/22,CLF,Sparta Rotterdam,1-0,Vitesse
07/01/23,ERE,AZ,1-1,Vitesse
15/01/23,ERE,Vitesse,0-0,NEC
21/01/23,ERE,PSV,1-0,Vitesse
25/01/23,ERE,Vitesse,2-2,Twente
28/01/23,ERE,Heerenveen,1-3,Vitesse
04/02/23,ERE,Emmen,2-2,Vitesse
12/02/23,ERE,Vitesse,2-0,Utrecht
18/02/23,ERE,Volendam,2-0,Vitesse
26/02/23,ERE,Vitesse,1-2,Ajax
03/03/23,ERE,Vitesse,0-1,AZ
11/03/23,ERE,Sparta Rotterdam,3-1,Vitesse
19/03/23,ERE,Vitesse,1-1,PSV
22/03/23,CLF,Heerenveen,1-1,Vitesse
01/04/23,ERE,RKC Waalwijk,1-0,Vitesse
08/04/23,ERE,Vitesse,2-0,Go Ahead Eagles
16/07/21,CLF,Schalke 04,3-2,Vitesse
23/07/21,CLF,Go Ahead Eagles,1-1,Vitesse
24/07/21,CLF,Vitesse,0-1,Lommel
29/07/21,CLF,Bochum,1-2,Vitesse
05/08/21,UEC,Vitesse,2-2,Dundalk
12/08/21,UEC,Dundalk,1-2,Vitesse
15/08/21,ERE,PEC Zwolle,0-1,Vitesse
19/08/21,UEC,Anderlecht,3-3,Vitesse
22/08/21,ERE,Vitesse,0-3,Willem II
26/08/21,UEC,Vitesse,2-1,Anderlecht
29/08/21,ERE,Ajax,5-0,Vitesse
12/09/21,ERE,RKC Waalwijk,1-2,Vitesse
16/09/21,UEC,Mura,0-2,Vitesse
19/09/21,ERE,Vitesse,1-4,Twente
