Date,Competition,Home team,Score,Away team
02/04/23,ERE,Utrecht,0-0,Volendam
08/04/23,ERE,Heerenveen,2-1,Volendam
16/04/23,ERE,Volendam,2-3,PSV
21/04/23,ERE,Volendam,2-0,Cambuur
05/05/23,ERE,RKC Waalwijk,4-1,Volendam
13/05/23,ERE,Volendam,2-1,Sparta Rotterdam
21/05/23,ERE,Go Ahead Eagles,3-0,Volendam
28/05/23,ERE,Volendam,3-2,Excelsior
15/07/23,CLF,Volendam,1-2,Gent
22/07/23,CLF,Kortrijk,2-1,Volendam
29/07/23,CLF,Volendam,2-0,Lamia
01/08/23,CLF,Volendam,1-1,Alanyaspor
05/08/23,CLF,Heracles,1-3,Volendam
11/08/23,ERE,Volendam,1-2,Vitesse
19/08/23,ERE,Go Ahead Eagles,4-1,Volendam
03/09/23,ERE,Volendam,0-2,Twente
16/09/23,ERE,Fortuna Sittard,3-1,Volendam
23/09/23,ERE,Volendam,2-2,Heracles
30/09/23,ERE,PSV,3-1,Volendam
06/10/23,ERE,Volendam,1-0,Utrecht
21/10/23,ERE,RKC Waalwijk,2-1,Volendam
29/10/23,ERE,Volendam,3-1,Excelsior
02/11/23,ERE,Ajax,2-0,Volendam
05/11/23,ERE,NEC,3-3,Volendam
12/11/23,ERE,Volendam,1-4,Sparta Rotterdam
16/11/23,KNB,Excelsior Maassluis,1-0,Volendam
26/11/23,ERE,AZ,3-0,Volendam
02/12/23,ERE,Volendam,0-5,PEC Zwolle
07/12/23,ERE,Feyenoord,3-1,Volendam
16/12/23,ERE,Heerenveen,1-2,Volendam
05/01/24,CLF,Volendam,1-1,Partizani Tirana
08/01/24,CLF,Volendam,2-0,Winterthur
14/01/24,ERE,Volendam,0-1,Almere City
20/01/24,ERE,Heracles,1-1,Volendam
28/01/24,ERE,Volendam,0-1,Fortuna Sittard
04/02/24,ERE,Utrecht,4-2,Volendam
11/02/24,ERE,Volendam,1-5,PSV
18/02/24,ERE,Vitesse,1-1,Volendam
25/02/24,ERE,Volendam,0-4,Heerenveen
01/03/24,ERE,Volendam,2-5,NEC
10/03/24,ERE,PEC Zwolle,1-1,Volendam
17/03/24,ERE,Volendam,0-4,AZ
31/03/24,ERE,Almere City,1-1,Volendam
04/04/24,ERE,Volendam,0-0,Feyenoord
07/04/24,ERE,Volendam,3-2,RKC Waalwijk
12/04/24,ERE,Excelsior,4-0,Volendam
28/04/24,ERE,Sparta Rotterdam,1-0,Volendam
05/05/24,ERE,Volendam,14:30,Ajax
12/05/24,ERE,Twente,14:30,Volendam
19/05/24,ERE,Volendam,14:30,Go Ahead Eagles
11/02/22,EED,Volendam,2-1,AZ II
25/02/22,EED,Volendam,4-1,Helmond Sport
04/03/22,EED,VVV,0-0,Volendam
11/03/22,EED,Volendam,2-5,Excelsior
14/03/22,EED,Emmen,4-1,Volendam
18/03/22,EED,ADO Den Haag,1-1,Volendam
01/04/22,EED,Volendam,1-2,TOP Oss
04/04/22,EED,PSV II,2-2,Volendam
08/04/22,EED,Volendam,3-1,De Graafschap
16/04/22,EED,Volendam,3-1,Ajax II
22/04/22,EED,Den Bosch,1-2,Volendam
29/04/22,EED,Dordrecht,3-2,Volendam
06/05/22,EED,Volendam,2-2,Eindhoven
09/07/22,CLF,Volendam,3-2,Genk
15/07/22,CLF,NAC Breda,0-0,Volendam
22/07/22,CLF,Volendam,1-2,AEK Athens
28/07/22,CLF,Panathinaikos,2-1,Volendam
29/07/22,CLF,ADO Den Haag,CANC,Volendam
30/07/22,CLF,Heracles,CANC,Volendam
07/08/22,ERE,Groningen,2-2,Volendam
14/08/22,ERE,Volendam,1-4,NEC
28/08/22,ERE,Volendam,1-0,Twente
31/08/22,ERE,PSV,7-1,Volendam
03/09/22,ERE,Sparta Rotterdam,4-0,Volendam
09/09/22,ERE,Volendam,2-3,Go Ahead Eagles
17/09/22,ERE,Vitesse,1-1,Volendam
02/10/22,ERE,Fortuna Sittard,2-0,Volendam
08/10/22,ERE,Volendam,2-4,Ajax
14/10/22,ERE,Emmen,1-1,Volendam
18/10/22,KNB,Harkemase Boys,1-5,Volendam
23/10/22,ERE,Volendam,1-3,Heerenveen
30/10/22,ERE,AZ,2-1,Volendam
06/11/22,ERE,Volendam,0-2,Feyenoord
12/11/22,ERE,Volendam,0-4,Utrecht
07/12/22,CLF,Ajax,5-4,Volendam
15/12/22,CLF,Sevilla,7-0,Volendam
30/12/22,CLF,Volendam,4-1,NAC Breda
08/01/23,ERE,Cambuur,0-3,Volendam
11/01/23,KNB,Heerenveen,2-0,Volendam
14/01/23,ERE,Volendam,2-1,RKC Waalwijk
20/01/23,ERE,Excelsior,2-0,Volendam
