Date,Competition,Home team,Score,Away team
08/05/23,PRL,Arouca,0-1,Porto
15/05/23,PRL,Estoril,2-0,Arouca
20/05/23,PRL,Arouca,1-0,Chaves
27/05/23,PRL,Portimonense,0-2,Arouca
18/07/23,CLF,Arouca,3-0,Boavista
19/07/23,CLF,Arouca,0-0,Sporting Braga II
21/07/23,CLF,Arouca,2-1,Trofense
22/07/23,CLF,Arouca,2-1,Anadia
30/07/23,TDL,Arouca,2-0,Rio Ave
10/08/23,UEC,Arouca,2-1,Brann
13/08/23,PRL,Arouca,4-3,Estoril
17/08/23,UEC,Brann,3-1,Arouca
20/08/23,PRL,Vizela,2-2,Arouca
26/08/23,PRL,Arouca,1-1,Portimonense
03/09/23,PRL,Porto,1-1,Arouca
17/09/23,PRL,Arouca,0-1,Casa Pia
22/09/23,PRL,Famalicão,1-0,Arouca
26/09/23,TDL,AVS,1-2,Arouca
01/10/23,PRL,Arouca,0-2,Chaves
08/10/23,PRL,Sporting Lisbon,2-1,Arouca
21/10/23,TDP,Felgueiras 1932,1-3,Arouca
27/10/23,PRL,Arouca,0-1,Moreirense
31/10/23,TDL,Arouca,0-2,Benfica
06/11/23,PRL,Farense,2-0,Arouca
12/11/23,PRL,Arouca,0-1,Sporting Braga
26/11/23,TDP,Arouca,P2-2P,Boavista
03/12/23,PRL,Boavista,0-4,Arouca
10/12/23,PRL,Arouca,2-2,Rio Ave
16/12/23,PRL,Arouca,3-0,Gil Vicente
28/12/23,PRL,Estrela,1-4,Arouca
06/01/24,PRL,Arouca,0-3,Benfica
10/01/24,TDP,Vizela,1-0,Arouca
15/01/24,PRL,Vitoria Guimaraes,2-1,Arouca
20/01/24,PRL,Estoril,1-2,Arouca
28/01/24,PRL,Arouca,5-0,Vizela
03/02/24,PRL,Portimonense,1-2,Arouca
12/02/24,PRL,Arouca,3-2,Porto
18/02/24,PRL,Casa Pia,1-0,Arouca
23/02/24,PRL,Arouca,3-2,Famalicão
01/03/24,PRL,Chaves,1-5,Arouca
10/03/24,PRL,Arouca,0-3,Sporting Lisbon
17/03/24,PRL,Moreirense,1-0,Arouca
30/03/24,PRL,Arouca,2-1,Farense
06/04/24,PRL,Sporting Braga,0-3,Arouca
14/04/24,PRL,Arouca,2-1,Boavista
19/04/24,PRL,Rio Ave,1-1,Arouca
26/04/24,PRL,Gil Vicente,2-2,Arouca
05/05/24,PRL,Arouca,19:00,Estrela
12/05/24,PRL,Benfica,19:00,Arouca
19/05/24,PRL,Arouca,-,Vitoria Guimaraes
19/03/22,PRL,Tondela,2-2,Arouca
02/04/22,PRL,Arouca,2-1,Gil Vicente
09/04/22,PRL,Boavista,1-0,Arouca
15/04/22,PRL,Arouca,1-1,Santa Clara
22/04/22,PRL,Vizela,2-1,Arouca
30/04/22,PRL,Arouca,1-0,Portimonense
08/05/22,PRL,Sporting Braga,1-0,Arouca
14/05/22,PRL,Arouca,0-0,Belenenses
12/07/22,CLF,Sporting Braga,3-2,Arouca
20/07/22,CLF,Arouca,1-0,Feirense
23/07/22,CLF,Arouca,0-0,Chaves
05/08/22,PRL,Benfica,4-0,Arouca
15/08/22,PRL,Arouca,1-0,Gil Vicente
20/08/22,PRL,Santa Clara,1-2,Arouca
28/08/22,PRL,Arouca,0-6,Sporting Braga
04/09/22,PRL,Casa Pia,0-0,Arouca
11/09/22,PRL,Arouca,1-2,Boavista
18/09/22,PRL,Arouca,2-2,Vitoria Guimaraes
02/10/22,PRL,Paços Ferreira,1-1,Arouca
10/10/22,PRL,Arouca,4-1,Famalicão
15/10/22,TDP,Fontinhas,0-2,Arouca
23/10/22,PRL,Marítimo,1-1,Arouca
29/10/22,PRL,Arouca,1-0,Sporting Lisbon
05/11/22,PRL,Vizela,0-1,Arouca
08/11/22,TDP,Gil Vicente,1-4,Arouca
12/11/22,PRL,Arouca,0-1,Rio Ave
18/11/22,TDL,Arouca,1-1,Feirense
04/12/22,TDL,Arouca,1-1,Leixões
10/12/22,TDL,Oliveirense,0-3,Arouca
16/12/22,TDL,Santa Clara,1-2,Arouca
22/12/22,TDL,Moreirense,1-2,Arouca
28/12/22,PRL,Porto,5-1,Arouca
07/01/23,PRL,Arouca,2-0,Estoril
11/01/23,TDP,Porto,4-0,Arouca
15/01/23,PRL,Chaves,1-1,Arouca
20/01/23,PRL,Arouca,4-0,Portimonense
24/01/23,TDL,Arouca,1-2,Sporting Lisbon
31/01/23,PRL,Arouca,0-3,Benfica
05/02/23,PRL,Gil Vicente,1-1,Arouca
11/02/23,PRL,Arouca,1-0,Santa Clara
19/02/23,PRL,Sporting Braga,2-0,Arouca
25/02/23,PRL,Arouca,2-0,Casa Pia
03/03/23,PRL,Boavista,0-0,Arouca
11/03/23,PRL,Vitoria Guimaraes,0-2,Arouca
18/03/23,PRL,Arouca,1-1,Paços Ferreira
03/04/23,PRL,Famalicão,0-1,Arouca
08/04/23,PRL,Arouca,1-0,Marítimo
16/04/23,PRL,Sporting Lisbon,1-1,Arouca
23/04/23,PRL,Arouca,1-0,Vizela
28/04/23,PRL,Rio Ave,1-0,Arouca
13/02/21,SEL,Arouca,0-0,Varzim
21/02/21,SEL,Academico Viseu,0-4,Arouca
27/02/21,SEL,Arouca,2-1,Cova Piedade
08/03/21,SEL,Benfica II,3-1,Arouca
15/03/21,SEL,Arouca,0-1,Penafiel
21/03/21,SEL,Vizela,1-1,Arouca
