Date,Competition,Home team,Score,Away team
20/09/23,UCL,Benfica,0-2,Salzburg
24/09/23,PRL,Portimonense,1-3,Benfica
29/09/23,PRL,Benfica,1-0,Porto
03/10/23,UCL,Inter Milan,1-0,Benfica
07/10/23,PRL,Estoril,0-1,Benfica
20/10/23,TDP,Lusitânia,1-4,Benfica
24/10/23,UCL,Benfica,0-1,Real Sociedad
28/10/23,PRL,Benfica,1-1,Casa Pia
31/10/23,TDL,Arouca,0-2,Benfica
04/11/23,PRL,Chaves,0-2,Benfica
08/11/23,UCL,Real Sociedad,3-1,Benfica
12/11/23,PRL,Benfica,2-1,Sporting Lisbon
25/11/23,TDP,Benfica,2-0,Famalicão
29/11/23,UCL,Benfica,3-3,Inter Milan
03/12/23,PRL,Moreirense,0-0,Benfica
08/12/23,PRL,Benfica,1-1,Farense
12/12/23,UCL,Salzburg,1-3,Benfica
17/12/23,PRL,Sporting Braga,0-1,Benfica
21/12/23,TDL,Benfica,4-1,AVS
29/12/23,PRL,Benfica,3-0,Famalicão
06/01/24,PRL,Arouca,0-3,Benfica
10/01/24,TDP,Benfica,3-2,Sporting Braga
14/01/24,PRL,Benfica,4-1,Rio Ave
19/01/24,PRL,Benfica,2-0,Boavista
24/01/24,TDL,Benfica,P1-1P,Estoril
29/01/24,PRL,Estrela,1-4,Benfica
04/02/24,PRL,Benfica,3-0,Gil Vicente
08/02/24,TDP,Vizela,1-2,Benfica
11/02/24,PRL,Vitoria Guimaraes,2-2,Benfica
15/02/24,UEL,Benfica,2-1,Toulouse
18/02/24,PRL,Benfica,6-1,Vizela
22/02/24,UEL,Toulouse,0-0,Benfica
25/02/24,PRL,Benfica,4-0,Portimonense
29/02/24,TDP,Sporting Lisbon,2-1,Benfica
03/03/24,PRL,Porto,5-0,Benfica
07/03/24,UEL,Benfica,2-2,Rangers
10/03/24,PRL,Benfica,3-1,Estoril
14/03/24,UEL,Rangers,0-1,Benfica
17/03/24,PRL,Casa Pia,0-1,Benfica
29/03/24,PRL,Benfica,1-0,Chaves
02/04/24,TDP,Benfica,2-2,Sporting Lisbon
06/04/24,PRL,Sporting Lisbon,2-1,Benfica
11/04/24,UEL,Benfica,2-1,Marseille
14/04/24,PRL,Benfica,3-0,Moreirense
18/04/24,UEL,Marseille,P1-0P,Benfica
22/04/24,PRL,Farense,1-3,Benfica
27/04/24,PRL,Benfica,3-1,Sporting Braga
05/05/24,PRL,Famalicão,21:30,Benfica
12/05/24,PRL,Benfica,19:00,Arouca
19/05/24,PRL,Rio Ave,-,Benfica
21/10/22,PRL,Porto,0-1,Benfica
25/10/22,UCL,Benfica,4-3,Juventus
29/10/22,PRL,Benfica,5-0,Chaves
02/11/22,UCL,Maccabi Haifa,1-6,Benfica
06/11/22,PRL,Estoril,1-5,Benfica
09/11/22,TDP,Estoril,0-1,Benfica
13/11/22,PRL,Benfica,3-1,Gil Vicente
20/11/22,TDL,Estrela,2-3,Benfica
26/11/22,TDL,Benfica,2-0,Penafiel
11/12/22,CLF,Benfica,0-1,Sevilla
17/12/22,TDL,Moreirense,1-1,Benfica
30/12/22,PRL,Sporting Braga,3-0,Benfica
06/01/23,PRL,Benfica,1-0,Portimonense
10/01/23,TDP,Varzim,0-2,Benfica
15/01/23,PRL,Benfica,2-2,Sporting Lisbon
21/01/23,PRL,Santa Clara,0-3,Benfica
26/01/23,PRL,Paços Ferreira,0-2,Benfica
31/01/23,PRL,Arouca,0-3,Benfica
04/02/23,PRL,Benfica,3-0,Casa Pia
09/02/23,TDP,Sporting Braga,P1-1P,Benfica
15/02/23,UCL,Club Brugge,0-2,Benfica
20/02/23,PRL,Benfica,3-1,Boavista
25/02/23,PRL,Vizela,0-2,Benfica
03/03/23,PRL,Benfica,2-0,Famalicão
