Date,Competition,Home team,Score,Away team
19/03/23,PRL,Boavista,1-2,Famalicão
02/04/23,PRL,Marítimo,4-2,Boavista
07/04/23,PRL,Boavista,2-1,Vitoria Guimaraes
17/04/23,PRL,Vizela,1-1,Boavista
22/04/23,PRL,Boavista,3-2,Rio Ave
30/04/23,PRL,Porto,1-0,Boavista
06/05/23,PRL,Boavista,1-0,Estoril
12/05/23,PRL,Gil Vicente,3-1,Boavista
20/05/23,PRL,Boavista,1-1,Sporting Braga
27/05/23,PRL,Chaves,1-4,Boavista
15/07/23,CLF,Sporting Braga,2-0,Boavista
18/07/23,CLF,Arouca,3-0,Boavista
24/07/23,TDL,Boavista,P0-0P,União de Leiria
14/08/23,PRL,Boavista,3-2,Benfica
19/08/23,PRL,Portimonense,1-4,Boavista
27/08/23,PRL,Boavista,1-1,Casa Pia
03/09/23,PRL,Estoril,1-2,Boavista
18/09/23,PRL,Boavista,4-1,Chaves
24/09/23,PRL,Sporting Braga,4-1,Boavista
30/09/23,PRL,Boavista,2-2,Famalicão
06/10/23,PRL,Moreirense,1-1,Boavista
22/10/23,TDP,Oliveirense,1-3,Boavista
30/10/23,PRL,Boavista,0-2,Sporting Lisbon
05/11/23,PRL,Rio Ave,2-0,Boavista
12/11/23,PRL,Boavista,1-3,Farense
16/11/23,CLF,Mallorca,4-1,Boavista
26/11/23,TDP,Arouca,P2-2P,Boavista
03/12/23,PRL,Boavista,0-4,Arouca
10/12/23,PRL,Estrela,3-1,Boavista
16/12/23,PRL,Boavista,1-1,Vitoria Guimaraes
30/12/23,PRL,Gil Vicente,1-0,Boavista
05/01/24,PRL,Boavista,1-1,Porto
14/01/24,PRL,Vizela,1-4,Boavista
19/01/24,PRL,Benfica,2-0,Boavista
28/01/24,PRL,Boavista,1-4,Portimonense
05/02/24,PRL,Casa Pia,0-0,Boavista
10/02/24,PRL,Boavista,2-1,Estoril
17/02/24,PRL,Chaves,2-1,Boavista
26/02/24,PRL,Boavista,0-4,Sporting Braga
04/03/24,PRL,Famalicão,1-1,Boavista
09/03/24,PRL,Boavista,1-0,Moreirense
17/03/24,PRL,Sporting Lisbon,6-1,Boavista
30/03/24,PRL,Boavista,0-0,Rio Ave
05/04/24,PRL,Farense,2-0,Boavista
14/04/24,PRL,Arouca,2-1,Boavista
20/04/24,PRL,Boavista,1-1,Estrela
27/04/24,PRL,Vitoria Guimaraes,1-0,Boavista
04/05/24,PRL,Boavista,16:30,Gil Vicente
12/05/24,PRL,Porto,21:30,Boavista
19/05/24,PRL,Boavista,-,Vizela
21/01/22,PRL,Paços Ferreira,1-1,Boavista
25/01/22,TDL,Benfica,P1-1P,Boavista
01/02/22,PRL,Santa Clara,2-1,Boavista
06/02/22,PRL,Boavista,2-2,Vizela
12/02/22,PRL,Portimonense,1-1,Boavista
18/02/22,PRL,Boavista,2-2,Benfica
27/02/22,PRL,Estoril,2-3,Boavista
05/03/22,PRL,Boavista,1-1,Sporting Braga
12/03/22,PRL,Belenenses,0-0,Boavista
20/03/22,PRL,Boavista,0-1,Porto
02/04/22,PRL,Famalicão,1-2,Boavista
09/04/22,PRL,Boavista,1-0,Arouca
16/04/22,PRL,Marítimo,4-0,Boavista
25/04/22,PRL,Boavista,0-3,Sporting Lisbon
01/05/22,PRL,Moreirense,1-2,Boavista
06/05/22,PRL,Boavista,1-1,Vitoria Guimaraes
14/05/22,PRL,Tondela,2-2,Boavista
30/07/22,CLF,Trofense,1-2,Boavista
03/08/22,CLF,Boavista,P3-3P,Bolívar
07/08/22,PRL,Portimonense,0-1,Boavista
14/08/22,PRL,Boavista,2-1,Santa Clara
21/08/22,PRL,Casa Pia,2-0,Boavista
27/08/22,PRL,Boavista,0-3,Benfica
05/09/22,PRL,Boavista,1-0,Paços Ferreira
11/09/22,PRL,Arouca,1-2,Boavista
17/09/22,PRL,Boavista,2-1,Sporting Lisbon
02/10/22,PRL,Famalicão,4-0,Boavista
09/10/22,PRL,Boavista,1-1,Marítimo
16/10/22,TDP,Machico,1-0,Boavista
23/10/22,PRL,Vitoria Guimaraes,3-2,Boavista
30/10/22,PRL,Boavista,2-2,Vizela
06/11/22,PRL,Rio Ave,1-0,Boavista
12/11/22,PRL,Boavista,1-4,Porto
18/11/22,TDL,Belenenses,2-3,Boavista
27/11/22,TDL,Boavista,1-0,Vilafranquense
07/12/22,CLF,Celta Vigo,1-1,Boavista
12/12/22,TDL,Boavista,0-0,Vitoria Guimaraes
16/12/22,CLF,Boavista,0-2,Bordeaux
20/12/22,TDL,Academico Viseu,2-1,Boavista
08/01/23,PRL,Boavista,1-0,Gil Vicente
14/01/23,PRL,Sporting Braga,1-0,Boavista
23/01/23,PRL,Boavista,1-1,Chaves
29/01/23,PRL,Boavista,4-2,Portimonense
04/02/23,PRL,Santa Clara,2-2,Boavista
09/02/23,PRL,Estoril,2-1,Boavista
13/02/23,PRL,Boavista,0-0,Casa Pia
20/02/23,PRL,Benfica,3-1,Boavista
26/02/23,PRL,Paços Ferreira,1-3,Boavista
03/03/23,PRL,Boavista,0-0,Arouca
12/03/23,PRL,Sporting Lisbon,3-0,Boavista
28/12/20,PRL,Boavista,1-4,Sporting Braga
03/01/21,PRL,Marítimo,0-0,Boavista
09/01/21,PRL,Boavista,1-1,Santa Clara
16/01/21,PRL,Tondela,3-1,Boavista
26/01/21,PRL,Boavista,0-2,Sporting Lisbon
30/01/21,PRL,Portimonense,1-2,Boavista
05/02/21,PRL,Boavista,1-2,Gil Vicente
09/02/21,PRL,Boavista,0-1,Nacional
13/02/21,PRL,Porto,2-2,Boavista
19/02/21,PRL,Boavista,1-0,Moreirense
26/02/21,PRL,Vitoria Guimaraes,2-1,Boavista
06/03/21,PRL,Boavista,3-0,Famalicão
