Date,Competition,Home team,Score,Away team
16/04/23,PRL,Rio Ave,1-1,Casa Pia
21/04/23,PRL,Casa Pia,0-1,Sporting Braga
29/04/23,PRL,Chaves,1-0,Casa Pia
05/05/23,PRL,Casa Pia,1-1,Portimonense
14/05/23,PRL,Porto,2-1,Casa Pia
21/05/23,PRL,Casa Pia,2-2,Estoril
27/05/23,PRL,Gil Vicente,1-0,Casa Pia
08/07/23,CLF,Casa Pia,2-0,Mafra
15/07/23,CLF,Estrela,1-1,Casa Pia
19/07/23,CLF,Casa Pia,1-0,Moreirense
23/07/23,TDL,Vilaverdense,0-2,Casa Pia
30/07/23,TDL,Torreense,0-2,Casa Pia
12/08/23,PRL,Farense,0-3,Casa Pia
18/08/23,PRL,Casa Pia,1-2,Sporting Lisbon
27/08/23,PRL,Boavista,1-1,Casa Pia
02/09/23,PRL,Casa Pia,1-1,Rio Ave
17/09/23,PRL,Arouca,0-1,Casa Pia
23/09/23,PRL,Casa Pia,0-0,Vitoria Guimaraes
28/09/23,TDL,Casa Pia,2-1,Nacional
02/10/23,PRL,Gil Vicente,2-0,Casa Pia
08/10/23,PRL,Casa Pia,0-1,Estrela
21/10/23,TDP,Rabo Peixe,0-2,Casa Pia
28/10/23,PRL,Benfica,1-1,Casa Pia
01/11/23,TDL,Sporting Braga,1-1,Casa Pia
05/11/23,PRL,Casa Pia,0-1,Vizela
10/11/23,PRL,Estoril,4-0,Casa Pia
25/11/23,TDP,Nacional,P0-0P,Casa Pia
02/12/23,PRL,Casa Pia,1-0,Portimonense
09/12/23,PRL,Porto,3-1,Casa Pia
17/12/23,PRL,Chaves,1-3,Casa Pia
30/12/23,PRL,Casa Pia,1-3,Sporting Braga
08/01/24,PRL,Moreirense,1-4,Casa Pia
13/01/24,PRL,Casa Pia,0-2,Famalicão
20/01/24,PRL,Casa Pia,1-3,Farense
29/01/24,PRL,Sporting Lisbon,8-0,Casa Pia
05/02/24,PRL,Casa Pia,0-0,Boavista
11/02/24,PRL,Rio Ave,1-0,Casa Pia
18/02/24,PRL,Casa Pia,1-0,Arouca
24/02/24,PRL,Vitoria Guimaraes,0-2,Casa Pia
03/03/24,PRL,Casa Pia,0-0,Gil Vicente
08/03/24,PRL,Estrela,3-1,Casa Pia
17/03/24,PRL,Casa Pia,0-1,Benfica
31/03/24,PRL,Vizela,0-4,Casa Pia
08/04/24,PRL,Casa Pia,0-0,Estoril
14/04/24,PRL,Portimonense,2-2,Casa Pia
21/04/24,PRL,Casa Pia,1-2,Porto
27/04/24,PRL,Casa Pia,3-1,Chaves
05/05/24,PRL,Sporting Braga,19:00,Casa Pia
12/05/24,PRL,Casa Pia,19:00,Moreirense
19/05/24,PRL,Famalicão,-,Casa Pia
11/02/22,SEL,Casa Pia,1-0,Trofense
19/02/22,SEL,Casa Pia,1-0,Nacional
