Date,Competition,Home team,Score,Away team
10/04/23,PRL,Gil Vicente,0-0,Chaves
15/04/23,PRL,Chaves,1-0,Benfica
23/04/23,PRL,Santa Clara,1-1,Chaves
29/04/23,PRL,Chaves,1-0,Casa Pia
08/05/23,PRL,Famalicão,1-2,Chaves
13/05/23,PRL,Chaves,2-0,Paços Ferreira
20/05/23,PRL,Arouca,1-0,Chaves
27/05/23,PRL,Chaves,1-4,Boavista
08/07/23,CLF,Chaves,1-1,Fafe
15/07/23,CLF,AVS,0-0,Chaves
18/07/23,CLF,Penafiel,1-2,Chaves
22/07/23,TDL,AVS,P1-1P,Chaves
25/07/23,CLF,Santa Clara,2-0,Chaves
01/08/23,CLF,Chaves,4-2,Feirense
04/08/23,CLF,Chaves,0-1,Famalicão
13/08/23,PRL,Rio Ave,2-0,Chaves
19/08/23,PRL,Chaves,2-4,Sporting Braga
26/08/23,PRL,Farense,5-0,Chaves
03/09/23,PRL,Chaves,1-2,Moreirense
18/09/23,PRL,Boavista,4-1,Chaves
24/09/23,PRL,Chaves,2-2,Estrela
01/10/23,PRL,Arouca,0-2,Chaves
07/10/23,PRL,Chaves,4-2,Gil Vicente
22/10/23,TDP,Canelas 2010,P0-0P,Chaves
28/10/23,PRL,Vitoria Guimaraes,5-0,Chaves
04/11/23,PRL,Chaves,0-2,Benfica
11/11/23,PRL,Portimonense,2-1,Chaves
01/12/23,PRL,Chaves,2-1,Vizela
10/12/23,PRL,Estoril,4-0,Chaves
17/12/23,PRL,Chaves,1-3,Casa Pia
29/12/23,PRL,Porto,1-0,Chaves
07/01/24,PRL,Famalicão,2-2,Chaves
13/01/24,PRL,Chaves,0-3,Sporting Lisbon
21/01/24,PRL,Chaves,0-0,Rio Ave
31/01/24,PRL,Sporting Braga,1-1,Chaves
04/02/24,PRL,Chaves,1-1,Farense
10/02/24,PRL,Moreirense,1-0,Chaves
17/02/24,PRL,Chaves,2-1,Boavista
24/02/24,PRL,Estrela,1-1,Chaves
01/03/24,PRL,Chaves,1-5,Arouca
11/03/24,PRL,Gil Vicente,0-0,Chaves
17/03/24,PRL,Chaves,1-2,Vitoria Guimaraes
29/03/24,PRL,Benfica,1-0,Chaves
07/04/24,PRL,Chaves,2-3,Portimonense
15/04/24,PRL,Vizela,0-1,Chaves
21/04/24,PRL,Chaves,2-2,Estoril
27/04/24,PRL,Casa Pia,3-1,Chaves
04/05/24,PRL,Chaves,21:30,Porto
10/05/24,PRL,Chaves,21:15,Famalicão
19/05/24,PRL,Sporting Lisbon,-,Chaves
20/02/22,SEL,Porto II,0-0,Chaves
25/02/22,SEL,Chaves,1-1,Benfica II
06/03/22,SEL,Penafiel,2-1,Chaves
13/03/22,SEL,Chaves,4-1,Casa Pia
20/03/22,SEL,Trofense,1-1,Chaves
03/04/22,SEL,Chaves,2-0,Nacional
09/04/22,SEL,Mafra,0-1,Chaves
15/04/22,SEL,Chaves,1-0,Sporting Covilhã
23/04/22,SEL,Chaves,3-2,Académica
30/04/22,SEL,Farense,1-2,Chaves
08/05/22,SEL,Chaves,2-2,Estrela
15/05/22,SEL,Rio Ave,3-0,Chaves
21/05/22,PL1,Chaves,2-0,Moreirense
29/05/22,PL1,Moreirense,1-0,Chaves
13/07/22,CLF,Chaves,1-1,Academico Viseu
16/07/22,CLF,Sporting Braga II,1-2,Chaves
20/07/22,CLF,Chaves,3-1,Vitória Guimarães II
23/07/22,CLF,Arouca,0-0,Chaves
27/07/22,CLF,Montalegre,0-2,Chaves
31/07/22,CLF,Chaves,P0-0P,Lugo
07/08/22,PRL,Chaves,0-1,Vitoria Guimaraes
15/08/22,PRL,Marítimo,1-2,Chaves
20/08/22,PRL,Chaves,1-1,Vizela
27/08/22,PRL,Sporting Lisbon,0-2,Chaves
05/09/22,PRL,Chaves,1-1,Rio Ave
10/09/22,PRL,Porto,3-0,Chaves
16/09/22,PRL,Portimonense,1-0,Chaves
01/10/22,PRL,Chaves,1-1,Estoril
09/10/22,PRL,Sporting Braga,0-1,Chaves
16/10/22,TDP,Valadares Gaia,E3-2E,Chaves
23/10/22,PRL,Chaves,3-1,Gil Vicente
29/10/22,PRL,Benfica,5-0,Chaves
07/11/22,PRL,Chaves,0-0,Santa Clara
13/11/22,PRL,Casa Pia,1-2,Chaves
22/11/22,TDL,Vizela,2-2,Chaves
08/12/22,TDL,Chaves,0-2,Porto
16/12/22,TDL,Chaves,1-2,Mafra
30/12/22,PRL,Chaves,0-2,Famalicão
08/01/23,PRL,Paços Ferreira,1-1,Chaves
15/01/23,PRL,Chaves,1-1,Arouca
23/01/23,PRL,Boavista,1-1,Chaves
30/01/23,PRL,Vitoria Guimaraes,2-1,Chaves
05/02/23,PRL,Chaves,2-1,Marítimo
10/02/23,PRL,Vizela,0-0,Chaves
20/02/23,PRL,Chaves,2-3,Sporting Lisbon
26/02/23,PRL,Rio Ave,1-0,Chaves
04/03/23,PRL,Chaves,1-3,Porto
11/03/23,PRL,Chaves,2-0,Portimonense
18/03/23,PRL,Estoril,0-2,Chaves
02/04/23,PRL,Chaves,1-2,Sporting Braga
07/12/20,SEL,Sporting Covilhã,1-2,Chaves
19/12/20,SEL,Academico Viseu,2-1,Chaves
27/12/20,SEL,Chaves,2-1,Académica
03/01/21,SEL,Mafra,1-2,Chaves
09/01/21,SEL,Chaves,0-2,Estoril
16/01/21,SEL,Leixões,1-0,Chaves
24/01/21,SEL,Chaves,2-1,Arouca
30/01/21,SEL,Chaves,0-1,Feirense
06/02/21,SEL,Varzim,1-3,Chaves
14/02/21,SEL,Chaves,0-0,Benfica II
20/02/21,SEL,Cova Piedade,1-1,Chaves
26/02/21,SEL,Chaves,2-2,Vizela
07/03/21,SEL,Oliveirense,0-1,Chaves
14/03/21,SEL,Chaves,1-1,Porto II
23/03/21,SEL,Vilafranquense,0-1,Chaves
29/03/21,SEL,Chaves,2-1,Penafiel
06/04/21,SEL,Casa Pia,1-2,Chaves
11/04/21,SEL,Chaves,2-0,Sporting Covilhã
18/04/21,SEL,Chaves,2-1,Academico Viseu
24/04/21,SEL,Académica,2-1,Chaves
01/05/21,SEL,Chaves,1-1,Mafra
08/05/21,SEL,Estoril,1-1,Chaves
15/05/21,SEL,Chaves,3-1,Leixões
22/05/21,SEL,Arouca,3-1,Chaves
14/07/21,CLF,Gil Vicente,CANC,Chaves
17/07/21,CLF,Arouca,CANC,Chaves
24/07/21,TDL,Chaves,1-2,Farense
07/08/21,SEL,Varzim,2-2,Chaves
16/08/21,SEL,Chaves,1-1,Leixões
22/08/21,SEL,Feirense,3-1,Chaves
26/08/21,SEL,Chaves,3-0,Academico Viseu
12/09/21,SEL,Vilafranquense,1-1,Chaves
19/09/21,SEL,Chaves,4-2,Porto II
25/09/21,TDP,Felgueiras 1932,2-0,Chaves
03/10/21,SEL,Benfica II,3-1,Chaves
10/10/21,SEL,Chaves,3-1,Penafiel
23/10/21,SEL,Casa Pia,1-0,Chaves
29/10/21,SEL,Chaves,0-0,Trofense
08/11/21,SEL,Nacional,1-1,Chaves
27/11/21,SEL,Chaves,0-1,Mafra
05/12/21,SEL,Sporting Covilhã,0-2,Chaves
12/12/21,SEL,Académica,1-2,Chaves
18/12/21,SEL,Chaves,2-1,Farense
27/12/21,SEL,Estrela,1-3,Chaves
24/01/22,SEL,Leixões,1-1,Chaves
30/01/22,SEL,Chaves,3-1,Feirense
02/02/22,SEL,Chaves,1-0,Varzim
05/02/22,SEL,Academico Viseu,0-2,Chaves
10/02/22,SEL,Chaves,2-1,Rio Ave
14/02/22,SEL,Chaves,1-0,Vilafranquense
24/08/19,SEL,Académica,1-2,Chaves
01/09/19,SEL,Chaves,2-1,Penafiel
14/09/19,SEL,Feirense,1-0,Chaves
21/09/19,SEL,Chaves,2-3,Sporting Covilhã
29/09/19,TDP,Mirandela,1-2,Chaves
04/10/19,TDL,Chaves,1-0,Santa Clara
12/10/19,SEL,Chaves,2-0,Estoril
