Date,Competition,Home team,Score,Away team
30/04/23,PRL,Estoril,3-0,Santa Clara
06/05/23,PRL,Boavista,1-0,Estoril
15/05/23,PRL,Estoril,2-0,Arouca
21/05/23,PRL,Casa Pia,2-2,Estoril
27/05/23,PRL,Estoril,3-1,Marítimo
15/07/23,CLF,Estoril,2-1,CF Os Belenenses
19/07/23,CLF,Estoril,0-0,Sheffield United
22/07/23,TDL,Estoril,2-0,Paços Ferreira
29/07/23,TDL,Estoril,5-1,CF Os Belenenses
13/08/23,PRL,Arouca,4-3,Estoril
20/08/23,PRL,Estoril,2-0,Rio Ave
25/08/23,PRL,Estrela,2-1,Estoril
03/09/23,PRL,Estoril,1-2,Boavista
17/09/23,PRL,Gil Vicente,5-3,Estoril
23/09/23,PRL,Estoril,2-2,Vizela
27/09/23,TDL,Leixões,1-2,Estoril
01/10/23,PRL,Vitoria Guimaraes,3-2,Estoril
07/10/23,PRL,Estoril,0-1,Benfica
22/10/23,TDP,Sintrense,0-5,Estoril
28/10/23,PRL,Portimonense,1-0,Estoril
03/11/23,PRL,Porto,0-1,Estoril
10/11/23,PRL,Estoril,4-0,Casa Pia
26/11/23,TDP,Estoril,2-1,Mafra
03/12/23,PRL,Sporting Braga,3-1,Estoril
06/12/23,TDL,Estoril,3-1,Porto
10/12/23,PRL,Estoril,4-0,Chaves
17/12/23,PRL,Famalicão,1-1,Estoril
30/12/23,PRL,Estoril,4-0,Farense
05/01/24,PRL,Sporting Lisbon,5-1,Estoril
09/01/24,TDP,Estoril,0-4,Porto
13/01/24,PRL,Estoril,1-3,Moreirense
20/01/24,PRL,Estoril,1-2,Arouca
24/01/24,TDL,Benfica,P1-1P,Estoril
27/01/24,TDL,Sporting Braga,P1-1P,Estoril
31/01/24,PRL,Rio Ave,1-1,Estoril
04/02/24,PRL,Estoril,1-0,Estrela
10/02/24,PRL,Boavista,2-1,Estoril
18/02/24,PRL,Estoril,1-3,Gil Vicente
25/02/24,PRL,Vizela,3-3,Estoril
02/03/24,PRL,Estoril,1-3,Vitoria Guimaraes
10/03/24,PRL,Benfica,3-1,Estoril
15/03/24,PRL,Estoril,1-0,Portimonense
30/03/24,PRL,Estoril,1-0,Porto
08/04/24,PRL,Casa Pia,0-0,Estoril
13/04/24,PRL,Estoril,0-1,Sporting Braga
21/04/24,PRL,Chaves,2-2,Estoril
28/04/24,PRL,Estoril,1-0,Famalicão
05/05/24,PRL,Farense,16:30,Estoril
11/05/24,PRL,Estoril,19:00,Sporting Lisbon
19/05/24,PRL,Moreirense,-,Estoril
27/02/22,PRL,Estoril,2-3,Boavista
04/03/22,PRL,Gil Vicente,0-0,Estoril
12/03/22,PRL,Estoril,2-0,Portimonense
20/03/22,PRL,Benfica,2-1,Estoril
02/04/22,PRL,Estoril,1-2,Vizela
10/04/22,PRL,Santa Clara,2-0,Estoril
18/04/22,PRL,Estoril,0-0,Sporting Braga
24/04/22,PRL,Estoril,2-2,Belenenses
29/04/22,PRL,Famalicão,3-1,Estoril
07/05/22,PRL,Estoril,1-0,Moreirense
14/05/22,PRL,Porto,2-0,Estoril
16/07/22,CLF,Estoril,1-0,Mafra
16/07/22,CLF,Estoril,1-4,Brighton & Hove Albion
24/07/22,CLF,Estoril,1-3,Fulham
30/07/22,CLF,Portimonense,2-1,Estoril
06/08/22,PRL,Estoril,2-0,Famalicão
14/08/22,PRL,Vitoria Guimaraes,1-0,Estoril
19/08/22,PRL,Estoril,2-2,Rio Ave
26/08/22,PRL,Paços Ferreira,0-3,Estoril
02/09/22,PRL,Estoril,0-2,Sporting Lisbon
12/09/22,PRL,Vizela,0-1,Estoril
17/09/22,PRL,Estoril,1-1,Porto
01/10/22,PRL,Chaves,1-1,Estoril
07/10/22,PRL,Gil Vicente,0-1,Estoril
14/10/22,TDP,Amora,2-3,Estoril
22/10/22,PRL,Estoril,0-2,Sporting Braga
30/10/22,PRL,Portimonense,1-1,Estoril
06/11/22,PRL,Estoril,1-5,Benfica
09/11/22,TDP,Estoril,0-1,Benfica
14/11/22,PRL,Santa Clara,3-1,Estoril
19/11/22,TDL,Tondela,0-0,Estoril
01/12/22,TDL,Academico Viseu,3-2,Estoril
06/12/22,TDL,Estoril,2-2,Torreense
15/12/22,TDL,Estoril,0-1,Famalicão
07/01/23,PRL,Arouca,2-0,Estoril
16/01/23,PRL,Estoril,2-0,Casa Pia
22/01/23,PRL,Marítimo,1-0,Estoril
29/01/23,PRL,Famalicão,1-0,Estoril
04/02/23,PRL,Estoril,0-1,Vitoria Guimaraes
09/02/23,PRL,Estoril,2-1,Boavista
13/02/23,PRL,Rio Ave,2-0,Estoril
18/02/23,PRL,Estoril,1-3,Paços Ferreira
27/02/23,PRL,Sporting Lisbon,2-0,Estoril
04/03/23,PRL,Estoril,0-3,Vizela
10/03/23,PRL,Porto,3-2,Estoril
18/03/23,PRL,Estoril,0-2,Chaves
31/03/23,PRL,Estoril,1-0,Gil Vicente
08/04/23,PRL,Sporting Braga,4-1,Estoril
15/04/23,PRL,Estoril,0-1,Portimonense
23/04/23,PRL,Benfica,1-0,Estoril
24/01/21,SEL,Mafra,1-1,Estoril
27/01/21,TDP,Marítimo,E1-3E,Estoril
02/02/21,SEL,Arouca,1-0,Estoril
06/02/21,SEL,Estoril,1-2,Académica
11/02/21,TDP,Estoril,1-3,Benfica
16/02/21,SEL,Estoril,3-0,Academico Viseu
21/02/21,SEL,Leixões,0-1,Estoril
28/02/21,SEL,Estoril,3-2,Benfica II
04/03/21,TDP,Benfica,2-0,Estoril
09/03/21,SEL,Feirense,0-1,Estoril
14/03/21,SEL,Estoril,1-0,Varzim
20/03/21,SEL,Cova Piedade,2-3,Estoril
26/03/21,SEL,Estoril,3-0,Oliveirense
03/04/21,SEL,Vizela,1-1,Estoril
11/04/21,SEL,Estoril,3-1,Vilafranquense
18/04/21,SEL,Porto II,2-2,Estoril
23/04/21,SEL,Estoril,1-1,Casa Pia
02/05/21,SEL,Penafiel,0-0,Estoril
08/05/21,SEL,Estoril,1-1,Chaves
16/05/21,SEL,Sporting Covilhã,3-2,Estoril
20/05/21,SEL,Estoril,1-0,Mafra
17/07/21,CLF,Vizela,0-0,Estoril
25/07/21,TDL,Nacional,1-2,Estoril
01/08/21,TDL,Famalicão,1-0,Estoril
07/08/21,PRL,Arouca,0-2,Estoril
13/08/21,PRL,Estoril,0-0,Vitoria Guimaraes
23/08/21,PRL,Paços Ferreira,1-3,Estoril
27/08/21,PRL,Estoril,2-1,Marítimo
13/09/21,PRL,Tondela,1-2,Estoril
19/09/21,PRL,Estoril,0-1,Sporting Lisbon
27/09/21,PRL,Boavista,1-1,Estoril
03/10/21,PRL,Estoril,2-2,Gil Vicente
17/10/21,TDP,Felgueiras 1932,0-1,Estoril
24/10/21,PRL,Portimonense,0-2,Estoril
30/10/21,PRL,Estoril,1-1,Benfica
06/11/21,PRL,Vizela,1-1,Estoril
21/11/21,TDP,FC Serpa,0-5,Estoril
29/11/21,PRL,Estoril,2-2,Santa Clara
05/12/21,PRL,Sporting Braga,2-0,Estoril
12/12/21,PRL,Belenenses,0-1,Estoril
17/12/21,PRL,Estoril,2-2,Famalicão
21/12/21,TDP,Tondela,3-1,Estoril
28/12/21,PRL,Moreirense,1-0,Estoril
08/01/22,PRL,Estoril,2-3,Porto
23/01/22,PRL,Vitoria Guimaraes,3-1,Estoril
27/01/22,PRL,Estoril,1-2,Arouca
31/01/22,PRL,Estoril,0-0,Paços Ferreira
05/02/22,PRL,Marítimo,0-0,Estoril
12/02/22,PRL,Estoril,1-0,Tondela
20/02/22,PRL,Sporting Lisbon,3-0,Estoril
12/10/19,SEL,Chaves,2-0,Estoril
20/10/19,TDP,Varzim,1-0,Estoril
27/10/19,SEL,Estoril,3-0,Oliveirense
03/11/19,SEL,Estoril,3-1,Academico Viseu
10/11/19,SEL,Cova Piedade,0-2,Estoril
30/11/19,SEL,Estoril,1-1,Leixões
08/12/19,SEL,Mafra,3-1,Estoril
14/12/19,SEL,Estoril,1-2,Nacional
28/12/19,SEL,Penafiel,1-0,Estoril
04/01/20,SEL,Estoril,0-2,Feirense
11/01/20,SEL,Sporting Covilhã,1-0,Estoril
18/01/20,SEL,Estoril,1-0,Académica
27/01/20,SEL,Estoril,1-0,Benfica II
01/02/20,SEL,Farense,0-2,Estoril
09/02/20,SEL,Estoril,4-1,Casa Pia
15/02/20,SEL,Varzim,3-0,Estoril
22/02/20,SEL,Porto II,1-1,Estoril
01/03/20,SEL,Estoril,2-0,Vilafranquense
07/03/20,SEL,Oliveirense,1-1,Estoril
14/03/20,SEL,Estoril,CANC,Chaves
22/03/20,SEL,Academico Viseu,CANC,Estoril
05/04/20,SEL,Estoril,CANC,Cova Piedade
11/04/20,SEL,Leixões,CANC,Estoril
19/04/20,SEL,Estoril,CANC,Mafra
22/04/20,SEL,Nacional,CANC,Estoril
26/04/20,SEL,Estoril,CANC,Penafiel
03/05/20,SEL,Feirense,CANC,Estoril
10/05/20,SEL,Estoril,CANC,Sporting Covilhã
17/05/20,SEL,Académica,CANC,Estoril
10/09/20,SEL,Estoril,1-0,Arouca
20/09/20,SEL,Académica,1-0,Estoril
24/09/20,SEL,Academico Viseu,0-2,Estoril
28/09/20,SEL,Estoril,1-0,Leixões
04/10/20,SEL,Benfica II,0-1,Estoril
09/10/20,TDP,Sertanense,0-4,Estoril
20/10/20,SEL,Estoril,3-3,Feirense
25/10/20,SEL,Varzim,0-2,Estoril
08/11/20,SEL,Oliveirense,0-1,Estoril
