Date,Competition,Home team,Score,Away team
23/04/23,SEL,Estrela,2-0,Belenenses
28/04/23,SEL,Oliveirense,1-2,Estrela
06/05/23,SEL,Estrela,2-4,Moreirense
12/05/23,SEL,Trofense,2-2,Estrela
21/05/23,SEL,Estrela,0-1,Nacional
27/05/23,SEL,Penafiel,2-4,Estrela
03/06/23,PL1,Estrela,2-1,Marítimo
11/06/23,PL1,Marítimo,P2-1P,Estrela
14/07/23,CLF,Estrela,1-4,Sporting Lisbon
15/07/23,CLF,Estrela,1-1,Casa Pia
23/07/23,TDL,Portimonense,3-1,Estrela
26/07/23,CLF,Porto,3-3,Estrela
29/07/23,CLF,Roma,4-0,Estrela
05/08/23,CLF,CF Os Belenenses,4-1,Estrela
13/08/23,PRL,Estrela,0-1,Vitoria Guimaraes
19/08/23,PRL,Benfica,2-0,Estrela
25/08/23,PRL,Estrela,2-1,Estoril
02/09/23,PRL,Portimonense,1-1,Estrela
15/09/23,PRL,Estrela,0-1,Porto
24/09/23,PRL,Chaves,2-2,Estrela
28/09/23,PRL,Estrela,2-4,Sporting Braga
08/10/23,PRL,Casa Pia,0-1,Estrela
21/10/23,TDP,Vila Meã,0-1,Estrela
29/10/23,PRL,Estrela,1-0,Famalicão
05/11/23,PRL,Sporting Lisbon,3-2,Estrela
11/11/23,PRL,Estrela,0-1,Moreirense
24/11/23,TDP,Vizela,E2-1E,Estrela
02/12/23,PRL,Rio Ave,1-1,Estrela
10/12/23,PRL,Estrela,3-1,Boavista
15/12/23,PRL,Farense,0-0,Estrela
28/12/23,PRL,Estrela,1-4,Arouca
06/01/24,PRL,Estrela,1-1,Vizela
14/01/24,PRL,Gil Vicente,1-1,Estrela
21/01/24,PRL,Vitoria Guimaraes,3-0,Estrela
29/01/24,PRL,Estrela,1-4,Benfica
04/02/24,PRL,Estoril,1-0,Estrela
09/02/24,PRL,Estrela,3-0,Portimonense
17/02/24,PRL,Porto,2-0,Estrela
24/02/24,PRL,Estrela,1-1,Chaves
02/03/24,PRL,Sporting Braga,3-0,Estrela
08/03/24,PRL,Estrela,3-1,Casa Pia
16/03/24,PRL,Famalicão,0-0,Estrela
29/03/24,PRL,Estrela,1-2,Sporting Lisbon
07/04/24,PRL,Moreirense,2-2,Estrela
14/04/24,PRL,Estrela,2-2,Rio Ave
20/04/24,PRL,Boavista,1-1,Estrela
29/04/24,PRL,Estrela,0-3,Farense
05/05/24,PRL,Arouca,19:00,Estrela
11/05/24,PRL,Vizela,16:30,Estrela
19/05/24,PRL,Estrela,-,Gil Vicente
28/01/22,SEL,Farense,3-0,Estrela
08/02/22,SEL,Estrela,1-3,Académica
14/02/22,SEL,Rio Ave,1-0,Estrela
21/02/22,SEL,Estrela,0-0,Varzim
27/02/22,SEL,Leixões,3-0,Estrela
05/03/22,SEL,Academico Viseu,0-4,Estrela
12/03/22,SEL,Estrela,1-2,Feirense
20/03/22,SEL,Porto II,2-2,Estrela
03/04/22,SEL,Estrela,0-1,Vilafranquense
09/04/22,SEL,Benfica II,0-0,Estrela
16/04/22,SEL,Estrela,0-0,Nacional
23/04/22,SEL,Casa Pia,3-0,Estrela
30/04/22,SEL,Estrela,0-2,Penafiel
08/05/22,SEL,Chaves,2-2,Estrela
15/05/22,SEL,Estrela,0-1,Sporting Covilhã
16/07/22,CLF,Estrela,1-0,Trofense
20/07/22,CLF,Estrela,CANC,Mafra
31/07/22,CLF,Estrela,3-0,Petro de Luanda
07/08/22,SEL,Feirense,1-1,Estrela
13/08/22,SEL,Estrela,1-1,Farense
17/08/22,SEL,Benfica II,1-2,Estrela
28/08/22,SEL,Estrela,1-1,Porto II
