Date,Competition,Home team,Score,Away team
03/04/23,PRL,Famalicão,0-1,Arouca
08/04/23,PRL,Paços Ferreira,1-3,Famalicão
14/04/23,PRL,Famalicão,2-1,Vitoria Guimaraes
22/04/23,PRL,Famalicão,3-2,Marítimo
26/04/23,TDP,Famalicão,1-2,Porto
30/04/23,PRL,Sporting Lisbon,2-1,Famalicão
04/05/23,TDP,Porto,E3-2E,Famalicão
08/05/23,PRL,Famalicão,1-2,Chaves
13/05/23,PRL,Vizela,0-0,Famalicão
20/05/23,PRL,Famalicão,2-4,Porto
26/05/23,PRL,Rio Ave,2-2,Famalicão
15/07/23,CLF,Famalicão,1-0,Trofense
23/07/23,TDL,CF Os Belenenses,3-2,Famalicão
04/08/23,CLF,Chaves,0-1,Famalicão
11/08/23,PRL,Sporting Braga,1-2,Famalicão
21/08/23,PRL,Famalicão,0-0,Moreirense
27/08/23,PRL,Sporting Lisbon,1-0,Famalicão
02/09/23,PRL,Famalicão,1-0,Farense
16/09/23,PRL,Rio Ave,1-1,Famalicão
22/09/23,PRL,Famalicão,1-0,Arouca
30/09/23,PRL,Boavista,2-2,Famalicão
08/10/23,PRL,Famalicão,1-3,Vitoria Guimaraes
29/10/23,PRL,Estrela,1-0,Famalicão
04/11/23,PRL,Famalicão,3-1,Gil Vicente
11/11/23,PRL,Vizela,0-0,Famalicão
18/11/23,TDP,Camacha,0-5,Famalicão
25/11/23,TDP,Benfica,2-0,Famalicão
02/12/23,PRL,Famalicão,0-3,Porto
09/12/23,PRL,Portimonense,1-1,Famalicão
17/12/23,PRL,Famalicão,1-1,Estoril
29/12/23,PRL,Benfica,3-0,Famalicão
07/01/24,PRL,Famalicão,2-2,Chaves
13/01/24,PRL,Casa Pia,0-2,Famalicão
18/01/24,PRL,Famalicão,1-2,Sporting Braga
28/01/24,PRL,Moreirense,1-0,Famalicão
10/02/24,PRL,Farense,1-1,Famalicão
16/02/24,PRL,Famalicão,2-1,Rio Ave
23/02/24,PRL,Arouca,3-2,Famalicão
04/03/24,PRL,Famalicão,1-1,Boavista
09/03/24,PRL,Vitoria Guimaraes,1-0,Famalicão
16/03/24,PRL,Famalicão,0-0,Estrela
29/03/24,PRL,Gil Vicente,1-2,Famalicão
06/04/24,PRL,Famalicão,3-2,Vizela
13/04/24,PRL,Porto,2-2,Famalicão
16/04/24,PRL,Famalicão,0-1,Sporting Lisbon
21/04/24,PRL,Famalicão,2-2,Portimonense
28/04/24,PRL,Estoril,1-0,Famalicão
05/05/24,PRL,Famalicão,21:30,Benfica
10/05/24,PRL,Chaves,21:15,Famalicão
19/05/24,PRL,Famalicão,-,Casa Pia
16/01/22,PRL,Famalicão,0-0,Paços Ferreira
23/01/22,PRL,Porto,3-1,Famalicão
31/01/22,PRL,Famalicão,0-0,Arouca
06/02/22,PRL,Sporting Lisbon,2-0,Famalicão
13/02/22,PRL,Famalicão,5-0,Moreirense
20/02/22,PRL,Marítimo,0-1,Famalicão
26/02/22,PRL,Famalicão,2-1,Tondela
06/03/22,PRL,Vitoria Guimaraes,2-1,Famalicão
12/03/22,PRL,Famalicão,0-0,Santa Clara
18/03/22,PRL,Vizela,1-1,Famalicão
02/04/22,PRL,Famalicão,1-2,Boavista
10/04/22,PRL,Portimonense,1-0,Famalicão
15/04/22,PRL,Famalicão,2-2,Gil Vicente
23/04/22,PRL,Benfica,0-0,Famalicão
29/04/22,PRL,Famalicão,3-1,Estoril
09/05/22,PRL,Belenenses,2-3,Famalicão
15/05/22,PRL,Famalicão,3-2,Sporting Braga
06/08/22,PRL,Estoril,2-0,Famalicão
12/08/22,PRL,Famalicão,0-3,Sporting Braga
22/08/22,PRL,Gil Vicente,0-0,Famalicão
28/08/22,PRL,Famalicão,1-0,Santa Clara
04/09/22,PRL,Portimonense,1-0,Famalicão
10/09/22,PRL,Famalicão,0-1,Benfica
18/09/22,PRL,Casa Pia,1-0,Famalicão
02/10/22,PRL,Famalicão,4-0,Boavista
10/10/22,PRL,Arouca,4-1,Famalicão
15/10/22,TDP,Trofense,0-1,Famalicão
22/10/22,PRL,Famalicão,2-1,Paços Ferreira
31/10/22,PRL,Vitoria Guimaraes,3-2,Famalicão
06/11/22,PRL,Marítimo,0-0,Famalicão
09/11/22,TDP,Famalicão,4-1,Dumiense
13/11/22,PRL,Famalicão,1-2,Sporting Lisbon
26/11/22,TDL,Famalicão,1-1,Academico Viseu
02/12/22,TDL,Torreense,1-0,Famalicão
09/12/22,TDL,Famalicão,0-0,Tondela
15/12/22,TDL,Estoril,0-1,Famalicão
30/12/22,PRL,Chaves,0-2,Famalicão
06/01/23,PRL,Famalicão,2-1,Vizela
10/01/23,TDP,Leixões,E1-2E,Famalicão
15/01/23,PRL,Porto,4-1,Famalicão
22/01/23,PRL,Famalicão,0-0,Rio Ave
29/01/23,PRL,Famalicão,1-0,Estoril
05/02/23,PRL,Sporting Braga,4-1,Famalicão
08/02/23,TDP,Famalicão,4-1,Belenenses
12/02/23,PRL,Famalicão,0-1,Gil Vicente
19/02/23,PRL,Santa Clara,1-3,Famalicão
24/02/23,PRL,Famalicão,1-0,Portimonense
03/03/23,PRL,Benfica,2-0,Famalicão
13/03/23,PRL,Famalicão,1-0,Casa Pia
19/03/23,PRL,Boavista,1-2,Famalicão
27/12/20,PRL,Famalicão,0-1,Gil Vicente
03/01/21,PRL,Tondela,1-0,Famalicão
08/01/21,PRL,Famalicão,1-4,Porto
17/01/21,PRL,Santa Clara,1-2,Famalicão
24/01/21,PRL,Famalicão,0-1,Vitoria Guimaraes
30/01/21,PRL,Nacional,2-1,Famalicão
04/02/21,PRL,Famalicão,0-2,Moreirense
08/02/21,PRL,Benfica,2-0,Famalicão
12/02/21,PRL,Famalicão,0-0,Belenenses
21/02/21,PRL,Rio Ave,0-1,Famalicão
27/02/21,PRL,Famalicão,0-0,Farense
06/03/21,PRL,Boavista,3-0,Famalicão
15/03/21,PRL,Famalicão,2-2,Sporting Braga
21/03/21,PRL,Marítimo,0-4,Famalicão
04/04/21,PRL,Famalicão,2-0,Paços Ferreira
11/04/21,PRL,Sporting Lisbon,1-1,Famalicão
18/04/21,PRL,Famalicão,0-1,Portimonense
22/04/21,PRL,Gil Vicente,0-3,Famalicão
26/04/21,PRL,Famalicão,2-2,Tondela
30/04/21,PRL,Porto,3-2,Famalicão
07/05/21,PRL,Famalicão,1-0,Santa Clara
12/05/21,PRL,Vitoria Guimaraes,1-2,Famalicão
16/05/21,PRL,Famalicão,3-0,Nacional
19/05/21,PRL,Moreirense,3-0,Famalicão
08/07/21,CLF,Santa Clara,CANC,Famalicão
16/07/21,CLF,Gil Vicente,CANC,Famalicão
24/07/21,TDL,Feirense,0-1,Famalicão
01/08/21,TDL,Famalicão,1-0,Estoril
08/08/21,PRL,Paços Ferreira,2-0,Famalicão
15/08/21,PRL,Famalicão,1-2,Porto
20/08/21,PRL,Arouca,2-1,Famalicão
28/08/21,PRL,Famalicão,1-1,Sporting Lisbon
12/09/21,PRL,Moreirense,2-2,Famalicão
18/09/21,PRL,Famalicão,0-0,Marítimo
22/09/21,TDL,Famalicão,5-0,Penafiel
25/09/21,PRL,Tondela,3-2,Famalicão
01/10/21,PRL,Famalicão,1-2,Vitoria Guimaraes
15/10/21,TDP,Académica,0-4,Famalicão
23/10/21,PRL,Santa Clara,0-2,Famalicão
26/10/21,TDL,Sporting Lisbon,2-1,Famalicão
31/10/21,PRL,Famalicão,1-1,Vizela
05/11/21,PRL,Boavista,2-5,Famalicão
20/11/21,TDP,Alverca,1-2,Famalicão
27/11/21,PRL,Famalicão,0-3,Portimonense
05/12/21,PRL,Gil Vicente,4-0,Famalicão
12/12/21,PRL,Famalicão,1-4,Benfica
17/12/21,PRL,Estoril,2-2,Famalicão
21/12/21,TDP,Famalicão,P1-1P,Portimonense
09/01/22,PRL,Sporting Braga,2-2,Famalicão
13/01/22,PRL,Famalicão,1-0,Belenenses
06/09/19,CLF,Celta Vigo,1-1,Famalicão
14/09/19,PRL,Famalicão,4-2,Paços Ferreira
23/09/19,PRL,Sporting Lisbon,1-2,Famalicão
28/09/19,PRL,Famalicão,3-1,Belenenses
20/10/19,TDP,Lusitânia Lourosa,P1-1P,Famalicão
27/10/19,PRL,Porto,3-0,Famalicão
30/10/19,PRL,Famalicão,2-1,Gil Vicente
03/11/19,PRL,Sporting Braga,2-2,Famalicão
09/11/19,PRL,Famalicão,3-3,Moreirense
23/11/19,TDP,Famalicão,1-0,Académica
30/11/19,PRL,Portimonense,2-1,Famalicão
07/12/19,PRL,Famalicão,2-3,Tondela
14/12/19,PRL,Benfica,4-0,Famalicão
19/12/19,TDP,Famalicão,3-0,Mafra
05/01/20,PRL,Famalicão,3-0,Vitória Setúbal
11/01/20,PRL,Boavista,0-1,Famalicão
15/01/20,TDP,Paços Ferreira,0-1,Famalicão
19/01/20,PRL,Famalicão,1-1,Marítimo
26/01/20,PRL,Famalicão,0-1,Santa Clara
31/01/20,PRL,Rio Ave,2-2,Famalicão
