Date,Competition,Home team,Score,Away team
14/04/23,SEL,Oliveirense,1-2,Farense
22/04/23,SEL,Farense,2-1,Penafiel
29/04/23,SEL,Feirense,1-2,Farense
07/05/23,SEL,Farense,2-0,Porto II
14/05/23,SEL,Nacional,0-1,Farense
19/05/23,SEL,Benfica II,0-1,Farense
28/05/23,SEL,Farense,3-1,Tondela
14/07/23,CLF,Al Nassr,5-1,Farense
19/07/23,CLF,Farense,1-2,Sporting Lisbon
23/07/23,TDL,Moreirense,P1-1P,Farense
29/07/23,TDL,Farense,3-2,Oliveirense
02/08/23,CLF,Farense,2-4,Roma
05/08/23,CLF,Farense,2-1,Portimonense
12/08/23,PRL,Farense,0-3,Casa Pia
20/08/23,PRL,Porto,2-1,Farense
26/08/23,PRL,Farense,5-0,Chaves
02/09/23,PRL,Famalicão,1-0,Farense
16/09/23,PRL,Farense,3-1,Sporting Braga
23/09/23,PRL,Moreirense,1-0,Farense
27/09/23,TDL,Farense,1-0,Tondela
30/09/23,PRL,Farense,2-3,Sporting Lisbon
07/10/23,PRL,Farense,0-0,Vizela
22/10/23,TDP,Vilaverdense,3-2,Farense
29/10/23,PRL,Rio Ave,3-4,Farense
02/11/23,TDL,Sporting Lisbon,4-2,Farense
06/11/23,PRL,Farense,2-0,Arouca
12/11/23,PRL,Boavista,1-3,Farense
02/12/23,PRL,Farense,1-2,Vitoria Guimaraes
08/12/23,PRL,Benfica,1-1,Farense
15/12/23,PRL,Farense,0-0,Estrela
30/12/23,PRL,Estoril,4-0,Farense
06/01/24,PRL,Farense,1-0,Gil Vicente
12/01/24,PRL,Portimonense,1-0,Farense
20/01/24,PRL,Casa Pia,1-3,Farense
28/01/24,PRL,Farense,1-3,Porto
04/02/24,PRL,Chaves,1-1,Farense
10/02/24,PRL,Farense,1-1,Famalicão
18/02/24,PRL,Sporting Braga,2-1,Farense
24/02/24,PRL,Farense,0-1,Moreirense
03/03/24,PRL,Sporting Lisbon,3-2,Farense
09/03/24,PRL,Vizela,2-1,Farense
16/03/24,PRL,Farense,1-1,Rio Ave
30/03/24,PRL,Arouca,2-1,Farense
05/04/24,PRL,Farense,2-0,Boavista
13/04/24,PRL,Vitoria Guimaraes,1-1,Farense
22/04/24,PRL,Farense,1-3,Benfica
29/04/24,PRL,Estrela,0-3,Farense
05/05/24,PRL,Farense,16:30,Estoril
12/05/24,PRL,Gil Vicente,16:30,Farense
19/05/24,PRL,Farense,-,Portimonense
17/02/22,SEL,Varzim,0-1,Farense
21/02/22,SEL,Benfica II,3-0,Farense
27/02/22,SEL,Farense,1-0,Vilafranquense
06/03/22,SEL,Trofense,1-1,Farense
13/03/22,SEL,Farense,2-0,Porto II
19/03/22,SEL,Penafiel,1-3,Farense
03/04/22,SEL,Farense,1-0,Sporting Covilhã
