Date,Competition,Home team,Score,Away team
12/03/23,PRL,Rio Ave,2-1,Gil Vicente
31/03/23,PRL,Estoril,1-0,Gil Vicente
05/04/23,PRL,Gil Vicente,0-0,Sporting Lisbon
10/04/23,PRL,Gil Vicente,0-0,Chaves
16/04/23,PRL,Sporting Braga,1-0,Gil Vicente
23/04/23,PRL,Portimonense,1-0,Gil Vicente
29/04/23,PRL,Gil Vicente,0-2,Benfica
06/05/23,PRL,Santa Clara,3-2,Gil Vicente
12/05/23,PRL,Gil Vicente,3-1,Boavista
21/05/23,PRL,Vitoria Guimaraes,1-0,Gil Vicente
27/05/23,PRL,Gil Vicente,1-0,Casa Pia
22/07/23,TDL,Oliveirense,1-0,Gil Vicente
12/08/23,PRL,Gil Vicente,5-0,Portimonense
19/08/23,PRL,Vitoria Guimaraes,2-1,Gil Vicente
26/08/23,PRL,Gil Vicente,2-3,Benfica
01/09/23,PRL,Vizela,1-0,Gil Vicente
17/09/23,PRL,Gil Vicente,5-3,Estoril
23/09/23,PRL,Porto,2-1,Gil Vicente
02/10/23,PRL,Gil Vicente,2-0,Casa Pia
07/10/23,PRL,Chaves,4-2,Gil Vicente
22/10/23,TDP,CF Os Belenenses,1-2,Gil Vicente
28/10/23,PRL,Gil Vicente,3-3,Sporting Braga
04/11/23,PRL,Famalicão,3-1,Gil Vicente
12/11/23,PRL,Gil Vicente,1-1,Rio Ave
25/11/23,TDP,FC Serpa,0-1,Gil Vicente
04/12/23,PRL,Sporting Lisbon,3-1,Gil Vicente
11/12/23,PRL,Gil Vicente,1-1,Moreirense
16/12/23,PRL,Arouca,3-0,Gil Vicente
30/12/23,PRL,Gil Vicente,1-0,Boavista
06/01/24,PRL,Farense,1-0,Gil Vicente
10/01/24,TDP,Gil Vicente,3-1,Amarante
14/01/24,PRL,Gil Vicente,1-1,Estrela
21/01/24,PRL,Portimonense,0-2,Gil Vicente
28/01/24,PRL,Gil Vicente,1-0,Vitoria Guimaraes
04/02/24,PRL,Benfica,3-0,Gil Vicente
08/02/24,TDP,Vitoria Guimaraes,3-1,Gil Vicente
13/02/24,PRL,Gil Vicente,0-1,Vizela
18/02/24,PRL,Estoril,1-3,Gil Vicente
25/02/24,PRL,Gil Vicente,1-1,Porto
03/03/24,PRL,Casa Pia,0-0,Gil Vicente
11/03/24,PRL,Gil Vicente,0-0,Chaves
16/03/24,PRL,Sporting Braga,2-1,Gil Vicente
29/03/24,PRL,Gil Vicente,1-2,Famalicão
06/04/24,PRL,Rio Ave,3-0,Gil Vicente
12/04/24,PRL,Gil Vicente,0-4,Sporting Lisbon
20/04/24,PRL,Moreirense,0-1,Gil Vicente
26/04/24,PRL,Gil Vicente,2-2,Arouca
04/05/24,PRL,Boavista,16:30,Gil Vicente
12/05/24,PRL,Gil Vicente,16:30,Farense
19/05/24,PRL,Estrela,-,Gil Vicente
06/02/22,PRL,Gil Vicente,2-2,Santa Clara
13/02/22,PRL,Vizela,0-1,Gil Vicente
19/02/22,PRL,Gil Vicente,2-0,Belenenses
27/02/22,PRL,Porto,1-1,Gil Vicente
04/03/22,PRL,Gil Vicente,0-0,Estoril
13/03/22,PRL,Sporting Braga,0-1,Gil Vicente
20/03/22,PRL,Gil Vicente,1-1,Marítimo
02/04/22,PRL,Arouca,2-1,Gil Vicente
08/04/22,PRL,Gil Vicente,1-2,Moreirense
15/04/22,PRL,Famalicão,2-2,Gil Vicente
23/04/22,PRL,Gil Vicente,1-1,Paços Ferreira
01/05/22,PRL,Sporting Lisbon,4-1,Gil Vicente
08/05/22,PRL,Gil Vicente,3-0,Tondela
15/05/22,PRL,Vitoria Guimaraes,5-0,Gil Vicente
13/07/22,CLF,Gil Vicente,2-0,Penafiel
20/07/22,CLF,Gil Vicente,CANC,Santa Clara
27/07/22,CLF,Vizela,2-3,Gil Vicente
03/08/22,UEC,Riga,1-1,Gil Vicente
08/08/22,PRL,Gil Vicente,1-0,Paços Ferreira
11/08/22,UEC,Gil Vicente,4-0,Riga
15/08/22,PRL,Arouca,1-0,Gil Vicente
18/08/22,UEC,AZ,4-0,Gil Vicente
22/08/22,PRL,Gil Vicente,0-0,Famalicão
25/08/22,UEC,Gil Vicente,1-2,AZ
29/08/22,PRL,Vizela,2-2,Gil Vicente
03/09/22,PRL,Gil Vicente,0-2,Porto
11/09/22,PRL,Marítimo,1-2,Gil Vicente
17/09/22,PRL,Gil Vicente,2-2,Rio Ave
30/09/22,PRL,Sporting Lisbon,3-1,Gil Vicente
07/10/22,PRL,Gil Vicente,0-1,Estoril
15/10/22,TDP,FC Serpa,0-3,Gil Vicente
23/10/22,PRL,Chaves,3-1,Gil Vicente
30/10/22,PRL,Gil Vicente,0-1,Sporting Braga
04/11/22,PRL,Gil Vicente,1-2,Portimonense
08/11/22,TDP,Gil Vicente,1-4,Arouca
13/11/22,PRL,Benfica,3-1,Gil Vicente
20/11/22,TDL,Sporting Covilhã,2-2,Gil Vicente
27/11/22,TDL,Gil Vicente,2-0,Nacional
14/12/22,TDL,Portimonense,0-3,Gil Vicente
21/12/22,TDL,Porto,2-0,Gil Vicente
29/12/22,PRL,Gil Vicente,1-0,Santa Clara
08/01/23,PRL,Boavista,1-0,Gil Vicente
16/01/23,PRL,Gil Vicente,2-1,Vitoria Guimaraes
22/01/23,PRL,Casa Pia,1-3,Gil Vicente
31/01/23,PRL,Paços Ferreira,2-1,Gil Vicente
05/02/23,PRL,Gil Vicente,1-1,Arouca
12/02/23,PRL,Famalicão,0-1,Gil Vicente
17/02/23,PRL,Gil Vicente,1-1,Vizela
26/02/23,PRL,Porto,1-2,Gil Vicente
05/03/23,PRL,Gil Vicente,2-0,Marítimo
29/01/21,TDP,Gil Vicente,0-2,Porto
02/02/21,PRL,Gil Vicente,1-2,Paços Ferreira
05/02/21,PRL,Boavista,1-2,Gil Vicente
09/02/21,PRL,Gil Vicente,1-2,Sporting Lisbon
14/02/21,PRL,Portimonense,4-1,Gil Vicente
20/02/21,PRL,Gil Vicente,1-0,Santa Clara
28/02/21,PRL,Tondela,1-0,Gil Vicente
06/03/21,PRL,Gil Vicente,0-2,Porto
14/03/21,PRL,Vitoria Guimaraes,2-4,Gil Vicente
19/03/21,PRL,Gil Vicente,2-0,Nacional
03/04/21,PRL,Rio Ave,0-2,Gil Vicente
11/04/21,PRL,Gil Vicente,1-2,Moreirense
17/04/21,PRL,Benfica,1-2,Gil Vicente
22/04/21,PRL,Gil Vicente,0-3,Famalicão
26/04/21,PRL,Belenenses,2-1,Gil Vicente
01/05/21,PRL,Gil Vicente,0-0,Farense
05/05/21,PRL,Marítimo,0-1,Gil Vicente
09/05/21,PRL,Gil Vicente,1-1,Sporting Braga
14/05/21,PRL,Paços Ferreira,0-2,Gil Vicente
19/05/21,PRL,Gil Vicente,1-2,Boavista
03/07/21,CLF,Vizela,2-3,Gil Vicente
07/07/21,CLF,Gil Vicente,1-1,Leixões
10/07/21,CLF,Gil Vicente,2-1,Santa Clara
14/07/21,CLF,Gil Vicente,CANC,Chaves
16/07/21,CLF,Gil Vicente,CANC,Famalicão
17/07/21,CLF,Vitoria Guimaraes,CANC,Gil Vicente
24/07/21,TDL,Tondela,0-1,Gil Vicente
30/07/21,TDL,Paços Ferreira,P1-1P,Gil Vicente
09/08/21,PRL,Gil Vicente,3-0,Boavista
15/08/21,PRL,Portimonense,0-1,Gil Vicente
21/08/21,PRL,Gil Vicente,0-2,Benfica
29/08/21,PRL,Santa Clara,1-0,Gil Vicente
12/09/21,PRL,Gil Vicente,2-2,Vizela
18/09/21,PRL,Belenenses,1-1,Gil Vicente
24/09/21,PRL,Gil Vicente,1-2,Porto
03/10/21,PRL,Estoril,2-2,Gil Vicente
17/10/21,TDP,Condeixa,0-5,Gil Vicente
