Date,Competition,Home team,Score,Away team
18/03/23,SEL,Nacional,0-2,Moreirense
01/04/23,SEL,Moreirense,0-0,Feirense
07/04/23,SEL,Farense,3-1,Moreirense
16/04/23,SEL,Moreirense,7-4,Benfica II
23/04/23,SEL,Porto II,0-0,Moreirense
29/04/23,SEL,Moreirense,2-1,Tondela
06/05/23,SEL,Estrela,2-4,Moreirense
14/05/23,SEL,Moreirense,4-2,Leixões
21/05/23,SEL,Mafra,0-2,Moreirense
25/05/23,SEL,Moreirense,6-4,Sporting Covilhã
12/07/23,CLF,Moreirense,0-2,Rio Ave
15/07/23,CLF,Moreirense,3-1,Varzim
19/07/23,CLF,Casa Pia,1-0,Moreirense
23/07/23,TDL,Moreirense,P1-1P,Farense
14/08/23,PRL,Moreirense,1-2,Porto
21/08/23,PRL,Famalicão,0-0,Moreirense
03/09/23,PRL,Chaves,1-2,Moreirense
09/09/23,PRL,Moreirense,2-3,Sporting Braga
17/09/23,PRL,Sporting Lisbon,3-0,Moreirense
23/09/23,PRL,Moreirense,1-0,Farense
01/10/23,PRL,Rio Ave,0-4,Moreirense
06/10/23,PRL,Moreirense,1-1,Boavista
21/10/23,TDP,Paredes,2-1,Moreirense
27/10/23,PRL,Arouca,0-1,Moreirense
05/11/23,PRL,Moreirense,1-0,Vitoria Guimaraes
11/11/23,PRL,Estrela,0-1,Moreirense
17/11/23,CLF,Moreirense,2-0,Rio Ave
03/12/23,PRL,Moreirense,0-0,Benfica
11/12/23,PRL,Gil Vicente,1-1,Moreirense
17/12/23,PRL,Moreirense,5-2,Portimonense
23/12/23,PRL,Vizela,0-0,Moreirense
08/01/24,PRL,Moreirense,1-4,Casa Pia
13/01/24,PRL,Estoril,1-3,Moreirense
20/01/24,PRL,Porto,5-0,Moreirense
28/01/24,PRL,Moreirense,1-0,Famalicão
04/02/24,PRL,Sporting Braga,1-0,Moreirense
10/02/24,PRL,Moreirense,1-0,Chaves
19/02/24,PRL,Moreirense,0-2,Sporting Lisbon
24/02/24,PRL,Farense,0-1,Moreirense
02/03/24,PRL,Moreirense,0-0,Rio Ave
09/03/24,PRL,Boavista,1-0,Moreirense
17/03/24,PRL,Moreirense,1-0,Arouca
30/03/24,PRL,Vitoria Guimaraes,1-0,Moreirense
07/04/24,PRL,Moreirense,2-2,Estrela
14/04/24,PRL,Benfica,3-0,Moreirense
20/04/24,PRL,Moreirense,0-1,Gil Vicente
28/04/24,PRL,Portimonense,0-2,Moreirense
03/05/24,PRL,Moreirense,21:15,Vizela
12/05/24,PRL,Casa Pia,19:00,Moreirense
19/05/24,PRL,Moreirense,-,Estoril
30/01/22,PRL,Sporting Braga,2-0,Moreirense
07/02/22,PRL,Moreirense,4-1,Belenenses
