Date,Competition,Home team,Score,Away team
15/04/23,PRL,Estoril,0-1,Portimonense
23/04/23,PRL,Portimonense,1-0,Gil Vicente
29/04/23,PRL,Sporting Braga,4-1,Portimonense
05/05/23,PRL,Casa Pia,1-1,Portimonense
13/05/23,PRL,Portimonense,1-5,Benfica
20/05/23,PRL,Santa Clara,1-0,Portimonense
27/05/23,PRL,Portimonense,0-2,Arouca
12/07/23,CLF,Portimonense,0-0,Celtic
15/07/23,CLF,Portimonense,1-4,Celtic
19/07/23,CLF,Portimonense,0-2,Porto
23/07/23,TDL,Portimonense,3-1,Estrela
25/07/23,CLF,Sporting Lisbon,1-1,Portimonense
30/07/23,TDL,Leixões,P0-0P,Portimonense
05/08/23,CLF,Farense,2-1,Portimonense
12/08/23,PRL,Gil Vicente,5-0,Portimonense
19/08/23,PRL,Portimonense,1-4,Boavista
26/08/23,PRL,Arouca,1-1,Portimonense
02/09/23,PRL,Portimonense,1-1,Estrela
17/09/23,PRL,Vitoria Guimaraes,1-2,Portimonense
24/09/23,PRL,Portimonense,1-3,Benfica
30/09/23,PRL,Vizela,2-3,Portimonense
08/10/23,PRL,Porto,1-0,Portimonense
20/10/23,TDP,Sporting Covilhã,1-4,Portimonense
28/10/23,PRL,Portimonense,1-0,Estoril
04/11/23,PRL,Sporting Braga,6-1,Portimonense
11/11/23,PRL,Portimonense,2-1,Chaves
25/11/23,TDP,Portimonense,1-4,Sporting Braga
02/12/23,PRL,Casa Pia,1-0,Portimonense
09/12/23,PRL,Portimonense,1-1,Famalicão
17/12/23,PRL,Moreirense,5-2,Portimonense
30/12/23,PRL,Portimonense,1-2,Sporting Lisbon
07/01/24,PRL,Rio Ave,2-0,Portimonense
12/01/24,PRL,Portimonense,1-0,Farense
21/01/24,PRL,Portimonense,0-2,Gil Vicente
28/01/24,PRL,Boavista,1-4,Portimonense
03/02/24,PRL,Portimonense,1-2,Arouca
09/02/24,PRL,Estrela,3-0,Portimonense
17/02/24,PRL,Portimonense,1-1,Vitoria Guimaraes
25/02/24,PRL,Benfica,4-0,Portimonense
03/03/24,PRL,Portimonense,0-0,Vizela
08/03/24,PRL,Portimonense,0-3,Porto
15/03/24,PRL,Estoril,1-0,Portimonense
01/04/24,PRL,Portimonense,3-5,Sporting Braga
07/04/24,PRL,Chaves,2-3,Portimonense
14/04/24,PRL,Portimonense,2-2,Casa Pia
21/04/24,PRL,Famalicão,2-2,Portimonense
28/04/24,PRL,Portimonense,0-2,Moreirense
04/05/24,PRL,Sporting Lisbon,19:00,Portimonense
11/05/24,PRL,Portimonense,16:30,Rio Ave
19/05/24,PRL,Farense,-,Portimonense
27/02/22,PRL,Vizela,1-1,Portimonense
05/03/22,PRL,Portimonense,1-2,Benfica
12/03/22,PRL,Estoril,2-0,Portimonense
20/03/22,PRL,Portimonense,1-2,Sporting Braga
02/04/22,PRL,Belenenses,2-0,Portimonense
10/04/22,PRL,Portimonense,1-0,Famalicão
16/04/22,PRL,Porto,7-0,Portimonense
23/04/22,PRL,Portimonense,1-0,Moreirense
30/04/22,PRL,Arouca,1-0,Portimonense
07/05/22,PRL,Portimonense,2-3,Sporting Lisbon
14/05/22,PRL,Marítimo,0-1,Portimonense
09/07/22,CLF,Portimonense,0-2,Monaco
12/07/22,CLF,Portimonense,1-1,Birmingham City
14/07/22,CLF,Portimonense,0-1,Porto
16/07/22,CLF,Roma,2-0,Portimonense
20/07/22,CLF,Sporting Lisbon,0-2,Portimonense
23/07/22,CLF,Portimonense,2-0,Sporting Braga
27/07/22,CLF,Portimonense,1-0,Sporting Covilhã
30/07/22,CLF,Portimonense,2-1,Estoril
07/08/22,PRL,Portimonense,0-1,Boavista
15/08/22,PRL,Paços Ferreira,0-3,Portimonense
21/08/22,PRL,Portimonense,2-1,Vitoria Guimaraes
27/08/22,PRL,Marítimo,0-1,Portimonense
04/09/22,PRL,Portimonense,1-0,Famalicão
10/09/22,PRL,Sporting Lisbon,4-0,Portimonense
16/09/22,PRL,Portimonense,1-0,Chaves
01/10/22,PRL,Vizela,1-0,Portimonense
08/10/22,PRL,Portimonense,0-2,Porto
16/10/22,TDP,Vilaverdense,2-0,Portimonense
24/10/22,PRL,Rio Ave,1-0,Portimonense
30/10/22,PRL,Portimonense,1-1,Estoril
04/11/22,PRL,Gil Vicente,1-2,Portimonense
13/11/22,PRL,Portimonense,1-2,Sporting Braga
19/11/22,TDL,Nacional,2-0,Portimonense
27/11/22,TDL,Portimonense,2-0,Sporting Covilhã
14/12/22,TDL,Portimonense,0-3,Gil Vicente
28/12/22,PRL,Portimonense,1-2,Casa Pia
06/01/23,PRL,Benfica,1-0,Portimonense
13/01/23,PRL,Portimonense,0-0,Santa Clara
20/01/23,PRL,Arouca,4-0,Portimonense
29/01/23,PRL,Boavista,4-2,Portimonense
06/02/23,PRL,Portimonense,1-0,Paços Ferreira
11/02/23,PRL,Vitoria Guimaraes,1-0,Portimonense
18/02/23,PRL,Portimonense,2-1,Marítimo
24/02/23,PRL,Famalicão,1-0,Portimonense
04/03/23,PRL,Portimonense,0-1,Sporting Lisbon
11/03/23,PRL,Chaves,2-0,Portimonense
18/03/23,PRL,Portimonense,0-1,Vizela
02/04/23,PRL,Porto,1-0,Portimonense
08/04/23,PRL,Portimonense,2-2,Rio Ave
04/02/21,PRL,Sporting Braga,2-1,Portimonense
09/02/21,PRL,Paços Ferreira,0-0,Portimonense
14/02/21,PRL,Portimonense,4-1,Gil Vicente
20/02/21,PRL,Sporting Lisbon,2-0,Portimonense
28/02/21,PRL,Portimonense,0-0,Marítimo
06/03/21,PRL,Portimonense,3-0,Tondela
13/03/21,PRL,Santa Clara,2-0,Portimonense
20/03/21,PRL,Portimonense,1-2,Porto
02/04/21,PRL,Nacional,1-5,Portimonense
09/04/21,PRL,Portimonense,3-0,Vitoria Guimaraes
18/04/21,PRL,Famalicão,0-1,Portimonense
22/04/21,PRL,Portimonense,1-5,Benfica
27/04/21,PRL,Farense,1-1,Portimonense
01/05/21,PRL,Portimonense,0-0,Rio Ave
06/05/21,PRL,Belenenses,1-0,Portimonense
10/05/21,PRL,Portimonense,1-2,Moreirense
15/05/21,PRL,Boavista,1-0,Portimonense
19/05/21,PRL,Portimonense,0-0,Sporting Braga
10/07/21,CLF,Portimonense,0-1,Sporting Covilhã
17/07/21,CLF,Portimonense,1-1,Sporting Braga
18/07/21,CLF,Sporting Covilhã,1-1,Portimonense
23/07/21,TDL,Portimonense,2-1,Académica
01/08/21,TDL,Boavista,2-0,Portimonense
08/08/21,PRL,Vitoria Guimaraes,0-1,Portimonense
15/08/21,PRL,Portimonense,0-1,Gil Vicente
22/08/21,PRL,Tondela,0-3,Portimonense
29/08/21,PRL,Portimonense,0-1,Paços Ferreira
12/09/21,PRL,Boavista,1-1,Portimonense
17/09/21,PRL,Portimonense,2-1,Santa Clara
26/09/21,PRL,Portimonense,0-0,Vizela
03/10/21,PRL,Benfica,0-1,Portimonense
17/10/21,TDP,Oliveirense,P3-3P,Portimonense
24/10/21,PRL,Portimonense,0-2,Estoril
01/11/21,PRL,Sporting Braga,3-0,Portimonense
06/11/21,PRL,Portimonense,2-0,Belenenses
19/11/21,TDP,Penafiel,0-3,Portimonense
27/11/21,PRL,Famalicão,0-3,Portimonense
03/12/21,PRL,Portimonense,0-3,Porto
12/12/21,PRL,Moreirense,0-1,Portimonense
18/12/21,PRL,Portimonense,1-1,Arouca
21/12/21,TDP,Famalicão,P1-1P,Portimonense
29/12/21,PRL,Sporting Lisbon,3-2,Portimonense
09/01/22,PRL,Portimonense,1-2,Marítimo
13/01/22,TDP,Portimonense,2-4,Mafra
17/01/22,PRL,Portimonense,1-1,Vitoria Guimaraes
23/01/22,PRL,Gil Vicente,1-0,Portimonense
30/01/22,PRL,Portimonense,1-2,Tondela
05/02/22,PRL,Paços Ferreira,1-1,Portimonense
12/02/22,PRL,Portimonense,1-1,Boavista
21/02/22,PRL,Santa Clara,1-1,Portimonense
05/10/19,TDL,Portimonense,1-1,Rio Ave
19/10/19,TDP,Académica,2-1,Portimonense
26/10/19,PRL,Gil Vicente,1-1,Portimonense
30/10/19,PRL,Benfica,4-0,Portimonense
04/11/19,PRL,Portimonense,1-1,Santa Clara
10/11/19,PRL,Marítimo,1-1,Portimonense
30/11/19,PRL,Portimonense,2-1,Famalicão
08/12/19,PRL,Vitoria Guimaraes,2-0,Portimonense
13/12/19,PRL,Portimonense,1-1,Rio Ave
21/12/19,TDL,Portimonense,2-4,Sporting Lisbon
04/01/20,PRL,Boavista,1-1,Portimonense
08/01/20,CLF,Portimonense,3-2,MSV Duisburg
11/01/20,PRL,Portimonense,0-0,Paços Ferreira
18/01/20,PRL,Desportivo Aves,3-0,Portimonense
26/01/20,PRL,Belenenses,2-1,Portimonense
01/02/20,PRL,Portimonense,0-1,Tondela
09/02/20,PRL,Sporting Lisbon,2-1,Portimonense
15/02/20,PRL,Portimonense,1-1,Moreirense
23/02/20,PRL,Porto,1-0,Portimonense
28/02/20,PRL,Portimonense,0-0,Vitória Setúbal
06/03/20,PRL,Sporting Braga,3-1,Portimonense
03/06/20,PRL,Portimonense,1-0,Gil Vicente
10/06/20,PRL,Portimonense,2-2,Benfica
16/06/20,PRL,Santa Clara,1-1,Portimonense
22/06/20,PRL,Portimonense,3-2,Marítimo
30/06/20,PRL,Famalicão,0-1,Portimonense
04/07/20,PRL,Portimonense,0-1,Vitoria Guimaraes
09/07/20,PRL,Rio Ave,2-1,Portimonense
14/07/20,PRL,Portimonense,2-1,Boavista
20/07/20,PRL,Paços Ferreira,2-1,Portimonense
26/07/20,PRL,Portimonense,2-0,Desportivo Aves
28/08/20,CLF,Portimonense,1-2,Sporting Lisbon
01/09/20,CLF,Portimonense,0-0,Reading
21/09/20,PRL,Portimonense,1-1,Paços Ferreira
27/09/20,PRL,Gil Vicente,1-0,Portimonense
04/10/20,PRL,Portimonense,0-2,Sporting Lisbon
17/10/20,PRL,Marítimo,1-2,Portimonense
23/10/20,PRL,Tondela,1-0,Portimonense
01/11/20,PRL,Portimonense,1-2,Santa Clara
08/11/20,PRL,Porto,3-1,Portimonense
20/11/20,TDP,União de Leiria,1-0,Portimonense
29/11/20,PRL,Portimonense,1-0,Nacional
05/12/20,PRL,Vitoria Guimaraes,1-0,Portimonense
18/12/20,PRL,Portimonense,0-0,Famalicão
29/12/20,PRL,Benfica,2-1,Portimonense
04/01/21,PRL,Portimonense,2-0,Farense
08/01/21,PRL,Rio Ave,3-0,Portimonense
18/01/21,PRL,Portimonense,1-0,Belenenses
24/01/21,PRL,Moreirense,2-2,Portimonense
30/01/21,PRL,Portimonense,1-2,Boavista
25/08/18,PRL,Portimonense,2-2,Santa Clara
02/09/18,PRL,Rio Ave,2-1,Portimonense
23/09/18,PRL,Portimonense,3-2,Vitoria Guimaraes
01/10/18,PRL,Desportivo Aves,3-0,Portimonense
07/10/18,PRL,Portimonense,4-2,Sporting Lisbon
20/10/18,TDP,Cova Piedade,2-1,Portimonense
26/10/18,PRL,Nacional,0-1,Portimonense
03/11/18,PRL,Portimonense,1-1,Belenenses
09/11/18,PRL,Moreirense,2-0,Portimonense
02/12/18,PRL,Portimonense,3-2,Tondela
07/12/18,PRL,Porto,4-1,Portimonense
14/12/18,PRL,Portimonense,3-1,Vitória Setúbal
22/12/18,PRL,Feirense,0-1,Portimonense
02/01/19,PRL,Portimonense,2-0,Benfica
05/01/19,PRL,Marítimo,2-1,Portimonense
10/01/19,PRL,Portimonense,1-1,Sporting Braga
16/01/19,CLF,Portimonense,1-1,MSV Duisburg
20/01/19,PRL,Boavista,0-2,Portimonense
29/01/19,PRL,Portimonense,0-1,Chaves
03/02/19,PRL,Santa Clara,2-1,Portimonense
09/02/19,PRL,Portimonense,0-1,Rio Ave
16/02/19,PRL,Vitoria Guimaraes,2-0,Portimonense
23/02/19,PRL,Portimonense,1-1,Desportivo Aves
03/03/19,PRL,Sporting Lisbon,3-1,Portimonense
10/03/19,PRL,Portimonense,5-1,Nacional
16/03/19,PRL,Belenenses,2-2,Portimonense
29/03/19,PRL,Portimonense,0-2,Moreirense
08/04/19,PRL,Tondela,3-2,Portimonense
13/04/19,PRL,Portimonense,0-3,Porto
19/04/19,PRL,Vitória Setúbal,1-1,Portimonense
27/04/19,PRL,Portimonense,1-0,Feirense
04/05/19,PRL,Benfica,5-1,Portimonense
11/05/19,PRL,Portimonense,3-2,Marítimo
17/05/19,PRL,Sporting Braga,2-0,Portimonense
09/07/19,CLF,Portimonense,1-0,Wrexham
13/07/19,CLF,Portimonense,0-1,Sporting Braga
15/07/19,CLF,Marítimo,1-1,Portimonense
20/07/19,CLF,Porto II,0-1,Portimonense
20/07/19,COI,Portimonense,P0-0P,Getafe
21/07/19,COI,Portimonense,1-2,Real Betis
24/07/19,CLF,Portimonense,1-2,Lille
03/08/19,TDL,Portimonense,2-0,Académica
09/08/19,PRL,Portimonense,0-0,Belenenses
19/08/19,PRL,Tondela,1-2,Portimonense
25/08/19,PRL,Portimonense,1-3,Sporting Lisbon
30/08/19,PRL,Moreirense,1-0,Portimonense
15/09/19,PRL,Portimonense,2-3,Porto
22/09/19,PRL,Vitória Setúbal,0-0,Portimonense
25/09/19,TDL,Gil Vicente,1-2,Portimonense
29/09/19,PRL,Portimonense,0-1,Sporting Braga
19/07/17,CLF,Portimonense,0-1,Sheffield Wednesday
22/07/17,CLF,Portimonense,3-2,Farense
27/07/17,CLF,Portimonense,1-5,Porto
07/08/17,PRL,Portimonense,2-1,Boavista
13/08/17,PRL,Sporting Braga,2-1,Portimonense
18/08/17,PRL,Rio Ave,2-0,Portimonense
28/08/17,PRL,Portimonense,1-2,Marítimo
02/09/17,TDL,Portimonense,3-1,Chaves
08/09/17,PRL,Benfica,2-1,Portimonense
18/09/17,PRL,Portimonense,2-1,Feirense
22/09/17,PRL,Porto,5-2,Portimonense
30/09/17,PRL,Portimonense,2-2,Desportivo Aves
15/10/17,TDP,Moura,P0-0P,Portimonense
23/10/17,PRL,Vitoria Guimaraes,3-3,Portimonense
26/10/17,TDL,Portimonense,1-2,Vitória Setúbal
30/10/17,PRL,Portimonense,5-2,Vitória Setúbal
04/11/17,PRL,Moreirense,1-1,Portimonense
17/11/17,TDP,Porto,3-2,Portimonense
25/11/17,PRL,Portimonense,2-0,Tondela
04/12/17,PRL,Estoril,0-0,Portimonense
10/12/17,PRL,Portimonense,0-1,Chaves
17/12/17,PRL,Sporting Lisbon,2-0,Portimonense
20/12/17,TDL,Benfica,2-2,Portimonense
29/12/17,TDL,Sporting Braga,2-2,Portimonense
04/01/18,PRL,Portimonense,0-0,Belenenses
08/01/18,PRL,Paços Ferreira,1-1,Portimonense
14/01/18,PRL,Boavista,2-0,Portimonense
20/01/18,PRL,Portimonense,1-2,Sporting Braga
29/01/18,PRL,Portimonense,4-1,Rio Ave
