Date,Competition,Home team,Score,Away team
20/08/23,PRL,Porto,2-1,Farense
28/08/23,PRL,Rio Ave,1-2,Porto
03/09/23,PRL,Porto,1-1,Arouca
15/09/23,PRL,Estrela,0-1,Porto
19/09/23,UCL,Shakhtar Donetsk,1-3,Porto
23/09/23,PRL,Porto,2-1,Gil Vicente
29/09/23,PRL,Benfica,1-0,Porto
04/10/23,UCL,Porto,0-1,Barcelona
08/10/23,PRL,Porto,1-0,Portimonense
20/10/23,TDP,Vilar de Perdizes,0-2,Porto
25/10/23,UCL,Antwerp,1-4,Porto
29/10/23,PRL,Vizela,0-2,Porto
03/11/23,PRL,Porto,0-1,Estoril
07/11/23,UCL,Porto,2-0,Antwerp
11/11/23,PRL,Vitoria Guimaraes,1-2,Porto
24/11/23,TDP,Porto,4-0,Montalegre
28/11/23,UCL,Barcelona,2-1,Porto
02/12/23,PRL,Famalicão,0-3,Porto
06/12/23,TDL,Estoril,3-1,Porto
09/12/23,PRL,Porto,3-1,Casa Pia
13/12/23,UCL,Porto,5-3,Shakhtar Donetsk
18/12/23,PRL,Sporting Lisbon,2-0,Porto
23/12/23,TDL,Porto,2-1,Leixões
29/12/23,PRL,Porto,1-0,Chaves
05/01/24,PRL,Boavista,1-1,Porto
09/01/24,TDP,Estoril,0-4,Porto
14/01/24,PRL,Porto,2-0,Sporting Braga
20/01/24,PRL,Porto,5-0,Moreirense
28/01/24,PRL,Farense,1-3,Porto
03/02/24,PRL,Porto,0-0,Rio Ave
12/02/24,PRL,Arouca,3-2,Porto
17/02/24,PRL,Porto,2-0,Estrela
21/02/24,UCL,Porto,1-0,Arsenal
25/02/24,PRL,Gil Vicente,1-1,Porto
29/02/24,TDP,Santa Clara,1-2,Porto
03/03/24,PRL,Porto,5-0,Benfica
08/03/24,PRL,Portimonense,0-3,Porto
12/03/24,UCL,Arsenal,P1-0P,Porto
16/03/24,PRL,Porto,4-1,Vizela
30/03/24,PRL,Estoril,1-0,Porto
03/04/24,TDP,Vitoria Guimaraes,0-1,Porto
07/04/24,PRL,Porto,1-2,Vitoria Guimaraes
13/04/24,PRL,Porto,2-2,Famalicão
17/04/24,TDP,Porto,3-1,Vitoria Guimaraes
21/04/24,PRL,Casa Pia,1-2,Porto
