Date,Competition,Home team,Score,Away team
02/04/23,PRL,Rio Ave,0-1,Benfica
08/04/23,PRL,Portimonense,2-2,Rio Ave
16/04/23,PRL,Rio Ave,1-1,Casa Pia
22/04/23,PRL,Boavista,3-2,Rio Ave
28/04/23,PRL,Rio Ave,1-0,Arouca
07/05/23,PRL,Marítimo,2-2,Rio Ave
14/05/23,PRL,Rio Ave,0-1,Vitoria Guimaraes
21/05/23,PRL,Paços Ferreira,3-1,Rio Ave
26/05/23,PRL,Rio Ave,2-2,Famalicão
08/07/23,CLF,Rio Ave,2-4,Sporting Braga II
12/07/23,CLF,Moreirense,0-2,Rio Ave
15/07/23,CLF,Rio Ave,1-1,Vitoria Guimaraes
22/07/23,TDL,Rio Ave,3-0,Academico Viseu
30/07/23,TDL,Arouca,2-0,Rio Ave
13/08/23,PRL,Rio Ave,2-0,Chaves
20/08/23,PRL,Estoril,2-0,Rio Ave
28/08/23,PRL,Rio Ave,1-2,Porto
02/09/23,PRL,Casa Pia,1-1,Rio Ave
16/09/23,PRL,Rio Ave,1-1,Famalicão
25/09/23,PRL,Sporting Lisbon,2-0,Rio Ave
01/10/23,PRL,Rio Ave,0-4,Moreirense
07/10/23,PRL,Sporting Braga,2-1,Rio Ave
22/10/23,TDP,Torreense,2-1,Rio Ave
29/10/23,PRL,Rio Ave,3-4,Farense
05/11/23,PRL,Rio Ave,2-0,Boavista
12/11/23,PRL,Gil Vicente,1-1,Rio Ave
17/11/23,CLF,Moreirense,2-0,Rio Ave
02/12/23,PRL,Rio Ave,1-1,Estrela
10/12/23,PRL,Arouca,2-2,Rio Ave
16/12/23,PRL,Rio Ave,1-1,Vizela
23/12/23,PRL,Vitoria Guimaraes,1-0,Rio Ave
07/01/24,PRL,Rio Ave,2-0,Portimonense
14/01/24,PRL,Benfica,4-1,Rio Ave
21/01/24,PRL,Chaves,0-0,Rio Ave
31/01/24,PRL,Rio Ave,1-1,Estoril
03/02/24,PRL,Porto,0-0,Rio Ave
11/02/24,PRL,Rio Ave,1-0,Casa Pia
16/02/24,PRL,Famalicão,2-1,Rio Ave
