Date,Competition,Home team,Score,Away team
19/08/23,PRL,Chaves,2-4,Sporting Braga
23/08/23,UCL,Sporting Braga,2-1,Panathinaikos
29/08/23,UCL,Panathinaikos,0-1,Sporting Braga
03/09/23,PRL,Sporting Braga,1-1,Sporting Lisbon
09/09/23,PRL,Moreirense,2-3,Sporting Braga
16/09/23,PRL,Farense,3-1,Sporting Braga
20/09/23,UCL,Sporting Braga,1-2,Napoli
24/09/23,PRL,Sporting Braga,4-1,Boavista
28/09/23,PRL,Estrela,2-4,Sporting Braga
03/10/23,UCL,Union Berlin,2-3,Sporting Braga
07/10/23,PRL,Sporting Braga,2-1,Rio Ave
19/10/23,TDP,Rebordosa,0-2,Sporting Braga
24/10/23,UCL,Sporting Braga,1-2,Real Madrid
28/10/23,PRL,Gil Vicente,3-3,Sporting Braga
01/11/23,TDL,Sporting Braga,1-1,Casa Pia
04/11/23,PRL,Sporting Braga,6-1,Portimonense
08/11/23,UCL,Real Madrid,3-0,Sporting Braga
12/11/23,PRL,Arouca,0-1,Sporting Braga
25/11/23,TDP,Portimonense,1-4,Sporting Braga
29/11/23,UCL,Sporting Braga,1-1,Union Berlin
03/12/23,PRL,Sporting Braga,3-1,Estoril
08/12/23,PRL,Vizela,1-3,Sporting Braga
12/12/23,UCL,Napoli,2-0,Sporting Braga
17/12/23,PRL,Sporting Braga,0-1,Benfica
22/12/23,TDL,Nacional,1-3,Sporting Braga
30/12/23,PRL,Casa Pia,1-3,Sporting Braga
06/01/24,PRL,Sporting Braga,1-1,Vitoria Guimaraes
10/01/24,TDP,Benfica,3-2,Sporting Braga
14/01/24,PRL,Porto,2-0,Sporting Braga
18/01/24,PRL,Famalicão,1-2,Sporting Braga
23/01/24,TDL,Sporting Braga,1-0,Sporting Lisbon
27/01/24,TDL,Sporting Braga,P1-1P,Estoril
31/01/24,PRL,Sporting Braga,1-1,Chaves
04/02/24,PRL,Sporting Braga,1-0,Moreirense
11/02/24,PRL,Sporting Lisbon,5-0,Sporting Braga
15/02/24,UEL,Sporting Braga,2-4,Qarabag
18/02/24,PRL,Sporting Braga,2-1,Farense
22/02/24,UEL,Qarabag,E2-3E,Sporting Braga
26/02/24,PRL,Boavista,0-4,Sporting Braga
02/03/24,PRL,Sporting Braga,3-0,Estrela
09/03/24,PRL,Rio Ave,0-0,Sporting Braga
16/03/24,PRL,Sporting Braga,2-1,Gil Vicente
01/04/24,PRL,Portimonense,3-5,Sporting Braga
06/04/24,PRL,Sporting Braga,0-3,Arouca
13/04/24,PRL,Estoril,0-1,Sporting Braga
20/04/24,PRL,Sporting Braga,2-1,Vizela
27/04/24,PRL,Benfica,3-1,Sporting Braga
05/05/24,PRL,Sporting Braga,19:00,Casa Pia
11/05/24,PRL,Vitoria Guimaraes,21:30,Sporting Braga
19/05/24,PRL,Sporting Braga,-,Porto
13/10/22,UEL,Union Saint-Gilloise,3-3,Sporting Braga
16/10/22,TDP,Felgueiras 1932,1-2,Sporting Braga
22/10/22,PRL,Estoril,0-2,Sporting Braga
27/10/22,UEL,Union Berlin,1-0,Sporting Braga
30/10/22,PRL,Gil Vicente,0-1,Sporting Braga
03/11/22,UEL,Sporting Braga,2-1,Malmö
06/11/22,PRL,Sporting Braga,0-1,Casa Pia
10/11/22,TDP,Sporting Braga,2-1,Moreirense
13/11/22,PRL,Portimonense,1-2,Sporting Braga
26/11/22,TDL,Sporting Braga,3-0,Trofense
03/12/22,TDL,Casa Pia,0-1,Sporting Braga
11/12/22,TDL,Sporting Braga,2-0,Paços Ferreira
19/12/22,TDL,Sporting Lisbon,5-0,Sporting Braga
30/12/22,PRL,Sporting Braga,3-0,Benfica
05/01/23,PRL,Santa Clara,0-4,Sporting Braga
11/01/23,TDP,Sporting Braga,3-2,Vitoria Guimaraes
14/01/23,PRL,Sporting Braga,1-0,Boavista
21/01/23,PRL,Paços Ferreira,1-2,Sporting Braga
01/02/23,PRL,Sporting Lisbon,5-0,Sporting Braga
05/02/23,PRL,Sporting Braga,4-1,Famalicão
09/02/23,TDP,Sporting Braga,P1-1P,Benfica
12/02/23,PRL,Marítimo,1-2,Sporting Braga
16/02/23,UEC,Sporting Braga,0-4,Fiorentina
19/02/23,PRL,Sporting Braga,2-0,Arouca
23/02/23,UEC,Fiorentina,3-2,Sporting Braga
27/02/23,PRL,Vitoria Guimaraes,2-1,Sporting Braga
05/03/23,PRL,Sporting Braga,2-0,Rio Ave
11/03/23,PRL,Vizela,0-4,Sporting Braga
19/03/23,PRL,Sporting Braga,0-0,Porto
02/04/23,PRL,Chaves,1-2,Sporting Braga
08/04/23,PRL,Sporting Braga,4-1,Estoril
12/04/23,TDP,Nacional,0-5,Sporting Braga
16/04/23,PRL,Sporting Braga,1-0,Gil Vicente
21/04/23,PRL,Casa Pia,0-1,Sporting Braga
25/04/23,TDP,Sporting Braga,2-2,Nacional
29/04/23,PRL,Sporting Braga,4-1,Portimonense
06/05/23,PRL,Benfica,1-0,Sporting Braga
14/05/23,PRL,Sporting Braga,5-3,Santa Clara
20/05/23,PRL,Boavista,1-1,Sporting Braga
27/05/23,PRL,Sporting Braga,3-0,Paços Ferreira
04/06/23,TDP,Sporting Braga,0-2,Porto
12/07/23,CLF,Sporting Braga,4-0,Torreense
15/07/23,CLF,Sporting Braga,2-0,Boavista
19/07/23,CLF,Sporting Braga,1-0,Cardiff City
22/07/23,CLF,Bristol Rovers,2-3,Sporting Braga
26/07/23,CLF,Roma,1-1,Sporting Braga
29/07/23,CLF,Sporting Braga,2-0,Nice
08/08/23,UCL,Sporting Braga,3-0,TSC
11/08/23,PRL,Sporting Braga,1-2,Famalicão
15/08/23,UCL,TSC,1-4,Sporting Braga
30/11/21,PRL,Sporting Braga,4-1,Vizela
05/12/21,PRL,Sporting Braga,2-0,Estoril
09/12/21,UEL,Sporting Braga,1-1,Red Star Belgrade
12/12/21,PRL,Porto,1-0,Sporting Braga
16/12/21,TDL,Boavista,5-1,Sporting Braga
19/12/21,PRL,Sporting Braga,1-0,Belenenses
23/12/21,TDP,Vizela,1-0,Sporting Braga
30/12/21,PRL,Arouca,0-6,Sporting Braga
09/01/22,PRL,Sporting Braga,2-2,Famalicão
15/01/22,PRL,Sporting Braga,0-1,Marítimo
22/01/22,PRL,Sporting Lisbon,1-2,Sporting Braga
30/01/22,PRL,Sporting Braga,2-0,Moreirense
05/02/22,PRL,Vitoria Guimaraes,2-1,Sporting Braga
12/02/22,PRL,Sporting Braga,2-1,Paços Ferreira
17/02/22,UEL,Sheriff,2-0,Sporting Braga
20/02/22,PRL,Tondela,0-1,Sporting Braga
24/02/22,UEL,Sporting Braga,P2-0P,Sheriff
28/02/22,PRL,Sporting Braga,0-0,Santa Clara
05/03/22,PRL,Boavista,1-1,Sporting Braga
10/03/22,UEL,Sporting Braga,2-0,Monaco
13/03/22,PRL,Sporting Braga,0-1,Gil Vicente
17/03/22,UEL,Monaco,1-1,Sporting Braga
20/03/22,PRL,Portimonense,1-2,Sporting Braga
01/04/22,PRL,Sporting Braga,3-2,Benfica
07/04/22,UEL,Sporting Braga,1-0,Rangers
10/04/22,PRL,Vizela,0-1,Sporting Braga
14/04/22,UEL,Rangers,E3-1E,Sporting Braga
18/04/22,PRL,Estoril,0-0,Sporting Braga
25/04/22,PRL,Sporting Braga,1-0,Porto
30/04/22,PRL,Belenenses,0-1,Sporting Braga
08/05/22,PRL,Sporting Braga,1-0,Arouca
15/05/22,PRL,Famalicão,3-2,Sporting Braga
12/07/22,CLF,Sporting Braga,3-2,Arouca
15/07/22,CLF,Sporting Braga,3-0,Middlesbrough
19/07/22,CLF,Sporting Braga,2-1,AFC Bournemouth
20/07/22,CLF,Nice,CANC,Sporting Braga
23/07/22,CLF,Portimonense,2-0,Sporting Braga
29/07/22,CLF,Sporting Braga,2-1,Celta Vigo
