Date,Competition,Home team,Score,Away team
17/09/23,PRL,Sporting Lisbon,3-0,Moreirense
21/09/23,UEL,Sturm Graz,1-2,Sporting Lisbon
25/09/23,PRL,Sporting Lisbon,2-0,Rio Ave
30/09/23,PRL,Farense,2-3,Sporting Lisbon
05/10/23,UEL,Sporting Lisbon,1-2,Atalanta
08/10/23,PRL,Sporting Lisbon,2-1,Arouca
21/10/23,TDP,CD Olivais e Moscavide,1-3,Sporting Lisbon
26/10/23,UEL,Rakow Czestochowa,1-1,Sporting Lisbon
30/10/23,PRL,Boavista,0-2,Sporting Lisbon
02/11/23,TDL,Sporting Lisbon,4-2,Farense
05/11/23,PRL,Sporting Lisbon,3-2,Estrela
09/11/23,UEL,Sporting Lisbon,2-1,Rakow Czestochowa
12/11/23,PRL,Benfica,2-1,Sporting Lisbon
26/11/23,TDP,Sporting Lisbon,8-0,Dumiense
30/11/23,UEL,Atalanta,1-1,Sporting Lisbon
04/12/23,PRL,Sporting Lisbon,3-1,Gil Vicente
09/12/23,PRL,Vitoria Guimaraes,3-2,Sporting Lisbon
14/12/23,UEL,Sporting Lisbon,3-0,Sturm Graz
18/12/23,PRL,Sporting Lisbon,2-0,Porto
23/12/23,TDL,Tondela,1-2,Sporting Lisbon
30/12/23,PRL,Portimonense,1-2,Sporting Lisbon
05/01/24,PRL,Sporting Lisbon,5-1,Estoril
09/01/24,TDP,Sporting Lisbon,4-0,Tondela
13/01/24,PRL,Chaves,0-3,Sporting Lisbon
18/01/24,PRL,Vizela,2-5,Sporting Lisbon
23/01/24,TDL,Sporting Braga,1-0,Sporting Lisbon
29/01/24,PRL,Sporting Lisbon,8-0,Casa Pia
07/02/24,TDP,União de Leiria,0-3,Sporting Lisbon
11/02/24,PRL,Sporting Lisbon,5-0,Sporting Braga
15/02/24,UEL,Young Boys,1-3,Sporting Lisbon
19/02/24,PRL,Moreirense,0-2,Sporting Lisbon
22/02/24,UEL,Sporting Lisbon,1-1,Young Boys
25/02/24,PRL,Rio Ave,3-3,Sporting Lisbon
29/02/24,TDP,Sporting Lisbon,2-1,Benfica
03/03/24,PRL,Sporting Lisbon,3-2,Farense
06/03/24,UEL,Sporting Lisbon,1-1,Atalanta
10/03/24,PRL,Arouca,0-3,Sporting Lisbon
14/03/24,UEL,Atalanta,2-1,Sporting Lisbon
17/03/24,PRL,Sporting Lisbon,6-1,Boavista
