Date,Competition,Home team,Score,Away team
27/05/23,PRL,Porto,3-0,Vitoria Guimaraes
08/07/23,CLF,Vitoria Guimaraes,0-1,Middlesbrough
09/07/23,CLF,Vitoria Guimaraes,1-2,Wolverhampton Wanderers
12/07/23,CLF,Fafe,0-2,Vitoria Guimaraes
15/07/23,CLF,Rio Ave,1-1,Vitoria Guimaraes
22/07/23,CLF,Vitoria Guimaraes,P1-1P,Tondela
23/07/23,CLF,Varzim,P2-2P,Vitoria Guimaraes
27/07/23,UEC,Celje,3-4,Vitoria Guimaraes
03/08/23,UEC,Vitoria Guimaraes,P0-1P,Celje
13/08/23,PRL,Estrela,0-1,Vitoria Guimaraes
19/08/23,PRL,Vitoria Guimaraes,2-1,Gil Vicente
27/08/23,PRL,Vitoria Guimaraes,2-0,Vizela
02/09/23,PRL,Benfica,4-0,Vitoria Guimaraes
09/09/23,TDL,Vitoria Guimaraes,0-1,Tondela
17/09/23,PRL,Vitoria Guimaraes,1-2,Portimonense
23/09/23,PRL,Casa Pia,0-0,Vitoria Guimaraes
01/10/23,PRL,Vitoria Guimaraes,3-2,Estoril
08/10/23,PRL,Famalicão,1-3,Vitoria Guimaraes
22/10/23,TDP,Moncarapachense,1-3,Vitoria Guimaraes
28/10/23,PRL,Vitoria Guimaraes,5-0,Chaves
05/11/23,PRL,Moreirense,1-0,Vitoria Guimaraes
11/11/23,PRL,Vitoria Guimaraes,1-2,Porto
25/11/23,TDP,Vitoria Guimaraes,4-1,Vilaverdense
02/12/23,PRL,Farense,1-2,Vitoria Guimaraes
09/12/23,PRL,Vitoria Guimaraes,3-2,Sporting Lisbon
16/12/23,PRL,Boavista,1-1,Vitoria Guimaraes
23/12/23,PRL,Vitoria Guimaraes,1-0,Rio Ave
06/01/24,PRL,Sporting Braga,1-1,Vitoria Guimaraes
11/01/24,TDP,Vitoria Guimaraes,1-0,Penafiel
15/01/24,PRL,Vitoria Guimaraes,2-1,Arouca
21/01/24,PRL,Vitoria Guimaraes,3-0,Estrela
28/01/24,PRL,Gil Vicente,1-0,Vitoria Guimaraes
04/02/24,PRL,Vizela,0-1,Vitoria Guimaraes
08/02/24,TDP,Vitoria Guimaraes,3-1,Gil Vicente
11/02/24,PRL,Vitoria Guimaraes,2-2,Benfica
17/02/24,PRL,Portimonense,1-1,Vitoria Guimaraes
24/02/24,PRL,Vitoria Guimaraes,0-2,Casa Pia
02/03/24,PRL,Estoril,1-3,Vitoria Guimaraes
09/03/24,PRL,Vitoria Guimaraes,1-0,Famalicão
17/03/24,PRL,Chaves,1-2,Vitoria Guimaraes
30/03/24,PRL,Vitoria Guimaraes,1-0,Moreirense
