Date,Competition,Home team,Score,Away team
01/04/23,PRL,Vizela,3-1,Casa Pia
07/04/23,PRL,Santa Clara,0-1,Vizela
17/04/23,PRL,Vizela,1-1,Boavista
23/04/23,PRL,Arouca,1-0,Vizela
29/04/23,PRL,Vizela,1-2,Paços Ferreira
07/05/23,PRL,Vitoria Guimaraes,3-0,Vizela
13/05/23,PRL,Vizela,0-0,Famalicão
19/05/23,PRL,Marítimo,1-0,Vizela
26/05/23,PRL,Vizela,1-2,Sporting Lisbon
15/07/23,CLF,Vizela,2-2,Caldas
22/07/23,TDL,Vizela,2-1,Marítimo
28/07/23,TDL,AVS,1-0,Vizela
12/08/23,PRL,Sporting Lisbon,3-2,Vizela
20/08/23,PRL,Vizela,2-2,Arouca
27/08/23,PRL,Vitoria Guimaraes,2-0,Vizela
01/09/23,PRL,Vizela,1-0,Gil Vicente
16/09/23,PRL,Vizela,1-2,Benfica
23/09/23,PRL,Estoril,2-2,Vizela
30/09/23,PRL,Vizela,2-3,Portimonense
07/10/23,PRL,Farense,0-0,Vizela
21/10/23,TDP,Atlético CP,0-1,Vizela
29/10/23,PRL,Vizela,0-2,Porto
05/11/23,PRL,Casa Pia,0-1,Vizela
11/11/23,PRL,Vizela,0-0,Famalicão
24/11/23,TDP,Vizela,E2-1E,Estrela
01/12/23,PRL,Chaves,2-1,Vizela
08/12/23,PRL,Vizela,1-3,Sporting Braga
16/12/23,PRL,Rio Ave,1-1,Vizela
23/12/23,PRL,Vizela,0-0,Moreirense
06/01/24,PRL,Estrela,1-1,Vizela
10/01/24,TDP,Vizela,1-0,Arouca
14/01/24,PRL,Vizela,1-4,Boavista
18/01/24,PRL,Vizela,2-5,Sporting Lisbon
28/01/24,PRL,Arouca,5-0,Vizela
04/02/24,PRL,Vizela,0-1,Vitoria Guimaraes
08/02/24,TDP,Vizela,1-2,Benfica
13/02/24,PRL,Gil Vicente,0-1,Vizela
18/02/24,PRL,Benfica,6-1,Vizela
25/02/24,PRL,Vizela,3-3,Estoril
03/03/24,PRL,Portimonense,0-0,Vizela
09/03/24,PRL,Vizela,2-1,Farense
16/03/24,PRL,Porto,4-1,Vizela
31/03/24,PRL,Vizela,0-4,Casa Pia
06/04/24,PRL,Famalicão,3-2,Vizela
15/04/24,PRL,Vizela,0-1,Chaves
20/04/24,PRL,Sporting Braga,2-1,Vizela
27/04/24,PRL,Vizela,1-1,Rio Ave
03/05/24,PRL,Moreirense,21:15,Vizela
11/05/24,PRL,Vizela,16:30,Estrela
19/05/24,PRL,Boavista,-,Vizela
22/01/22,PRL,Tondela,2-3,Vizela
30/01/22,PRL,Vizela,3-2,Vitoria Guimaraes
06/02/22,PRL,Boavista,2-2,Vizela
13/02/22,PRL,Vizela,0-1,Gil Vicente
19/02/22,PRL,Paços Ferreira,2-1,Vizela
27/02/22,PRL,Vizela,1-1,Portimonense
06/03/22,PRL,Santa Clara,3-1,Vizela
11/03/22,PRL,Benfica,1-1,Vizela
18/03/22,PRL,Vizela,1-1,Famalicão
02/04/22,PRL,Estoril,1-2,Vizela
10/04/22,PRL,Vizela,0-1,Sporting Braga
16/04/22,PRL,Belenenses,1-0,Vizela
22/04/22,PRL,Vizela,2-1,Arouca
30/04/22,PRL,Porto,4-2,Vizela
08/05/22,PRL,Vizela,1-1,Marítimo
14/05/22,PRL,Moreirense,4-1,Vizela
15/07/22,CLF,Vizela,1-3,Torreense
27/07/22,CLF,Vizela,2-3,Gil Vicente
30/07/22,CLF,Penafiel,2-0,Vizela
30/07/22,CLF,Paços Ferreira,1-2,Vizela
06/08/22,PRL,Rio Ave,0-1,Vizela
14/08/22,PRL,Vizela,0-1,Porto
20/08/22,PRL,Chaves,1-1,Vizela
29/08/22,PRL,Vizela,2-2,Gil Vicente
02/09/22,PRL,Benfica,2-1,Vizela
12/09/22,PRL,Vizela,0-1,Estoril
18/09/22,PRL,Sporting Braga,2-0,Vizela
