Date,Competition,Home team,Score,Away team
28/05/23,PRL,Rostov,3-2,Akhmat Grozny
03/06/23,PRL,Akhmat Grozny,2-2,Krasnodar
25/06/23,CLF,Dynamo Makhachkala,1-1,Akhmat Grozny
01/07/23,CLF,Akhmat Grozny,4-2,Zenit II
22/07/23,PRL,Akhmat Grozny,1-2,Krylya Sovetov
25/07/23,CUP,Zenit,2-0,Akhmat Grozny
30/07/23,PRL,Akhmat Grozny,2-3,CSKA Moscow
06/08/23,PRL,Sochi,1-2,Akhmat Grozny
10/08/23,CUP,Akhmat Grozny,0-2,Baltika
14/08/23,PRL,Nizhny Novgorod,2-0,Akhmat Grozny
20/08/23,PRL,Akhmat Grozny,4-0,Orenburg
26/08/23,PRL,Spartak Moscow,0-0,Akhmat Grozny
30/08/23,CUP,Akhmat Grozny,3-1,Krylya Sovetov
02/09/23,PRL,Ural,0-1,Akhmat Grozny
16/09/23,PRL,Akhmat Grozny,1-1,Krasnodar
20/09/23,CUP,Akhmat Grozny,P3-3P,Zenit
23/09/23,PRL,Baltika,1-0,Akhmat Grozny
01/10/23,PRL,Akhmat Grozny,1-1,Dinamo Moscow
04/10/23,CUP,Krylya Sovetov,0-3,Akhmat Grozny
08/10/23,PRL,Akhmat Grozny,0-1,Rubin Kazan
22/10/23,PRL,Rostov,3-0,Akhmat Grozny
28/10/23,PRL,Zenit,2-1,Akhmat Grozny
31/10/23,CUP,Baltika,4-1,Akhmat Grozny
04/11/23,PRL,Akhmat Grozny,1-2,Fakel
11/11/23,PRL,Lokomotiv Moscow,2-1,Akhmat Grozny
26/11/23,PRL,Orenburg,1-1,Akhmat Grozny
03/12/23,PRL,Akhmat Grozny,2-1,Spartak Moscow
09/12/23,PRL,Akhmat Grozny,0-0,Rostov
19/01/24,CLF,Akhmat Grozny,1-0,Yelimay Semey
02/02/24,CLF,Sochi,0-0,Akhmat Grozny
03/02/24,CLF,Akhmat Grozny,1-0,Neftchi
06/02/24,CLF,Akhmat Grozny,4-0,Kyzyl-Zhar
14/02/24,CLF,Yenisey,1-2,Akhmat Grozny
17/02/24,CLF,KAMAZ,2-0,Akhmat Grozny
17/02/24,CLF,Alaniya Vladikavkaz,0-2,Akhmat Grozny
20/02/24,CLF,Orenburg,2-1,Akhmat Grozny
02/03/24,PRL,Akhmat Grozny,1-0,Ural
09/03/24,PRL,Dinamo Moscow,2-0,Akhmat Grozny
13/03/24,CUP,Volgar Astrakhan,1-2,Akhmat Grozny
31/03/24,PRL,Rubin Kazan,2-1,Akhmat Grozny
04/04/24,CUP,Akhmat Grozny,0-1,Orenburg
07/04/24,PRL,Akhmat Grozny,0-2,Lokomotiv Moscow
13/04/24,PRL,Akhmat Grozny,1-7,Baltika
20/04/24,PRL,CSKA Moscow,1-2,Akhmat Grozny
25/04/24,PRL,Akhmat Grozny,1-0,Sochi
28/04/24,PRL,Akhmat Grozny,5-1,Nizhny Novgorod
04/05/24,PRL,Krasnodar,18:30,Akhmat Grozny
10/05/24,PRL,Krylya Sovetov,15:00,Akhmat Grozny
19/05/24,PRL,Akhmat Grozny,18:00,Zenit
25/05/24,PRL,Fakel,15:30,Akhmat Grozny
21/05/22,PRL,Krasnodar,1-1,Akhmat Grozny
27/06/22,CLF,Akhmat Grozny,CANC,Zenit Penza
05/07/22,CLF,Krylya Sovetov,1-0,Akhmat Grozny
05/07/22,CLF,Krylya Sovetov,2-1,Akhmat Grozny
16/07/22,PRL,Akhmat Grozny,1-1,Spartak Moscow
24/07/22,PRL,Akhmat Grozny,2-1,Fakel
30/07/22,PRL,Sochi,2-1,Akhmat Grozny
06/08/22,PRL,Akhmat Grozny,0-0,Zenit
14/08/22,PRL,Khimki,1-3,Akhmat Grozny
21/08/22,PRL,CSKA Moscow,4-2,Akhmat Grozny
27/08/22,PRL,Akhmat Grozny,1-2,Krylya Sovetov
31/08/22,CUP,Akhmat Grozny,3-1,Orenburg
04/09/22,PRL,Lokomotiv Moscow,1-2,Akhmat Grozny
10/09/22,PRL,Akhmat Grozny,1-3,Nizhny Novgorod
13/09/22,CUP,Dinamo Moscow,2-1,Akhmat Grozny
17/09/22,PRL,Ural,1-2,Akhmat Grozny
29/09/22,CUP,Akhmat Grozny,3-1,Rostov
02/10/22,PRL,Akhmat Grozny,2-1,Dinamo Moscow
09/10/22,PRL,Orenburg,2-1,Akhmat Grozny
15/10/22,PRL,Krasnodar,2-3,Akhmat Grozny
19/10/22,CUP,Orenburg,4-2,Akhmat Grozny
23/10/22,PRL,Akhmat Grozny,1-0,Torpedo Moskva
29/10/22,PRL,Akhmat Grozny,1-2,Rostov
05/11/22,PRL,Zenit,1-2,Akhmat Grozny
11/11/22,PRL,Nizhny Novgorod,3-2,Akhmat Grozny
23/11/22,CUP,Akhmat Grozny,2-1,Dinamo Moscow
27/11/22,CUP,Rostov,3-0,Akhmat Grozny
19/01/23,CLF,Akhmat Grozny,1-3,Partizan
23/01/23,CLF,Akhmat Grozny,1-1,Vojvodina
30/01/23,CLF,Akhmat Grozny,2-0,Buxoro
05/02/23,CLF,Akhmat Grozny,2-2,Chayka
05/02/23,CLF,Akhmat Grozny,1-0,Khimki
11/02/23,CLF,Akhmat Grozny,CANC,Volga Ulyanovsk
